method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,125.93747353553772,0.3386137776859506,0.0,0.8637024063312941,0.0,0.5008821378247532,0.0,0.8421556168773217,0.0,0.445143115724705,0.0,0.7654389226029832,1.0,0.019194562502645507,0.0,0.05087837617531088,0.0,0.5784517774919787,0.0,0.9091570740940862,1.0,0.5213471633556382,0.0,0.6905694375183079,0.0,0.20392718227754125,0.0,0.9974926429876556,1.0,0.765827569859988,0.0,0.22287247038656866,1.0,0.9901517761568487,0.0,0.8277415474853325,0.0,0.01463080953678686,0.0,0.5319829413776411,0.0,0.0539641151018464,1.0,0.533774522833369,0.0,0.9143757561333632,0.0,0.9924101250508209,1.0,0.703155088206298,0.0,0.7412512597585337,0.0,0.40233715177831575,1.0,0.02077622619698527,0.0,0.7246906857412934,0.0,0.8994628491093241,0.0,0.7030638326444211,1.0,0.7680540454670763,0.0,0.059483184851992,1.0,0.30359609884361394,0.0,0.099236638084778,1.0,0.4080213548531625,0.0,0.5960409407148424,0.0,0.37001059420653026,0.0,0.16108115346824103,0.0,0.531803918022943,0.0,0.155218388369589,1.0,0.06270730812862246,0.0,0.0849540834115372,0.0,0.8486828309242673,0.0,0.03642531971646146,0.0,0.04122710673311614,0.0,0.4140158620087173,0.0,0.9142856519778659,0.0,0.7378307814647189,1.0,0.3838373280079035,0.0,0.9705627415627636
CPI,300,6.224100589752197,0.3386137776859506,0.0,0.46110197209998827,0.0,0.5321506642498034,0.0,0.3167219330011038,0.0,0.3376936494082363,0.0,0.0861607672528974,1.0,0.09661908276178821,0.0,0.3610351025519973,0.0,0.4062669128015505,0.0,0.0004792951513446966,1.0,0.35415069291028434,0.0,0.2648164153980679,0.0,0.2630314863709622,0.0,0.39375594501256916,1.0,0.8201189762964234,0.0,0.21770611092799008,1.0,0.9262509008273137,0.0,0.47500504208713895,0.0,0.7893029948820249,0.0,0.8244473882130714,0.0,0.5590250169988104,1.0,0.899776150185024,0.0,0.8025604513491313,0.0,0.4484400546344545,1.0,0.3461843996914873,0.0,0.5981514957069172,0.0,0.7058922547297859,1.0,0.1402023149439831,0.0,0.7040756258567893,0.0,0.6706824442137271,0.0,0.8312872391756103,1.0,0.8847181137120432,0.0,0.6634869793758291,1.0,0.8300793723714124,0.0,0.8930963292182508,1.0,0.18439565244946227,0.0,0.8598185913481837,0.0,0.05813726128081926,0.0,0.4383311413098018,0.0,0.10030565171694517,0.0,0.6504296120529915,1.0,0.01026545360796107,0.0,0.10936898481183521,0.0,0.2723703907178534,0.0,0.5817858501915725,0.0,0.06022832812692899,0.0,0.9076440023037982,0.0,0.9523476065609303,0.0,0.039367239414342906,1.0,0.04001658218056118,0.0,0.2731594741373796
CPI_sqrt,300,6.225219488143921,0.3386137776859506,0.0,0.5001046396897857,0.0,0.5022441663990528,0.0,0.502230297276193,0.0,0.4945621690068363,0.0,0.49588518978649093,1.0,0.48629357840574483,0.0,0.4987970258922018,0.0,0.5037607275711996,0.0,0.46659852948443387,1.0,0.43753953247621535,0.0,0.5017776419748048,0.0,0.49591287827114805,0.0,0.5072723170511028,1.0,0.5001162992803796,0.0,0.49969281189848175,1.0,0.5014639160334392,0.0,0.5006984805811412,0.0,0.501473966450932,0.0,0.4995695704641753,0.0,0.5013361678646444,1.0,0.5006558958967606,0.0,0.5014292919718063,0.0,0.5016746220694464,1.0,0.49101342315867164,0.0,0.5005567496826584,0.0,0.5048675532241703,1.0,0.4940170885520114,0.0,0.5035791484353827,0.0,0.4965932978897046,0.0,0.5004117955654702,1.0,0.5051111967553332,0.0,0.4962053466545453,1.0,0.5002716350835559,0.0,0.5018857453425308,1.0,0.4969786005664416,0.0,0.5016462176997062,0.0,0.4994986736795595,0.0,0.5007695621222686,0.0,0.4961830691900105,0.0,0.49579042335517537,1.0,0.48359001874938196,0.0,0.4991243894307498,0.0,0.5016200659957482,0.0,0.500130904286818,0.0,0.497879297722738,0.0,0.4982196036842559,0.0,0.502717723564426,0.0,0.49849241106395087,1.0,0.3548955876718991,0.0,0.49669085039226973
CPI_n,300,6.229857683181763,0.3386137776859506,0.0,0.5039941932408822,0.0,0.49455633522468956,0.0,0.5052552325002552,0.0,0.45529588460733034,0.0,0.49495904480427144,1.0,0.4514639628093282,0.0,0.4860460526105743,0.0,0.5355004875552147,0.0,0.24517991423566593,1.0,0.17318681368731498,0.0,0.5194098447948472,0.0,0.47565210901504207,0.0,0.5210524752947654,1.0,0.5067895806569607,0.0,0.48026093216749255,1.0,0.5647001914130623,0.0,0.5125062316589497,0.0,0.4889336413632906,0.0,0.48213446745624944,0.0,0.5011157126635458,1.0,0.5124563508956121,0.0,0.4988172668712109,0.0,0.500795634629087,1.0,0.45067925743612947,0.0,0.5066512698526121,0.0,0.4595664332924412,1.0,0.35203166577370026,0.0,0.4843679047064854,0.0,0.49702584371922165,0.0,0.5958379612814312,1.0,0.5487055420949177,0.0,0.4923683746980033,1.0,0.500008037307365,0.0,0.5189838314881808,1.0,0.46928609066471905,0.0,0.5331467680825472,0.0,0.4968578216215226,0.0,0.5279542469107722,0.0,0.5096382215600461,0.0,0.48968705559298736,1.0,0.39082931928616754,0.0,0.5202622713215728,0.0,0.5073469360634483,0.0,0.5123752949401664,0.0,0.4628819026520511,0.0,0.5121819821644715,0.0,0.5049141750705706,0.0,0.46089693369163093,1.0,0.01773185396358238,0.0,0.49247875217983983
CPI_bt,300,6.401127815246582,0.3386137776859506,0.0,0.48827329769346,0.0,0.5152832208960371,0.0,0.48641877815626816,0.0,0.496702878944374,0.0,0.46706272846322283,1.0,0.46353692721594575,0.0,0.4752506574109796,0.0,0.5789704312657653,0.0,0.2643206138298203,1.0,0.21702266611499677,0.0,0.507290953888154,0.0,0.46403473399275313,0.0,0.5051779418489354,1.0,0.5187632102567028,0.0,0.4955133280922274,1.0,0.6012610432725497,0.0,0.488847425377219,0.0,0.4917906598791499,0.0,0.5139735973100782,0.0,0.5066102441098537,1.0,0.5204850870125828,0.0,0.5053837187050895,0.0,0.503046906746492,1.0,0.3583756589656514,0.0,0.5402902301569859,0.0,0.5859357594811722,1.0,0.4588230189572021,0.0,0.5261940344491851,0.0,0.5104887546578897,0.0,0.5278278681476666,1.0,0.5509157585123535,0.0,0.4772316243860679,1.0,0.5129560216025585,0.0,0.5413622219886607,1.0,0.49617725070194457,0.0,0.4891294979805957,0.0,0.5339891286175161,0.0,0.5175886218524091,0.0,0.45240672232563583,0.0,0.5078454326078496,1.0,0.2539734677696693,0.0,0.5051352623410957,0.0,0.5101746237159119,0.0,0.4977324083814137,0.0,0.4651837679858393,0.0,0.47183269139301043,0.0,0.5197634509325967,0.0,0.4682839820804202,1.0,5.152826392868708e-09,0.0,0.4694335033900908
CPI_sqd,300,6.409606456756592,0.3386137776859506,0.0,0.9988414283465804,0.0,0.8666858478080475,0.0,0.0005036307224270325,0.0,9.340462781366742e-14,0.0,4.333001757497938e-36,1.0,9.832637289591019e-70,0.0,0.9888910008693521,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9999366773783426,0.0,0.0002499592198189626,0.0,0.9999823554656723,1.0,1.1394805292080694e-07,0.0,9.957219984058056e-12,1.0,1.0,0.0,0.010006502503626084,0.0,4.865491805720679e-14,0.0,8.259518179177219e-13,0.0,0.6805702482355697,1.0,0.31509968578436776,0.0,0.9737770412450858,0.0,0.999305697224172,1.0,1.0,0.0,1.0,0.0,0.9993103999322042,1.0,0.0,0.0,6.98100928036619e-15,0.0,0.015130415533248115,0.0,1.0,1.0,0.9684887636624282,0.0,1.1419207258878486e-11,1.0,2.2659762335998078e-10,0.0,0.9999999999342408,1.0,0.7804736382910606,0.0,0.7724903182902696,0.0,3.682559400538052e-16,0.0,0.002991535807398909,0.0,0.019617683145653694,0.0,0.5668610174075517,1.0,0.0,0.0,0.004901165619961715,0.0,0.9999999912606189,0.0,0.3359225990047351,0.0,9.342088498556554e-12,0.0,0.8884265147171131,0.0,1.0,0.0,0.8321325095642196,1.0,0.0,0.0,0.003879105531257798
S-CPI,300,18.002188444137573,0.3386137776859506,0.0,0.2999740584861253,0.0,0.6965608303723686,0.0,0.5067226351868939,0.0,0.34337562457488435,0.0,0.1046214358481179,1.0,0.2923780618975151,0.0,0.26756764777438125,0.0,0.7687957021971026,0.0,0.002237520276616362,1.0,0.042845533134547885,0.0,0.48801815324407216,0.0,0.09045484706882301,0.0,0.5721039082273263,1.0,0.5698314706127345,0.0,0.17809927694501576,1.0,0.9442554917003746,0.0,0.2559133576364898,0.0,0.6542738148212719,0.0,0.24522333555596781,0.0,0.6166373367215544,1.0,0.8818983426973015,0.0,0.8339967654778874,0.0,0.7220547494623462,1.0,0.2533529785955735,0.0,0.7835690253044567,0.0,0.763593056510709,1.0,0.21208334580434723,0.0,0.798923102303339,0.0,0.12570464004127613,0.0,0.9105117013558821,1.0,0.982044365657893,0.0,0.14263320327511114,1.0,0.5678018628770051,0.0,0.9217846589341567,1.0,0.05493820538136871,0.0,0.7314984621982282,0.0,0.18877167929129546,0.0,0.47557465405267507,0.0,0.1363463728838185,0.0,0.48557718862325905,1.0,0.04010783138135721,0.0,0.6933542540371477,0.0,0.36061812557713235,0.0,0.39081290139210434,0.0,0.03352208596505754,0.0,0.35832522852085,0.0,0.872633718245195,0.0,0.16665711863598898,1.0,0.05305603471208469,0.0,0.10704985785623056
S-CPI_sqrt,300,18.00761914253235,0.3386137776859506,0.0,0.5008442579463819,0.0,0.5013448826432941,0.0,0.49945879550971006,0.0,0.4975614567140109,0.0,0.49252721056211035,1.0,0.4956478970669019,0.0,0.49871168860334747,0.0,0.5038467238441333,0.0,0.45262590676811404,1.0,0.4306230649140027,0.0,0.501790092442584,0.0,0.4966127154924231,0.0,0.5023660807810848,1.0,0.5061739314746494,0.0,0.496018733851004,1.0,0.5115960172996112,0.0,0.4997882617240004,0.0,0.5021676704519589,0.0,0.4981002512615856,0.0,0.5007974868988018,1.0,0.5028193179588054,0.0,0.5015541010565905,0.0,0.5019461889669357,1.0,0.4848408165265792,0.0,0.5023401256739772,0.0,0.5046991999598781,1.0,0.4845619282326663,0.0,0.5084709275538483,0.0,0.4998120416987357,0.0,0.5090439247900365,1.0,0.5108186073155353,0.0,0.49755420455503657,1.0,0.5000320501053493,0.0,0.5034433261318101,1.0,0.4952451407896931,0.0,0.5008544157810048,0.0,0.4954980036298199,0.0,0.5003439522986443,0.0,0.4964135781914312,0.0,0.500197255327337,1.0,0.4584393558968219,0.0,0.5017055502135146,0.0,0.5000053197655091,0.0,0.5003647380356129,0.0,0.49501855987773324,0.0,0.49634596942817205,0.0,0.5044136819098574,0.0,0.49656041980292404,1.0,0.3463976970868075,0.0,0.496043859646931
S-CPI_n,300,17.997149229049683,0.3386137776859506,0.0,0.4975790908725477,0.0,0.5044004656709818,0.0,0.49611733170577865,0.0,0.4924269094070829,0.0,0.4598824409045257,1.0,0.4308338519741227,0.0,0.49876109730827367,0.0,0.5431274318769904,0.0,0.20764796722003087,1.0,0.23989959350691192,0.0,0.5153050612400243,0.0,0.46986058340418385,0.0,0.5025952447720229,1.0,0.5400886988981718,0.0,0.46746631248764225,1.0,0.5868955200541435,0.0,0.5047222718201586,0.0,0.5109437786041607,0.0,0.48411536892713447,0.0,0.49250114322175215,1.0,0.5245570805568874,0.0,0.5072146701294208,0.0,0.5200652557897403,1.0,0.3797115033324153,0.0,0.5596442470774617,0.0,0.5455648331052301,1.0,0.40034002032576443,0.0,0.5821276877045941,0.0,0.4674397731496771,0.0,0.5665998418269695,1.0,0.561215764372374,0.0,0.4843556701485683,1.0,0.5033590895496984,0.0,0.5308322044592703,1.0,0.46065200912176985,0.0,0.5091174571673185,0.0,0.47471744657514103,0.0,0.5037360837059823,0.0,0.46782286498288306,0.0,0.4970601125817546,1.0,0.28521721191504856,0.0,0.5319719204600498,0.0,0.5019032421492572,0.0,0.5065023744721564,0.0,0.46034368133704523,0.0,0.49417020083055635,0.0,0.5450621646479836,0.0,0.46487834470496353,1.0,0.05237621722239285,0.0,0.45300410147514414
S-CPI_bt,300,18.2002854347229,0.3386137776859506,0.0,0.49343318312742296,0.0,0.5117595092701045,0.0,0.4931364840849912,0.0,0.49441152851872355,0.0,0.4456336033606004,1.0,0.36035617401291375,0.0,0.5042265973138594,0.0,0.519218740494935,0.0,0.14681918819307666,1.0,0.027772286404514446,0.0,0.5172809957839563,0.0,0.4559987457201316,0.0,0.49893589648563047,1.0,0.5047448553269318,0.0,0.4645569415248559,1.0,0.6132137394401945,0.0,0.49287934999332395,0.0,0.5026974399907161,0.0,0.4750323545746766,0.0,0.5186227069107837,1.0,0.5226439015203606,0.0,0.5162279477609716,0.0,0.5183632092089462,1.0,0.36086478421989987,0.0,0.5417568316799515,0.0,0.5806159964776051,1.0,0.35813661693564797,0.0,0.5472748140855769,0.0,0.465346730537014,0.0,0.5758590381206534,1.0,0.5791308648739,0.0,0.48729997418455506,1.0,0.49383970937112337,0.0,0.5257318997029921,1.0,0.4683055826903345,0.0,0.5240187215202067,0.0,0.4152253931268845,0.0,0.5048723395907642,0.0,0.486636330318089,0.0,0.44765622183093123,1.0,0.17344325118909598,0.0,0.521878204447653,0.0,0.5133673661303279,0.0,0.4926214056221273,0.0,0.44770576775758636,0.0,0.4852259296543396,0.0,0.5478235177710109,0.0,0.47477618433280167,1.0,7.40137184304661e-08,0.0,0.4539601122186511
