method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,887.8309190273285,0.4247936878211117,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.440092820663267e-15,1.0,0.0,1.0,0.9999991805713371,0.0,0.574918101514299,0.0,0.9525115517305135,1.0,4.981226124123328e-05,0.0,0.07648209430178976,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.7549127099049492,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.08569627292574267,0.0,0.005986163046943105,1.0,0.17761729381658764,0.0,0.010518300108665835,0.0,0.0,0.0,0.9205449115944231,0.0,0.007438864768957498,0.0,1.5691914434512455e-10,0.0,0.9999999999999521,0.0,0.9999999999999999,0.0,1.0,0.0,0.12662673930587665,0.0,0.9999837312842483,1.0,0.9999990262953183,1.0,1.0,0.0,0.999999999526919,0.0,0.9999999999999888,1.0,0.9719918590854388,0.0,4.474198789239381e-14,0.0,0.0,0.0,0.2582282284913935,0.0,0.9999999997791889,0.0,0.013422742820358602,0.0,0.9988933570673014,0.0,0.0,0.0,0.5086485924419009,0.0,0.0,0.0,1.7397194795876203e-13,1.0,0.9999999923301577,0.0,0.9999999878062997,0.0,0.10651418814740099,0.0,0.9979081156699292,0.0,0.0,0.0,0.5155576129009352
CPI,300,16.436163902282715,0.4247936878211117,0.0,0.23221880874271544,0.0,0.8986136457133003,1.0,0.0013416927914989849,1.0,0.22246468599948654,1.0,0.4735772852172683,1.0,0.8629284938601123,0.0,0.9455000346653452,0.0,0.524343187738848,1.0,0.1153456330454703,0.0,0.1402594643789684,0.0,0.06838991987934118,0.0,0.5363842988594532,0.0,0.8412258731081345,0.0,0.10776818831742063,1.0,0.39702777927904925,0.0,0.455509349587153,1.0,0.026095809328336148,0.0,0.7739219651281884,1.0,0.8598304542437947,0.0,0.8800480433645717,0.0,0.91208601274186,0.0,0.4888962109335203,0.0,0.8938706400845875,0.0,0.8840749192629749,0.0,0.7140380352960828,0.0,0.12874045077811164,0.0,0.8846073074681475,0.0,0.8719390072978406,0.0,0.0448645491927082,1.0,0.05597262701399342,1.0,0.13475764817573832,0.0,0.36012947809179036,0.0,0.0726328129858927,1.0,0.043233493033185015,0.0,0.12463296957048486,0.0,0.7106577774574812,0.0,0.05597583850552629,0.0,0.7128070288166592,0.0,0.9020046925025493,0.0,0.1390581711356379,0.0,0.5580200817427862,0.0,0.8120864941193908,0.0,0.043353857559545406,0.0,0.9875457323513519,1.0,0.0015577805198507119,0.0,0.7460101092966998,0.0,0.08783503700280798,0.0,0.25696442320852453,0.0,0.8375662607900975,0.0,0.10027497402466384
CPI_sqrt,300,16.437718868255615,0.4247936878211117,0.0,0.48773615054680813,0.0,0.5309947243894195,1.0,0.4744640851492284,1.0,0.49335434617871315,1.0,0.500319654362256,1.0,0.500904996736227,0.0,0.5100429391643119,0.0,0.4965363704746796,1.0,0.4756208656330665,0.0,0.49177453139444594,0.0,0.4994101040158497,0.0,0.5052176000093972,0.0,0.5127975629926153,0.0,0.4939062438581691,1.0,0.5066761365644878,0.0,0.4998927212496877,1.0,0.47343841090701894,0.0,0.5146844596143348,1.0,0.4990673422844463,0.0,0.499319111503644,0.0,0.5002532636877275,0.0,0.4995265167543997,0.0,0.49944328037356883,0.0,0.5021062713364167,0.0,0.4993839635686661,0.0,0.4985455156885641,0.0,0.499394176415453,0.0,0.4996917801109624,0.0,0.4952540932348804,1.0,0.4358049800630377,1.0,0.4933171112914227,0.0,0.5007065492602809,0.0,0.5010420466770673,1.0,0.4074818460563249,0.0,0.498755128717859,0.0,0.4985251844979835,0.0,0.499795851552797,0.0,0.5020947542312626,0.0,0.5010675688996065,0.0,0.4983371821121852,0.0,0.4979426634684004,0.0,0.5016048622191528,0.0,0.49073525407516194,0.0,0.5007320143350049,1.0,0.4594906732200734,0.0,0.49892028841697267,0.0,0.4956840474347462,0.0,0.5004798864619092,0.0,0.5002733148019739,0.0,0.4971420134307881
CPI_n,300,16.443021774291992,0.4247936878211117,0.0,0.4631160656737123,0.0,0.6743099825742946,1.0,0.1213380743220075,1.0,0.6018991458113047,1.0,0.5104819355251812,1.0,0.5020517761431544,0.0,0.5472346014780195,0.0,0.4645478929386933,1.0,0.06420271727254023,0.0,0.37118906238010363,0.0,0.4849258461098797,0.0,0.534208355043969,0.0,0.5581492805555802,0.0,0.4113304780933329,1.0,0.46912745460008054,0.0,0.501956984399351,1.0,0.2774106003283151,0.0,0.5445528330936646,1.0,0.5176446264466353,0.0,0.4618394052303081,0.0,0.5037987839811316,0.0,0.5100348397630112,0.0,0.5008683610471749,0.0,0.48384421465705296,0.0,0.46473643900359196,0.0,0.4849715507791268,0.0,0.5054159944721557,0.0,0.5155053530079252,0.0,0.4823863025939245,1.0,0.24869709930659578,1.0,0.3393658507222219,0.0,0.5213199881657422,0.0,0.48029691300520727,1.0,0.05588564024568904,0.0,0.4704971907863752,0.0,0.5450046132965998,0.0,0.49389840743742197,0.0,0.506694510096041,0.0,0.503451440593513,0.0,0.507620863520565,0.0,0.4912725676830051,0.0,0.4978202895271454,0.0,0.447290912718413,0.0,0.500675503820621,1.0,0.2619417820097226,0.0,0.5253397588191253,0.0,0.43967036051407915,0.0,0.4742798242350508,0.0,0.5057137021975313,0.0,0.3331322383139117
CPI_bt,300,16.622807502746582,0.4247936878211117,0.0,0.30215282428892193,0.0,0.6318031679685969,1.0,0.0725911730271625,1.0,0.38880398024414364,1.0,0.5915579233315866,1.0,0.5220488404222208,0.0,0.5533072965218112,0.0,0.48462348773004305,1.0,0.06327214991892895,0.0,0.5107524106938551,0.0,0.4945774024732373,0.0,0.5626444912463029,0.0,0.6908442730068122,0.0,0.4257642399309234,1.0,0.6157047629660255,0.0,0.5019388208224973,1.0,0.426595189913344,0.0,0.482346114393891,1.0,0.5121703559930284,0.0,0.5455339149096223,0.0,0.49975770512442486,0.0,0.5147075822512193,0.0,0.49637202253728097,0.0,0.49128825878169674,0.0,0.4688321806622707,0.0,0.4889598156421383,0.0,0.4863684674392834,0.0,0.5086950592520781,0.0,0.4528857013972976,1.0,0.41901589491228763,1.0,0.317892006937192,0.0,0.5182480776306347,0.0,0.4727677090348656,1.0,0.02208362247694365,0.0,0.5199986068614804,0.0,0.5154738431993313,0.0,0.4929513384834661,0.0,0.5821238407569276,0.0,0.5120113725483094,0.0,0.4838402927926617,0.0,0.4932664596250568,0.0,0.5039527948224237,0.0,0.4591454316905134,0.0,0.5173276184977934,1.0,0.08547953748492065,0.0,0.5183815364632848,0.0,0.49899538623121015,0.0,0.49913338094156173,0.0,0.5076542086291642,0.0,0.4381278900622271
CPI_sqd,300,16.608968257904053,0.4247936878211117,0.0,3.490521072518121e-131,0.0,1.0,1.0,0.0,1.0,5.578478856545604e-93,1.0,2.987302738698763e-157,1.0,0.882482116283499,0.0,1.0,0.0,0.9918195596011115,1.0,0.0,0.0,1.9972015812846984e-16,0.0,0.7651143340520203,0.0,0.9999999999971699,0.0,1.0,0.0,2.5510003638962853e-62,1.0,0.9999996647721799,0.0,0.41913438025691474,1.0,1.4043718792887288e-286,0.0,1.0,1.0,0.9999973070108364,0.0,0.9999999999999536,0.0,0.49832059904514997,0.0,0.7585330632647381,0.0,0.803673727067382,0.0,0.7983382093513616,0.0,8.225523168155261e-05,0.0,0.2283009198120569,0.0,0.0005784414851160974,0.0,0.971276100142394,0.0,2.5548033886143265e-12,1.0,0.0,1.0,2.0206646626958142e-44,0.0,0.9764944936445549,0.0,0.0005247847021792833,1.0,0.0,0.0,6.423615868061577e-06,0.0,0.9999999991759857,0.0,0.03076330482424425,0.0,0.9999998403522841,0.0,4.908840955120766e-06,0.0,2.658055518035098e-16,0.0,4.250395443821511e-15,0.0,0.47883452778984775,0.0,3.125532168789594e-11,0.0,0.9950097566121232,1.0,0.0,0.0,4.076885072260107e-16,0.0,3.077102236886162e-13,0.0,4.885407783818498e-05,0.0,0.9132043624386544,0.0,6.91491522009106e-38
S-CPI,300,28.996230363845825,0.4247936878211117,0.0,0.3248698195143578,0.0,0.9606933811740221,1.0,0.01472927512203899,1.0,0.7935116182301543,1.0,0.7159743799298703,1.0,0.9021234204752566,0.0,0.9441100115158801,0.0,0.11189838241393252,1.0,0.03566862273724476,0.0,0.1966937946181636,0.0,0.04698736952602238,0.0,0.7732727803811663,0.0,0.9762593297066341,0.0,0.054514525194101916,1.0,0.7161794632098523,0.0,0.6358490245749788,1.0,0.0172951883346235,0.0,0.9184328344198809,1.0,0.838302430069074,0.0,0.8932662609135092,0.0,0.7371303752276347,0.0,0.7079786594485432,0.0,0.5224445522071703,0.0,0.8566160597757617,0.0,0.1945842654672671,0.0,0.011245062618526336,0.0,0.7992599685671076,0.0,0.7493941743048871,0.0,0.11281055010616398,1.0,0.30586279922770165,1.0,0.44121130952342524,0.0,0.7925927424937889,0.0,0.03438730663533639,1.0,0.022232817090793226,0.0,0.48954885063574677,0.0,0.6715400049761422,0.0,0.07138040146821045,0.0,0.8401307372930475,0.0,0.9084857430853595,0.0,0.44774393541400676,0.0,0.06648944948676705,0.0,0.9181416750200055,0.0,0.1492890529726965,0.0,0.9050410184506918,1.0,0.004234613393931552,0.0,0.7131005212715832,0.0,0.06657792078246781,0.0,0.1319660158395562,0.0,0.8254374796628134,0.0,0.33659867518732245
S-CPI_sqrt,300,29.00233507156372,0.4247936878211117,0.0,0.4834868228287467,0.0,0.5399158859164976,1.0,0.3989713402002031,1.0,0.49539419680005187,1.0,0.5051567234546088,1.0,0.5018504167989579,0.0,0.5171884384499861,0.0,0.498051382395428,1.0,0.42913447626448425,0.0,0.4948873613884146,0.0,0.49885663975531047,0.0,0.5043095996578618,0.0,0.513787267119575,0.0,0.4859389822860998,1.0,0.4996687535150215,0.0,0.500254799805395,1.0,0.45115326388586996,0.0,0.5144653149678958,1.0,0.5011743522567816,0.0,0.5051964176229699,0.0,0.5004288637406765,0.0,0.500903761887617,0.0,0.5018005702112612,0.0,0.5012070182916217,0.0,0.4985682306556425,0.0,0.49797365267338267,0.0,0.4999697440422057,0.0,0.5009988084889301,0.0,0.4965191696883778,1.0,0.46759148141232,1.0,0.49505952364198175,0.0,0.5035206658213969,0.0,0.4974945500582336,1.0,0.339464625750157,0.0,0.4979998139270276,0.0,0.5010309344838557,0.0,0.49874190597935364,0.0,0.5031566325449012,0.0,0.5001393754520362,0.0,0.49894726839456055,0.0,0.4983013823669073,0.0,0.5015971065296899,0.0,0.4911976578217429,0.0,0.5014785107051417,1.0,0.43994528418894885,0.0,0.5031050936647344,0.0,0.48967775661648627,0.0,0.4981168313999862,0.0,0.5006575335720804,0.0,0.48875189436295513
S-CPI_n,300,29.000494956970215,0.4247936878211117,0.0,0.3968771715384066,0.0,0.7218566961251507,1.0,0.06726718983578207,1.0,0.5653010896113401,1.0,0.5417791741959844,1.0,0.5167773346992858,0.0,0.6195229939958977,0.0,0.48044842518725434,1.0,0.11830616832898311,0.0,0.41659771816117197,0.0,0.4934582590331024,0.0,0.5372123507008575,0.0,0.6639905597014826,0.0,0.43117809348017766,1.0,0.5633502529651805,0.0,0.5010597754181441,1.0,0.23817620551870822,0.0,0.5496954696844248,1.0,0.5297094670519249,0.0,0.5111220182012925,0.0,0.5013656058917136,0.0,0.5173001477725082,0.0,0.5135006248754598,0.0,0.5234529821342058,0.0,0.49984341364501256,0.0,0.48695435073028615,0.0,0.4899507366371819,0.0,0.5130775778506881,0.0,0.467492746273601,1.0,0.3614491960840326,1.0,0.4800566632245537,0.0,0.5255339765679764,0.0,0.46489895573464374,1.0,0.042648563637002854,0.0,0.4913455285719574,0.0,0.5129090963295335,0.0,0.4914869648799209,0.0,0.5558032861248351,0.0,0.49909173115329764,0.0,0.47447236324966385,0.0,0.4772336125400712,0.0,0.5186030086687987,0.0,0.44107122436067275,0.0,0.5172475558097424,1.0,0.1593039260419737,0.0,0.5182495766614851,0.0,0.40878418966745766,0.0,0.4683264864282721,0.0,0.5095931903041016,0.0,0.41643729355716497
S-CPI_bt,300,29.16221308708191,0.4247936878211117,0.0,0.4386825105039802,0.0,0.8957179501182914,1.0,0.004020660452989622,1.0,0.49708658785823934,1.0,0.7025225084985748,1.0,0.5211155264429961,0.0,0.6521007191511499,0.0,0.4830375415295489,1.0,0.008805464940525273,0.0,0.4292154821614905,0.0,0.4907763686950264,0.0,0.5389553725530053,0.0,0.6973590748743828,0.0,0.4206372426717905,1.0,0.5529436644813137,0.0,0.4995632019201345,1.0,0.0978110148058608,0.0,0.5466655760000055,1.0,0.5197379085567996,0.0,0.5326188143480847,0.0,0.5015824884229896,0.0,0.5080435535856118,0.0,0.5050703035317209,0.0,0.4980002075776119,0.0,0.4799549508131077,0.0,0.48370214005625234,0.0,0.515317747648585,0.0,0.5157199439476027,0.0,0.4759159440960333,1.0,0.16834440538291667,1.0,0.36353476749125024,0.0,0.5366454688378085,0.0,0.46342568471417683,1.0,6.33410066440042e-07,0.0,0.4737536503995323,0.0,0.5132850802680179,0.0,0.4941640113617218,0.0,0.5273231099765051,0.0,0.5148011693688663,0.0,0.48666655925884983,0.0,0.4684609651471393,0.0,0.5114571830154475,0.0,0.4219918470436242,0.0,0.5215974303463877,1.0,0.04629714714396823,0.0,0.5197931945875724,0.0,0.3902368373448196,0.0,0.4998037669239122,0.0,0.5074991170018486,0.0,0.39632855048347926
