method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.328888177871704,0.42713202117885896,0.0,0.7766365296843618,0.0,0.7823513307511459,0.0,0.07122285141336382,0.0,0.880995787888406,0.0,0.6843655052440796,1.0,0.755280898437602,0.0,0.4615244228293943,0.0,0.4376732847761151,0.0,0.19310578287083602,0.0,0.9905353791104766,1.0,0.9454797388904124,1.0,0.748677115480645,0.0,0.28492133779308093,1.0,0.0014516042535064333,0.0,0.08335771883517018,0.0,0.04537355615449967,1.0,0.19202390265761826,0.0,0.14419888893364396,0.0,0.1602765800420245,0.0,0.6572530170739055,1.0,0.3685381613649499,0.0,0.5334283933586156,0.0,0.9646925718037914,0.0,0.2738257359685641,0.0,0.3716144955775834,0.0,2.020731513230345e-06,1.0,6.114021899206179e-06,0.0,0.087703843160301,0.0,0.1705006788722414,0.0,0.5180990021022707,0.0,0.6487097478344994,1.0,0.6317880394280151,1.0,0.0027910012500911296,0.0,0.30311500979567474,0.0,0.033121716757862796,0.0,0.27027643936097356,0.0,0.8990038958266307,0.0,0.0036640494170827598,0.0,0.09595812975552609,0.0,0.620452867935015,0.0,0.9214675529574827,0.0,0.5925494722923002,0.0,0.6564504782834085,0.0,0.7104126892527258,0.0,0.12696680981117048,1.0,0.8712627961884724,1.0,0.004973356932143513,0.0,0.7121872607208899,1.0,0.9571580313520446,0.0,0.025126716278227046
CPI,300,3.3761062622070312,0.42713202117885896,0.0,1.0,0.0,1.0,0.0,0.18808554327028953,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8686692184871816,0.0,1.0,0.0,1.0,0.0,0.04559034706409166,1.0,0.258552500554018,1.0,0.5221832476059259,0.0,1.0,1.0,0.02121091472836984,0.0,1.0,0.0,0.8587588412313907,1.0,0.12583550087498852,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9253526489437992,0.0,0.551444770854348,0.0,0.6752230125120499,0.0,0.8964656751196011,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.43396301025358847,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0017405748607108435,0.0,1.0,0.0,1.0,0.0,0.3655165492629876,0.0,0.34907740399044407,0.0,1.0,0.0,0.5078341572340185,0.0,1.0,0.0,0.5763526487406874,0.0,0.6087406571387903,0.0,1.0,0.0,0.689396290931863,0.0,0.8782138212034822,1.0,0.3820219279480779,1.0,0.002160044565146442,0.0,0.2519116106605383,1.0,1.0,0.0,1.0
CPI_sqrt,300,3.36330509185791,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.5012049062166982,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5026444135597848,0.0,0.5,0.0,0.5,0.0,0.49619856475508445,1.0,0.4900740918825702,1.0,0.5113045297609724,0.0,0.5,1.0,0.43968563832404106,0.0,0.5,0.0,0.4989028209665519,1.0,0.4554573781027404,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.500041696686615,0.0,0.5003549359176745,0.0,0.5008079835020872,0.0,0.49866432231949837,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.48546421817500657,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.3824592729505105,0.0,0.5,0.0,0.5,0.0,0.4967838795428901,0.0,0.4977712058614791,0.0,0.5,0.0,0.491515781691523,0.0,0.5,0.0,0.5052597562961367,0.0,0.4920895440253115,0.0,0.5,0.0,0.49604750408756715,0.0,0.49922759064461236,1.0,0.5145076155737458,1.0,0.3045472515167876,0.0,0.5200118701879044,1.0,0.5,0.0,0.5
CPI_n,300,3.3547074794769287,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.44182626100596584,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4934986837126638,0.0,0.5,0.0,0.5,0.0,0.489998832126468,1.0,0.49330738956934456,1.0,0.6023132036230969,0.0,0.5,1.0,0.26663639319415133,0.0,0.5,0.0,0.49916058800219604,1.0,0.18903153559257913,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5517909515387408,0.0,0.5052135684819514,0.0,0.5184893291634711,0.0,0.4964048963369042,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5183175083517009,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.11902634276598334,0.0,0.5,0.0,0.5,0.0,0.49435370297806464,0.0,0.37487667701026045,0.0,0.5,0.0,0.4498265889962357,0.0,0.5,0.0,0.4892303844325007,0.0,0.4625775571664344,0.0,0.5,0.0,0.5351714732299394,0.0,0.5215109246825812,1.0,0.49979612414150654,1.0,0.01533049273151435,0.0,0.6467588608280698,1.0,0.5,0.0,0.5
CPI_bt,300,3.539618492126465,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.5437077416417311,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4881802958012185,0.0,0.5,0.0,0.5,0.0,0.49242925213407507,1.0,0.44226680804715496,1.0,0.4893617658815833,0.0,0.5,1.0,0.03522801017251175,0.0,0.5,0.0,0.5082680133744438,1.0,0.11473949198318867,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5159557453591009,0.0,0.5081490136390181,0.0,0.5338541814781962,0.0,0.47650487336325137,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4720849219005732,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,8.201089212910853e-05,0.0,0.5,0.0,0.5,0.0,0.4652145710962831,0.0,0.3970270419570642,0.0,0.5,0.0,0.5091073696980937,0.0,0.5,0.0,0.4952347968674917,0.0,0.5670677393330864,0.0,0.5,0.0,0.5036506127571003,0.0,0.4614754839271337,1.0,0.4456089368089953,1.0,4.981535746358105e-10,0.0,0.3556321055644996,1.0,0.5,0.0,0.5
CPI_sqd,300,3.5398547649383545,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,1.8721077856929545e-50,0.0,0.5,0.0,0.5,1.0,0.5,0.0,4.552721312883978e-20,0.0,0.5,0.0,0.5,0.0,0.9999996918688817,1.0,5.1846151459204e-47,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.9999993208660527,0.0,0.9243510128897365,0.0,0.6338607276283909,0.0,0.011565898818681222,0.0,0.5,0.0,0.5,1.0,0.5,0.0,4.7584887133445336e-88,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.004256736234895951,0.0,1.0,0.0,0.5,0.0,1.3927443242449895e-23,0.0,0.5,0.0,1.0,0.0,6.1340511530881126e-27,0.0,0.5,0.0,0.9999999999356164,0.0,1.0,1.0,1.847803298814428e-05,1.0,0.0,0.0,0.9818103570148196,1.0,0.5,0.0,0.5
S-CPI,300,3.4682817459106445,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.19091496235575633,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.7151744600336691,0.0,0.5,0.0,0.5,0.0,0.20969832388374,1.0,0.1427972279582937,1.0,0.5417033092549394,0.0,0.5,1.0,0.187816964907569,0.0,0.5,0.0,0.8693928980814905,1.0,0.01569061025947237,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.8590712420052493,0.0,0.69827173028183,0.0,0.8239070169224983,0.0,0.16891451787268352,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5846086521213357,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.002136009736298141,0.0,0.5,0.0,0.5,0.0,0.35735077008806426,0.0,0.46278992255320495,0.0,0.5,0.0,0.3508567543491507,0.0,0.5,0.0,0.9010009251859812,0.0,0.4681523909408544,0.0,0.5,0.0,0.5548902452301373,0.0,0.8937218219744234,1.0,0.44256967802560127,1.0,0.00022434158436751794,0.0,0.716796881900564,1.0,0.5,0.0,0.5
S-CPI_sqrt,300,3.4699513912200928,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.49063407687844207,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5031608995038263,0.0,0.5,0.0,0.5,0.0,0.49935344688691635,1.0,0.480244493573274,1.0,0.5081766512960301,0.0,0.5,1.0,0.44364790972044776,0.0,0.5,0.0,0.5030854593198109,1.0,0.4459886343958701,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5031110326281063,0.0,0.5002074360612566,0.0,0.5033760414803475,0.0,0.49784348907669956,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4922454611054324,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.35681691891059975,0.0,0.5,0.0,0.5,0.0,0.4928299664701675,0.0,0.4968889400930374,0.0,0.5,0.0,0.49246090139067006,0.0,0.5,0.0,0.5083306889915776,0.0,0.4965827542729064,0.0,0.5,0.0,0.5019046224593453,0.0,0.5144961997323737,1.0,0.4971836964510349,1.0,0.3027023951355866,0.0,0.5099412487686821,1.0,0.5,0.0,0.5
S-CPI_n,300,3.466454029083252,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.5045806989124945,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5070810749999465,0.0,0.5,0.0,0.5,0.0,0.4904941497012817,1.0,0.3714687222376568,1.0,0.5803313470656387,0.0,0.5,1.0,0.12769088605506324,0.0,0.5,0.0,0.5213522352897704,1.0,0.1877482356570983,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5292315055191009,0.0,0.4981230854697681,0.0,0.5200648493953215,0.0,0.4855150845687859,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.45693769279978663,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.03989411938839364,0.0,0.5,0.0,0.5,0.0,0.5026934680584966,0.0,0.4457777771502368,0.0,0.5,0.0,0.44660898024031714,0.0,0.5,0.0,0.569252931305976,0.0,0.4709904193119999,0.0,0.5,0.0,0.5085722860965672,0.0,0.5606126926751338,1.0,0.5176100937221143,1.0,0.017780814076430635,0.0,0.5150717633889802,1.0,0.5,0.0,0.5
S-CPI_bt,300,3.650611162185669,0.42713202117885896,0.0,0.5,0.0,0.5,0.0,0.45952548725310927,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.5460099534292041,0.0,0.5,0.0,0.5,0.0,0.48401220244900584,1.0,0.389934809251909,1.0,0.5804253357708352,0.0,0.5,1.0,0.05797504293060991,0.0,0.5,0.0,0.5528254207368027,1.0,0.06624515809017445,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.524753747345001,0.0,0.5041492567156034,0.0,0.5179968977441731,0.0,0.4759981506243727,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.4499396632296094,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,1.0,0.00012635259907431553,0.0,0.5,0.0,0.5,0.0,0.4818812334116731,0.0,0.41713794777176616,0.0,0.5,0.0,0.48059308027781555,0.0,0.5,0.0,0.5847626744414547,0.0,0.47946903370405597,0.0,0.5,0.0,0.5363304022189831,0.0,0.5977787173699144,1.0,0.5098990137925564,1.0,6.0802150029387026e-12,0.0,0.5812798133343289,1.0,0.5,0.0,0.5
