method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,30.192706823349,0.8858824380504441,1.0,0.7027931356814063,0.0,0.36236191361927195,0.0,0.6512530995724347,0.0,0.19638842450963523,1.0,0.4135577850202219,0.0,0.3590227013142969,0.0,0.9959571069583965,0.0,0.8373119586262447,1.0,0.8594739318712392,0.0,0.7810228733513345,0.0,0.06064127612761616,0.0,0.9137933441560313,1.0,0.610634140134688,0.0,0.9239122043656715,0.0,0.5315058199464646,0.0,0.930075149902307,1.0,0.3155914059614122,0.0,0.4639973339250979,0.0,0.3606941684858199,0.0,0.6745815807828732,1.0,0.9070098576748449,0.0,0.2631792020492678,0.0,0.1464574786986539,0.0,0.502933779896016,1.0,0.4681020314076729,0.0,0.4373953132620745,0.0,0.5795921437106629,0.0,0.644408840079947,1.0,0.7004327409422277,0.0,0.5105957516699964,0.0,0.24233831274784523,0.0,0.7707138845776086,1.0,0.9168982535898957,0.0,0.5645645699373145,0.0,0.3536275251883749,0.0,0.2038271163874178,1.0,0.40178718993757623,0.0,0.731477568797255,0.0,0.07089653488660941,0.0,0.3272440724997887,1.0,0.8008681433920677,0.0,0.04435957031315407,0.0,0.9277747685492375,0.0,0.9823323493343938,1.0,0.7891525033385363,0.0,0.2490325029338012,0.0,0.580795157782446,0.0,0.6199461334781952,0.0,0.3962230588886544,0.0,0.18318685281795022
CPI,300,3.986192464828491,0.8858824380504441,1.0,0.05361864653625049,0.0,0.23069248356206973,0.0,0.2279875573423124,0.0,0.7667872819948912,1.0,0.006897280219309132,0.0,0.5919172017556419,0.0,0.7318753655924991,0.0,0.3638276624576179,1.0,0.00013785779979852563,0.0,0.41607953592182634,0.0,0.7044551448880862,0.0,0.016554221020885978,1.0,0.013501286178730686,0.0,0.14596242915598406,0.0,0.011052447287732898,0.0,0.6109532431138605,1.0,5.333496462962468e-05,0.0,0.3580910272994299,0.0,0.9381699064959753,0.0,0.9164675723461342,1.0,0.0027843917583426593,0.0,0.13748715474231843,0.0,0.7501557459811607,0.0,0.33047357454032056,1.0,4.665495093706207e-05,0.0,0.7547633493339885,0.0,0.28068506205567556,0.0,0.43858488946439084,1.0,1.3217539371086236e-06,0.0,0.8299777601624796,0.0,0.5651038254967513,0.0,0.14541301122559452,1.0,0.08834572949834579,0.0,0.8998750938831737,0.0,0.7528576911063067,0.0,0.8671700944160559,1.0,3.832738509346135e-05,0.0,0.5707149364566646,0.0,0.8199089870320624,0.0,0.23119715492371978,1.0,0.0003471360243228981,0.0,0.9101540787726851,0.0,0.646380613394198,0.0,0.2780650343799482,1.0,0.0003001212428243156,0.0,0.46219864356001805,0.0,0.6694970960735132,0.0,0.037911576334100604,0.0,0.00787374169327554,0.0,0.893218116641024
CPI_sqrt,300,3.9653797149658203,0.8858824380504441,1.0,0.3974236258432887,0.0,0.46999234174475224,0.0,0.46056099024587394,0.0,0.5446498816800026,1.0,0.2437484145857876,0.0,0.5248330509176985,0.0,0.47270171162157515,0.0,0.5316266200646989,1.0,0.09957386815721431,0.0,0.5137633469376615,0.0,0.46745723405081435,0.0,0.4720673810102583,1.0,0.315925036522439,0.0,0.5223776194974843,0.0,0.46561072913190804,0.0,0.5102749258805089,1.0,0.31447888434356824,0.0,0.5104050434212308,0.0,0.5406173519908746,0.0,0.49502736971037214,1.0,0.3128076131016166,0.0,0.47728230689550905,0.0,0.5655966054546278,0.0,0.5388385039175765,1.0,0.22447071778226602,0.0,0.503409722227906,0.0,0.5125257802014099,0.0,0.5152782084206309,1.0,0.1499668497993174,0.0,0.5231872596173907,0.0,0.5626547931901896,0.0,0.47841551098213947,1.0,0.24505304048175225,0.0,0.50559642060209,0.0,0.5049388335637798,0.0,0.513654879727623,1.0,0.2957487745033859,0.0,0.5147251911905198,0.0,0.5267664435657917,0.0,0.45621626065174004,1.0,0.14673435612037866,0.0,0.5343919731643275,0.0,0.5585261697233087,0.0,0.48952177117033674,1.0,0.050464651944620464,0.0,0.5136836445718056,0.0,0.5093568080549751,0.0,0.42673705628378955,0.0,0.4216237357482163,0.0,0.45881832142021906
CPI_n,300,3.964519500732422,0.8858824380504441,1.0,0.16822246857935896,0.0,0.34591439494581433,0.0,0.7083009677792594,0.0,0.7475934101443751,1.0,0.06458738556576406,0.0,0.5170290828029984,0.0,0.35804402180669914,0.0,0.6030300133381109,1.0,0.01880816610123292,0.0,0.6910304505163841,0.0,0.44296176615642485,0.0,0.33286537870980515,1.0,0.10115640401895248,0.0,0.42631058776161357,0.0,0.12246672532096237,0.0,0.5205195152299611,1.0,0.04116128468795589,0.0,0.31653379438366414,0.0,0.7048629751417821,0.0,0.24847409322878228,1.0,0.035021264862194555,0.0,0.3740761599902189,0.0,0.5687581228030054,0.0,0.31698602227723904,1.0,0.014867414749649583,0.0,0.6983838581259533,0.0,0.25190255544811213,0.0,0.588589901049586,1.0,0.006804920094749436,0.0,0.6093760391348438,0.0,0.5802401178438532,0.0,0.4021216818727515,1.0,0.007233737903353715,0.0,0.643501859931427,0.0,0.6633712949783346,0.0,0.44467036248176994,1.0,0.0024360822182880777,0.0,0.5445201476691212,0.0,0.46833196536436367,0.0,0.3946780138676704,1.0,0.0018910843820251217,0.0,0.6357109866911037,0.0,0.6165980302639744,0.0,0.45358399078834544,1.0,0.0020807551079970073,0.0,0.609283719813646,0.0,0.4026607317386431,0.0,0.27990198922872034,0.0,0.32425628014127117,0.0,0.6330096205010727
CPI_bt,300,4.149683475494385,0.8858824380504441,1.0,0.04260253391313517,0.0,0.12848533966422027,0.0,0.10059712438179608,0.0,0.8222741049099946,1.0,0.004604780770416704,0.0,0.45477033675438283,0.0,0.8553606692322404,0.0,0.6161307914459182,1.0,1.1009694539069674e-10,0.0,0.4676552677499071,0.0,0.41443844019963766,0.0,0.4678531328470109,1.0,3.4246410511938182e-06,0.0,0.6995385450034721,0.0,0.0742064767527141,0.0,0.5703687188942865,1.0,5.151725451732208e-05,0.0,0.40803736421116393,0.0,0.6860346576661062,0.0,0.48279033836718727,1.0,7.253695363894401e-06,0.0,0.3844928228161307,0.0,0.7332232019742315,0.0,0.6567029790765163,1.0,2.6661600962913673e-12,0.0,0.960782169578905,0.0,0.6714328366450715,0.0,0.7578992479961559,1.0,1.1200309161604178e-13,0.0,0.4811037039076214,0.0,0.4772494355594244,0.0,0.2816377134874917,1.0,5.137437305651789e-08,0.0,0.2665362517685027,0.0,0.5626887183161811,0.0,0.7271507409796624,1.0,4.695427239204945e-10,0.0,0.35943304507255824,0.0,0.7697571328160571,0.0,0.3538733855144498,1.0,1.0637197643587187e-09,0.0,0.7723119989139966,0.0,0.66302700547988,0.0,0.3884484914428198,1.0,0.0016028636871019074,0.0,0.22510763473006512,0.0,0.20421676168550223,0.0,0.14199699001508392,0.0,0.36904140705849386,0.0,0.9827260809896922
CPI_sqd,300,4.158867597579956,0.8858824380504441,1.0,3.0672314525802197e-37,0.0,1.3446043609732985e-74,0.0,1.0,0.0,1.0,1.0,1.0034345328024832e-53,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.2751877768593234e-38,0.0,0.9999999999956165,0.0,5.162788902708828e-112,0.0,6.545264001194951e-39,1.0,4.957484941118544e-46,0.0,1.0,0.0,1.9092546862194212e-114,0.0,0.9140392951091929,1.0,6.549098715762075e-16,0.0,1.5291412106058992e-09,0.0,1.0,0.0,8.715156402837533e-104,1.0,1.3267661544483264e-13,0.0,0.9996198355636587,0.0,1.0,0.0,0.9999999999929391,1.0,8.092152465024163e-110,0.0,1.0,0.0,0.9999999999999956,0.0,1.0,1.0,5.125283770957233e-28,0.0,1.0,0.0,0.2460003324701236,0.0,0.9990352063944515,1.0,4.4792750722831794e-08,0.0,3.5010498057226704e-08,0.0,0.5316528215860566,0.0,3.773035226530804e-25,1.0,3.6760339801957944e-36,0.0,3.327611773303586e-14,0.0,1.0,0.0,0.9999999999996729,1.0,9.061492509364121e-27,0.0,1.0,0.0,0.999649714053432,0.0,4.12224044844092e-05,1.0,5.807438864214978e-11,0.0,1.0,0.0,0.9114895127233539,0.0,2.838312804276577e-46,0.0,1.0950416649071822e-117,0.0,1.0
S-CPI,300,4.13981556892395,0.8858824380504441,1.0,0.06726998774598753,0.0,0.06627618726087313,0.0,0.9175467688748481,0.0,0.97504114080841,1.0,0.01083333807819725,0.0,0.9367867920273069,0.0,0.5507177424320224,0.0,0.5969973394935791,1.0,8.227513291814092e-05,0.0,0.579232360873967,0.0,0.28085509339739423,0.0,0.31219203191581707,1.0,0.021592380559972032,0.0,0.679040019264237,0.0,0.0063899638462859235,0.0,0.4415393653169196,1.0,0.0026514399447585763,0.0,0.482886673414687,0.0,0.9503604947406515,0.0,0.4223965230779444,1.0,0.04046637731169686,0.0,0.6334830992388641,0.0,0.971504478490352,0.0,0.6193987863829951,1.0,7.105860177001145e-05,0.0,0.7398048163376536,0.0,0.4439295613364409,0.0,0.7822301157442888,1.0,0.0007068248724924326,0.0,0.7946036595710191,0.0,0.819813620069445,0.0,0.846955576902097,1.0,0.0398435743784867,0.0,0.9833829696855158,0.0,0.5161953383109492,0.0,0.676705334624025,1.0,0.004190422686953708,0.0,0.5520461041893983,0.0,0.8901239593796069,0.0,0.7079823847752642,1.0,0.006044772487061822,0.0,0.9663706355589505,0.0,0.8949365362382709,0.0,0.16331697897655523,1.0,5.619316823691445e-05,0.0,0.8482671797910721,0.0,0.7512953287855554,0.0,0.041270577278128134,0.0,0.024239051146842,0.0,0.9712758972137261
S-CPI_sqrt,300,4.262145042419434,0.8858824380504441,1.0,0.3625441071286687,0.0,0.4523973210657563,0.0,0.6006100646978089,0.0,0.5697232115925347,1.0,0.3235587392147788,0.0,0.5320671072310766,0.0,0.5140199639165874,0.0,0.5039434173318607,1.0,0.16874427895814564,0.0,0.4922974778615642,0.0,0.4939037770046007,0.0,0.44634065652395566,1.0,0.33271492117363466,0.0,0.5193739595087745,0.0,0.3831810045498041,0.0,0.5052938930124151,1.0,0.2309408228885777,0.0,0.4954814632270754,0.0,0.5737190947728885,0.0,0.49706962605395544,1.0,0.3245321368839394,0.0,0.5028400002949904,0.0,0.5694315817964427,0.0,0.4837136251737206,1.0,0.22676339956425562,0.0,0.5705283041556656,0.0,0.5077196118995233,0.0,0.5359565187399551,1.0,0.1342061073749306,0.0,0.5158108462262886,0.0,0.5901717304916572,0.0,0.5149139645781667,1.0,0.30730865346351177,0.0,0.5442074854930037,0.0,0.5065258766752887,0.0,0.5241384822042731,1.0,0.23353796959321516,0.0,0.48469833504402193,0.0,0.5673168190367254,0.0,0.5382988842814621,1.0,0.15620272854841316,0.0,0.551932741857575,0.0,0.5391245933945508,0.0,0.470466447984398,1.0,0.03688145601544084,0.0,0.5560575943001018,0.0,0.5238889273717272,0.0,0.4558756319647716,0.0,0.43738677536253845,0.0,0.5963979762909948
S-CPI_n,300,4.244067192077637,0.8858824380504441,1.0,0.10009203483672885,0.0,0.18014766113725544,0.0,0.7064444737604345,0.0,0.7202693405461351,1.0,0.11523845890667561,0.0,0.8093664419291375,0.0,0.5171021347858573,0.0,0.5975319722565668,1.0,0.0010130159892713644,0.0,0.6403831416487329,0.0,0.3574153726374049,0.0,0.381378821410417,1.0,0.060572122903232314,0.0,0.6137909399049876,0.0,0.11532007022504226,0.0,0.4749309841366521,1.0,0.02599640642887779,0.0,0.4214962881234008,0.0,0.7508854899087845,0.0,0.39266448202012,1.0,0.11683484525404086,0.0,0.5018144607277835,0.0,0.8580232458213605,0.0,0.39393104835545356,1.0,0.005194433502895752,0.0,0.7753516904477467,0.0,0.6041394283385635,0.0,0.6741666677485258,1.0,0.010173186261431955,0.0,0.8217468344418242,0.0,0.7755064407777104,0.0,0.5665894874308081,1.0,0.06382765740252959,0.0,0.755677519493476,0.0,0.6032524099761482,0.0,0.5686498894040285,1.0,0.018324954338907466,0.0,0.5735085091497684,0.0,0.8352497749055481,0.0,0.44635429232116575,1.0,0.02721193563587341,0.0,0.7801690546301817,0.0,0.6808798103183997,0.0,0.31520116546509613,1.0,0.0006272204784615276,0.0,0.6884820215769422,0.0,0.6328429393403749,0.0,0.15448622693858327,0.0,0.1930308300115029,0.0,0.8176967570878441
S-CPI_bt,300,4.332285165786743,0.8858824380504441,1.0,0.025084343208420023,0.0,0.04681836450790463,0.0,0.933439890028013,0.0,0.9286391233504858,1.0,0.00045715213161035895,0.0,0.9282177519356017,0.0,0.7731414739034712,0.0,0.5692463556806945,1.0,1.1783516459394316e-10,0.0,0.5537942472452875,0.0,0.2369631713224682,0.0,0.3273013292432031,1.0,3.2916367526583075e-05,0.0,0.7490754521305868,0.0,0.00267247013282647,0.0,0.5393482739998515,1.0,1.580440034884546e-08,0.0,0.48236810463722285,0.0,0.9522212762692626,0.0,0.6454519059587398,1.0,0.00015281302175023024,0.0,0.6857984418742689,0.0,0.9045824571671658,0.0,0.21026686270678807,1.0,7.821702097980396e-14,0.0,0.981681798011468,0.0,0.8291584031962533,0.0,0.7868944047570953,1.0,1.18113414719037e-09,0.0,0.8341649397560851,0.0,0.9521596724157962,0.0,0.6628349638905582,1.0,0.007831518808667521,0.0,0.8247397937234613,0.0,0.578942565365381,0.0,0.7935806623250652,1.0,7.865318125886133e-08,0.0,0.7359422658172029,0.0,0.961546385454607,0.0,0.6330056835169247,1.0,0.001941058773512709,0.0,0.9201132977163147,0.0,0.8806006080737844,0.0,0.30586702800105614,1.0,2.03727715315587e-07,0.0,0.8109353312201357,0.0,0.8814170298664288,0.0,0.05180561419175883,0.0,0.03726646241820233,0.0,0.958983670328308
