method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,125.15956950187683,0.5144011118570253,1.0,0.2538402894680122,0.0,0.34840602485983174,0.0,0.9846391280924376,0.0,0.9998419627930846,1.0,0.3603915960588331,0.0,0.7983488153231406,0.0,0.9949745999373787,0.0,0.11301274805542838,1.0,0.22264753095733947,0.0,0.03385748053597093,0.0,0.06483253747675433,0.0,0.7866308119982097,1.0,0.24552016105320407,0.0,0.4307998743986603,0.0,0.03274637999891128,0.0,0.5570433385561252,1.0,0.997961210383119,0.0,0.39804997750335724,0.0,0.32813461129123356,0.0,0.17462185116390572,1.0,0.5660706962030326,0.0,0.6572456843672634,0.0,0.9430625019069478,0.0,0.9892478581017001,1.0,0.04442448280681954,0.0,0.5156220196956811,0.0,0.01968566418665807,0.0,0.3811541610239222,1.0,0.042188280590814475,0.0,0.5561405779078196,0.0,0.9907411724220868,0.0,0.6113819105328828,1.0,0.9466184919255014,0.0,0.9101613410207017,0.0,0.010868382647493013,0.0,0.9991942287949529,1.0,0.5857153946305123,0.0,0.9413059632345431,0.0,0.011288957622943574,0.0,0.9991445573088169,1.0,0.005800288283199007,0.0,0.9251874972040077,0.0,0.7671063911562128,0.0,0.9921598455239796,1.0,0.0009830170582790787,0.0,0.6519390443674346,0.0,0.8752101683768894,0.0,0.020459919784611813,0.0,0.9850113128205176,0.0,0.8101742985179967
CPI,300,6.296524286270142,0.5144011118570253,1.0,0.006724497113248656,0.0,0.9104208438760454,0.0,0.8473190253696319,0.0,0.8540834084598903,1.0,0.004712766061247487,0.0,0.7751272782024401,0.0,0.6530853313830935,0.0,0.3971140700460999,1.0,0.042250396788241024,0.0,0.9496919118508721,0.0,0.19218768407459358,0.0,0.7743021068522098,1.0,0.049481387515356065,0.0,0.35555881754556384,0.0,0.9264298897375461,0.0,0.2532547392470413,1.0,0.0021203075390406026,0.0,0.32810754095855155,0.0,0.38010300365717936,0.0,0.42340606226722594,1.0,0.45038708927654825,0.0,0.7346175641447406,0.0,0.44464362163623516,0.0,0.5016296170365112,1.0,8.027730947081294e-05,0.0,0.29907891388015717,0.0,0.371458461697387,0.0,0.013324441505434296,1.0,0.26282258301046757,0.0,0.29575995722678816,0.0,0.37448912042636917,0.0,0.6672211155820931,1.0,0.02695139696488174,0.0,0.7178435872712847,0.0,0.06048668667508946,0.0,0.7454718633856985,1.0,0.9198168201249256,0.0,0.981784150103813,0.0,0.3607465728373378,0.0,0.0045001814563078784,1.0,0.1445015472275215,0.0,0.16665296528851886,0.0,0.8439554683124288,0.0,0.6121594847145719,1.0,0.02560811529779892,0.0,0.9870855971158714,0.0,0.4271041107734823,0.0,0.03791641680492977,0.0,0.8215489077221808,0.0,0.6276428754322221
CPI_sqrt,300,6.299771785736084,0.5144011118570253,1.0,0.36649577129542915,0.0,0.5084516428726109,0.0,0.5366002958555209,0.0,0.49029046195865744,1.0,0.24857191814477547,0.0,0.40996332007344816,0.0,0.5239189281476245,0.0,0.5276959176330541,1.0,0.3252362049930323,0.0,0.5077267746692976,0.0,0.4704203061482546,0.0,0.5644554792696757,1.0,0.3161188612851752,0.0,0.4911368147339856,0.0,0.5137819018808165,0.0,0.481661222032244,1.0,0.32991763601857393,0.0,0.49820964413968644,0.0,0.5236792933551825,0.0,0.4587177264038402,1.0,0.43283413480805766,0.0,0.5414916140230609,0.0,0.5025017592490467,0.0,0.48733229299605346,1.0,0.3254946720251102,0.0,0.5141079383454304,0.0,0.48483932460462886,0.0,0.4950500853924173,1.0,0.3847629852657712,0.0,0.4922325126141929,0.0,0.49174148046553945,0.0,0.5305720838390007,1.0,0.08491251055738064,0.0,0.5133947225868971,0.0,0.48329682506659233,0.0,0.49775867401816354,1.0,0.4753962067948005,0.0,0.4978085835046496,0.0,0.5034374875119686,0.0,0.4148105689521,1.0,0.12962683866638347,0.0,0.4822399112121812,0.0,0.48011354381327953,0.0,0.49180867292361347,1.0,0.38335750126344753,0.0,0.501524530888466,0.0,0.5028371832547377,0.0,0.5056313574393788,0.0,0.5058047748048327,0.0,0.484131784489272
CPI_n,300,6.297396659851074,0.5144011118570253,1.0,0.4702035991945076,0.0,0.745150007528787,0.0,0.7491915244866376,0.0,0.5514889952966289,1.0,0.03451920302763813,0.0,0.18885821668057523,0.0,0.584148445701141,0.0,0.47817205018923337,1.0,0.2133423509494662,0.0,0.48644654166838713,0.0,0.23696290429372402,0.0,0.44918308559321984,1.0,0.04039764491339204,0.0,0.4291948287697267,0.0,0.5615452652179321,0.0,0.3033800200628058,1.0,0.27577693839877004,0.0,0.2815117938974362,0.0,0.5895331054126458,0.0,0.41651899180787977,1.0,0.13099882247411065,0.0,0.24757980030858806,0.0,0.4486393491343015,0.0,0.6464057071967342,1.0,0.00079019811364746,0.0,0.6833513346936934,0.0,0.4742022807891085,0.0,0.4031727172170415,1.0,0.285458584435845,0.0,0.695474737796829,0.0,0.2704067074542451,0.0,0.4518858582062436,1.0,0.21360829202064974,0.0,0.6976764981824716,0.0,0.278610382893396,0.0,0.41603256806399824,1.0,0.3405336131819128,0.0,0.44442314235310415,0.0,0.27626380421822666,0.0,0.08122412877873847,1.0,0.112318869102975,0.0,0.6374170674778892,0.0,0.5400707559585627,0.0,0.6457785974954073,1.0,0.037045939482741715,0.0,0.7500003165098058,0.0,0.37232208580554393,0.0,0.35121744539057353,0.0,0.5720911595914439,0.0,0.5435644254911454
CPI_bt,300,6.491603136062622,0.5144011118570253,1.0,0.037453709766932665,0.0,0.8769425223551313,0.0,0.6211646044759729,0.0,0.2816377944176367,1.0,1.532942680768221e-05,0.0,0.529600069148622,0.0,0.15821680975389424,0.0,0.25644447489834266,1.0,0.0003008267638045658,0.0,0.3864460944769227,0.0,0.4361762603406869,0.0,0.9736575296853353,1.0,6.915160154280297e-07,0.0,0.7099504028331367,0.0,0.597688053922379,0.0,0.46250953552802415,1.0,0.003373385968880226,0.0,0.027238963528160208,0.0,0.8330703525892147,0.0,0.2047358993258745,1.0,0.021388455870283325,0.0,0.6502039577637326,0.0,0.7809980874989668,0.0,0.36893608751073637,1.0,1.1397507890893473e-09,0.0,0.36311636918162227,0.0,0.5374939496417885,0.0,0.09177670657826359,1.0,0.20617052940603825,0.0,0.31430381564326837,0.0,0.19845019991181162,0.0,0.1539988892422368,1.0,0.030825669204042706,0.0,0.5280311115047059,0.0,0.3987810030695036,0.0,0.7304268476579345,1.0,0.5410410639306077,0.0,0.5476503303450689,0.0,0.7875165817310905,0.0,0.08236776163884652,1.0,0.012655409820975898,0.0,0.6745255304084388,0.0,0.4398433811068253,0.0,0.7304042606773078,1.0,0.07941713247668036,0.0,0.5875625635076347,0.0,0.5853971578055994,0.0,0.326526255452307,0.0,0.5317105390455856,0.0,0.36720136566843053
CPI_sqd,300,6.488171100616455,0.5144011118570253,1.0,1.7790243022080666e-60,0.0,1.0,0.0,1.0,0.0,2.300732332050928e-72,1.0,6.269407354685845e-10,0.0,7.142932772472994e-44,0.0,4.853882692224917e-60,0.0,5.36936251001303e-06,1.0,1.6952144577659272e-09,0.0,0.8057805492633271,0.0,1.563424765330293e-40,0.0,1.0,1.0,9.72490648457935e-99,0.0,0.9849020762484464,0.0,1.0,0.0,6.489279337162049e-69,1.0,2.9662281311898066e-135,0.0,0.9030141205116113,0.0,0.9999999991203468,0.0,0.0006121936110179918,1.0,0.4121804977370266,0.0,1.0,0.0,0.8046282367508919,0.0,0.9592810701747604,1.0,4.807954900715094e-37,0.0,3.823589650997737e-17,0.0,4.489609120991478e-19,0.0,8.565710721604497e-93,1.0,1.2364195422721118e-21,0.0,0.9902517511779794,0.0,4.502207882669243e-16,0.0,2.0066096715733665e-09,1.0,0.03261359795790613,0.0,1.0,0.0,1.4392955449972375e-10,0.0,7.055411314790068e-06,1.0,0.0010837644707555813,0.0,0.9998105598310999,0.0,1.4305123722405367e-116,0.0,1.7879024825156024e-150,1.0,0.02653024846761482,0.0,0.614328446561118,0.0,0.9999975311515794,0.0,0.9999999999999999,1.0,1.7685244593278053e-11,0.0,1.0,0.0,0.00020218788445765305,0.0,1.2420813502554712e-49,0.0,1.0,0.0,0.0016092818952627697
S-CPI,300,18.47838258743286,0.5144011118570253,1.0,0.019355289548978374,0.0,0.9843222945759208,0.0,0.8606430032311061,0.0,0.48611949694126355,1.0,0.004251590944250935,0.0,0.18272495209166295,0.0,0.24014318416499747,0.0,0.5286974278482308,1.0,0.04363362924132904,0.0,0.7159559156272478,0.0,0.20017534327112851,0.0,0.7738753883572129,1.0,0.00010072161828792292,0.0,0.6642042261762843,0.0,0.7114620473790465,0.0,0.4154795640930553,1.0,0.00013058788900641754,0.0,0.18029525614975506,0.0,0.7913520283285873,0.0,0.25386368231675516,1.0,0.41636493436746913,0.0,0.48735540322584187,0.0,0.7723314132043619,0.0,0.5569234374634514,1.0,0.0003082269105601377,0.0,0.3416014077589955,0.0,0.2397500095911409,0.0,0.262861521893804,1.0,0.04336129788668812,0.0,0.6934749367539691,0.0,0.2670250060836691,0.0,0.39645845175831496,1.0,0.2036964842734188,0.0,0.599660847393339,0.0,0.038826806643717376,0.0,0.7417146355047702,1.0,0.5607000177104692,0.0,0.642594064101211,0.0,0.2486445880559478,0.0,0.05036823635746601,1.0,0.1765613301641537,0.0,0.23230314718198103,0.0,0.5229783835362384,0.0,0.7701207259407943,1.0,0.03933519780412839,0.0,0.8932897453470525,0.0,0.25632790997497756,0.0,0.0662657856514911,0.0,0.8336899544222394,0.0,0.8873767945417115
S-CPI_sqrt,300,18.464478015899658,0.5144011118570253,1.0,0.36036788045003515,0.0,0.5665805727981552,0.0,0.5273210554615488,0.0,0.4844169629973752,1.0,0.24138207260068367,0.0,0.4912795069093197,0.0,0.4779147055616176,0.0,0.5072285738449702,1.0,0.3207749649283712,0.0,0.5116466421948409,0.0,0.4605099514252878,0.0,0.5520608591346046,1.0,0.2135747242360837,0.0,0.5224347610982247,0.0,0.5096476251151292,0.0,0.49631728455167823,1.0,0.35116221762615674,0.0,0.4105620850329744,0.0,0.5511197338534156,0.0,0.41984065590411235,1.0,0.4482065921024399,0.0,0.5088729250264179,0.0,0.5020627929924752,0.0,0.49577366453592503,1.0,0.14144084791806838,0.0,0.4881477658086747,0.0,0.4645247293866058,0.0,0.45439945899307604,1.0,0.4288835922277283,0.0,0.4964502734401027,0.0,0.47351267692375604,0.0,0.4807025353845662,1.0,0.22650389729414178,0.0,0.5178691912893438,0.0,0.47990170256027126,0.0,0.5236473196837008,1.0,0.660226327844583,0.0,0.512939361308314,0.0,0.47044518780427824,0.0,0.41218174947638,1.0,0.19844563880901606,0.0,0.4863947281819691,0.0,0.4965396336075135,0.0,0.5245277246957858,1.0,0.35677139463538743,0.0,0.5252318689476237,0.0,0.48795820164160536,0.0,0.4763858433563081,0.0,0.5098258899618494,0.0,0.5084341876421306
S-CPI_n,300,18.46086573600769,0.5144011118570253,1.0,0.07123448138545345,0.0,0.7519741922420107,0.0,0.6682545660385775,0.0,0.36940949448710125,1.0,0.06289769736500905,0.0,0.3340555557558106,0.0,0.45749179453950917,0.0,0.4452457705208367,1.0,0.11892038736119692,0.0,0.683735105478223,0.0,0.3056682548503197,0.0,0.6644725629895559,1.0,0.0015871864555457753,0.0,0.596311433823879,0.0,0.6186045150551203,0.0,0.45203463085920254,1.0,0.031129431894459176,0.0,0.2681348287922951,0.0,0.7580366905407564,0.0,0.4423013938086522,1.0,0.2695864854865096,0.0,0.5536335165860767,0.0,0.5947877282168994,0.0,0.5376583610962109,1.0,0.008347309659283481,0.0,0.4416788438093326,0.0,0.34945023713530365,0.0,0.3860836561243416,1.0,0.15254664688806285,0.0,0.49154295299348666,0.0,0.3291899872469103,0.0,0.3490875060483125,1.0,0.31132427063021484,0.0,0.5435592063985492,0.0,0.412835443289963,0.0,0.5241516971040646,1.0,0.7663392270120881,0.0,0.5501706072490603,0.0,0.4261325886037788,0.0,0.24116840029309278,1.0,0.07073615394413127,0.0,0.4660757981565156,0.0,0.5188589336619408,0.0,0.6149293284811232,1.0,0.04394170756283025,0.0,0.7644944033314993,0.0,0.44141430434866896,0.0,0.33047972590625274,0.0,0.5455392145649641,0.0,0.6087317406318559
S-CPI_bt,300,18.68300199508667,0.5144011118570253,1.0,9.463466536343879e-05,0.0,0.8601861842828679,0.0,0.7178626081571918,0.0,0.48230929527085376,1.0,7.821583560254685e-05,0.0,0.25760838888819104,0.0,0.27716418845858626,0.0,0.5436163689568427,1.0,0.0035379766143449403,0.0,0.6993664942571949,0.0,0.2795127067208455,0.0,0.8023463624105929,1.0,1.2920147695464618e-12,0.0,0.6156249522539058,0.0,0.6232970832147419,0.0,0.22400737251965308,1.0,0.0003564059374095977,0.0,0.0589096849798436,0.0,0.8589529962611646,0.0,0.1734212158745253,1.0,0.2472389612001507,0.0,0.6560237523991506,0.0,0.7662215747536638,0.0,0.5174805342070371,1.0,1.4263201139955792e-11,0.0,0.38052980881296844,0.0,0.24461143353771636,0.0,0.14426839195409696,1.0,0.06179857186025143,0.0,0.4400442150463469,0.0,0.20710835655202153,0.0,0.23693033319321272,1.0,0.2397439438526895,0.0,0.5458105519638851,0.0,0.2628383194995203,0.0,0.5753705549734704,1.0,0.8691378128176912,0.0,0.5447986755493032,0.0,0.41638070995423476,0.0,0.14620445990469494,1.0,0.06173136407811914,0.0,0.39757210792941305,0.0,0.26197159976096174,0.0,0.6941519333553047,1.0,7.538387400655389e-05,0.0,0.5745220362135044,0.0,0.545761107813936,0.0,0.29150254343941934,0.0,0.6200502259699991,0.0,0.7233450561148378
