method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,814.6294980049133,0.9727498174292079,1.0,0.0008907158226113543,0.0,0.5732062961944377,0.0,0.9595565758076936,0.0,0.9753264333222798,1.0,9.724675884559275e-07,0.0,0.7322002390129103,0.0,0.21012820836776913,0.0,0.9213625288378176,1.0,0.5826887408801122,0.0,0.9991921865663758,0.0,0.47309401561466835,0.0,0.4289683476274707,1.0,0.0015091950142619437,0.0,0.1959922382707031,0.0,0.018610502371771864,0.0,0.06890163967740015,1.0,0.02063103607704031,0.0,0.6241191906773017,0.0,0.5143481713720235,0.0,0.6151561087504034,1.0,6.187457467499158e-07,0.0,0.0021679506388313508,0.0,0.14400269271626565,0.0,0.02369079812883612,1.0,6.824521597292854e-05,0.0,0.43336811036748846,0.0,0.9645329995559713,0.0,0.8561201881041011,1.0,8.08380654859775e-07,0.0,0.15783786655936372,0.0,0.47085945263082774,0.0,0.7839998660251835,1.0,9.098194621370848e-05,0.0,0.00116194006509307,0.0,0.8833382464112924,0.0,0.10390069848491801,1.0,0.9507130127249586,0.0,0.5750823292966925,0.0,0.9059267648278533,0.0,0.06954342058319118,1.0,0.0025673917907774735,0.0,0.9110660021714498,0.0,0.5126780996961959,0.0,0.05060667644410255,1.0,0.00010705609704142471,0.0,0.41956255371848383,0.0,0.9365418539187537,0.0,0.190247781845319,0.0,0.35886018887726046,0.0,0.9459141345025607
CPI,300,15.618703603744507,0.9727498174292079,1.0,2.784959346808538e-11,0.0,0.39203536629255487,0.0,0.07950899367912728,0.0,0.3612608023080168,1.0,4.309757033158255e-09,0.0,0.37990275609239627,0.0,0.25856617475293486,0.0,0.18260691607896745,1.0,4.020937679294083e-06,0.0,0.34737794956132273,0.0,0.019461371781365467,0.0,0.805271170930431,1.0,0.00217869995702037,0.0,0.1989211971015527,0.0,0.3325405474484723,0.0,0.17063647249966407,1.0,2.534841149204169e-06,0.0,0.11878752985536939,0.0,0.9449189486885972,0.0,0.7008715410986994,1.0,1.7661597366875875e-07,0.0,0.06720154691492307,0.0,0.9280880834026265,0.0,0.8118494827413616,1.0,8.499972339968268e-10,0.0,0.18957379287971104,0.0,0.7536384962043639,0.0,0.6740046619749331,1.0,3.5239469501423556e-08,0.0,0.4880548765179098,0.0,0.329502052809254,0.0,0.02061391204198284,1.0,2.5024386769447362e-09,0.0,0.15154389466875162,0.0,0.5141005166673824,0.0,0.21966959614499748,1.0,1.4329282866495084e-09,0.0,0.49482978374365527,0.0,0.2123307079345182,0.0,0.45317517453543804,1.0,2.068612549059189e-06,0.0,0.8051044136900151,0.0,0.38627617522674645,0.0,0.5563386334435261,1.0,1.505178211543882e-07,0.0,0.14854439919158813,0.0,0.45792601726552473,0.0,0.9937924397561606,0.0,0.22432446392728828,0.0,0.28230303070558055
CPI_sqrt,300,15.616469621658325,0.9727498174292079,1.0,0.011604079689341787,0.0,0.4990008898203507,0.0,0.497965505604087,0.0,0.4999954424849177,1.0,0.01457378593796975,0.0,0.5001664925043563,0.0,0.4992524269134335,0.0,0.4991201918608554,1.0,0.1991814343687437,0.0,0.49932924166918824,0.0,0.4995799923380264,0.0,0.5014516494302355,1.0,0.35068758896421626,0.0,0.49912972975960135,0.0,0.4980811954085589,0.0,0.49984423244734005,1.0,0.28065414075937095,0.0,0.4998664186843203,0.0,0.5019890414620807,0.0,0.497957420166746,1.0,0.21177455004036438,0.0,0.49759315493376505,0.0,0.5017183968992904,0.0,0.4992351564305659,1.0,0.05469426912379719,0.0,0.4997767634394072,0.0,0.5015145455374848,0.0,0.5003125928212306,1.0,0.042980984154944404,0.0,0.5006154772469561,0.0,0.49982035926770757,0.0,0.49935207767203543,1.0,0.05265279702113314,0.0,0.4984017788257315,0.0,0.502841868029307,0.0,0.5019763155139411,1.0,0.1841474224961822,0.0,0.5007482822189249,0.0,0.4999084152034631,0.0,0.5034741345676548,1.0,0.18065914835187868,0.0,0.4998753874914908,0.0,0.49855859615786957,0.0,0.4997786078795967,1.0,0.1494141027630257,0.0,0.49698653319712577,0.0,0.49931205939771434,0.0,0.5019327609246921,0.0,0.501253565231819,0.0,0.5005957113942658
CPI_n,300,15.614755153656006,0.9727498174292079,1.0,3.334990998415604e-06,0.0,0.4970148372980491,0.0,0.4775964167763881,0.0,0.5127589359608811,1.0,2.183112290712039e-08,0.0,0.48544032206873633,0.0,0.4874046254379676,0.0,0.5011964004023897,1.0,0.00433122207790761,0.0,0.48989791618282075,0.0,0.4904474570403004,0.0,0.5201955823721184,1.0,0.05799048822455422,0.0,0.5075690153768667,0.0,0.49852189028446253,0.0,0.4935930963210521,1.0,0.001877061665107407,0.0,0.4992766659598062,0.0,0.5075141424227446,0.0,0.5025149774101096,1.0,0.0003761888351377026,0.0,0.49061632309826286,0.0,0.5145593587755323,0.0,0.4831764412234892,1.0,2.2987539791471482e-07,0.0,0.5090068625310908,0.0,0.4974091748224582,0.0,0.5081935122328177,1.0,1.142327079178656e-05,0.0,0.49921923053920647,0.0,0.49496928646865584,0.0,0.4944388355460917,1.0,3.665686044323008e-08,0.0,0.5125516150434017,0.0,0.5149211616405813,0.0,0.5064621622143307,1.0,0.0002659236482615793,0.0,0.511965078113318,0.0,0.5054941466561594,0.0,0.4873511382015383,1.0,0.000284980109426113,0.0,0.5188952524741423,0.0,0.46882835250786453,0.0,0.48726925275621374,1.0,5.3180225750187785e-05,0.0,0.47562311699875376,0.0,0.5053181681661301,0.0,0.5080006555432581,0.0,0.4992813446186371,0.0,0.5049365882208182
CPI_bt,300,15.78614091873169,0.9727498174292079,1.0,1.010719510772245e-47,0.0,0.5103923297875073,0.0,0.4821441508585069,0.0,0.5086051618322868,1.0,1.1462876144567196e-27,0.0,0.48525045709571,0.0,0.48819685712583416,0.0,0.5007815871289185,1.0,5.902378286514045e-19,0.0,0.49455101948227664,0.0,0.5105612917228888,0.0,0.5036290458029093,1.0,0.00012563774081273264,0.0,0.49920970125919234,0.0,0.5147234823737509,0.0,0.5022576565480927,1.0,2.6949082682954132e-11,0.0,0.4939627511666018,0.0,0.5120151426975809,0.0,0.4892839557130095,1.0,1.0110450787174198e-12,0.0,0.47647779469875984,0.0,0.5037968453212335,0.0,0.493850397182538,1.0,5.121778775766542e-35,0.0,0.5043957158266886,0.0,0.5204501403395371,0.0,0.4975423920005212,1.0,4.56792250074056e-25,0.0,0.5112965950807047,0.0,0.4943809744628844,0.0,0.4895569375976627,1.0,5.834183979488289e-32,0.0,0.49901256873053884,0.0,0.5204787472844019,0.0,0.4690107362493721,1.0,4.306414492134748e-11,0.0,0.5054599764520704,0.0,0.48652496554825164,0.0,0.48884183543119647,1.0,5.6535159691104945e-14,0.0,0.5039419849151257,0.0,0.5059895928536627,0.0,0.48729865867474786,1.0,1.8217044770218776e-16,0.0,0.5032577133351779,0.0,0.4947553770471129,0.0,0.5052434742006143,0.0,0.5088037666708015,0.0,0.49857338855008604
CPI_sqd,300,15.784858703613281,0.9727498174292079,1.0,1.0567119890987773e-126,0.0,0.04677532377701401,0.0,0.0215483433311533,0.0,0.0018488455214602257,1.0,5.330017987619693e-23,0.0,0.25780564987144955,0.0,7.01439979562001e-07,0.0,0.06591565799086746,1.0,3.0024224017119777e-100,0.0,0.0008094084184048005,0.0,0.1433842513196058,0.0,0.9849786501234236,1.0,2.6690220573695595e-90,0.0,0.006768894305462603,0.0,0.03837839366610338,0.0,0.8072899790199428,1.0,1.6116385517236086e-209,0.0,0.0020561176751263005,0.0,0.9986034595347777,0.0,0.24150896191312815,1.0,0.0,0.0,2.031106392523658e-10,0.0,0.10210153118650761,0.0,0.850390336724355,1.0,2.1778271528425456e-161,0.0,0.9999999295094251,0.0,0.25226712734140044,0.0,0.9998690249722815,1.0,6.679408145179268e-116,0.0,0.3075993029476306,0.0,0.0422082408480811,0.0,0.012922372188792991,1.0,1.7559031674652037e-185,0.0,0.7743216627352361,0.0,0.0027598901722085687,0.0,0.029777926946373625,1.0,5.484454344796048e-124,0.0,0.13306754345930927,0.0,0.2947227513680507,0.0,0.9999465113012482,1.0,7.183358715629808e-292,0.0,0.9999801870780478,0.0,0.04751911796007483,0.0,0.999853862749666,1.0,7.627521195623128e-106,0.0,2.0709975615032857e-09,0.0,0.29733502144476687,0.0,0.8978000525244241,0.0,0.0027069479785997684,0.0,0.7611454739941721
S-CPI,300,28.135950565338135,0.9727498174292079,1.0,1.8559079318064025e-08,0.0,0.47615323699426426,0.0,0.14832021490004166,0.0,0.5304718301730351,1.0,1.4468320419800075e-10,0.0,0.2302333369211524,0.0,0.11507084571997256,0.0,0.4081581364702134,1.0,5.800364170565895e-05,0.0,0.1556174917519461,0.0,0.5120128461601465,0.0,0.7131884882009194,1.0,0.01735104141057274,0.0,0.08607546240282826,0.0,0.27434493568830065,0.0,0.17007400539022316,1.0,0.00011097767328360062,0.0,0.4995604396426433,0.0,0.8472662129318225,0.0,0.17202254364443015,1.0,1.2838239297808838e-05,0.0,0.13835295697615618,0.0,0.9663135974894991,0.0,0.5388238995780052,1.0,3.4368360470655694e-07,0.0,0.42382033539364644,0.0,0.8670919358622168,0.0,0.7391191085236586,1.0,1.888472075782558e-07,0.0,0.8837306122089699,0.0,0.5259233409235734,0.0,0.16361615352538472,1.0,6.899970758890793e-10,0.0,0.8031209967072168,0.0,0.7650545787263726,0.0,0.2748960694059145,1.0,5.7837938675786434e-05,0.0,0.9600552976304166,0.0,0.5922433275817809,0.0,0.6774594163673262,1.0,0.00045955731177179754,0.0,0.7232458752017379,0.0,0.4865954491910021,0.0,0.43763099151086243,1.0,7.932777719905531e-05,0.0,0.21754083292477283,0.0,0.35423532794489965,0.0,0.8960589941792323,0.0,0.5694918433610298,0.0,0.6494440994741917
S-CPI_sqrt,300,28.133127212524414,0.9727498174292079,1.0,0.024797309934966982,0.0,0.4991423905476337,0.0,0.49675777721906555,0.0,0.4999802753688636,1.0,0.014548035440423462,0.0,0.4990071775689785,0.0,0.49852171360363584,0.0,0.4982719066217979,1.0,0.20554856156753554,0.0,0.5003359872802029,0.0,0.5003209326174407,0.0,0.5012170195813347,1.0,0.39479678199104395,0.0,0.49607865376946636,0.0,0.49957782032931747,0.0,0.49933424150878625,1.0,0.2742740079705558,0.0,0.4994727977739334,0.0,0.5018430999039067,0.0,0.49855114664301653,1.0,0.22031791529638867,0.0,0.4985644308342124,0.0,0.5047049270073277,0.0,0.49905400023487917,1.0,0.06075039287843623,0.0,0.4974378859423439,0.0,0.5025321296858274,0.0,0.5017712272693515,1.0,0.05389055147472539,0.0,0.501119234714568,0.0,0.500074796805039,0.0,0.49902547729623203,1.0,0.021837586271119834,0.0,0.5001384787537732,0.0,0.5026594410005859,0.0,0.4980490305589953,1.0,0.15426242688174013,0.0,0.5011416010160026,0.0,0.50039099379161,0.0,0.5027307740166449,1.0,0.22834462595536564,0.0,0.5001440927946657,0.0,0.4986048030945984,0.0,0.4996894828150995,1.0,0.10786088546944828,0.0,0.497832858956461,0.0,0.4994867462111073,0.0,0.5022738118372686,0.0,0.49956565068733927,0.0,0.5003568820680276
S-CPI_n,300,28.13920307159424,0.9727498174292079,1.0,7.292884336470271e-07,0.0,0.4980911153830096,0.0,0.474975686406142,0.0,0.49986624799699864,1.0,1.8085587256655612e-06,0.0,0.47684083068132554,0.0,0.4792341922737696,0.0,0.4797567331038409,1.0,0.004393514002735477,0.0,0.49049059453422406,0.0,0.5056967798224958,0.0,0.519486653999057,1.0,0.04643053585966775,0.0,0.4680573783928058,0.0,0.494926234133558,0.0,0.4969517103663195,1.0,0.006202797437150673,0.0,0.4956233414424361,0.0,0.5274232863493373,0.0,0.4885151398554457,1.0,0.0028932224920285503,0.0,0.48462501595911234,0.0,0.5416918443833227,0.0,0.5000895358292198,1.0,3.1548007956262084e-05,0.0,0.46704724674227543,0.0,0.5218174000382648,0.0,0.5148476620878453,1.0,1.032344985081706e-05,0.0,0.5125104200222271,0.0,0.4970831567592718,0.0,0.4861365347554447,1.0,1.6811745360686615e-07,0.0,0.49487425526067813,0.0,0.5215365495637156,0.0,0.5002735904172815,1.0,0.0027835096206644053,0.0,0.5123802337959402,0.0,0.4980103136561546,0.0,0.5215273353646293,1.0,0.009258469057698436,0.0,0.5101217957512846,0.0,0.4849851024012646,0.0,0.501735101119961,1.0,0.00019241120099001174,0.0,0.4803726809189047,0.0,0.49502118909749254,0.0,0.5139606954572022,0.0,0.5021325589957123,0.0,0.5045241664170289
S-CPI_bt,300,28.31760549545288,0.9727498174292079,1.0,7.501593195253174e-23,0.0,0.49436496152005494,0.0,0.470538959604523,0.0,0.5002674525267461,1.0,2.426168857022953e-28,0.0,0.48382676607081426,0.0,0.4835855991139949,0.0,0.4880901445750756,1.0,7.803559460357956e-10,0.0,0.49883091310287897,0.0,0.491892321293541,0.0,0.5200912548351934,1.0,0.0010369154255322006,0.0,0.49103419831705586,0.0,0.5150556168585898,0.0,0.49128175026694426,1.0,1.0251669791047001e-08,0.0,0.49362826185574116,0.0,0.5259633688817354,0.0,0.48770392034453786,1.0,1.031535797563385e-14,0.0,0.47714674892975745,0.0,0.5181962915933036,0.0,0.5018845704654794,1.0,1.0491469197972108e-20,0.0,0.5012267808275833,0.0,0.5171895626117412,0.0,0.5186725717198304,1.0,7.06680470399832e-20,0.0,0.5082563104106311,0.0,0.4939197129061837,0.0,0.4869682214683767,1.0,4.872716772573317e-38,0.0,0.49182715023056967,0.0,0.527045793563772,0.0,0.496472600544086,1.0,2.6719684695708857e-14,0.0,0.5115106446703958,0.0,0.5012316741190554,0.0,0.5111699767332952,1.0,4.285282517256557e-09,0.0,0.5089506984198138,0.0,0.4812712885908265,0.0,0.4928258555228503,1.0,4.4296497099415963e-10,0.0,0.49369844114259637,0.0,0.49379082928377427,0.0,0.5203268706467415,0.0,0.49517649602619523,0.0,0.5078360309857657
