method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.383373260498047,0.9661955214630065,1.0,2.4384829653278928e-06,0.0,0.09388577136829979,0.0,0.004775798553683264,0.0,0.8921898165033983,1.0,2.8714825406339628e-08,0.0,0.37252214468534384,0.0,0.054720562847558996,0.0,0.8131793891505023,1.0,6.739407413247633e-07,0.0,0.6583688340430631,0.0,0.010901388022215852,0.0,0.9881537352294374,1.0,3.566621287198757e-08,0.0,0.6281893270714134,0.0,0.9302384321147011,0.0,0.9979739266561592,1.0,8.651653406099857e-05,0.0,0.43281924493461954,0.0,0.1027953511604156,0.0,0.6651149337741753,1.0,0.0026129364069650274,0.0,0.63717896882786,0.0,0.8467290952325327,0.0,0.07062466603130513,1.0,2.2544487054965145e-08,0.0,0.9959369215321249,0.0,0.6894080712386663,0.0,0.0532948875879542,1.0,0.1172767940419539,0.0,0.8265086323684876,0.0,0.05021664548768101,0.0,0.06913122268038796,1.0,0.005970985682917096,0.0,0.07013524354239353,0.0,0.14149013570270474,0.0,0.6656940723396955,1.0,1.078237010787575e-08,0.0,0.1966979534937323,0.0,0.36336638573576874,0.0,0.30546425905228713,1.0,4.611750280214544e-06,0.0,0.9964827122878561,0.0,0.9739166365804224,0.0,0.8057262332186514,1.0,0.0039348216035473005,0.0,0.9667051244201477,0.0,0.44018048758682826,0.0,0.23953318299557758,0.0,0.07846085447256956,0.0,0.006107181842398446
CPI,300,3.2447283267974854,0.9661955214630065,1.0,5.2567578030024035e-09,0.0,0.900192986367583,0.0,0.49812717210641155,0.0,0.14033919127878985,1.0,4.851659656101968e-09,0.0,0.5352476944743877,0.0,0.6596637524914204,0.0,1.0,1.0,2.213141967134518e-07,0.0,1.0,0.0,0.7689802993485522,0.0,1.0,1.0,1.1160163132931747e-07,0.0,1.0,0.0,0.44152320433463504,0.0,1.0,1.0,1.0018236072160988e-05,0.0,1.0,0.0,0.23290916227394615,0.0,0.40962442450330266,1.0,4.7544733193539245e-05,0.0,1.0,0.0,0.7906490796232096,0.0,0.2589152428026844,1.0,4.2830295210782824e-08,0.0,1.0,0.0,1.0,0.0,0.9588707823935894,1.0,7.416094437109918e-07,0.0,0.37930881555320406,0.0,0.22947689423364453,0.0,0.29940092461342327,1.0,0.0015785737643861848,0.0,1.0,0.0,0.7383927333173679,0.0,0.21887302190741942,1.0,2.5853679444421965e-07,0.0,1.0,0.0,0.09779225745000575,0.0,1.0,1.0,8.70601853880382e-06,0.0,1.0,0.0,0.39809097954779255,0.0,0.9007157205917998,1.0,0.00045546134817802346,0.0,1.0,0.0,1.0,0.0,0.36928590496589164,0.0,0.007056257353618456,0.0,0.06905990626131378
CPI_sqrt,300,3.2371838092803955,0.9661955214630065,1.0,0.01644599059303485,0.0,0.5231561676895647,0.0,0.5000366885132076,0.0,0.5012027395681599,1.0,0.01283424471878244,0.0,0.49807439436352346,0.0,0.5054704902749553,0.0,0.5,1.0,0.14109662830718595,0.0,0.5,0.0,0.5009924337411293,0.0,0.5,1.0,0.07508331149035692,0.0,0.5,0.0,0.49908071288268596,0.0,0.5,1.0,0.12459200728433201,0.0,0.5,0.0,0.506924674590568,0.0,0.5009501958441949,1.0,0.25065746391254096,0.0,0.5,0.0,0.4964678129928873,0.0,0.4941943833511261,1.0,0.01721230017487445,0.0,0.5,0.0,0.5,0.0,0.49910457038034595,1.0,0.1504599937479872,0.0,0.4900182030037791,0.0,0.49783502042200556,0.0,0.4979845389104275,1.0,0.210155656934576,0.0,0.5,0.0,0.4970076819309932,0.0,0.5018290690965076,1.0,0.005821913480964586,0.0,0.5,0.0,0.4990811717858064,0.0,0.5,1.0,0.21260399507452826,0.0,0.5,0.0,0.49890437750709987,0.0,0.5137623207474129,1.0,0.16869180259405608,0.0,0.5,0.0,0.5,0.0,0.49659498400208196,0.0,0.46573494630078716,0.0,0.4995835214456465
CPI_n,300,3.235837697982788,0.9661955214630065,1.0,3.2942350739458673e-05,0.0,0.5276348584656716,0.0,0.5006151318985285,0.0,0.4404694061975992,1.0,9.68796196593888e-07,0.0,0.5057812154001015,0.0,0.5251475167107278,0.0,0.5,1.0,0.0014533643685584754,0.0,0.5,0.0,0.4680297538664103,0.0,0.5,1.0,4.6182131346444435e-05,0.0,0.5,0.0,0.501850314217964,0.0,0.5,1.0,0.00034730213828826134,0.0,0.5,0.0,0.582876169955377,0.0,0.5184140323904424,1.0,0.028162875952286025,0.0,0.5,0.0,0.4821682706404003,0.0,0.47313516193219485,1.0,4.682626067169101e-06,0.0,0.5,0.0,0.5,0.0,0.5153189325307879,1.0,5.204611742616575e-05,0.0,0.4875426219657887,0.0,0.5496398752060707,0.0,0.4913342866042538,1.0,0.006963097051958274,0.0,0.5,0.0,0.4613992255246335,0.0,0.4558900152472537,1.0,4.0734439766928643e-07,0.0,0.5,0.0,0.5011397160714008,0.0,0.5,1.0,0.0024292030139302667,0.0,0.5,0.0,0.47185271983878496,0.0,0.6494203612860752,1.0,0.0018768852125139745,0.0,0.5,0.0,0.5,0.0,0.4850035287806613,0.0,0.37929699860799904,0.0,0.497082366951586
CPI_bt,300,3.430886745452881,0.9661955214630065,1.0,3.193080561918497e-27,0.0,0.6756141690158173,0.0,0.5008351735608394,0.0,0.4432456259986333,1.0,1.6823666978195573e-40,0.0,0.531274166741025,0.0,0.4853367372800314,0.0,0.5,1.0,1.4147549873872258e-13,0.0,0.5,0.0,0.4830027619148477,0.0,0.5,1.0,3.182389771076591e-37,0.0,0.5,0.0,0.5158940845612857,0.0,0.5,1.0,6.3763282315923045e-25,0.0,0.5,0.0,0.48553902547822225,0.0,0.48577453969093604,1.0,5.491818647329235e-15,0.0,0.5,0.0,0.44670338033625934,0.0,0.46658909478275923,1.0,1.740779298673274e-22,0.0,0.5,0.0,0.5,0.0,0.5146701016051044,1.0,1.347452971202552e-22,0.0,0.4210791497467702,0.0,0.4594441882893333,0.0,0.4640939166537001,1.0,4.3978077116662e-10,0.0,0.5,0.0,0.4929945027757714,0.0,0.4801420886523904,1.0,1.3227299766598134e-31,0.0,0.5,0.0,0.49949678002989045,0.0,0.5,1.0,2.5747556550995577e-22,0.0,0.5,0.0,0.40946022035985186,0.0,0.6861742128000711,1.0,4.526647839006653e-16,0.0,0.5,0.0,0.5,0.0,0.4781865555006377,0.0,0.2684960868975523,0.0,0.49819904567659284
CPI_sqd,300,3.4190115928649902,0.9661955214630065,1.0,3.3942665978196086e-111,0.0,1.0,0.0,0.6694511512469508,0.0,9.256388003914747e-05,1.0,9.981444685058146e-41,0.0,1.0,0.0,1.0,0.0,0.5,1.0,5.082101216835784e-152,0.0,0.5,0.0,0.6529665527282942,0.0,0.5,1.0,8.208117805429329e-33,0.0,0.5,0.0,0.10536078112434943,0.0,0.5,1.0,2.2576388528513808e-62,0.0,0.5,0.0,0.9929079358894668,0.0,0.9999999772593561,1.0,1.0668830552183105e-66,0.0,0.5,0.0,1.0279562156111367e-76,0.0,0.999919804015643,1.0,1.066584214007118e-74,0.0,0.5,0.0,0.5,0.0,0.0031313051405556526,1.0,3.0143445460222252e-208,0.0,1.8174839279679312e-14,0.0,6.969600253110494e-44,0.0,1.4683752561431475e-06,1.0,1.4045918954787928e-113,0.0,0.5,0.0,7.853991831404146e-06,0.0,0.04071927284045395,1.0,3.901122647971267e-38,0.0,0.5,0.0,0.9999930601012702,0.0,0.5,1.0,3.3210049367275698e-149,0.0,0.5,0.0,4.541271893280916e-14,0.0,1.0,1.0,3.7912973099085475e-74,0.0,0.5,0.0,0.5,0.0,0.11092352452511756,0.0,0.0,0.0,0.9282643775275128
S-CPI,300,3.341559886932373,0.9661955214630065,1.0,8.263079376505606e-07,0.0,0.8683694535902177,0.0,0.45836191574062135,0.0,0.32391497332989433,1.0,2.451787488511444e-05,0.0,0.8245477018890436,0.0,0.9199159533536003,0.0,0.13002297304736843,1.0,3.1302586861777094e-06,0.0,0.13002297304736843,0.0,0.40153888461661663,0.0,0.13002297304736843,1.0,0.00012089195472563539,0.0,0.13002297304736843,0.0,0.7275853918351085,0.0,0.13002297304736843,1.0,0.0009704921397567805,0.0,0.13002297304736843,0.0,0.8167865573885745,0.0,0.3242371435350908,1.0,0.04516925054259717,0.0,0.13002297304736843,0.0,0.857033288852401,0.0,0.09603137497667374,1.0,5.415274041180339e-06,0.0,0.13002297304736843,0.0,0.13002297304736843,0.0,0.8618186397035307,1.0,3.232803131356952e-06,0.0,0.21407644977899287,0.0,0.36255301348729574,0.0,0.2121934292962247,1.0,0.002856167110626933,0.0,0.13002297304736843,0.0,0.1365941518316593,0.0,0.3332114554070218,1.0,1.3257898401785118e-06,0.0,0.13002297304736843,0.0,0.5167652742860163,0.0,0.13002297304736843,1.0,0.000446386820289533,0.0,0.13002297304736843,0.0,0.2647445625029557,0.0,0.9989034424799172,1.0,0.05023668583788227,0.0,0.13002297304736843,0.0,0.13002297304736843,0.0,0.23402310863389209,0.0,0.0008018488406681143,0.0,0.1605391735505844
S-CPI_sqrt,300,3.338911771774292,0.9661955214630065,1.0,0.014389289941217295,0.0,0.5271400308033639,0.0,0.499985752199075,0.0,0.49770036158405884,1.0,0.04058673116605091,0.0,0.5033555329229936,0.0,0.5069241334964837,0.0,0.49999999999999983,1.0,0.14483684155175658,0.0,0.49999999999999983,0.0,0.5001952659828092,0.0,0.49999999999999983,1.0,0.08213940441019957,0.0,0.49999999999999983,0.0,0.5023111578503053,0.0,0.49999999999999983,1.0,0.12057876354599695,0.0,0.49999999999999983,0.0,0.5033876244452606,0.0,0.4981180370869443,1.0,0.3671464837958974,0.0,0.49999999999999983,0.0,0.5104186950254652,0.0,0.49859956972852765,1.0,0.032062823974866275,0.0,0.49999999999999983,0.0,0.49999999999999983,0.0,0.5027535078337237,1.0,0.056550100031818325,0.0,0.4993464077163852,0.0,0.4955596821553698,0.0,0.4952416075759262,1.0,0.2611560754072664,0.0,0.49999999999999983,0.0,0.4975020684368234,0.0,0.4971576059825389,1.0,0.03156105250830467,0.0,0.49999999999999983,0.0,0.4991113897593882,0.0,0.49999999999999983,1.0,0.17286699300596547,0.0,0.49999999999999983,0.0,0.4933938383533206,0.0,0.5503107687516946,1.0,0.2557015120967454,0.0,0.49999999999999983,0.0,0.49999999999999983,0.0,0.4991497561591656,0.0,0.46346460360293695,0.0,0.4988730693684223
S-CPI_n,300,3.3418564796447754,0.9661955214630065,1.0,1.0301342786897475e-06,0.0,0.6562420614073319,0.0,0.5002817527334668,0.0,0.45834332636782726,1.0,4.931433017995302e-06,0.0,0.5341139274371333,0.0,0.5798800785670193,0.0,0.49999999999999856,1.0,0.002026433598276514,0.0,0.49999999999999856,0.0,0.5079070376786056,0.0,0.49999999999999856,1.0,9.696931939375652e-05,0.0,0.49999999999999856,0.0,0.5094576915641148,0.0,0.49999999999999856,1.0,0.010317003201051922,0.0,0.49999999999999856,0.0,0.5605921493032691,0.0,0.4921047784284192,1.0,0.11604086429113003,0.0,0.49999999999999856,0.0,0.5086983463574778,0.0,0.4705159117348806,1.0,5.9751857052121626e-05,0.0,0.49999999999999856,0.0,0.49999999999999856,0.0,0.5067723604580509,1.0,5.884448509832269e-05,0.0,0.4751337304046881,0.0,0.41169862523958106,0.0,0.4696467426231055,1.0,0.014364857365948324,0.0,0.49999999999999856,0.0,0.47061289284685764,0.0,0.4767903687906979,1.0,8.108240139478785e-06,0.0,0.49999999999999856,0.0,0.47471000028905785,0.0,0.49999999999999856,1.0,0.004336899021283825,0.0,0.49999999999999856,0.0,0.4188327105883899,0.0,0.8043908646763342,1.0,0.03011104018469699,0.0,0.49999999999999856,0.0,0.49999999999999856,0.0,0.4882120309125342,0.0,0.24498146499016898,0.0,0.4951731581711283
S-CPI_bt,300,3.5270674228668213,0.9661955214630065,1.0,1.320299247771974e-19,0.0,0.7423888913345015,0.0,0.500414109918173,0.0,0.4577775267681155,1.0,5.361078517113319e-23,0.0,0.5197307590056064,0.0,0.5803579685972284,0.0,0.49999999999999856,1.0,8.303953804707078e-16,0.0,0.49999999999999856,0.0,0.5030504010416371,0.0,0.49999999999999856,1.0,3.6134784181968796e-26,0.0,0.49999999999999856,0.0,0.5056602926372473,0.0,0.49999999999999856,1.0,2.3893190531063416e-10,0.0,0.49999999999999856,0.0,0.6124522471769315,0.0,0.520165361798683,1.0,0.0026970328873772045,0.0,0.49999999999999856,0.0,0.5360677823301053,0.0,0.45719547877174727,1.0,7.6938848995933e-20,0.0,0.49999999999999856,0.0,0.49999999999999856,0.0,0.5222730491219738,1.0,1.0833532483978487e-19,0.0,0.527696989639214,0.0,0.428261414207933,0.0,0.47086390756863156,1.0,6.424902589089111e-11,0.0,0.49999999999999856,0.0,0.4676267116256774,0.0,0.481638804280336,1.0,6.579970979094414e-26,0.0,0.49999999999999856,0.0,0.5119274288011096,0.0,0.49999999999999856,1.0,1.9829063956469067e-12,0.0,0.49999999999999856,0.0,0.439020546522218,0.0,0.8914242232818654,1.0,8.969482364683851e-07,0.0,0.49999999999999856,0.0,0.49999999999999856,0.0,0.48745487783834823,0.0,0.16457232748418743,0.0,0.4902045141814985
