method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,73.39644885063171,0.6651713101561609,1.0,0.9993217510756922,1.0,0.008716776692708095,1.0,1.293649804223751e-05,1.0,0.9994826972800737,1.0,0.01265792626117146,1.0,0.9995595119747058,1.0,0.007553276082243654,1.0,0.9999862585139171,1.0,1.7658597806224918e-08,1.0,0.046989464208596954,0.0,0.0008364145495087794,0.0,0.0315463695330479,0.0,1.6285783832614698e-09,0.0,0.02444259320078357,0.0,4.635412543363415e-06,0.0,4.494228301732406e-07,0.0,0.9955087677570673,0.0,0.9999999016673579,0.0,0.9999997632732274,0.0,6.529199403360053e-11,0.0,0.00011714582481547886,0.0,0.5913289453419415,0.0,0.0046737914253169865,0.0,2.2392773788237896e-05,0.0,0.9999999990713438,0.0,0.007025323052819887,0.0,0.3873828973103488,0.0,8.730204197304747e-05,0.0,1.2208207973762875e-05,0.0,0.0010622617257712852,0.0,0.9999999974457644,0.0,4.3211770971218755e-05,0.0,0.9004977562672294,0.0,4.466427228067005e-13,0.0,0.9944877493496471,0.0,0.0009752087114950347,0.0,6.55210330435807e-10,0.0,0.9999999999999999,0.0,0.17151771152237105,0.0,1.7083001679907284e-12,0.0,9.825714453182144e-08,0.0,0.9999999922187282,0.0,0.9999974138246177,0.0,1.6931157587052326e-09,0.0,0.00021562099107375055,0.0,2.6252500173740145e-10,0.0,0.18075803298502546,0.0,0.9504437821697413,0.0,0.00799161095664247,0.0,0.8714218782590586
CPI,300,3.91167950630188,0.6651713101561609,1.0,0.006446945058116358,1.0,0.014893568590361853,1.0,0.0007568824499312468,1.0,0.08749751702191477,1.0,0.048763114819454945,1.0,0.0054528940546166235,1.0,0.00398743575795986,1.0,0.0001597766956905352,1.0,0.10290548458426862,1.0,0.023361757644042854,0.0,0.8019095164836834,0.0,0.3739848169750116,0.0,0.6446933646178981,0.0,0.5289770010723571,0.0,0.39992741742737214,0.0,0.8713688811246288,0.0,0.8606056189653695,0.0,0.7675710266856289,0.0,0.05411919203408616,0.0,0.516112406325513,0.0,0.24779571153662655,0.0,0.879707580466961,0.0,0.13199124021227865,0.0,0.5496582508071257,0.0,0.07552860293892454,0.0,0.08493679418159139,0.0,0.3830497641479308,0.0,0.8035230440683978,0.0,0.25251567012050036,0.0,0.7796559137192225,0.0,0.4941325331917128,0.0,0.9193203186928338,0.0,0.31843335758518276,0.0,0.6545389062373641,0.0,0.29277305435905837,0.0,0.19803834602133358,0.0,0.0471830990115061,0.0,0.6988503508463334,0.0,0.4205401961739542,0.0,0.4580801084739856,0.0,0.008439989343013272,0.0,0.29685228203355524,0.0,0.09078188251375818,0.0,0.43013353498917284,0.0,0.6245844982652707,0.0,0.9191725803125215,0.0,0.9953786063180358,0.0,0.6000898386637672,0.0,0.8077035226077527,0.0,0.0832923844987511
CPI_sqrt,300,3.911806583404541,0.6651713101561609,1.0,0.22453708932792182,1.0,0.12663515305172585,1.0,0.27734576176639464,1.0,0.29564546794743357,1.0,0.10196644993272974,1.0,0.23012301708731864,1.0,0.2262614553955134,1.0,0.20924518159296135,1.0,0.25387848207702246,1.0,0.20061688279892098,0.0,0.5181211302000939,0.0,0.43296157843527305,0.0,0.4879533292534863,0.0,0.5025476782919926,0.0,0.5090132290383775,0.0,0.5226026692157943,0.0,0.5187099933656588,0.0,0.5206273697429333,0.0,0.5047452344868562,0.0,0.49585086428126884,0.0,0.47657200294722174,0.0,0.5061179158985596,0.0,0.49589556403950025,0.0,0.49508846378190935,0.0,0.49731634996558244,0.0,0.4936929897056369,0.0,0.5071981381771117,0.0,0.49922740384149517,0.0,0.47473041002061434,0.0,0.4949182194498261,0.0,0.5020649191804349,0.0,0.49975347685467847,0.0,0.49631058858558713,0.0,0.49751192823955076,0.0,0.5074125456361028,0.0,0.49475694608778203,0.0,0.5013938762843846,0.0,0.5024220561650732,0.0,0.4996325734587758,0.0,0.4958288272208292,0.0,0.49406968431326515,0.0,0.5132096189776921,0.0,0.49411822079952195,0.0,0.5256184510518183,0.0,0.5044260721770827,0.0,0.5295885885307859,0.0,0.5077465230135335,0.0,0.5247577893688932,0.0,0.49459583145106145,0.0,0.48914042595065466
CPI_n,300,3.906839609146118,0.6651713101561609,1.0,0.0501793740666531,1.0,0.011278445819039282,1.0,0.0032012371471601907,1.0,0.056670412804356356,1.0,0.002418317906623282,1.0,0.06537181224308793,1.0,0.0065261139730012595,1.0,0.0012905478461029511,1.0,0.00041296202692294343,1.0,0.10367628989481231,0.0,0.3848172927576873,0.0,0.3098177734679838,0.0,0.4800630266531486,0.0,0.43391723751787986,0.0,0.4238316669106674,0.0,0.4219118677235422,0.0,0.6199277381158135,0.0,0.6513080505701261,0.0,0.5774316760483357,0.0,0.4827292919642886,0.0,0.28442651731180724,0.0,0.4646421729789108,0.0,0.5619289951431774,0.0,0.41144336080459176,0.0,0.4442606486751706,0.0,0.3805061744027812,0.0,0.6068759710811621,0.0,0.5897745270512009,0.0,0.3992645852352577,0.0,0.48246787596904056,0.0,0.4847489486793904,0.0,0.4945378811642062,0.0,0.44070849460960415,0.0,0.5511434338196294,0.0,0.3625866217047111,0.0,0.3539294830998087,0.0,0.47978455111947715,0.0,0.5420765633212232,0.0,0.5021175673989201,0.0,0.45707006489000557,0.0,0.4184174155329409,0.0,0.5485293318971696,0.0,0.32351846602979206,0.0,0.580332167310729,0.0,0.5263402141623826,0.0,0.6626215254471154,0.0,0.5419126556156014,0.0,0.44930668342360786,0.0,0.43668194561149043,0.0,0.37562361033377867
CPI_bt,300,4.07429838180542,0.6651713101561609,1.0,6.66909419801528e-17,1.0,1.55907425380601e-33,1.0,6.001041525011426e-31,1.0,0.015954411598995435,1.0,4.956237329441476e-25,1.0,8.107680602459083e-21,1.0,9.245337184995812e-11,1.0,3.198142608768252e-24,1.0,5.7566340277980696e-05,1.0,7.84644003870637e-09,0.0,0.5124273067044678,0.0,0.3007771631447087,0.0,0.36591679287559603,0.0,0.37742572597253976,0.0,0.5076062588904972,0.0,0.6347939321528512,0.0,0.6089618132974045,0.0,0.7044547808679706,0.0,0.3783074427225639,0.0,0.5678985759835445,0.0,0.43777771036378227,0.0,0.546995716114639,0.0,0.40663624783372043,0.0,0.4917939398925941,0.0,0.4457418874247084,0.0,0.606576859611922,0.0,0.31792617458939787,0.0,0.6078556281757099,0.0,0.4006620425137223,0.0,0.380872775492697,0.0,0.5202533075780839,0.0,0.5159159098323485,0.0,0.33350334009245175,0.0,0.6133291973945356,0.0,0.5588210879551657,0.0,0.4721107103714984,0.0,0.4986350891031879,0.0,0.5317656983332119,0.0,0.4934226398840726,0.0,0.5584886081038377,0.0,0.5455316051537503,0.0,0.2539825670807974,0.0,0.187077834030001,0.0,0.6145088996912144,0.0,0.4627845779925119,0.0,0.7308060174310573,0.0,0.46305095680883446,0.0,0.4372426933079327,0.0,0.4827042017812956,0.0,0.3997692622006563
CPI_sqd,300,4.074589252471924,0.6651713101561609,1.0,7.121568288532417e-53,1.0,0.0,1.0,1.2521221461215512e-157,1.0,0.0,1.0,0.0,1.0,1.1061566967904972e-165,1.0,3.5286630200076627e-224,1.0,0.0,1.0,0.0,1.0,2.0456000765044798e-38,0.0,0.9999999999999806,0.0,4.565605712435022e-218,0.0,1.0,0.0,0.9999999999607863,0.0,0.0001685307500712061,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1005924115786352e-85,0.0,3.548794121188827e-61,0.0,2.465135123606201e-99,0.0,1.0,0.0,9.895554573878436e-209,0.0,1.0,0.0,1.3090817501331414e-262,0.0,4.151919448861557e-308,0.0,1.0,0.0,0.5833609019830657,0.0,2.707282677418812e-123,0.0,4.186673692262715e-10,0.0,0.013673938383880388,0.0,0.9675465411549191,0.0,0.9999999970200301,0.0,1.0,0.0,3.855504075834043e-85,0.0,3.514762049319738e-207,0.0,0.004733955126017523,0.0,1.0,0.0,0.005030325558134059,0.0,1.0,0.0,5.356184221058178e-10,0.0,2.960643802070941e-157,0.0,2.443502648490759e-66,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2674691095565391e-12,0.0,4.140536730235473e-103,0.0,6.391735422997465e-92
S-CPI,300,4.312126159667969,0.6651713101561609,1.0,0.018525188494256477,1.0,0.0007819123386930413,1.0,0.02207222653766411,1.0,0.11757356192377233,1.0,0.03006159012660337,1.0,0.02624533409424151,1.0,0.007337421727990079,1.0,0.0007720582092735474,1.0,0.0015057075959318165,1.0,0.37536447247950844,0.0,0.6732221131975257,0.0,0.018837996327143357,0.0,0.5514702899928314,0.0,0.4073404841638121,0.0,0.6500239134063215,0.0,0.866806304763997,0.0,0.9665728830593321,0.0,0.9736909600552873,0.0,0.9259462611130502,0.0,0.48713478357674755,0.0,0.17268081433125432,0.0,0.9146361359752238,0.0,0.3996650146283814,0.0,0.4637466076636706,0.0,0.08455907999745399,0.0,0.03698149572148818,0.0,0.8273800337804007,0.0,0.832183112546286,0.0,0.12733173897623118,0.0,0.3946918790611769,0.0,0.3566481918614386,0.0,0.4464200630231402,0.0,0.14453040689067942,0.0,0.6919507581574726,0.0,0.4280578573700289,0.0,0.01623114497581368,0.0,0.42862551978878133,0.0,0.8577046109065076,0.0,0.628278790811095,0.0,0.20481064462908166,0.0,0.10190057614255393,0.0,0.6355457794123174,0.0,0.12761493105116806,0.0,0.7952594193572753,0.0,0.23570683185620184,0.0,0.9682104295702695,0.0,0.8223511366536873,0.0,0.6997659749626228,0.0,0.6037486676051855,0.0,0.2661223697910822
S-CPI_sqrt,300,4.305037260055542,0.6651713101561609,1.0,0.22788289818372903,1.0,0.11636690790516041,1.0,0.22711342886706526,1.0,0.3405803554100575,1.0,0.18485270592698533,1.0,0.24908779275199622,1.0,0.1709290063723456,1.0,0.11368527923750082,1.0,0.17213972499357,1.0,0.41608336213168134,0.0,0.5144243709620582,0.0,0.4155327805002492,0.0,0.5038841476598613,0.0,0.49358255695531533,0.0,0.5034697102047956,0.0,0.5219806742955808,0.0,0.5203065063306165,0.0,0.5264674528916593,0.0,0.5303221564038176,0.0,0.4973529904472095,0.0,0.477634766592139,0.0,0.5118982600280968,0.0,0.5091205475954533,0.0,0.49860733885613856,0.0,0.4823567000602814,0.0,0.48438613982449097,0.0,0.5235164860602792,0.0,0.5005873381022751,0.0,0.47897881555606736,0.0,0.49867712824723615,0.0,0.4989575722905313,0.0,0.5004862106864858,0.0,0.4907964514636377,0.0,0.5051539571578081,0.0,0.4843066903567404,0.0,0.4891782155976712,0.0,0.4918718280127342,0.0,0.5048071010503947,0.0,0.5001952622368273,0.0,0.49924759115170114,0.0,0.4952146196966222,0.0,0.48420045259193206,0.0,0.493107450514916,0.0,0.532075109277274,0.0,0.4925746276238769,0.0,0.5560319391095266,0.0,0.558916871255694,0.0,0.51349620357884,0.0,0.4955762911731905,0.0,0.48562540037549884
S-CPI_n,300,4.308738708496094,0.6651713101561609,1.0,0.020514878597008134,1.0,0.005002058786616522,1.0,0.037401213804828734,1.0,0.0715288631372275,1.0,0.03988409577695594,1.0,0.10307226791715235,1.0,0.0168629627438957,1.0,0.00268491339554388,1.0,0.008007372966669563,1.0,0.4835861046278225,0.0,0.493733542567429,0.0,0.21436127271538685,0.0,0.4302641226583592,0.0,0.467701246563018,0.0,0.4892605022329379,0.0,0.6221085117710673,0.0,0.6283700853340275,0.0,0.6757838315418777,0.0,0.643457758130237,0.0,0.4939138513886909,0.0,0.38450451398476715,0.0,0.5842635156298748,0.0,0.5097400597891216,0.0,0.4721455539772232,0.0,0.4348843248557853,0.0,0.2144530867476413,0.0,0.5741115620974164,0.0,0.5656243122541211,0.0,0.34628461716336134,0.0,0.5067001473178286,0.0,0.5056106556927152,0.0,0.5044933669025251,0.0,0.4116783972901218,0.0,0.6037645144915067,0.0,0.442060561317404,0.0,0.3959538353129512,0.0,0.5101759299274955,0.0,0.5615466308668937,0.0,0.5195750010724958,0.0,0.49575865120597673,0.0,0.46866746730419845,0.0,0.5773583667213311,0.0,0.3870090675580035,0.0,0.6350022543015381,0.0,0.4993071992627216,0.0,0.7790151053598475,0.0,0.7099757315435289,0.0,0.5830626888119066,0.0,0.47729271464440687,0.0,0.41297930153339146
S-CPI_bt,300,4.474102258682251,0.6651713101561609,1.0,1.659987398000843e-11,1.0,7.387749413671808e-22,1.0,7.046189144210925e-18,1.0,6.087691391079902e-07,1.0,1.9919746193112154e-11,1.0,3.793946614367202e-08,1.0,8.37954173859649e-09,1.0,2.816601627122261e-37,1.0,1.398870097433051e-20,1.0,0.047062815170321855,0.0,0.4800694884869714,0.0,0.10161424878807673,0.0,0.5060980471606967,0.0,0.46983901335287875,0.0,0.5081078706080163,0.0,0.6304265153514612,0.0,0.7311496473353439,0.0,0.80664963020525,0.0,0.7159733680664713,0.0,0.483688840584759,0.0,0.2498326963822169,0.0,0.727625710058263,0.0,0.5593703892096809,0.0,0.583944614281154,0.0,0.34614531259517634,0.0,0.25563712230941704,0.0,0.6908381308921016,0.0,0.5389332899211958,0.0,0.23661821524408283,0.0,0.43712001434663983,0.0,0.50303368978253,0.0,0.49878942764169804,0.0,0.40540848731850804,0.0,0.5794157209163584,0.0,0.33183581707840387,0.0,0.41885505641385934,0.0,0.4920626734469817,0.0,0.5404834243581511,0.0,0.5328250460432208,0.0,0.4970286182865234,0.0,0.4615180606462276,0.0,0.4156049005197417,0.0,0.3074598800485392,0.0,0.7412482489200176,0.0,0.5270580148161643,0.0,0.8551858710737463,0.0,0.9490094993528216,0.0,0.7360716066921218,0.0,0.46967963707285626,0.0,0.4385554878991937
