method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,69.76989126205444,0.9158243914448978,0.0,0.07935649542669099,0.0,0.9999983860258791,0.0,0.7265462798646536,0.0,0.0002466756371962697,0.0,0.6429755854989436,0.0,0.9422358907408257,0.0,0.7713970858732269,0.0,0.00016140724230240266,0.0,0.05117708525168807,0.0,0.015887316965744747,0.0,6.117637729730063e-09,0.0,0.9512983155127488,0.0,1.9286012786778883e-09,0.0,0.9999999108462533,0.0,3.984673188062171e-05,0.0,2.6382017376369582e-05,0.0,0.030054953061859235,0.0,0.9998656987288084,0.0,2.809088328614706e-08,0.0,0.8458052430779677,0.0,0.9694677796369812,0.0,0.628152512700781,0.0,3.212526405782512e-06,0.0,0.9998091015556971,0.0,0.026819379437214352,0.0,0.09427949582626494,0.0,0.9999990555544269,0.0,0.9999999999906322,0.0,0.22072547111074092,0.0,0.9571632298688906,0.0,0.9423652370593489,0.0,0.9999999332358579,0.0,0.9999999024156198,0.0,1.4773726686456712e-10,0.0,0.9999999634840318,0.0,0.9999719828957343,0.0,1.3645040652932039e-09,0.0,0.0008991945556280356,0.0,0.9999204036581729,0.0,0.798689838864165,0.0,0.9999878958399575,1.0,1.1016232370764101e-10,0.0,0.999995806483748,0.0,0.8384645252434797,0.0,0.010607597267444424,0.0,0.0004649934120503074,0.0,0.03282344973576312,0.0,0.019731855644506968,0.0,0.006621209018343399,0.0,0.5343899232449392
CPI,300,4.226020574569702,0.9158243914448978,0.0,0.15053327815784306,0.0,0.3049390883133355,0.0,0.7323481891827043,0.0,0.04090209943089775,0.0,0.008634221811656675,0.0,0.30723126476032514,0.0,0.02717214895370203,0.0,0.6960525989946986,0.0,0.19638899112722352,0.0,0.8934291499588856,0.0,0.9712623573964342,0.0,0.2785579101797556,0.0,0.917247088646048,0.0,0.5435893161832293,0.0,0.717674068590908,0.0,0.8040485163501465,0.0,0.18117219594653883,0.0,0.004880579453160277,0.0,0.11378818732279455,0.0,0.33264102434642995,0.0,0.3464334976025995,0.0,0.40606124160156876,0.0,0.07011030941942521,0.0,0.06397809315834195,0.0,0.6524190075733385,0.0,0.4625182108281705,0.0,0.11322830693331176,0.0,0.035671258150906195,0.0,0.937819103921748,0.0,0.9495959373847285,0.0,0.03984814334297977,0.0,0.5228574640898003,0.0,0.5594916429700468,0.0,0.8572889717409564,0.0,0.870907391819282,0.0,0.10636559532672224,0.0,0.9302210312418445,0.0,0.5440844697423817,0.0,0.9119897912147008,0.0,0.4242814487409126,0.0,0.10327162437736759,1.0,4.777257193329997e-09,0.0,0.9896686079180353,0.0,0.7226054839919057,0.0,0.8177843821719015,0.0,0.18587340375996947,0.0,0.7497759143517497,0.0,0.6189182590793255,0.0,0.06798824917891806,0.0,0.013397623042663568
CPI_sqrt,300,4.221663475036621,0.9158243914448978,0.0,0.4995998391058676,0.0,0.49505224324195757,0.0,0.49991362915681914,0.0,0.49961480607567404,0.0,0.49469157039573214,0.0,0.49919356880405114,0.0,0.49735335293239286,0.0,0.5029492577476866,0.0,0.5008458344195508,0.0,0.5008310271580062,0.0,0.5020130118400712,0.0,0.5021351079619364,0.0,0.49991035277004925,0.0,0.49776251191647913,0.0,0.5005346173359178,0.0,0.5010924890886707,0.0,0.5002640152531774,0.0,0.4975856734917742,0.0,0.5015180585137965,0.0,0.5007790048613806,0.0,0.5013431487773172,0.0,0.5002362850962332,0.0,0.49852972049840355,0.0,0.49953271309772346,0.0,0.5012237137352811,0.0,0.49870642891877054,0.0,0.500820210198117,0.0,0.4966364227271711,0.0,0.5009025135993102,0.0,0.5001796161784525,0.0,0.4984311696215677,0.0,0.5028940487584266,0.0,0.5010184323595628,0.0,0.501965979395782,0.0,0.5004366349944411,0.0,0.4963186789529316,0.0,0.5005208095284123,0.0,0.5009193702503428,0.0,0.4983946474927554,0.0,0.4993395390098733,0.0,0.49931387255113574,1.0,0.001307018893844757,0.0,0.5012522493053546,0.0,0.4992419510480106,0.0,0.5014593195108749,0.0,0.5002218680425887,0.0,0.5002404653855624,0.0,0.49822478107269513,0.0,0.499228622797142,0.0,0.49594769000274
CPI_n,300,4.224448919296265,0.9158243914448978,0.0,0.49699247491061815,0.0,0.44963355832639756,0.0,0.512685760351012,0.0,0.4972762103874392,0.0,0.48299318249053363,0.0,0.48924536991338546,0.0,0.456637628571272,0.0,0.539603554978025,0.0,0.4871063347995546,0.0,0.5003372231683514,0.0,0.5022743216049202,0.0,0.515052475911191,0.0,0.498199527757418,0.0,0.4852524242762671,0.0,0.4995385140999644,0.0,0.5011376459472819,0.0,0.5166092273381225,0.0,0.47708929215473256,0.0,0.5191662612309896,0.0,0.4988899671306657,0.0,0.45967577806655047,0.0,0.5037700156424321,0.0,0.4948437062311029,0.0,0.48063672176556393,0.0,0.5276475730228163,0.0,0.49796566126921066,0.0,0.49330535499794653,0.0,0.44299993866582305,0.0,0.49870593687602754,0.0,0.5022814389541915,0.0,0.4902226946729978,0.0,0.5115669457887921,0.0,0.5030264960762075,0.0,0.5209012789662902,0.0,0.4991011518679352,0.0,0.4773438337111955,0.0,0.5093195635192044,0.0,0.4816443780767642,0.0,0.5002122862662387,0.0,0.4972480363051341,0.0,0.5026197192943342,1.0,3.1964166749549485e-11,0.0,0.5071517286837933,0.0,0.49520756440873775,0.0,0.48863790655261186,0.0,0.4993252838602106,0.0,0.5054141276774772,0.0,0.5060796003607549,0.0,0.5032718063629408,0.0,0.47759106024582815
CPI_bt,300,4.406753063201904,0.9158243914448978,0.0,0.5052049726133289,0.0,0.48320073287410015,0.0,0.5302531750772135,0.0,0.5040547928262307,0.0,0.5082354739261888,0.0,0.4887866747222447,0.0,0.5004497765511463,0.0,0.532801689829481,0.0,0.4863024852122955,0.0,0.48404620720783387,0.0,0.5202060503440499,0.0,0.5376470240326625,0.0,0.5018879046449596,0.0,0.49494756467740736,0.0,0.5060717332116008,0.0,0.5216109278990183,0.0,0.514822861347715,0.0,0.4854062449551197,0.0,0.4952527786833128,0.0,0.5106038824483389,0.0,0.47934747013964124,0.0,0.49279885308209753,0.0,0.49017142404231345,0.0,0.4798658686876379,0.0,0.522134893054519,0.0,0.48858933900365953,0.0,0.5090964476379728,0.0,0.482727928054204,0.0,0.5171060937625775,0.0,0.5123361184290401,0.0,0.4917371329897041,0.0,0.5062929918211302,0.0,0.5123364132114597,0.0,0.5323222200853761,0.0,0.48556422379619146,0.0,0.4802589190662238,0.0,0.5103931081416762,0.0,0.5100485200512479,0.0,0.5209537220697646,0.0,0.49466830189158334,0.0,0.49848780851573293,1.0,1.0095715209608925e-171,0.0,0.5177746676196647,0.0,0.4917411299434798,0.0,0.49343637989638756,0.0,0.5039334028075941,0.0,0.4974380652074028,0.0,0.49673809379236333,0.0,0.4760815290128836,0.0,0.494601887936806
CPI_sqd,300,4.391740798950195,0.9158243914448978,0.0,0.9907528351422387,0.0,0.6734589734494567,0.0,0.36445646294840994,0.0,0.4120499553190704,0.0,8.657236815660293e-07,0.0,0.26082237656934293,0.0,0.01678869409055359,0.0,0.999996716568532,0.0,0.005085977633115687,0.0,0.999217950940177,0.0,0.9999533324307256,0.0,0.9992786024786172,0.0,0.9965712437390373,0.0,4.495361941404213e-08,0.0,0.9967812662494657,0.0,0.9999511989667444,0.0,0.5085313714142666,0.0,0.011542822879536983,0.0,1.0,0.0,0.9992115650929262,0.0,1.0,0.0,0.8799394581205724,0.0,5.860297031082824e-05,0.0,0.27090516975256507,0.0,0.9999999999995705,0.0,0.42975748446834533,0.0,0.06947752300786415,0.0,3.6284959285979395e-40,0.0,0.9946361732420455,0.0,0.9208499150380658,0.0,0.4584887628504297,0.0,0.9987140576999736,0.0,0.996035748891578,0.0,0.9999999999999559,0.0,0.94607951494116,0.0,0.651614238934518,0.0,0.8581334428076175,0.0,0.9994096975603762,0.0,0.9999999904806728,0.0,0.5815679779218383,0.0,0.11960985483300623,1.0,0.0,0.0,0.9820119618799809,0.0,0.0003507850699527093,0.0,0.9351447917770398,0.0,1.1978398293627316e-07,0.0,0.4438488596274526,0.0,0.1228313123255434,0.0,0.11219555807618992,0.0,6.689092816508808e-07
S-CPI,300,4.653336048126221,0.9158243914448978,0.0,0.852198224157284,0.0,0.047127072230529886,0.0,0.9185151717283406,0.0,0.7181358663187589,0.0,0.4583323771506419,0.0,0.05716145810695489,0.0,0.02510653692854138,0.0,0.9576561207605254,0.0,0.6253287013312449,0.0,0.8195524061339009,0.0,0.9777834535654039,0.0,0.7335253724630477,0.0,0.8582239209195414,0.0,0.16790716759097984,0.0,0.8917455016485246,0.0,0.9429339302659497,0.0,0.8733321161371351,0.0,0.09815424908481946,0.0,0.42351245365583096,0.0,0.7906685942896463,0.0,0.6825759734786867,0.0,0.22886375667970732,0.0,0.0197234599670419,0.0,0.14567785900818353,0.0,0.7652698741990053,0.0,0.16746246623828182,0.0,0.4695274279668135,0.0,0.11311935520312938,0.0,0.4056074954210419,0.0,0.7515628259390972,0.0,0.3199619768676335,0.0,0.8914458328357366,0.0,0.9849479823063381,0.0,0.9740237845736304,0.0,0.2821433883641154,0.0,0.07857896877344811,0.0,0.8232991839251861,0.0,0.7034048672350318,0.0,0.7639440540020077,0.0,0.3874115664599586,0.0,0.4380791586646182,1.0,9.77025640876788e-09,0.0,0.9601579302919958,0.0,0.3746380687861314,0.0,0.7621023507261728,0.0,0.013366460857118618,0.0,0.6715324028587762,0.0,0.6337270550023805,0.0,0.0792191358481183,0.0,0.0032496337866166907
S-CPI_sqrt,300,4.660685777664185,0.9158243914448978,0.0,0.5005149292885109,0.0,0.49846931460238353,0.0,0.5032766168962184,0.0,0.500191382006316,0.0,0.49964613747261954,0.0,0.4990782058605935,0.0,0.4968867529290848,0.0,0.5041921299528901,0.0,0.5013253976292604,0.0,0.5017386933373554,0.0,0.5020815043145062,0.0,0.5015789398760988,0.0,0.5019990965777169,0.0,0.49659265383717704,0.0,0.5001990013883388,0.0,0.5029950885541966,0.0,0.5014914782842478,0.0,0.4974720721129087,0.0,0.5004054473480922,0.0,0.49995233739796796,0.0,0.5030800524412966,0.0,0.5003562899316174,0.0,0.49723699614723643,0.0,0.49941808184516995,0.0,0.5048947853418608,0.0,0.4987505783829056,0.0,0.4999549306375396,0.0,0.4975750572814957,0.0,0.5006013144008924,0.0,0.5009927933814342,0.0,0.49784595294213874,0.0,0.5044876949772139,0.0,0.5014994807107588,0.0,0.5046360468674583,0.0,0.49856905912015725,0.0,0.4953968836787505,0.0,0.5005402076041866,0.0,0.501454604350459,0.0,0.5022796573260369,0.0,0.49965134498665936,0.0,0.4995133875646273,1.0,0.0020886692261213187,0.0,0.5042308580338267,0.0,0.50026919992371,0.0,0.5003584310674031,0.0,0.4982252910324913,0.0,0.5002391115794935,0.0,0.5003059075943436,0.0,0.4969546032547176,0.0,0.4964492899018811
S-CPI_n,300,4.66338586807251,0.9158243914448978,0.0,0.50246970738076,0.0,0.48318726997160033,0.0,0.5270495245286065,0.0,0.5037359008452471,0.0,0.4904028673031441,0.0,0.4933984074474152,0.0,0.4632519098180469,0.0,0.5358035056841969,0.0,0.4936877988488906,0.0,0.5332072016187642,0.0,0.5222775233636326,0.0,0.5177591480666252,0.0,0.5231650306330318,0.0,0.4661112703201357,0.0,0.5114989834170853,0.0,0.5262029288887443,0.0,0.5144604410962145,0.0,0.4657995310679612,0.0,0.4928498102168934,0.0,0.509755342131986,0.0,0.5049575595505476,0.0,0.4993987106998446,0.0,0.47637754404506716,0.0,0.4830478143231847,0.0,0.5591414322150478,0.0,0.4920240726072107,0.0,0.5019614350984021,0.0,0.46228502246147324,0.0,0.5048818984614171,0.0,0.5042820919084137,0.0,0.4908634289269723,0.0,0.5191156379862335,0.0,0.5101309426500407,0.0,0.5422139930772344,0.0,0.49877007572628623,0.0,0.45959181870528387,0.0,0.5094424378361706,0.0,0.5189203324633959,0.0,0.5158699656558703,0.0,0.4971611783904439,0.0,0.4965681278813946,1.0,2.364867087501719e-08,0.0,0.534758203107446,0.0,0.5070566195419449,0.0,0.509305065730377,0.0,0.4912029094310828,0.0,0.505918091061373,0.0,0.5002921643764353,0.0,0.48100654334325377,0.0,0.4529960523002441
S-CPI_bt,300,4.921586036682129,0.9158243914448978,0.0,0.5016684457680745,0.0,0.46924466070863696,0.0,0.525045093135444,0.0,0.49963518551764574,0.0,0.5032679856648778,0.0,0.49192499347955637,0.0,0.46555220732364094,0.0,0.5542542955476938,0.0,0.4927360469606885,0.0,0.5238791542933955,0.0,0.5200162085397109,0.0,0.5153764142711722,0.0,0.5290065628267564,0.0,0.48228808502100057,0.0,0.5127001129827837,0.0,0.51967707214745,0.0,0.5147248635015531,0.0,0.4662171556641806,0.0,0.506566979880268,0.0,0.5088303981422052,0.0,0.495277476173338,0.0,0.49504793364072575,0.0,0.46966045804424017,0.0,0.47959678804555533,0.0,0.5599503448596792,0.0,0.4886829967750651,0.0,0.4953086013550559,0.0,0.46837856292129576,0.0,0.511562139035162,0.0,0.5146322929076658,0.0,0.48808976651506,0.0,0.5456330045678076,0.0,0.5168423308056513,0.0,0.5488675640273033,0.0,0.49432561076742754,0.0,0.462053732290298,0.0,0.5233070702963502,0.0,0.5213233314317915,0.0,0.5394467687778506,0.0,0.5024654419307637,0.0,0.49073187756644476,1.0,3.375456656134147e-178,0.0,0.5435639650210214,0.0,0.5004318227695795,0.0,0.5100180304531337,0.0,0.4804820862401331,0.0,0.5041342277819342,0.0,0.5123852366425009,0.0,0.4766442975029473,0.0,0.4522633191519499
S-CPI_sqd,300,4.827473878860474,0.9158243914448978,0.0,0.8179326063752282,0.0,3.4877237756987086e-07,0.0,0.9999999401190499,0.0,0.8106870505719372,0.0,4.66246011345186e-12,0.0,0.01390345422666826,0.0,7.28782817001751e-11,0.0,0.9999999999997513,0.0,0.9955950838233244,0.0,0.9999999816595533,0.0,0.9999999927115384,0.0,0.9999999899794474,0.0,0.9999999999972371,0.0,3.26676385658957e-07,0.0,0.9799808601754512,0.0,0.999558358999434,0.0,0.9990247063320205,0.0,4.5579915045717786e-14,0.0,0.03208012915859384,0.0,0.9688934206771327,0.0,0.009146208311662594,0.0,0.4374674280480036,0.0,8.084499447290141e-11,0.0,0.0013616815916292421,0.0,1.0,0.0,0.00638441454387479,0.0,0.33297992227546414,0.0,7.679905032095504e-11,0.0,0.9701741316944813,0.0,0.6314847452635708,0.0,0.005207848397263725,0.0,0.9999999839638515,0.0,0.9996974324977402,0.0,1.0,0.0,0.02010623834409171,0.0,5.750561315073078e-20,0.0,0.999999994888433,0.0,0.9999999920898509,0.0,0.9999999998979586,0.0,0.49075309008609663,0.0,0.6028147356721578,1.0,1.23503732293217e-310,0.0,1.0,0.0,0.22203016502373984,0.0,0.9978465384278546,0.0,0.0010170883800302176,0.0,0.5540197282479722,0.0,0.9941749855848505,0.0,4.704651560425636e-06,0.0,5.850959699320834e-13
S-CPI2,300,9.02316164970398,0.9158243914448978,0.0,0.7603535051115766,0.0,0.13030763836411552,0.0,0.8225963859351764,0.0,0.5719793177876125,0.0,0.37952894410443627,0.0,0.08731737090110514,0.0,0.031066160182598286,0.0,0.9336887202141623,0.0,0.5601540311586508,0.0,0.8021352693847239,0.0,0.9679702761205511,0.0,0.667032784788597,0.0,0.8858869670201972,0.0,0.1836095205527694,0.0,0.753430763239313,0.0,0.9279890188801023,0.0,0.8479041096349735,0.0,0.0619390006336566,0.0,0.470481865801218,0.0,0.7531937052841373,0.0,0.5276872752748333,0.0,0.3467396910812821,0.0,0.009054715038762193,0.0,0.2062943726342683,0.0,0.8126800997987812,0.0,0.15615107913902077,0.0,0.5060087790378986,0.0,0.17550854643266606,0.0,0.7796397929328049,0.0,0.819439771465567,0.0,0.27701324726300114,0.0,0.8846454940572295,0.0,0.9703611761979991,0.0,0.968098101953867,0.0,0.3334169757135075,0.0,0.10784038590352657,0.0,0.8453656763273449,0.0,0.7640838915554286,0.0,0.8993184538887431,0.0,0.27414113133591794,0.0,0.2857593798402177,1.0,4.424685067032953e-10,0.0,0.882173528773786,0.0,0.5638260673834452,0.0,0.7687481143768724,0.0,0.07498715460991309,0.0,0.5891671177807187,0.0,0.7913911533240261,0.0,0.16074290974343036,0.0,0.010445682836478573
S-CPI2_sqrt,300,9.066047191619873,0.9158243914448978,0.0,0.5007202397580021,0.0,0.49636551069556845,0.0,0.5031876931963296,0.0,0.49971916477515016,0.0,0.4990678595071721,0.0,0.49898155327237836,0.0,0.49606640230915333,0.0,0.5050157956497577,0.0,0.5008151054004707,0.0,0.5022954209632144,0.0,0.5024043381724301,0.0,0.5012818537155664,0.0,0.5028585758101389,0.0,0.4977803973364351,0.0,0.5008514373783547,0.0,0.5025204562264672,0.0,0.5018155577273196,0.0,0.4966581588160611,0.0,0.5007400747730593,0.0,0.5008841966895698,0.0,0.5011111933806729,0.0,0.49985246460697735,0.0,0.49701029609685216,0.0,0.49821688284520943,0.0,0.5053700509515039,0.0,0.4993098333356156,0.0,0.4999700043439663,0.0,0.49677675091582424,0.0,0.5013249838416837,0.0,0.5008347268228401,0.0,0.49838344988238814,0.0,0.5040639033613863,0.0,0.501504605622875,0.0,0.505412377285457,0.0,0.4997860012046891,0.0,0.49470255927735846,0.0,0.5012550900944135,0.0,0.5012185955949404,0.0,0.5041497257156614,0.0,0.49975779394004327,0.0,0.49975824784855516,1.0,0.0015886177855316157,0.0,0.5042267824328256,0.0,0.5001939361306492,0.0,0.5010677566505211,0.0,0.4981917015031122,0.0,0.5003306230399992,0.0,0.5005152827576448,0.0,0.4979448299781757,0.0,0.49567740320894244
S-CPI2_n,300,9.042932510375977,0.9158243914448978,0.0,0.5052230753295758,0.0,0.4718818253518057,0.0,0.5213016461873544,0.0,0.5028060748280732,0.0,0.48803750619674335,0.0,0.4893584154787768,0.0,0.46601580400161646,0.0,0.5423317855591733,0.0,0.5062717376152412,0.0,0.520597114847271,0.0,0.5193605898395038,0.0,0.5087052756101986,0.0,0.5265236249658339,0.0,0.47503943341577687,0.0,0.509050664108061,0.0,0.5260721124120263,0.0,0.5156402382677675,0.0,0.46813606448434,0.0,0.4965241791216403,0.0,0.5092118480984374,0.0,0.5090489984994844,0.0,0.4993474805434985,0.0,0.47473766408670676,0.0,0.48827174608991236,0.0,0.5442629050893498,0.0,0.49041929104103166,0.0,0.4986855069014569,0.0,0.4709564160506985,0.0,0.5122580908349621,0.0,0.5075202366429077,0.0,0.48389957494229213,0.0,0.539921832671941,0.0,0.5167391276502864,0.0,0.5497249390462499,0.0,0.494066035972509,0.0,0.4607110045303213,0.0,0.5127095329655829,0.0,0.5163684072341591,0.0,0.5322270265711515,0.0,0.4960695159715979,0.0,0.4953284327724377,1.0,6.375483027877653e-08,0.0,0.5339286999189808,0.0,0.5003472900476654,0.0,0.5080603613703856,0.0,0.48153288354025714,0.0,0.5024759932736836,0.0,0.5100974010292573,0.0,0.4791429691354983,0.0,0.46126406377537343
S-CPI2_bt,300,9.224443197250366,0.9158243914448978,0.0,0.505547694896942,0.0,0.4706043098540138,0.0,0.529400498865428,0.0,0.4996859755569885,0.0,0.48887474496803085,0.0,0.4886328506082365,0.0,0.45890250552666395,0.0,0.5456855992366682,0.0,0.5086132271296879,0.0,0.5277120605715996,0.0,0.5233018561825773,0.0,0.5082156240822774,0.0,0.5237700710233575,0.0,0.4783023450642968,0.0,0.507544913939077,0.0,0.5264132794992179,0.0,0.5163843278999388,0.0,0.4646172004751696,0.0,0.50509528732849,0.0,0.5102000831496173,0.0,0.5110851857125932,0.0,0.5000954114111661,0.0,0.4714361776686186,0.0,0.4848828461086719,0.0,0.544833747249365,0.0,0.48920372942698187,0.0,0.5018046785286449,0.0,0.4643099164873837,0.0,0.51094254728408,0.0,0.5073733086280154,0.0,0.4871232744832586,0.0,0.5396125121426827,0.0,0.5151252148532967,0.0,0.5519550735874862,0.0,0.49614305777098894,0.0,0.4582761433165442,0.0,0.5118632614272287,0.0,0.5174469405248343,0.0,0.5342779701124774,0.0,0.49631461147936595,0.0,0.4957455910006738,1.0,7.830409759180656e-132,0.0,0.5411117962565563,0.0,0.5005923895904218,0.0,0.5088711599465094,0.0,0.4866597684067208,0.0,0.5038841569582511,0.0,0.5090031056600071,0.0,0.48003219383727963,0.0,0.4556172126648669
