method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.931674718856812,0.5792540825730987,0.0,0.7914253330661221,0.0,0.905958597717581,0.0,0.9996644547297368,0.0,0.9941311957777763,0.0,0.7181696874836605,0.0,0.9646892406174195,0.0,0.9103964667856626,0.0,0.9649610945983602,0.0,0.9987937802385485,0.0,0.9374789538490627,0.0,0.9917465060684122,0.0,0.6647587255829245,0.0,0.996813960173736,0.0,0.9073329657559355,0.0,0.9489145849622569,0.0,0.791363627219233,0.0,0.9933941226314672,0.0,0.9930163006202882,0.0,0.9457342165233689,0.0,0.8966914502697226,0.0,0.9979938391126542,0.0,0.17009423722689965,0.0,0.9650223772984341,0.0,0.9999702159190401,0.0,0.7103498075031083,0.0,0.9643567428140825,0.0,0.8337881936852125,0.0,0.9668826457369554,0.0,0.9839155323569507,0.0,0.9936826626898346,0.0,0.9580891114269081,0.0,0.9561993858906919,0.0,0.6106154441794465,0.0,0.14927750621759395,0.0,0.9953342563214995,0.0,0.8366421681370877,0.0,0.5561821130565809,0.0,0.9978259681545276,0.0,0.845267151815539,0.0,0.9278411856061038,0.0,0.9922437804899235,0.0,0.949580419439559,0.0,0.5617109170055139,1.0,0.9574356632894053,0.0,0.9433185802836587,0.0,0.963459160018975,0.0,0.279988503628547,0.0,0.8397028101723845,0.0,0.9008711008503343,0.0,0.828646875565467
CPI,300,3.5437326431274414,0.5792540825730987,0.0,0.10700587731080868,0.0,0.5312584075784635,0.0,0.3555728789319267,0.0,0.5385072017001173,0.0,0.5097186038495353,0.0,0.7812784735877532,0.0,0.7317039241130239,0.0,0.3823156972335874,0.0,0.8263065932776201,0.0,0.21267366419968847,0.0,0.9580012093308157,0.0,0.9998970778399047,0.0,0.833782171257678,0.0,0.854836838817343,0.0,0.8435308895042648,0.0,0.8938735138856239,0.0,0.8213120225564993,0.0,0.5055583516627615,0.0,0.6390873700728854,0.0,0.1867687688128723,0.0,0.2534812546528865,0.0,0.5487295906136321,0.0,0.9218592530622655,0.0,0.7049441544401331,0.0,0.22610019536253823,0.0,0.225215913601023,0.0,0.769913157901,0.0,0.49035099806818816,0.0,0.8369405747602516,0.0,0.5518581767153711,0.0,0.46872837931179945,0.0,0.8277665492008299,0.0,0.7118947113534456,0.0,0.824919063315815,0.0,0.5984587039762157,0.0,0.3755166636139725,0.0,0.8047893237974248,0.0,0.9993805891964861,0.0,0.5136702920311729,0.0,0.8438771611030085,0.0,0.4474868130335826,0.0,0.8733326231339544,0.0,0.16592924052545088,1.0,5.616351414347634e-07,0.0,0.8404845117964016,0.0,0.0721796357142081,0.0,0.8284706049661449,0.0,0.3406859252406611,0.0,0.02871906864368101,0.0,0.5596999576664692
CPI_sqrt,300,3.5419411659240723,0.5792540825730987,0.0,0.4759275120043092,0.0,0.5186018605670177,0.0,0.545222199606531,0.0,0.46676140469495964,0.0,0.4994357136568096,0.0,0.5360649510855154,0.0,0.5521486430443987,0.0,0.4874319017970664,0.0,0.48684237051329415,0.0,0.5346350215095805,0.0,0.5473384048966342,0.0,0.5754404763997532,0.0,0.4857402766854907,0.0,0.5511833159014423,0.0,0.5699748705098551,0.0,0.5341982979426758,0.0,0.4914158538006288,0.0,0.5097529937487587,0.0,0.4719241698978873,0.0,0.48868247789299574,0.0,0.5088685191286074,0.0,0.44159912886699876,0.0,0.5252474667865314,0.0,0.4508734761871306,0.0,0.4962930567655043,0.0,0.4967813063397203,0.0,0.49899501767679444,0.0,0.480295118058657,0.0,0.5399319185328906,0.0,0.5209099672091224,0.0,0.5033729806314797,0.0,0.5420879219786644,0.0,0.5008138265639541,0.0,0.49799687210460547,0.0,0.4573228319874612,0.0,0.48050386621859037,0.0,0.536602901010943,0.0,0.5548934724986442,0.0,0.4929309023564229,0.0,0.48786749024812787,0.0,0.514425909970382,0.0,0.5496020773234445,0.0,0.5107367103545641,1.0,0.04055914670380949,0.0,0.5301307188453432,0.0,0.4521318809648795,0.0,0.506712044216041,0.0,0.5101565833130174,0.0,0.5022060767302522,0.0,0.48996321902630746
CPI_n,300,3.528324604034424,0.5792540825730987,0.0,0.5327434084852658,0.0,0.5961366526048727,0.0,0.8364711367274351,0.0,0.48848745336987776,0.0,0.6089811167715096,0.0,0.3291366999310461,0.0,0.6430774615619236,0.0,0.5234329679957213,0.0,0.3984291442327327,0.0,0.6812453922794989,0.0,0.500554757360964,0.0,0.9032435538409833,0.0,0.5594292825115708,0.0,0.49071854368124057,0.0,0.8366046517999333,0.0,0.573921930754718,0.0,0.5577451946024865,0.0,0.5336676234366818,0.0,0.6493241757005415,0.0,0.29090449088096815,0.0,0.6028860354160739,0.0,0.22298195889066974,0.0,0.6688871395589976,0.0,0.19363492982429237,0.0,0.44104648402649704,0.0,0.362984649772737,0.0,0.3876100640665882,0.0,0.6116724228503733,0.0,0.5657259127409691,0.0,0.5438471918610449,0.0,0.5487244773751602,0.0,0.6990246751353226,0.0,0.387788347053605,0.0,0.5653914432469077,0.0,0.365415460978085,0.0,0.4630049709004992,0.0,0.602159227992297,0.0,0.8117438787967537,0.0,0.5670983559182834,0.0,0.7281789405338306,0.0,0.5542057890780268,0.0,0.4780413167865386,0.0,0.4570655258721832,1.0,0.00010143555264939078,0.0,0.38156749494020714,0.0,0.33566577634621586,0.0,0.5139459862605091,0.0,0.485744318517514,0.0,0.540386387214974,0.0,0.15511721592698163
CPI_bt,300,3.704965829849243,0.5792540825730987,0.0,0.19034614535061573,0.0,0.7191095397576409,0.0,0.9255610232873609,0.0,0.49708991014882314,0.0,0.3503365401723313,0.0,0.15626921369030694,0.0,0.7180987769355566,0.0,0.4737926576907311,0.0,0.7408915092002594,0.0,0.15605317724406348,0.0,0.532272674446171,0.0,0.9653540856307313,0.0,0.4858516140361005,0.0,0.9319095007447512,0.0,0.9822097455351977,0.0,0.7735789947722498,0.0,0.7641711910065461,0.0,0.4157585467411413,0.0,0.637238886339903,0.0,0.06162082403325617,0.0,0.42614650855867153,0.0,0.3025649441277365,0.0,0.9783080906122209,0.0,0.6062513229762352,0.0,0.23292793210624146,0.0,0.1621712669988643,0.0,0.8155764070060167,0.0,0.38638343500042555,0.0,0.30983249692687315,0.0,0.26824676718950935,0.0,0.5096982276623426,0.0,0.8285047853051747,0.0,0.4639463199152244,0.0,0.4030536673229285,0.0,0.4642588280671983,0.0,0.5999682388104629,0.0,0.6383848179271967,0.0,0.9906579305848439,0.0,0.6376653295205119,0.0,0.4492527444003429,0.0,0.46642165186064327,0.0,0.6137830634494523,0.0,0.014518272718021452,1.0,9.126408599994428e-83,0.0,0.5682568611772066,0.0,0.11599070386149402,0.0,0.660320226162305,0.0,0.5378945052699541,0.0,0.21555779752784687,0.0,0.04610681016547374
CPI_sqd,300,3.704824209213257,0.5792540825730987,0.0,1.8229884755404343e-171,0.0,1.0,0.0,1.0,0.0,0.9999999918757565,0.0,2.401022074214141e-49,0.0,1.0,0.0,1.0,0.0,5.24680361860698e-11,0.0,2.7711412499671e-54,0.0,6.796045026610359e-47,0.0,1.0,0.0,1.0,0.0,0.999999999962862,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.696634618666982e-203,0.0,6.731448551186003e-45,0.0,1.6419786558629464e-120,0.0,0.0,0.0,1.0,0.0,5.63571410831365e-19,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9999999999955356,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.132391252464531e-100,0.0,6.646697190704591e-209,0.0,0.0,0.0,1.2445951649560902e-54,0.0,0.9998338644066892,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999993016712,0.0,1.0,0.0,1.4941833194099954e-82,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
S-CPI,300,3.6945724487304688,0.5792540825730987,0.0,0.346575264263411,0.0,0.8921754740455079,0.0,0.9920540389200361,0.0,0.9121817151110005,0.0,0.645126965174607,0.0,0.8468760523196638,0.0,0.9484728621246372,0.0,0.7527901695377915,0.0,0.896059654845084,0.0,0.7519199399232064,0.0,0.9239964673191341,0.0,0.9999267308938007,0.0,0.7172915108923072,0.0,0.8593636961220719,0.0,0.969727687120502,0.0,0.9827236157239848,0.0,0.9610630772815075,0.0,0.7095869694276901,0.0,0.8162788411240056,0.0,0.17728647966630945,0.0,0.8607117614634875,0.0,0.40698994844149355,0.0,0.9499689342089459,0.0,0.27194476705575876,0.0,0.35197911640571566,0.0,0.4741478394351489,0.0,0.8398187171287624,0.0,0.14391109883074182,0.0,0.8860539682093395,0.0,0.8583697583978805,0.0,0.7352322593768641,0.0,0.9825529338437742,0.0,0.6456714514657144,0.0,0.8067102613981321,0.0,0.5547154649641897,0.0,0.733128795389764,0.0,0.9405193002012776,0.0,0.9988738292284185,0.0,0.8526826561372591,0.0,0.9156259863847478,0.0,0.7615091064292048,0.0,0.9226574954870517,0.0,0.46358990988757853,1.0,2.6314786669419772e-08,0.0,0.964500349236768,0.0,0.05307832661162402,0.0,0.6608542686180272,0.0,0.8578772143501938,0.0,0.26806362802038664,0.0,0.5377353755078169
S-CPI_sqrt,300,3.6950151920318604,0.5792540825730987,0.0,0.47436808520947243,0.0,0.5141998889060184,0.0,0.5752738779140014,0.0,0.5331103198135708,0.0,0.5232465017128354,0.0,0.5410590387786441,0.0,0.548081660451473,0.0,0.49442900550370195,0.0,0.5730855267718588,0.0,0.5008634930373416,0.0,0.5664809714659274,0.0,0.6425216107374718,0.0,0.5225512476741547,0.0,0.5385243405180992,0.0,0.6229927884286113,0.0,0.5643926795871793,0.0,0.5626728972519746,0.0,0.5096880023793611,0.0,0.5185433613112916,0.0,0.4594002395477549,0.0,0.5152265572801992,0.0,0.48248219216495436,0.0,0.5684741102752449,0.0,0.49679211490216424,0.0,0.46710456631928116,0.0,0.48912121040334305,0.0,0.5658258824125986,0.0,0.4686492203700411,0.0,0.5350819258600691,0.0,0.5439962953514551,0.0,0.5346374948611494,0.0,0.5867494435906919,0.0,0.5130163850803089,0.0,0.5230607357320681,0.0,0.4776274354482766,0.0,0.49760817629859283,0.0,0.5362986160090144,0.0,0.624620833369514,0.0,0.509520746805544,0.0,0.5434931889692753,0.0,0.5257851356460959,0.0,0.5549692858574986,0.0,0.4891100971169825,1.0,0.01513825510943758,0.0,0.6276588790254164,0.0,0.43376568901118373,0.0,0.5163657263852586,0.0,0.5441093077695809,0.0,0.49746565602845055,0.0,0.5231857053528847
S-CPI_n,300,3.6906440258026123,0.5792540825730987,0.0,0.3981931464824049,0.0,0.5751707508239736,0.0,0.8688935455334867,0.0,0.5887619898681598,0.0,0.5112566866958517,0.0,0.7097391592017749,0.0,0.7795034638406042,0.0,0.4904899212089174,0.0,0.7086786378045243,0.0,0.6403269805511852,0.0,0.8563732742060579,0.0,0.9632416485729325,0.0,0.6490103774817997,0.0,0.654158119972754,0.0,0.8971424615899248,0.0,0.8581058705564206,0.0,0.727885498173509,0.0,0.5698111527484245,0.0,0.6741058328427993,0.0,0.29174809330954404,0.0,0.5208159172886028,0.0,0.3909270608825872,0.0,0.7640762135289525,0.0,0.5023994532978567,0.0,0.44232865176803055,0.0,0.4903530769304281,0.0,0.7259222303691628,0.0,0.3618966589243756,0.0,0.6859174582565346,0.0,0.6783888070199592,0.0,0.6980599918452489,0.0,0.8188530493308361,0.0,0.46418839649511356,0.0,0.5952041647653126,0.0,0.48952315498460164,0.0,0.5757118820100975,0.0,0.7155268487408206,0.0,0.9214677233677906,0.0,0.5634747019129291,0.0,0.8397722877665457,0.0,0.6048654752604982,0.0,0.7940850301031093,0.0,0.2440469983504011,1.0,3.6324660919540508e-06,0.0,0.7507562904345081,0.0,0.28251546050806076,0.0,0.3536409204858203,0.0,0.7319493012485095,0.0,0.4396836354204812,0.0,0.5693354683632981
S-CPI_bt,300,3.876986503601074,0.5792540825730987,0.0,0.4203912555656101,0.0,0.8049017636049846,0.0,0.9923865489356593,0.0,0.7513062885406219,0.0,0.5030626863476797,0.0,0.8316274651599905,0.0,0.7843397601683999,0.0,0.639486393597079,0.0,0.9046409450607884,0.0,0.898736457248537,0.0,0.9196175083130551,0.0,0.9997642568791199,0.0,0.7405333336633735,0.0,0.9590276472047085,0.0,0.9994927560755745,0.0,0.9249580509693219,0.0,0.9435467816697705,0.0,0.7971141270359376,0.0,0.8442345679790411,0.0,0.24578327634839642,0.0,0.5809408615297041,0.0,0.18962049446407647,0.0,0.9917787908318405,0.0,0.2729894562686275,0.0,0.31162416580837793,0.0,0.4077359819762404,0.0,0.8590000640248019,0.0,0.3539704668118874,0.0,0.8770271060972601,0.0,0.8988117550620045,0.0,0.7462366018310296,0.0,0.985558856756775,0.0,0.5595349739165374,0.0,0.8470764697105797,0.0,0.5310418625156373,0.0,0.5978983396919189,0.0,0.8558264695223331,0.0,0.9996745166233325,0.0,0.7523976065848798,0.0,0.9464669347167814,0.0,0.7390978770838355,0.0,0.9163499840198983,0.0,0.09299424451584654,1.0,4.1869133061004227e-95,0.0,0.9996964089343592,0.0,0.13104982289632777,0.0,0.5774261661443353,0.0,0.7371804482750094,0.0,0.28889340149053455,0.0,0.3283480694835489
