method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,110.84989333152771,0.9219112035590634,0.0,0.06372516846689791,0.0,0.15920984834581442,0.0,0.6339447278820458,0.0,0.6283232093365525,0.0,0.5551234070604507,0.0,0.3351746332893688,0.0,0.9396030480854203,0.0,0.9824412545031393,0.0,0.4818457173249523,0.0,0.029126783035520853,0.0,0.7037915363923117,0.0,0.6433761192374535,0.0,0.7221972481898953,0.0,0.34634699554891046,0.0,0.8077982229406051,0.0,0.19847729697896033,0.0,0.874044829799955,0.0,0.3505990197460668,0.0,0.11324296770947517,0.0,0.6502792596400799,0.0,0.3590466042896201,0.0,0.5972509302803745,0.0,0.12751296412913138,0.0,0.863942721772647,0.0,0.6185267243528069,0.0,0.9934945131970316,0.0,0.35444700040028376,0.0,0.19986139161216365,0.0,0.8520991343621106,0.0,0.6033658591612564,0.0,0.814736403370272,0.0,0.06943796212867548,0.0,0.30632881246847987,0.0,0.23072018948521755,0.0,0.03149474003054542,1.0,1.1102230246251565e-16,0.0,0.675548817173034,0.0,0.8992562814696368,0.0,0.9527756888553837,0.0,0.42478611125975496,0.0,0.03564621390184586,0.0,0.16939755189632155,0.0,0.9283178401728016,0.0,0.9954206303839365,0.0,0.9538147075632549,0.0,0.20541477255651075,0.0,0.17689702063968005,0.0,0.43228932093866623,0.0,0.2669552916503539,0.0,0.10988478863017326
CPI,300,5.83009934425354,0.9219112035590634,0.0,0.28519381121402265,0.0,0.5946467202067725,0.0,0.2374020306967854,0.0,0.5748690077828477,0.0,0.5232618985596224,0.0,0.9237730988537765,0.0,0.15551543476636775,0.0,0.8012345410995646,0.0,0.8838228327169102,0.0,0.9129102757533516,0.0,0.8389581054823704,0.0,0.45520683476877294,0.0,0.47982365691420586,0.0,0.24049135097483476,0.0,0.16851114640818632,0.0,0.06250578955782694,0.0,0.5014475588733995,0.0,0.39806798847819813,0.0,0.8637895559938626,0.0,0.8557220373621479,0.0,0.44758954207055074,0.0,0.9057875975815032,0.0,0.20915248461841668,0.0,0.04060998961048111,0.0,0.6187168147220189,0.0,0.9528142249768031,0.0,0.17674519415458073,0.0,0.7278467913147657,0.0,0.0769959998935203,0.0,0.19982765467059155,0.0,0.05132368966503684,0.0,0.7165548065057066,0.0,0.1825589522221982,0.0,0.7057829147451844,0.0,0.8075583931826426,1.0,9.838016967532558e-13,0.0,0.9125862995642531,0.0,0.20416728383135513,0.0,0.9524960006600536,0.0,0.06417755338097565,0.0,0.5369575395688382,0.0,0.2948793713829407,0.0,0.8722341719881865,0.0,0.17586499614950674,0.0,0.7870969076193357,0.0,0.09489900144398722,0.0,0.7381607377786366,0.0,0.49593538447367413,0.0,0.42329270791395635,0.0,0.5979838686617205
CPI_sqrt,300,5.842203378677368,0.9219112035590634,0.0,0.4991849398347641,0.0,0.5009108716865556,0.0,0.49939248519449825,0.0,0.5000874289740601,0.0,0.5007569391109801,0.0,0.5001940407221293,0.0,0.4994119712972344,0.0,0.5006746968513243,0.0,0.5000243801348618,0.0,0.5007080299047448,0.0,0.49788784400660563,0.0,0.5013236206494226,0.0,0.4965003802583086,0.0,0.4998454483589699,0.0,0.4996718758645035,0.0,0.49709601490395683,0.0,0.5012172422870629,0.0,0.5006034128739739,0.0,0.5013991020699569,0.0,0.4999454179575598,0.0,0.49966783024907396,0.0,0.5006219884627279,0.0,0.5000922553704605,0.0,0.4993225279343822,0.0,0.49989010459812433,0.0,0.49975402686791204,0.0,0.5001285775920685,0.0,0.4995147376323256,0.0,0.4988234923666024,0.0,0.4994769363660377,0.0,0.5000431779487576,0.0,0.49869785106172376,0.0,0.5005947282496653,0.0,0.5004279335977261,0.0,0.5012577365823407,1.0,0.0013458515736967315,0.0,0.5034825536564326,0.0,0.4996749146294722,0.0,0.49947800476799753,0.0,0.4993548259768013,0.0,0.5006675776636391,0.0,0.4999768019370904,0.0,0.5003582103963894,0.0,0.49912552614892247,0.0,0.49971322861666173,0.0,0.4988536834624856,0.0,0.5016304964611586,0.0,0.5004606283898329,0.0,0.500593313214506,0.0,0.5008812430719114
CPI_n,300,5.770813226699829,0.9219112035590634,0.0,0.47622278204254453,0.0,0.5118661843702629,0.0,0.4950800642182272,0.0,0.49675979045086194,0.0,0.5121303593941143,0.0,0.49311807356449844,0.0,0.4970715582734588,0.0,0.4982191776203335,0.0,0.4984699436033479,0.0,0.5018376806888988,0.0,0.4860544271816769,0.0,0.5035183411212386,0.0,0.5534937956503266,0.0,0.4861219910730328,0.0,0.49880861164571716,0.0,0.48527163132778606,0.0,0.5252629326154602,0.0,0.5139201722678324,0.0,0.5103376081825228,0.0,0.507599613789066,0.0,0.49390310455284436,0.0,0.5189584994184642,0.0,0.4950548822985131,0.0,0.49994113553466174,0.0,0.4933576550323045,0.0,0.5050820496459415,0.0,0.494712328807533,0.0,0.495443811356667,0.0,0.4826554347052267,0.0,0.4952219930407976,0.0,0.4870793589526241,0.0,0.4975008539603316,0.0,0.4806071610728511,0.0,0.502825058414464,0.0,0.5046365012692616,1.0,6.7809944613348075e-09,0.0,0.5214854976344683,0.0,0.5019246213267368,0.0,0.5035255854175051,0.0,0.49747665627826426,0.0,0.5017362022387217,0.0,0.5020939371947062,0.0,0.505478708927061,0.0,0.4900547737145582,0.0,0.507997087319328,0.0,0.5095530673674916,0.0,0.49638841826952274,0.0,0.49605793963203176,0.0,0.5207335661041723,0.0,0.48036027118979036
CPI_bt,300,5.988046646118164,0.9219112035590634,0.0,0.4918548243226794,0.0,0.5035148596565517,0.0,0.49872725839958626,0.0,0.4961367968024701,0.0,0.49101978561735476,0.0,0.5031760036340447,0.0,0.49744258144322573,0.0,0.5003962759726777,0.0,0.5072376463571279,0.0,0.5147691029830238,0.0,0.4718732551334133,0.0,0.4932877605201775,0.0,0.5788710296279651,0.0,0.501272049758241,0.0,0.5005911107547839,0.0,0.5016641225006059,0.0,0.5165638759785484,0.0,0.49117284545339834,0.0,0.5171174569422651,0.0,0.5032530281207765,0.0,0.49508024661556305,0.0,0.5018974162599428,0.0,0.49813511163126906,0.0,0.49204090880671797,0.0,0.500415952326622,0.0,0.5022089917046649,0.0,0.4955672324983912,0.0,0.49712023486350154,0.0,0.48221218698490337,0.0,0.4969417970858652,0.0,0.4863622090940111,0.0,0.49352291876470183,0.0,0.500915277662007,0.0,0.5029664787512613,0.0,0.5021970500309324,1.0,1.3115381941161547e-146,0.0,0.5087351138032882,0.0,0.49380979832076616,0.0,0.5034429984724383,0.0,0.49750782141157135,0.0,0.4972256775389226,0.0,0.5010997527206346,0.0,0.5035325298187847,0.0,0.4851856716080223,0.0,0.5111564758648939,0.0,0.5106852815198801,0.0,0.5367574727082742,0.0,0.5025570516761148,0.0,0.5173680431363262,0.0,0.5033660152546553
CPI_sqd,300,5.995397567749023,0.9219112035590634,0.0,0.9993545073312522,0.0,0.005504742937453613,0.0,0.22692443634887605,0.0,0.0016256453361361103,0.0,0.7736421093487817,0.0,0.9999999997612553,0.0,0.22970398778375523,0.0,0.7396372377876889,0.0,0.922457418565256,0.0,0.9994798537675088,0.0,0.7503972075602034,0.0,0.9751704655351848,0.0,0.9999999999999989,0.0,0.013928273481789445,0.0,0.7692449858351642,0.0,0.017891325597975488,0.0,0.9999999999643763,0.0,0.9470128907143271,0.0,0.9330374569104197,0.0,0.0447230273825212,0.0,0.01550196258955208,0.0,0.997892259256847,0.0,0.5527080678386278,0.0,0.13838988022012016,0.0,0.9999999983139647,0.0,0.3865548029058445,0.0,0.005214269307633253,0.0,0.13158479849373278,0.0,0.0028209042141690323,0.0,0.0018312685451897398,0.0,0.01970595850043381,0.0,0.20364829954661584,0.0,0.007568517901581043,0.0,0.7143921747601278,0.0,0.9802972135805637,1.0,0.0,0.0,0.9999999999999999,0.0,0.1146119059348083,0.0,0.9819496978682365,0.0,0.7734344806358973,0.0,0.42585618181509705,0.0,0.2356315979686917,0.0,0.8736712419832897,0.0,3.314671499187076e-10,0.0,0.951374764615607,0.0,0.002062765823794564,0.0,1.0,0.0,0.16359323867219466,0.0,0.9999997932185881,0.0,0.1169548383916626
S-CPI,300,17.017589807510376,0.9219112035590634,0.0,0.17626308218199288,0.0,0.7549217487286125,0.0,0.1522008549360379,0.0,0.3641565041611986,0.0,0.514048454452401,0.0,0.8382775669325164,0.0,0.39652679904251814,0.0,0.8414019366993832,0.0,0.8014253326993852,0.0,0.9813922054925457,0.0,0.40391935213575375,0.0,0.6853375718938645,0.0,0.9471560573167335,0.0,0.5885789136662762,0.0,0.6359928926490912,0.0,0.061525082061290745,0.0,0.8508766184083949,0.0,0.3251144575085704,0.0,0.945226219308946,0.0,0.6338004705986594,0.0,0.17977094447396252,0.0,0.902916118119941,0.0,0.23614891402216287,0.0,0.044291233817865906,0.0,0.9029888378905173,0.0,0.8394021095224875,0.0,0.3183059967510734,0.0,0.4802813368961905,0.0,0.02322491817443923,0.0,0.3477327099424272,0.0,0.08955024750018137,0.0,0.726378653878224,0.0,0.11212798082652636,0.0,0.7694651084964693,0.0,0.9573215474816242,1.0,2.1598884533916387e-11,0.0,0.8559045351418941,0.0,0.27484588704031954,0.0,0.9069177878652324,0.0,0.332415674985966,0.0,0.8254648171914056,0.0,0.5646856216146505,0.0,0.9382294953039088,0.0,0.6391811858624754,0.0,0.5871466493739196,0.0,0.5103815691872174,0.0,0.8008946934398113,0.0,0.24962863400810964,0.0,0.8503114373459102,0.0,0.7011993908902966
S-CPI_sqrt,300,17.068133115768433,0.9219112035590634,0.0,0.4981467839760166,0.0,0.5010370851405589,0.0,0.49938109431577465,0.0,0.5016035776491337,0.0,0.5008175490765262,0.0,0.5016820053957176,0.0,0.4999055355204261,0.0,0.50032991294074,0.0,0.500514878314636,0.0,0.5015121404590943,0.0,0.49848001985344736,0.0,0.5019952941421728,0.0,0.5099244257235086,0.0,0.5001282405515745,0.0,0.4998815273777472,0.0,0.4976249273449117,0.0,0.5031263477218844,0.0,0.5000274293790797,0.0,0.503113971151761,0.0,0.5001082069886897,0.0,0.4994986760276384,0.0,0.5015944535262603,0.0,0.49954427698813625,0.0,0.4990333831088199,0.0,0.5024322811265546,0.0,0.5009248886721831,0.0,0.498908219849431,0.0,0.49895630792324075,0.0,0.4972310922215291,0.0,0.4998377185139342,0.0,0.4979443914043508,0.0,0.501551607298986,0.0,0.4985842408101381,0.0,0.500638552400379,0.0,0.5013200504343811,1.0,0.0004389201314485945,0.0,0.5059014696664828,0.0,0.4992879745054711,0.0,0.5006279605015904,0.0,0.49957358080363573,0.0,0.49980565048141157,0.0,0.500230406253692,0.0,0.5010574325889102,0.0,0.5004566095029814,0.0,0.5001961274987218,0.0,0.49910999996449334,0.0,0.5044576513824444,0.0,0.4997282274386119,0.0,0.5039020164978874,0.0,0.500618067193584
S-CPI_n,300,17.029893398284912,0.9219112035590634,0.0,0.4754265061029413,0.0,0.5090060847893528,0.0,0.4944911813055171,0.0,0.49938140615888427,0.0,0.49472081193352574,0.0,0.5255591120713998,0.0,0.49204530458905166,0.0,0.501894951016024,0.0,0.5026996515864297,0.0,0.5124061664733452,0.0,0.4886606936220746,0.0,0.509165749291941,0.0,0.570441676076628,0.0,0.4980007005597047,0.0,0.49865296436094275,0.0,0.47023235209340913,0.0,0.5206347173775175,0.0,0.49719761455261324,0.0,0.5268549547205735,0.0,0.496142154701034,0.0,0.4965343697434116,0.0,0.5059793517319595,0.0,0.497047921869989,0.0,0.49332052481681254,0.0,0.5317466150737449,0.0,0.5057801751047232,0.0,0.4882319812654125,0.0,0.5097890290710492,0.0,0.4747903975469212,0.0,0.4954728451221041,0.0,0.47735267007332305,0.0,0.5080231369699317,0.0,0.48174423426613855,0.0,0.5037242876429548,0.0,0.5093632906907918,1.0,4.950083031150399e-10,0.0,0.5416450180324675,0.0,0.49543042262428505,0.0,0.5067362258751229,0.0,0.4969633388817647,0.0,0.5050619192970792,0.0,0.4939102818837604,0.0,0.5104396629581435,0.0,0.5066488879157973,0.0,0.5048466806442558,0.0,0.4905516132362207,0.0,0.5337522368431186,0.0,0.49823205842740037,0.0,0.5311709137899847,0.0,0.4920756336146949
S-CPI_bt,300,17.211251497268677,0.9219112035590634,0.0,0.48184457055456276,0.0,0.5086609554671429,0.0,0.5013734753413714,0.0,0.5010367824640047,0.0,0.5065575760033043,0.0,0.5209439993448549,0.0,0.4960173522237183,0.0,0.5011693860391147,0.0,0.5056849576586732,0.0,0.5168533557148711,0.0,0.49478383573651175,0.0,0.5071040651603066,0.0,0.5802330212271849,0.0,0.49967717411874374,0.0,0.49896680201350724,0.0,0.47649495070177617,0.0,0.5194237344119945,0.0,0.49702644373370997,0.0,0.5180854724137098,0.0,0.5071905360869078,0.0,0.4962703351229219,0.0,0.5147360020557502,0.0,0.4966847727646418,0.0,0.4931709674699582,0.0,0.520831431280561,0.0,0.5038792762675005,0.0,0.4986692401361182,0.0,0.5132884996478387,0.0,0.4734559355126713,0.0,0.4933003550822086,0.0,0.48002334332662877,0.0,0.518605975585674,0.0,0.4782768866304772,0.0,0.5072429718719613,0.0,0.510331384594673,1.0,1.9142465560289197e-128,0.0,0.5492964967084671,0.0,0.49759682902114616,0.0,0.5171716048972309,0.0,0.49839750081648,0.0,0.5045169181732769,0.0,0.4961556511781498,0.0,0.5130464200701297,0.0,0.5019107337209501,0.0,0.5040501375776352,0.0,0.5004153231649907,0.0,0.5257893093242396,0.0,0.4972175530067931,0.0,0.540508492378207,0.0,0.4975277409279516
