method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,801.5874311923981,0.9001661774640295,0.0,7.550292951785664e-05,0.0,0.2529270234743882,0.0,0.9794306995159019,1.0,0.0,0.0,0.30699657357111465,0.0,0.8732993483390439,0.0,0.9993493933544467,0.0,0.9364886818872695,0.0,0.999863347483137,0.0,0.011966320708693634,0.0,0.991456825198261,0.0,0.031014961372830774,0.0,0.9545222110336934,0.0,0.9999987497232639,0.0,0.9794341312452359,0.0,0.9941601019880411,0.0,3.646383035527112e-05,0.0,0.83677148376777,0.0,0.000182816055768531,0.0,0.9117000294804019,0.0,0.9762166092184629,0.0,0.9179516239525938,0.0,0.8324638463459941,0.0,0.0012142221516326934,0.0,0.017936106510754946,0.0,0.00195512368308437,0.0,0.8574036219144751,0.0,0.8288219201426097,0.0,0.9977538664690889,0.0,0.8040899737539415,0.0,0.9957273809709952,0.0,4.848342838315034e-10,0.0,0.6512591756409631,0.0,0.8809950720294396,0.0,0.9485226501316354,0.0,0.1137718235230698,0.0,0.4345948099652931,0.0,0.9070287409333974,0.0,0.9040745247229649,0.0,0.9499301890683104,0.0,0.5741524461478807,0.0,0.0014234200833808108,0.0,0.000792047709812338,0.0,0.5810540839569044,0.0,0.00022532697594579432,0.0,0.0003851561537493442,0.0,0.12728002080661982,0.0,0.9248310951477204,0.0,0.0019381128840222361,0.0,0.2598423009099644
CPI,300,15.480797052383423,0.9001661774640295,0.0,0.07738267594246195,0.0,0.5969661862087784,0.0,0.5868577650703559,1.0,3.355357727627943e-11,0.0,0.7007104283500916,0.0,0.5136985399944659,0.0,0.975825784527138,0.0,0.7304901517105515,0.0,0.23397016787981884,0.0,0.19464705314732422,0.0,0.34102519304081125,0.0,0.9957054108424025,0.0,0.45102272790898973,0.0,0.9231136351660856,0.0,0.962161258144766,0.0,0.6448849190484862,0.0,0.11008451366503413,0.0,0.36351062215201524,0.0,0.3033501496851863,0.0,0.8270179634804202,0.0,0.14008100579085697,0.0,0.5890638501805856,0.0,0.246703618174073,0.0,0.8348629593960528,0.0,0.5858497126568537,0.0,0.26370302559009984,0.0,0.19515839065583923,0.0,0.9470536888071577,0.0,0.17077942909273647,0.0,0.3675201209584513,0.0,0.26979263452023217,0.0,0.6297418224091019,0.0,0.8451202696737257,0.0,0.46246506411413246,0.0,0.9025636160212437,0.0,0.9118008176508405,0.0,0.3992040732709345,0.0,0.41585817456639185,0.0,0.693992351931825,0.0,0.2796166911177054,0.0,0.17940659115347973,0.0,0.9905367053979662,0.0,0.40194149796485923,0.0,0.08890914750625384,0.0,0.009686540520317869,0.0,0.30530359571290666,0.0,0.19085383826147934,0.0,0.12940635101464826,0.0,0.054370560643465835,0.0,0.2206033611353283
CPI_sqrt,300,15.491489171981812,0.9001661774640295,0.0,0.49944206323004003,0.0,0.49887463991291997,0.0,0.5001614746402836,1.0,0.0008255920186475706,0.0,0.5000917919822075,0.0,0.4999454615392471,0.0,0.5037039602039604,0.0,0.5003038126735202,0.0,0.49938151320203317,0.0,0.4989007456584101,0.0,0.49946555973972656,0.0,0.5006749214430416,0.0,0.500923053030615,0.0,0.5022278062516625,0.0,0.5012167406695972,0.0,0.4985909491055744,0.0,0.5005211109933482,0.0,0.4994676696491205,0.0,0.5009197554025707,0.0,0.5019702171545761,0.0,0.501585396915789,0.0,0.4996500560048964,0.0,0.5004271820506008,0.0,0.5000234696067468,0.0,0.4991379847692219,0.0,0.500640765565865,0.0,0.4996675656673349,0.0,0.49937548617011984,0.0,0.49994106771633884,0.0,0.4997980889765637,0.0,0.49985812672429697,0.0,0.5005521498310251,0.0,0.5009699486669832,0.0,0.5001062675365894,0.0,0.49869202632291476,0.0,0.49977102340298507,0.0,0.49972444098116364,0.0,0.49890777126028085,0.0,0.5005380633789313,0.0,0.5001108429303434,0.0,0.5001373923146357,0.0,0.5006030195254697,0.0,0.49975205792410116,0.0,0.49938167600097394,0.0,0.499272695581867,0.0,0.49945162013037553,0.0,0.5001817258728889,0.0,0.5000161198426089,0.0,0.5002134974600776,0.0,0.49974918250338385
CPI_n,300,15.486787557601929,0.9001661774640295,0.0,0.494033529376037,0.0,0.50455761347229,0.0,0.4912998350227875,1.0,2.928992783137444e-09,0.0,0.5116421154034012,0.0,0.4984480396180901,0.0,0.5458522498511998,0.0,0.49917708484259893,0.0,0.5015104839302615,0.0,0.49295188321778577,0.0,0.4968257785142404,0.0,0.5011965696945653,0.0,0.4962747609758984,0.0,0.5310884380267342,0.0,0.5117900064092318,0.0,0.4933096102333305,0.0,0.49497525276018656,0.0,0.5001346081320919,0.0,0.5058728545280226,0.0,0.5059084339830848,0.0,0.49668842154717097,0.0,0.4999698551894809,0.0,0.5066269586834226,0.0,0.5026047335346522,0.0,0.46148275163386615,0.0,0.510881650539314,0.0,0.49848716905638685,0.0,0.48780309625481505,0.0,0.49800092060453477,0.0,0.4968645856422394,0.0,0.4947603532622058,0.0,0.4987290546404931,0.0,0.4979002349094358,0.0,0.4989684576416196,0.0,0.5037112333817766,0.0,0.5069020837078373,0.0,0.5039120403577377,0.0,0.4954788142770007,0.0,0.4994771058429844,0.0,0.49722759490835877,0.0,0.4966883406741592,0.0,0.5045096381526366,0.0,0.49774429522186064,0.0,0.4936518039766476,0.0,0.5003450146529295,0.0,0.4995172181948077,0.0,0.5001568355644874,0.0,0.4718943765557,0.0,0.5001801719977951,0.0,0.4923935079667637
CPI_bt,300,15.673879623413086,0.9001661774640295,0.0,0.5105326537802872,0.0,0.5029786716478502,0.0,0.4960097137623937,1.0,2.5633315083229307e-191,0.0,0.5080797771172173,0.0,0.5014690880507613,0.0,0.5274551505478033,0.0,0.4972204606815297,0.0,0.4926326800697317,0.0,0.4908298809044891,0.0,0.49471023338570264,0.0,0.5084978160093625,0.0,0.49518796961971673,0.0,0.532061580319308,0.0,0.5194419268521385,0.0,0.4953843187031724,0.0,0.47089033617422493,0.0,0.5038893961078498,0.0,0.49914965841228975,0.0,0.5247970109356546,0.0,0.4825220287162341,0.0,0.5041524003498462,0.0,0.5055371615341789,0.0,0.5048524053252934,0.0,0.48610863266070264,0.0,0.5021527056733792,0.0,0.4989139573693179,0.0,0.5162943463889814,0.0,0.493214795405274,0.0,0.4978978411537685,0.0,0.4936678975352888,0.0,0.5076676366143626,0.0,0.5043182599898265,0.0,0.49861622186305304,0.0,0.49299436444109673,0.0,0.5013183331925287,0.0,0.49795063672714085,0.0,0.4968381027329808,0.0,0.5054024447505385,0.0,0.49839682978038957,0.0,0.5033831035096487,0.0,0.5078524687918158,0.0,0.4916050185069701,0.0,0.4933366266409456,0.0,0.48483446126962554,0.0,0.49830665094288684,0.0,0.49922557037231374,0.0,0.47802074015567775,0.0,0.4951094698927114,0.0,0.5006252708970491
CPI_sqd,300,15.669005632400513,0.9001661774640295,0.0,0.6452360607392177,0.0,0.9972765843230007,0.0,0.7897780764414506,1.0,0.0,0.0,0.9416448327989579,0.0,0.5487554185667987,0.0,0.9999999986920743,0.0,0.12000393282387545,0.0,0.17349710506364135,0.0,0.053313614015171186,0.0,0.23973268333806858,0.0,0.9695698210331595,0.0,0.21222606245987252,0.0,0.999999988094676,0.0,0.999999730681882,0.0,0.342848075310396,0.0,3.056181560488694e-05,0.0,0.4733031942961007,0.0,0.07777407623963384,0.0,0.9907082071220884,0.0,0.2392214960049942,0.0,0.5380271872838935,0.0,0.6285605679883112,0.0,0.2774606488148159,0.0,0.8772417833592105,0.0,0.9991233316539156,0.0,0.9999938631126232,0.0,0.2905384279127351,0.0,0.02462513190540344,0.0,0.005218623378589803,0.0,0.24445975103639206,0.0,0.979552433962865,0.0,0.953063518870309,0.0,0.08316385963023687,0.0,0.419730770825689,0.0,0.982685932648045,0.0,0.5593753001656827,0.0,0.17502649438596352,0.0,0.8704696707542283,0.0,0.1838643078852153,0.0,0.08095309383289706,0.0,0.9558215148247077,0.0,0.5348284959368421,0.0,0.12035503467393638,0.0,6.550381624330665e-08,0.0,0.9931712832375961,0.0,0.5786648006019791,0.0,0.011798294298181203,0.0,0.9486878200607558,0.0,0.6962124305666516
S-CPI,300,28.263792514801025,0.9001661774640295,0.0,0.0882319350964782,0.0,0.4535351100875364,0.0,0.26996067636142534,1.0,5.245641637677714e-08,0.0,0.7013552146533719,0.0,0.1649233801702331,0.0,0.9975558000181237,0.0,0.1994701331375741,0.0,0.24619122543931937,0.0,0.07136561659882781,0.0,0.2784078489096969,0.0,0.9532280685808814,0.0,0.5834748015546217,0.0,0.9784102836999572,0.0,0.9898501355321202,0.0,0.11852595948798489,0.0,0.7581682578275541,0.0,0.505317890966507,0.0,0.8058188301483753,0.0,0.9078001733266614,0.0,0.15790027393696304,0.0,0.8433291385683697,0.0,0.6980295108218644,0.0,0.6476727580514428,0.0,0.26795127783978046,0.0,0.8857581707223758,0.0,0.41812985917551376,0.0,0.6824246163536419,0.0,0.4982752893630536,0.0,0.2175721737722598,0.0,0.051064847668890946,0.0,0.7159912533799596,0.0,0.9157964964123422,0.0,0.367083101642276,0.0,0.7325702597694422,0.0,0.6428749958655908,0.0,0.2203780342627345,0.0,0.260427113009894,0.0,0.9573478495181573,0.0,0.3579469292106628,0.0,0.2747240100278576,0.0,0.9987226829276111,0.0,0.10857999892653264,0.0,0.14214104114246084,0.0,0.31333965497485927,0.0,0.6102590402913662,0.0,0.4002434180659546,0.0,0.05933796841493189,0.0,0.44667333344307875,0.0,0.4169155605579509
S-CPI_sqrt,300,28.284518480300903,0.9001661774640295,0.0,0.49876942950381453,0.0,0.5013574690390578,0.0,0.49964483626408007,1.0,0.0023730249555359447,0.0,0.5000637939273375,0.0,0.5000384936998536,0.0,0.5049518486792434,0.0,0.49916643090511664,0.0,0.4997675229168259,0.0,0.49908414170025495,0.0,0.4993755144911302,0.0,0.5012493526069806,0.0,0.5004743664379768,0.0,0.503608547532249,0.0,0.5029949566025523,0.0,0.4988829301871701,0.0,0.5025127886659654,0.0,0.5001033262495724,0.0,0.5011557611153241,0.0,0.5043889095509213,0.0,0.4974991754520772,0.0,0.5007048204938459,0.0,0.5002994117691831,0.0,0.5008355395652597,0.0,0.4987777805195562,0.0,0.5013240856060994,0.0,0.5000303438390729,0.0,0.500587782658078,0.0,0.500271471547973,0.0,0.4995468599253794,0.0,0.4994888828379948,0.0,0.5010934240167938,0.0,0.5008128348920363,0.0,0.500096466461236,0.0,0.5002019966776214,0.0,0.5014590185453927,0.0,0.49980715787289576,0.0,0.49934768730311957,0.0,0.5009157314073955,0.0,0.49973672122901874,0.0,0.4991499711514267,0.0,0.5013906545528506,0.0,0.49909647712563115,0.0,0.49860498160218797,0.0,0.4983825900635604,0.0,0.5005650660041315,0.0,0.4997793298948421,0.0,0.4963120088406262,0.0,0.5000227663562379,0.0,0.49978700832430506
S-CPI_n,300,28.283771991729736,0.9001661774640295,0.0,0.4902366336911068,0.0,0.5043125793917328,0.0,0.49474218190260166,1.0,4.2353048538636454e-08,0.0,0.5038880889990462,0.0,0.49917744840484146,0.0,0.5415023642414106,0.0,0.49368646876647715,0.0,0.4992097852494541,0.0,0.4903039100599077,0.0,0.4954186416062999,0.0,0.5140410794017438,0.0,0.5023550677652041,0.0,0.5384695887005684,0.0,0.5266720191743056,0.0,0.4827258936183781,0.0,0.5233635353764463,0.0,0.4978045427358528,0.0,0.5174638484942612,0.0,0.5407313125624482,0.0,0.4824879266388952,0.0,0.5031153911661235,0.0,0.5078480765213018,0.0,0.5058676712008823,0.0,0.4929574267524794,0.0,0.5089572502012571,0.0,0.4900244316427253,0.0,0.5062751751174817,0.0,0.5012732138432994,0.0,0.49428169624061674,0.0,0.4969815204424137,0.0,0.5093254156117594,0.0,0.5099847182424663,0.0,0.49914108750778796,0.0,0.4967190333163239,0.0,0.5066309168608105,0.0,0.49690815807802147,0.0,0.4973802140089067,0.0,0.504795662500205,0.0,0.4994218392019332,0.0,0.4849530299194563,0.0,0.5147380276687159,0.0,0.49559731644962807,0.0,0.4885645857405388,0.0,0.48679703884792414,0.0,0.5035328675363369,0.0,0.49952121422440826,0.0,0.4780541067620507,0.0,0.4969407545528586,0.0,0.5030946562282521
S-CPI_bt,300,28.48537302017212,0.9001661774640295,0.0,0.48346203493679124,0.0,0.5073413932294757,0.0,0.4986990771777674,1.0,1.158782380971849e-138,0.0,0.5027926891643882,0.0,0.4984809019392497,0.0,0.5471795791369064,0.0,0.4922064648199615,0.0,0.4951853649362819,0.0,0.49185142378664554,0.0,0.4949992396280407,0.0,0.5166381918421237,0.0,0.5015257584046725,0.0,0.5396884526241531,0.0,0.5302837475999177,0.0,0.48673158967653274,0.0,0.5270738119929065,0.0,0.49812328827707925,0.0,0.5222062636345437,0.0,0.5403916323085289,0.0,0.4884787670958659,0.0,0.504277345033536,0.0,0.5126668989903786,0.0,0.501191566023404,0.0,0.4977123575604151,0.0,0.5152580360392999,0.0,0.4943660298839695,0.0,0.5033183572734787,0.0,0.5052914669178538,0.0,0.49182643858788844,0.0,0.4924150538339069,0.0,0.5069507454738931,0.0,0.5115021466348146,0.0,0.4980549734933648,0.0,0.5043956514028229,0.0,0.5160300201822837,0.0,0.49744634369091995,0.0,0.4921916317648266,0.0,0.5079155647728488,0.0,0.5003960284196315,0.0,0.4957057270081945,0.0,0.5147095271220095,0.0,0.49553337115047597,0.0,0.4896257598417078,0.0,0.4821420353105766,0.0,0.5006194529876444,0.0,0.4971525617754373,0.0,0.46738386305730995,0.0,0.501389414404588,0.0,0.5076704030106197
