method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.1153218746185303,0.8848931885479002,0.0,0.7199173677929921,0.0,0.5988983271818514,0.0,0.42273404664955216,0.0,0.9792075337676824,0.0,0.12848112300861603,0.0,0.16205216162388958,0.0,0.8047028787212004,0.0,0.40852740431824375,0.0,0.9386357934418559,0.0,0.1111798375275479,0.0,0.6854618145815389,0.0,0.009383827850038884,0.0,0.35138149515668105,0.0,0.9984565598590497,0.0,0.0003659964301475638,1.0,0.0,0.0,0.9993593307435792,0.0,0.22676434028603132,0.0,0.15271226882817068,0.0,0.9982673321059867,0.0,0.01848346336490425,0.0,0.640419368366812,0.0,0.24087690226740022,0.0,0.0003062339264917613,0.0,0.21230836103288275,0.0,0.4073975115410169,0.0,0.6288177624190018,0.0,0.027670118946707234,0.0,0.998444950167383,0.0,0.7948619629559505,0.0,0.15030295866168353,0.0,0.9224004491685186,0.0,0.07062845639902005,0.0,0.14336529940961662,0.0,0.3604160893008044,0.0,0.44057876259900985,0.0,0.18376684382921327,0.0,0.4606766144189456,0.0,0.9571987017242176,0.0,0.7706967383370243,0.0,0.19328945560363098,0.0,0.7712491960297903,0.0,0.015439434400495,0.0,0.0074970173523812855,0.0,0.9883054487381301,0.0,0.9919334605470793,0.0,0.00417500319296793,0.0,0.7252631357611741,0.0,0.638161135189828,0.0,0.0012422067111234059
CPI,300,3.1140503883361816,0.8848931885479002,0.0,0.824622341765292,0.0,1.0,0.0,0.9623184882301475,0.0,0.5957041095125892,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09205752087064767,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.4910506616380588e-10,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6596790245023897,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9984947366024897,0.0,0.9924454249767461,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.10124600144741275,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8684547628725033,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.35591353792745906,0.0,1.0
CPI_sqrt,300,3.0856733322143555,0.8848931885479002,0.0,0.500525247776401,0.0,0.5,0.0,0.49933195430743715,0.0,0.5005280816370309,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4982712517957698,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.004150154640784792,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4995361538611488,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5013652291386673,0.0,0.5003226449032078,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4998839044633895,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5063012321453749,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4995356795441046,0.0,0.5
CPI_n,300,3.0868706703186035,0.8848931885479002,0.0,0.5048177796563335,0.0,0.5,0.0,0.4905737020878527,0.0,0.49354251860534,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4985632331016281,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2.3066095041196453e-06,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5490096872838302,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5547437853069772,0.0,0.5074351057285362,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49851837868987553,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49294109510652706,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5102923915711443,0.0,0.5
CPI_bt,300,3.255974531173706,0.8848931885479002,0.0,0.504088237184505,0.0,0.5,0.0,0.5014857471890564,0.0,0.5071240154389218,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5026865602448062,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,7.359151801706607e-131,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5283655510204378,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5158302122833096,0.0,0.5071567985156661,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4995922572595848,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5515020897991869,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4959878953055807,0.0,0.5
CPI_sqd,300,3.2554688453674316,0.8848931885479002,0.0,0.8089426391772754,0.0,0.5,0.0,0.6953516234772015,0.0,0.9999857219937388,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.17747198008796694,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.999713610108423,0.0,0.7492035901165814,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3500235488028922,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.99999999966971,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0005375877708465285,0.0,0.5
S-CPI,300,3.1898348331451416,0.8848931885479002,0.0,0.7873022472810262,0.0,0.5,0.0,0.18979090438176366,0.0,0.5920633118307738,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.15994835924584339,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.728525000509365e-09,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7204251046060568,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9976711049649375,0.0,0.9710430567655169,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.17925674929936453,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9158352685921447,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6179188490499352,0.0,0.5
S-CPI_sqrt,300,3.1727826595306396,0.8848931885479002,0.0,0.5002588395561649,0.0,0.5,0.0,0.4991335396008357,0.0,0.501255309590611,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49967532797435826,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0020329695413155275,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5000709176442997,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5055418382369359,0.0,0.5005996123899182,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49989943877177706,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.505327160502607,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5010102605586225,0.0,0.5
S-CPI_n,300,3.170215129852295,0.8848931885479002,0.0,0.5039294569888179,0.0,0.5,0.0,0.5012817187165615,0.0,0.4985858785522918,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4878046511802926,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.827144935320457e-06,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5007554127976139,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5465281822136389,0.0,0.5102992362751902,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49898739202600156,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5776627485343226,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5125149274845479,0.0,0.5
S-CPI_bt,300,3.343390703201294,0.8848931885479002,0.0,0.5035683364639035,0.0,0.5,0.0,0.49115545839461777,0.0,0.5038751089425533,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49635035874159583,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2.7380585575531995e-99,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.48878867816387067,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5532836298549987,0.0,0.509667338158975,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4986093574793299,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5806885346209083,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.506453267302262,0.0,0.5
