method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.1822075843811035,0.5793616752652486,1.0,0.21840193857875567,1.0,0.001330380388453567,1.0,0.13517170769279874,1.0,0.12488370402357307,1.0,0.038035786437347396,1.0,0.9934076564655107,1.0,0.0031146794039270675,1.0,0.07597498325049568,1.0,0.5796533595303954,1.0,0.01533463653573841,0.0,0.9791442418598535,0.0,0.12869390876403464,0.0,0.7406580784382023,0.0,0.5911651119080206,0.0,0.9682015737444877,0.0,0.4140067995226121,0.0,0.0969184496780846,0.0,0.16082751967462605,0.0,0.01777659538738452,0.0,0.646510037076585,0.0,0.12525341631420162,0.0,0.052619706308094094,0.0,0.08939695121763247,0.0,0.9325132286017582,0.0,0.4047429875743346,0.0,0.3578852409039306,0.0,0.9012331124363993,0.0,0.8038374597579291,0.0,0.2759523627199423,0.0,0.14230042867987747,0.0,0.9774967476502525,0.0,0.8825977689456845,0.0,0.7575624280773554,0.0,0.719463230094691,0.0,0.48150929975775103,0.0,0.0009309556458473311,0.0,0.9086662152384652,0.0,0.2561254798809225,0.0,0.8532056278815118,0.0,0.6737060446000348,0.0,0.8542003476873137,0.0,0.668472458291425,0.0,0.48912381002684036,0.0,0.16261256625326237,0.0,0.9860132204284612,0.0,0.13924287528431312,0.0,0.0006959409961695417,0.0,0.1584671779328033,0.0,0.6282760079325395,0.0,0.0015463996973640315
CPI,300,3.026179552078247,0.5793616752652486,1.0,0.07971594919379216,1.0,0.00832854914341147,1.0,0.0001914844567290399,1.0,0.2158682718857663,1.0,0.001767417046630041,1.0,0.2950147605662937,1.0,0.012088984870891389,1.0,0.01436002200760634,1.0,0.0025454528966635187,1.0,0.0023175413790461627,0.0,1.0,0.0,0.18618248549220645,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5791365374741343,0.0,0.5057534071209773,0.0,0.15579934570961074,0.0,1.0,0.0,1.0,0.0,0.7707365428663451,0.0,0.04785176573917934,0.0,1.0,0.0,0.1618604625113802,0.0,1.0,0.0,1.0,0.0,0.6794370647683143,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.48404571205065217,0.0,0.5217753891297634,0.0,0.13058035407582058,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.39344410112935496,0.0,0.06295704512897597,0.0,0.3386651977876774,0.0,1.0,0.0,1.0,0.0,0.8455637328483048,0.0,0.3675933354302833,0.0,0.27671506032143117,0.0,1.0
CPI_sqrt,300,2.9882140159606934,0.5793616752652486,1.0,0.32435032193540636,1.0,0.10671519493950526,1.0,0.22282694945217835,1.0,0.4019466519503819,1.0,0.1558151106546703,1.0,0.3067512870439625,1.0,0.1831596658316429,1.0,0.2836365411092911,1.0,0.1917400061953431,1.0,0.20965338516744547,0.0,0.5,0.0,0.42922003219009836,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5016807362954055,0.0,0.5025458414673942,0.0,0.4811180173607762,0.0,0.5,0.0,0.5,0.0,0.5404800104685226,0.0,0.4903770682858022,0.0,0.5,0.0,0.4655998633552674,0.0,0.5,0.0,0.5,0.0,0.4268127600827586,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4660336949214146,0.0,0.4996910664526905,0.0,0.49060529623297183,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49468009358856696,0.0,0.528606053711828,0.0,0.5007684113158264,0.0,0.5,0.0,0.5,0.0,0.5514050268313057,0.0,0.48614199023127536,0.0,0.49652900389024246,0.0,0.5
CPI_n,300,3.0106728076934814,0.5793616752652486,1.0,0.3082840057527565,1.0,0.08107415255816403,1.0,0.03343853729804275,1.0,0.2365619363454492,1.0,0.0001979426551769015,1.0,0.6302453236914616,1.0,0.01344652968052245,1.0,0.026670460044554242,1.0,0.028903939838539568,1.0,0.0707516408429886,0.0,0.5,0.0,0.25976788196797895,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5053380646765673,0.0,0.43725754865987954,0.0,0.47525322997069736,0.0,0.5,0.0,0.5,0.0,0.37131852845851565,0.0,0.34296703145476715,0.0,0.5,0.0,0.4380977298508924,0.0,0.5,0.0,0.5,0.0,0.7101013102808414,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5768110816358674,0.0,0.45371900055428216,0.0,0.3205908320426012,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.35762348832557433,0.0,0.32313958587822766,0.0,0.47829044544278143,0.0,0.5,0.0,0.5,0.0,0.3713527566195718,0.0,0.39793188152650283,0.0,0.4490175758689858,0.0,0.5
CPI_bt,300,3.1651439666748047,0.5793616752652486,1.0,2.31581153933395e-07,1.0,2.450437434961921e-24,1.0,8.885873714589806e-25,1.0,0.12955194157289257,1.0,1.1248385254252734e-41,1.0,1.0075466139149549e-08,1.0,1.529543392630557e-16,1.0,4.951565518330915e-12,1.0,3.7184286056929647e-14,1.0,3.1737811697653203e-21,0.0,0.5,0.0,0.316992160646134,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4953401400297653,0.0,0.41654082932319536,0.0,0.3506602761987546,0.0,0.5,0.0,0.5,0.0,0.5403083799230702,0.0,0.2633836558566269,0.0,0.5,0.0,0.4421960606420013,0.0,0.5,0.0,0.5,0.0,0.77896486012436,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5012247088499224,0.0,0.3760464791304546,0.0,0.4299089237142405,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.3570348468365139,0.0,0.16449091266790433,0.0,0.4286415378853463,0.0,0.5,0.0,0.5,0.0,0.2611912437353504,0.0,0.6886721853962547,0.0,0.5221505714114315,0.0,0.5
CPI_sqd,300,3.1452267169952393,0.5793616752652486,1.0,7.09918291672951e-70,1.0,4.160038227167959e-71,1.0,1.0369870888673384e-121,1.0,3.012280091573602e-105,1.0,0.0,1.0,9.888495204449272e-14,1.0,2.0308187978641254e-141,1.0,8.345912323468586e-214,1.0,4.4083626386808797e-100,1.0,1.887985447444307e-203,0.0,0.5,0.0,4.180528895225341e-67,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9905109405837699,0.0,0.07893202835356372,0.0,3.862025452366275e-208,0.0,0.5,0.0,0.5,0.0,1.0,0.0,1.1067866121616297e-162,0.0,0.5,0.0,9.255271529521956e-171,0.0,0.5,0.0,0.5,0.0,1.2371901854233456e-66,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.3651427044475374e-18,0.0,1.197732385031434e-06,0.0,4.263369539867974e-248,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9999924893064914,0.0,0.5,0.0,0.5,0.0,2.6817585694683583e-09,0.0,0.9860032277199289,0.0,2.9382474031190214e-41,0.0,0.5
S-CPI,300,3.069448947906494,0.5793616752652486,1.0,0.12045737748402174,1.0,0.029945325256163374,1.0,0.04163102746571095,1.0,0.6550673826540884,1.0,0.00012021455949496837,1.0,0.41012027251129934,1.0,0.02560898824390206,1.0,0.029374743481928773,1.0,0.0036524358188244417,1.0,0.007894449129991604,0.0,0.5,0.0,0.07596715758241669,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6205960152153902,0.0,0.5495145055805025,0.0,0.010041216262270298,0.0,0.5,0.0,0.5,0.0,0.9537049240765492,0.0,0.01429448831480102,0.0,0.5,0.0,0.5682967889943226,0.0,0.5,0.0,0.5,0.0,0.8487297019302866,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5634415191668408,0.0,0.3338000131968754,0.0,0.5725077420563272,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.021771509601431382,0.0,0.3982586225591281,0.0,0.40543382839880154,0.0,0.5,0.0,0.5,0.0,0.5322841850872104,0.0,0.7632361597810731,0.0,0.3682619990773527,0.0,0.5
S-CPI_sqrt,300,3.365187406539917,0.5793616752652486,1.0,0.3373378982955191,1.0,0.17993293297784224,1.0,0.23662842573699783,1.0,0.6116516997752037,1.0,0.1038097664655962,1.0,0.45486016519976347,1.0,0.15254625451227471,1.0,0.2021879902822532,1.0,0.1728280911232165,1.0,0.2205083998599297,0.0,0.5,0.0,0.4391468930981998,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5005166997133672,0.0,0.4938496739155471,0.0,0.47373683706366565,0.0,0.5,0.0,0.5,0.0,0.5558780929591107,0.0,0.46547471192548906,0.0,0.5,0.0,0.5258291821813208,0.0,0.5,0.0,0.5,0.0,0.5684601729109209,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.503772020232617,0.0,0.4993419927961943,0.0,0.5086567194661252,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4637584177616919,0.0,0.49927820795957634,0.0,0.5093479873910931,0.0,0.5,0.0,0.5,0.0,0.5166300724171032,0.0,0.5102524949566667,0.0,0.4962794886544932,0.0,0.5
S-CPI_n,300,3.1737842559814453,0.5793616752652486,1.0,0.13053573673011593,1.0,0.056528606136894075,1.0,0.05818608767764154,1.0,0.46406668755512887,1.0,0.002535276199881193,1.0,0.6338527256594294,1.0,0.10473553906470084,1.0,0.030533879984967476,1.0,0.006303474168086904,1.0,0.049668147315135254,0.0,0.5,0.0,0.21178885302618805,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49877193425824884,0.0,0.4831358748716602,0.0,0.31501226277111327,0.0,0.5,0.0,0.5,0.0,0.8056350839424284,0.0,0.2320975322510015,0.0,0.5,0.0,0.5292959274937068,0.0,0.5,0.0,0.5,0.0,0.8127707098944676,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5821578615302928,0.0,0.49690212961939667,0.0,0.43836198361381984,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.27022983886474355,0.0,0.4082212023219372,0.0,0.48552669033032525,0.0,0.5,0.0,0.5,0.0,0.5102094349678927,0.0,0.4984749594662335,0.0,0.40367657535312534,0.0,0.5
S-CPI_bt,300,3.2366530895233154,0.5793616752652486,1.0,0.004472665786578723,1.0,6.928207846318221e-07,1.0,2.3093042764218406e-12,1.0,0.9139649597493469,1.0,5.0187877434289505e-36,1.0,0.40401104437928814,1.0,1.3534526041609781e-09,1.0,2.108419003406794e-12,1.0,2.0864495603579332e-16,1.0,1.8141991582048998e-13,0.0,0.5,0.0,0.08692726821060981,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5009763512025212,0.0,0.48478227361382764,0.0,0.2880565759640487,0.0,0.5,0.0,0.5,0.0,0.9703329908730219,0.0,0.1551404420072114,0.0,0.5,0.0,0.6992307266566655,0.0,0.5,0.0,0.5,0.0,0.9777527112983759,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5665606225486901,0.0,0.4559622819638522,0.0,0.5683061192435129,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.19325448708902765,0.0,0.18033100419840464,0.0,0.48996814658421334,0.0,0.5,0.0,0.5,0.0,0.6064982325879245,0.0,0.3734038226130443,0.0,0.5485605996873789,0.0,0.5
