method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,70.95456600189209,0.30582343271958146,0.0,0.13573035621295082,0.0,0.9709991515583664,0.0,0.9972934333407614,0.0,1.0,0.0,0.9998137175826075,1.0,0.748014252240349,0.0,0.01639183591125115,0.0,6.628935463981467e-05,0.0,0.8996011595942892,0.0,1.0,0.0,0.32347843122780817,0.0,0.8024794309522252,1.0,0.07273775523198589,0.0,0.04313660328363955,0.0,0.9998146806885696,1.0,0.9999999876274254,0.0,5.382468026837728e-09,0.0,3.5984726842741566e-07,1.0,0.47182696035393323,0.0,0.04441834361237895,1.0,0.3008204115123325,0.0,1.0,1.0,1.119184078746116e-09,0.0,0.007551461397298231,0.0,0.9999999984126764,0.0,0.0007990878250920819,0.0,0.37600371800869237,0.0,0.8008827098957289,1.0,4.759832686329624e-06,0.0,0.9885651897683563,0.0,0.049081699485202024,0.0,9.665608479814125e-06,0.0,1.3018528477459768e-09,1.0,0.9998826890181839,1.0,0.9974757173547324,0.0,0.26848519025809914,0.0,0.048051336096465835,1.0,0.8332464445493895,0.0,1.0,0.0,0.9999857614703076,0.0,0.0,0.0,0.9999999999974097,0.0,0.9991057306183385,1.0,0.006750247426126621,0.0,0.777219810556649,1.0,0.7868225041132795,0.0,0.3118952101476269,0.0,0.2742514810315332,0.0,0.7495617935250252,0.0,0.9999953923185827
CPI,300,4.276861667633057,0.30582343271958146,0.0,0.07769205290786088,0.0,0.919879066341476,0.0,0.018720826626325057,0.0,0.5419816056302335,0.0,0.8258954480593432,1.0,0.035518317433793425,0.0,0.563988633088385,0.0,0.7321915918781571,0.0,0.4669092851735667,0.0,0.6522538862393199,0.0,0.20464955231412962,0.0,0.16668255459258946,1.0,0.03358051046781539,0.0,0.6696597446810215,0.0,0.9721442236596733,1.0,0.9563226720034417,0.0,0.633035719200212,0.0,0.8369749226690726,1.0,0.7101727616176221,0.0,0.8740999106319995,1.0,0.028181879863235264,0.0,0.6446727865892351,1.0,0.1779740810338452,0.0,0.15400510162680375,0.0,0.21308363934821428,0.0,0.9329947756064414,0.0,0.4777247168230614,0.0,0.9187892053822965,1.0,0.3214771907234992,0.0,0.19703608501850184,0.0,0.3949795223741991,0.0,0.24538106018536637,0.0,0.13805415448218938,1.0,0.6060205621337837,1.0,0.0018932567865406404,0.0,0.4933090899865628,0.0,0.8791247601574363,1.0,0.19081188362120804,0.0,0.4679873114280397,0.0,0.36672035954415927,0.0,0.4204927802197628,0.0,0.41892825303505526,0.0,0.9080346472263678,1.0,0.5063835591910123,0.0,0.5101494953789772,1.0,0.5462508500532482,0.0,0.32631120920660683,0.0,0.6268780477636126,0.0,0.6460234920462099,0.0,0.7765441157036128
CPI_sqrt,300,4.253575086593628,0.30582343271958146,0.0,0.4815901599574392,0.0,0.5022425065006139,0.0,0.49744686840273844,0.0,0.49689085559663193,0.0,0.5016526523910506,1.0,0.4993360286593369,0.0,0.506545216322758,0.0,0.5201254505308266,0.0,0.4994582319468804,0.0,0.49655945435710847,0.0,0.4904498605708786,0.0,0.4903466431973162,1.0,0.4443943949323214,0.0,0.49518358579730176,0.0,0.5107800525377523,1.0,0.5057221075551409,0.0,0.5048694676013007,0.0,0.49677327843225105,1.0,0.4998496329633564,0.0,0.4885652678266727,1.0,0.4538881907226067,0.0,0.5028455163764262,1.0,0.44198182662347923,0.0,0.505711716445438,0.0,0.5016312006513275,0.0,0.50164181038466,0.0,0.4886683824743363,0.0,0.507682730240434,1.0,0.496588374664078,0.0,0.4940915273308117,0.0,0.5040194575822675,0.0,0.5009030357072408,0.0,0.5109015363834415,1.0,0.5147647254826363,1.0,0.40240781626791844,0.0,0.5201279315625223,0.0,0.5020351843166598,1.0,0.49120942603239975,0.0,0.49854862712286074,0.0,0.4961812017709519,0.0,0.5044289942868185,0.0,0.49924159139888064,0.0,0.49639938179022775,1.0,0.5132216894660843,0.0,0.49870011773615314,1.0,0.4964179560548227,0.0,0.49877707165628976,0.0,0.4765642992702717,0.0,0.5039778532371582,0.0,0.5007781671990532
CPI_n,300,4.255426645278931,0.30582343271958146,0.0,0.46088576528989417,0.0,0.5296943304093233,0.0,0.49635105190785245,0.0,0.39975995862268077,0.0,0.621996084321822,1.0,0.4874701120484779,0.0,0.49146541434028373,0.0,0.4751527806275803,0.0,0.46946968324240307,0.0,0.5298893778312869,0.0,0.36856616368672057,0.0,0.45165713613431446,1.0,0.16188887318486073,0.0,0.5437794838416659,0.0,0.551664122149305,1.0,0.4966726035487093,0.0,0.5202302478132612,0.0,0.4581506478894499,1.0,0.47106859748414875,0.0,0.26347388948733885,1.0,0.23925050125910274,0.0,0.5809696360150336,1.0,0.24398750969857746,0.0,0.48153734108035295,0.0,0.19962876908507082,0.0,0.5586027562004431,0.0,0.5225436446740317,0.0,0.539323639041283,1.0,0.34914439466844605,0.0,0.4794992387560642,0.0,0.5344765753883699,0.0,0.48536624366128545,0.0,0.4915233727795304,1.0,0.5471369308381784,1.0,0.24663247598528037,0.0,0.556502539375594,0.0,0.6008895884473121,1.0,0.5192929533171078,0.0,0.5117006483054889,0.0,0.4281550500935756,0.0,0.5199668842914411,0.0,0.5021900556291787,0.0,0.5448786961279442,1.0,0.4696242724693302,0.0,0.4697946297046868,1.0,0.47186720316049635,0.0,0.39900457763848585,0.0,0.49992062180178154,0.0,0.4815730717148583,0.0,0.5135375337286161
CPI_bt,300,4.435518264770508,0.30582343271958146,0.0,0.436218598560621,0.0,0.5621888112842286,0.0,0.4816608204131617,0.0,0.5163683754288252,0.0,0.5043486119177943,1.0,0.46960359701165133,0.0,0.5060100732751872,0.0,0.5067370055493817,0.0,0.567859605124882,0.0,0.4826229267966234,0.0,0.29773828340244723,0.0,0.3533558446356654,1.0,0.3512561181727465,0.0,0.4461149823444328,0.0,0.6474849612589402,1.0,0.5419980817472497,0.0,0.5697153656047765,0.0,0.4411568640021938,1.0,0.4491340089484719,0.0,0.3037014378876183,1.0,0.0027204318420666457,0.0,0.6139322953038208,1.0,0.3783987035367664,0.0,0.4391058484616864,0.0,0.383713308914965,0.0,0.4824142581072142,0.0,0.5059631663568003,0.0,0.5511065895800118,1.0,0.3915500315149359,0.0,0.41920596747075217,0.0,0.503993464365961,0.0,0.4407342273930862,0.0,0.5397904369079353,1.0,0.6157996008221236,1.0,0.0021545891140138168,0.0,0.6680481751936935,0.0,0.5101735202572149,1.0,0.26665496064434624,0.0,0.6009264021610117,0.0,0.47129125391107557,0.0,0.4515580268244148,0.0,0.28035060204188467,0.0,0.392857575312504,1.0,0.6080142250491057,0.0,0.36583205485038955,1.0,0.5199517004968833,0.0,0.43163254014202446,0.0,0.4263064236060433,0.0,0.5557814185912913,0.0,0.4904626789683369
CPI_sqd,300,4.44969630241394,0.30582343271958146,0.0,0.9999999999999967,0.0,1.0,0.0,4.036755968519806e-06,0.0,6.15205929657214e-15,0.0,0.9998399826850444,1.0,1.2631578885648423e-82,0.0,0.9999999857142152,0.0,1.0,0.0,1.1094979294318297e-36,0.0,6.688125788737777e-16,0.0,9.115468935061309e-17,0.0,1.662524033970407e-49,1.0,0.0,0.0,5.178843548338411e-18,0.0,1.0,1.0,3.80823766016592e-21,0.0,0.999999999890099,0.0,5.8151955707853694e-08,1.0,9.415013351494572e-26,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2830340645524991e-10,0.0,3.236670853931866e-10,0.0,0.9999999398094703,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9999969394756049,0.0,0.8738188813376315,0.0,1.3226184342438114e-05,0.0,5.340167757593071e-08,1.0,8.6480651040125e-146,1.0,0.0,0.0,1.0,0.0,0.9999999996474274,1.0,0.0,0.0,0.9999999988865061,0.0,0.03442871731440241,0.0,4.768447959999845e-14,0.0,3.1199711945360786e-54,0.0,1.2597741836781048e-07,1.0,1.0,0.0,0.12304044267301051,1.0,1.0,0.0,1.301735497617938e-07,0.0,8.860684581339142e-91,0.0,0.999942700453211,0.0,7.268322057273284e-07
S-CPI,300,4.700171232223511,0.30582343271958146,0.0,0.08762771722043039,0.0,0.3433148608067631,0.0,0.22609040257098506,0.0,0.502268773145511,0.0,0.6115061800347327,1.0,0.650100383139306,0.0,0.9025003938273622,0.0,0.9153141015927075,0.0,0.32805826445510605,0.0,0.6620109544172318,0.0,0.08462852685607386,0.0,0.6017390424789364,1.0,0.03848843707267403,0.0,0.445786671269159,0.0,0.9055870727901534,1.0,0.38550254015186286,0.0,0.8718673611883652,0.0,0.24068501205057358,1.0,0.26864678639858575,0.0,0.20768306321080665,1.0,0.0021965904921437754,0.0,0.93966385728745,1.0,0.6777695422498438,0.0,0.3652971867013662,0.0,0.3584363412042295,0.0,0.6970678000013467,0.0,0.5191737487324607,0.0,0.9969784234686101,1.0,0.34424433011924493,0.0,0.5620032260896022,0.0,0.9167921514390007,0.0,0.2759581414797201,0.0,0.562977124250119,1.0,0.9037340647704881,1.0,0.008377485462110819,0.0,0.9405890648772611,0.0,0.7989895753230503,1.0,0.13866223142888595,0.0,0.6893116065319856,0.0,0.2210566443576003,0.0,0.2826424473345672,0.0,0.2477963555896326,0.0,0.4307541854888866,1.0,0.8188753404237911,0.0,0.9453291775115591,1.0,0.5814608674505286,0.0,0.23762364522752394,0.0,0.08511817139215477,0.0,0.7455744710897475,0.0,0.6538519720625131
S-CPI_sqrt,300,4.700064420700073,0.30582343271958146,0.0,0.480842042238203,0.0,0.49525072945949095,0.0,0.4980832706697486,0.0,0.48844554294624887,0.0,0.5183948199622542,1.0,0.4965499283212286,0.0,0.5059198694802806,0.0,0.5297183455840971,0.0,0.5007022901041418,0.0,0.5029600873916448,0.0,0.4853592797137293,0.0,0.5164754355184067,1.0,0.43410885906569985,0.0,0.49828616338073856,0.0,0.5160101183045435,1.0,0.49864321440491965,0.0,0.5095969012660835,0.0,0.494406484904221,1.0,0.48734214348692134,0.0,0.47108051293033887,1.0,0.38327528417727136,0.0,0.5259074530028475,1.0,0.49640015878693927,0.0,0.49654911452835526,0.0,0.47385814599217657,0.0,0.5142384134689468,0.0,0.5053340325593351,0.0,0.513867424218648,1.0,0.4898862154947446,0.0,0.5038532436233136,0.0,0.5021801751215497,0.0,0.4928208485299916,0.0,0.5104045104395455,1.0,0.4964464946398855,1.0,0.4134955851812995,0.0,0.5322308857465818,0.0,0.5053047742061088,1.0,0.4787723909595757,0.0,0.5013910487036802,0.0,0.48955181472114206,0.0,0.4959407847261743,0.0,0.48751382277206706,0.0,0.5011015530970743,1.0,0.5117086214563901,0.0,0.4991688829206572,1.0,0.5072391966099328,0.0,0.4854006037257051,0.0,0.48508326913174066,0.0,0.5065706103941268,0.0,0.5022832457287566
S-CPI_n,300,4.700585603713989,0.30582343271958146,0.0,0.3168529018885432,0.0,0.48758838417607886,0.0,0.4815455859784637,0.0,0.43371344950233903,0.0,0.48528206011404645,1.0,0.49905357384508664,0.0,0.558610133918282,0.0,0.6659280635654261,0.0,0.523693710066927,0.0,0.5208797150289152,0.0,0.395566042543953,0.0,0.4786584147400719,1.0,0.20914016275299763,0.0,0.5083895808051325,0.0,0.6242566588749683,1.0,0.5297870044838191,0.0,0.574454745551953,0.0,0.4486041299572384,1.0,0.4846400747150129,0.0,0.4025870509424937,1.0,0.08262943727790012,0.0,0.6188230428442265,1.0,0.6008086500089163,0.0,0.5288659165626469,0.0,0.3955229545708785,0.0,0.5457745300368552,0.0,0.5102652814432873,0.0,0.623116839260021,1.0,0.5621188303178883,0.0,0.46388527986733413,0.0,0.5237334760899643,0.0,0.4644576230674938,0.0,0.45141276467419134,1.0,0.6484948843109964,1.0,0.12414432387749746,0.0,0.7332671112081403,0.0,0.5729755072198096,1.0,0.40086442797237193,0.0,0.5363383606265675,0.0,0.5108552748381578,0.0,0.5118836565564063,0.0,0.4011372923454103,0.0,0.501036991491313,1.0,0.5897329906212386,0.0,0.4499042104461728,1.0,0.5161961201921239,0.0,0.38731713616662,0.0,0.4271035407541978,0.0,0.5059713169441828,0.0,0.5338498054096456
S-CPI_bt,300,4.880861520767212,0.30582343271958146,0.0,0.2979649185649976,0.0,0.4969493097460347,0.0,0.47611090351039004,0.0,0.37322291786443107,0.0,0.5845404675923357,1.0,0.500643324924611,0.0,0.5468091631733922,0.0,0.732627475271581,0.0,0.5096767444754067,0.0,0.5459384308495071,0.0,0.35302061906594373,0.0,0.7540080149731421,1.0,0.10807940248876996,0.0,0.459446602108343,0.0,0.646524616963987,1.0,0.5624321838234267,0.0,0.6341042394857127,0.0,0.4644318388140404,1.0,0.4703720912162481,0.0,0.22780341341083737,1.0,0.0042392096298204136,0.0,0.6880342027746978,1.0,0.6812099108407799,0.0,0.44208087060399526,0.0,0.40640834163081024,0.0,0.5345355069752862,0.0,0.5224381362994,0.0,0.6191621705531418,1.0,0.32099121015674026,0.0,0.5117855968530614,0.0,0.5322747873724036,0.0,0.5242370398053756,0.0,0.540149641668942,1.0,0.6595033626047013,1.0,0.0020204586554733207,0.0,0.8301038784463585,0.0,0.5326533554192151,1.0,0.48673270234204874,0.0,0.5813032549958367,0.0,0.44614627727665057,0.0,0.45376543435008887,0.0,0.349538557446455,0.0,0.4592548742139294,1.0,0.5379510401227334,0.0,0.557643639097946,1.0,0.5376595133803578,0.0,0.4477057742066495,0.0,0.2768289044208363,0.0,0.5267055949991443,0.0,0.5879943050578599
S-CPI_sqd,300,4.881725311279297,0.30582343271958146,0.0,0.0,0.0,6.351465671855038e-13,0.0,2.73918721716112e-05,0.0,4.563361920485828e-16,0.0,0.9999999826296582,1.0,0.39963440693109575,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999985396,0.0,1.575075837474937e-300,0.0,1.436596866441896e-117,1.0,0.0,0.0,4.3385704068251114e-05,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.9635262758938993e-10,1.0,2.680083929675219e-08,0.0,2.868739278603507e-137,1.0,0.0,0.0,1.0,1.0,1.1149832279787067e-161,0.0,2.134615911665161e-08,0.0,0.0,0.0,1.0,0.0,2.2564824113596638e-29,0.0,1.0,1.0,6.355986126464944e-122,0.0,2.6013535235000964e-111,0.0,0.9999999999454174,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.3114611941124505e-193,0.0,1.0,0.0,1.7369673419807698e-41,0.0,0.0012199243570097918,0.0,9.002193764380773e-54,0.0,0.9999999994216348,1.0,1.0,0.0,0.008377479681226492,1.0,0.9999999999999988,0.0,5.996906890556159e-107,0.0,3.0237725045036484e-172,0.0,1.0,0.0,1.6316452863145724e-07
S-CPI2,300,9.103192806243896,0.30582343271958146,0.0,0.057422764207882115,0.0,0.410481945034746,0.0,0.1400641476071614,0.0,0.15252709261686087,0.0,0.6193186255469637,1.0,0.5008535153416949,0.0,0.8518280723964775,0.0,0.9519992885182993,0.0,0.5288514081313576,0.0,0.6934113543637134,0.0,0.08396578309139452,0.0,0.6476404590094327,1.0,0.03831335945176747,0.0,0.4427908562043403,0.0,0.9082280357518693,1.0,0.6186764814408522,0.0,0.9369716879248222,0.0,0.17971230582085324,1.0,0.36656148606736105,0.0,0.12115979425088341,1.0,0.0065452533922105635,0.0,0.9311691984419459,1.0,0.566969559472294,0.0,0.4516171252722713,0.0,0.20425768967152091,0.0,0.8428747497014504,0.0,0.6710679170773862,0.0,0.9980170008878024,1.0,0.3907163854872477,0.0,0.5278671664136676,0.0,0.9132118835675345,0.0,0.377355257810864,0.0,0.5152906544428525,1.0,0.7812654498891676,1.0,0.03021242142976599,0.0,0.9880142781368066,0.0,0.8452821824051973,1.0,0.2659859590213526,0.0,0.6265141708774363,0.0,0.36432279790820127,0.0,0.38753516746677025,0.0,0.2745087501192277,0.0,0.6153777479998749,1.0,0.7967804356558805,0.0,0.704872326000786,1.0,0.6871063418418512,0.0,0.19027664479377127,0.0,0.15339665636427224,0.0,0.7825789928945782,0.0,0.6590827387759228
