method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,11.018887758255005,-0.0762579696204353,0.0,0.9611866406686783,1.0,0.9824010110362493,0.0,0.42650525277714946,0.0,0.9467786921726802,1.0,0.7926808539570952,0.0,0.5437321322941411,1.0,0.8497755735909321,0.0,0.996301945199728,0.0,0.999891384080136,1.0,0.917905222299619,0.0,0.8273271851991597,0.0,0.9463896203146958,0.0,0.99028964491726,0.0,0.9959031678405091,0.0,0.9976807807048947,1.0,0.9967756141504294,0.0,0.8645714428046262,0.0,0.9453565902587572,0.0,0.9237459722333814,0.0,0.9457718409845333,0.0,0.6197280654892068,1.0,0.9981246403026154,1.0,0.9877454582969329,0.0,0.911839275122494,0.0,0.5994844476494154,0.0,0.39563882283484264,0.0,0.3184817532107327,0.0,0.42251166299360965,0.0,0.023842160543334212,0.0,0.9801175402618123,0.0,0.9886674168707018,1.0,0.29669040985356887,1.0,0.9539758347908737,0.0,0.41730115480249663,0.0,0.7344305738433048,0.0,0.8110277718781809,0.0,0.3182139621545852,0.0,0.9459156637873919,0.0,0.7084395691914966,0.0,0.6380383410559326,0.0,0.13646720734033502,0.0,0.37775022574874806,0.0,0.7999536541010017,0.0,0.7663457221468732,0.0,0.8477968984881973,0.0,0.9528817643286638,1.0,0.9243856216227063,0.0,0.2544601545454963,1.0,0.4568592669253284,1.0,0.8633125622917753
CPI,300,3.4046034812927246,-0.0762579696204353,0.0,0.5734508905609349,1.0,0.18993952655014024,0.0,0.1841455332569943,0.0,0.9191599215203256,1.0,0.9502416373443405,0.0,0.7362206085804491,1.0,0.39601981000861386,0.0,0.31752971783080575,0.0,0.35812325242400606,1.0,0.9352683345054394,0.0,0.47648266027378744,0.0,0.9840207812407221,0.0,0.3676980399963664,0.0,0.98713581489796,0.0,0.6358356685736769,1.0,0.8516860957982881,0.0,0.887300893394046,0.0,0.6346203830911572,0.0,0.2408923525246715,0.0,0.7141114357442033,0.0,0.8688164308408457,1.0,0.4797470763353222,1.0,0.09117246561953274,0.0,0.12137751860301793,0.0,0.8805447585891508,0.0,0.047517323528046954,0.0,0.989176072027367,0.0,0.6592059005962078,0.0,0.7134349636533377,0.0,0.9639932132702261,0.0,0.9759633464757701,1.0,0.9087835787531156,1.0,0.9485141931838552,0.0,0.9014450521714426,0.0,0.5297605340367839,0.0,0.4209063371605316,0.0,0.42750270858709694,0.0,0.5442331852452189,0.0,0.06692613854590178,0.0,0.6688228696572054,0.0,0.8246558917650315,0.0,0.7980967281837377,0.0,0.6963946018409538,0.0,0.2996004586600032,0.0,0.46040628330079447,0.0,0.4214956770596482,1.0,0.9284131645543912,0.0,0.047037122515612,1.0,0.0035435336185020757,1.0,0.6060998622978816
CPI_sqrt,300,3.3817381858825684,-0.0762579696204353,0.0,0.43938536854841936,1.0,0.4507942462155342,0.0,0.4565829999315894,0.0,0.5099149108491752,1.0,0.566193596056918,0.0,0.44253712431323056,1.0,0.5113060435243617,0.0,0.48842692013029726,0.0,0.4337614327663374,1.0,0.5004863437075765,0.0,0.5394507107299379,0.0,0.4847426433389037,0.0,0.4858005430117593,0.0,0.5268357579019916,0.0,0.5336234935202577,1.0,0.5667233283181128,0.0,0.4820776110085919,0.0,0.46291980318931236,0.0,0.46974212712398,0.0,0.5208667543005157,0.0,0.5001518266135085,1.0,0.48764338006082814,1.0,0.4834540873899296,0.0,0.4743640215974822,0.0,0.49736560166350335,0.0,0.47958995536467475,0.0,0.5265171591335538,0.0,0.4710217612963975,0.0,0.50785735151337,0.0,0.563383279183805,0.0,0.5147368681196762,1.0,0.5953649027055764,1.0,0.5437236147437168,0.0,0.5476674540756731,0.0,0.5298133944631898,0.0,0.5173065108811711,0.0,0.5596935937887294,0.0,0.48479992374223885,0.0,0.4125846034190936,0.0,0.5411403740177676,0.0,0.5416525116363312,0.0,0.5396205878595882,0.0,0.5120315178996417,0.0,0.47134443866515785,0.0,0.4968961217868562,0.0,0.4256300859392816,1.0,0.5103852376485756,0.0,0.46642736598063117,1.0,0.4406705719187154,1.0,0.5540310548422978
CPI_n,300,3.394538164138794,-0.0762579696204353,0.0,0.6201619317911983,1.0,0.5527831951397935,0.0,0.24607115262372242,0.0,0.656956653901014,1.0,0.7205272807771692,0.0,0.3609825896023696,1.0,0.5196828669754423,0.0,0.393534666885708,0.0,0.4162757159652552,1.0,0.5583090882761016,0.0,0.5074301862582256,0.0,0.7558946031702071,0.0,0.28585670093667354,0.0,0.38524810656792297,0.0,0.8513457512107245,1.0,0.6645683107695062,0.0,0.6551341833943254,0.0,0.5114676717663372,0.0,0.6334615749913668,0.0,0.4325707029195586,0.0,0.658045531047978,1.0,0.5939365367024947,1.0,0.5986833225145303,0.0,0.37819567862224446,0.0,0.6592540378734126,0.0,0.31933083910917726,0.0,0.852672913683526,0.0,0.3584962091764885,0.0,0.515664301840923,0.0,0.8704613279154785,0.0,0.7771451220049475,1.0,0.8927645879858194,1.0,0.6656493491039314,0.0,0.6598598320399439,0.0,0.3775680004696569,0.0,0.33222131439169034,0.0,0.7462391332547901,0.0,0.8394212280644542,0.0,0.26275514127087757,0.0,0.6403475050444061,0.0,0.686752465414282,0.0,0.6218070643127546,0.0,0.4962390915155927,0.0,0.25348173603671315,0.0,0.6829176946000579,0.0,0.6176968156874711,1.0,0.8678781700519713,0.0,0.42235234458830745,1.0,0.19907783959004932,1.0,0.4734773949512909
CPI_bt,300,3.56689190864563,-0.0762579696204353,0.0,0.015438077320402595,1.0,0.3831827541382276,0.0,0.1603132875210186,0.0,0.8616713933542848,1.0,0.9980428553258269,0.0,0.48847387834311906,1.0,0.6431515335652527,0.0,0.6781181306827726,0.0,0.452415482461558,1.0,0.1522804440391063,0.0,0.6553263050095255,0.0,0.7995132336289592,0.0,0.4062957876113294,0.0,0.3787860084346223,0.0,0.8278644286929908,1.0,0.910100502989075,0.0,0.4065980569985015,0.0,0.23869307340595414,0.0,0.17687787553234285,0.0,0.8434646518191824,0.0,0.6655489212118737,1.0,0.3475090084615994,1.0,0.24993650681609092,0.0,0.3469021013695496,0.0,0.4957017333642491,0.0,0.42285487153211077,0.0,0.9957460246326514,0.0,0.2351670915649003,0.0,0.11765496449112367,0.0,0.9992341077982018,0.0,0.8411697254524856,1.0,0.9974340617452239,1.0,0.8554724201355759,0.0,0.8354674993747822,0.0,0.8238121121124853,0.0,0.7979213319228239,0.0,0.46264505204774115,0.0,0.8671989711378273,0.0,0.39026285928598425,0.0,0.5646639448539552,0.0,0.7693115611591732,0.0,0.8353601152568093,0.0,0.9716977992153147,0.0,0.26775874295162877,0.0,0.5479344687766197,0.0,0.1873185173524784,1.0,0.8798055271875966,0.0,0.43587564762119524,1.0,0.0002536392192225465,1.0,0.014043572911110492
CPI_sqd,300,3.5565109252929688,-0.0762579696204353,0.0,0.0,1.0,1.0316420781631029e-52,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.911802746840199e-275,1.0,1.0,0.0,6.252914646804771e-16,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.98942639945285e-187,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0017450604453833826,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.804589789505324e-28,0.0,1.0,0.0,1.504394922607165e-79,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
S-CPI,300,3.5567805767059326,-0.0762579696204353,0.0,0.47576620676377973,1.0,0.5359682407885451,0.0,0.27573443503608336,0.0,0.9383338660824119,1.0,0.9461517553825983,0.0,0.34482919547280344,1.0,0.8661909121048754,0.0,0.7421669269047597,0.0,0.47979418189639456,1.0,0.7222464095686739,0.0,0.7053623883869813,0.0,0.8709774134016357,0.0,0.39645572414244223,0.0,0.7797882056416703,0.0,0.9941138977878466,1.0,0.9956421594861025,0.0,0.8649495215200663,0.0,0.7819514686109545,0.0,0.730753930895278,0.0,0.8730930503022648,0.0,0.9658736053246495,1.0,0.7683360806603461,1.0,0.42418215918186786,0.0,0.24688530479522547,0.0,0.8994986719839069,0.0,0.12806059833329264,0.0,0.951894196275772,0.0,0.5661476923825732,0.0,0.516868272270618,0.0,0.9989330004284692,0.0,0.9814688800334028,1.0,0.9950320382004435,1.0,0.9605266273454253,0.0,0.9662847054381624,0.0,0.5672039912098703,0.0,0.5353126003844934,0.0,0.744622162182976,0.0,0.8779282318881416,0.0,0.15211431336262515,0.0,0.7826002895684167,0.0,0.9853647756314419,0.0,0.8675705732206198,0.0,0.9042314913663002,0.0,0.20545984498459785,0.0,0.7830280781059291,0.0,0.5135085614574935,1.0,0.985631591291049,0.0,0.38033895609088975,1.0,0.023351003967479408,1.0,0.6791390032344851
S-CPI_sqrt,300,3.5504703521728516,-0.0762579696204353,0.0,0.4719626389306313,1.0,0.4773747605550816,0.0,0.48521884243575825,0.0,0.5401734064498785,1.0,0.5964352422009813,0.0,0.4648848041734702,1.0,0.5557294812406115,0.0,0.5284655517935503,0.0,0.5116447275748178,1.0,0.5852050513962118,0.0,0.5015853768631673,0.0,0.546198396856497,0.0,0.4938341162345575,0.0,0.5409519017952776,0.0,0.5705919648907826,1.0,0.5987045289022175,0.0,0.5295997093671587,0.0,0.5201567945442447,0.0,0.5567197338183845,0.0,0.5213332771281897,0.0,0.5997569402676971,1.0,0.5298251633908596,1.0,0.5135969910441226,0.0,0.45359860311110345,0.0,0.5690328430143982,0.0,0.4705301482021419,0.0,0.6201808538215361,0.0,0.5177393526128532,0.0,0.49960353572373295,0.0,0.6807358787841836,0.0,0.6777911913972683,1.0,0.6656029570634814,1.0,0.6087786567127402,0.0,0.5716155027933767,0.0,0.5198686933228619,0.0,0.5509797424754164,0.0,0.5669624572107839,0.0,0.5777009160575152,0.0,0.4348008802102451,0.0,0.5405794237953236,0.0,0.5749857869185265,0.0,0.5491231728796032,0.0,0.5547878279968999,0.0,0.46001944615019025,0.0,0.5259945510790331,0.0,0.4990393280965825,1.0,0.6083857984363817,0.0,0.47201013320395635,1.0,0.33958405345883114,1.0,0.5494650429739117
S-CPI_n,300,3.5456674098968506,-0.0762579696204353,0.0,0.518165753519066,1.0,0.559894131260072,0.0,0.4779028591079397,0.0,0.6691553241446231,1.0,0.820808365551259,0.0,0.5200665954495632,1.0,0.6579508667098206,0.0,0.5427626912938687,0.0,0.42942796641609915,1.0,0.8280591866188715,0.0,0.6517199323707312,0.0,0.8090430322758648,0.0,0.5211126153811717,0.0,0.5500992571356208,0.0,0.858241178607488,1.0,0.8806113830815201,0.0,0.6196916237320422,0.0,0.6271391852479034,0.0,0.6078542991651218,0.0,0.6257781892108244,0.0,0.8724790952666375,1.0,0.7186306788217025,1.0,0.5065435770391761,0.0,0.3479007081975811,0.0,0.8412871209632979,0.0,0.4283995013015064,0.0,0.8798085436017526,0.0,0.558320224653606,0.0,0.6225451081344767,0.0,0.9820693238682299,0.0,0.9374128125419305,1.0,0.9655974480655306,1.0,0.8672954315897528,0.0,0.7455256056761719,0.0,0.6208711834602217,0.0,0.6545813386160273,0.0,0.7456779873183564,0.0,0.8673791540909646,0.0,0.21260574109147246,0.0,0.6262168689167078,0.0,0.8714714438153139,0.0,0.8200040600745928,0.0,0.7373269380816745,0.0,0.28761310537968854,0.0,0.7053347426497043,0.0,0.48171890547737545,1.0,0.9007465016537844,0.0,0.6368384893967028,1.0,0.06696544746793053,1.0,0.6914213152135976
S-CPI_bt,300,3.722118377685547,-0.0762579696204353,0.0,0.5461734972428716,1.0,0.6607691184693474,0.0,0.16498830273698295,0.0,0.7490355391178052,1.0,0.9948269852298354,0.0,0.5995854987258875,1.0,0.9239592266720861,0.0,0.6324272400980004,0.0,0.5462523222786891,1.0,0.9776385737180942,0.0,0.5939096608047019,0.0,0.959950111903988,0.0,0.6958837619459866,0.0,0.673630025180177,0.0,0.9538818520404837,1.0,0.9873813433858006,0.0,0.8469940768005739,0.0,0.5522579556481703,0.0,0.8593924912929571,0.0,0.8744651706805998,0.0,0.9987274557846348,1.0,0.6215589674952049,1.0,0.5846064052304161,0.0,0.03751663103594245,0.0,0.9823169871469225,0.0,0.09206627952650753,0.0,0.9994636456690125,0.0,0.3427950568472574,0.0,0.7489866768242982,0.0,0.9999999981623336,0.0,0.9999995795014535,1.0,0.9999999460023462,1.0,0.9944972828733172,0.0,0.9007861563846316,0.0,0.6272452949240189,0.0,0.6946114729696213,0.0,0.9633215860028996,0.0,0.9937632542830205,0.0,0.0564337957831546,0.0,0.7278295222770284,0.0,0.9808748770571674,0.0,0.8401835154260957,0.0,0.8953427333228798,0.0,0.3260304885050552,0.0,0.7192665987136782,0.0,0.570869357121137,1.0,0.9945407203404533,0.0,0.4480064173847411,1.0,3.865498315635588e-07,1.0,0.9758217529981265
