method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,865.4659287929535,0.44816904548262293,0.0,0.5900651860482602,1.0,0.04912819018630321,0.0,4.856700708266715e-09,0.0,1.0,0.0,0.23880997654408564,0.0,0.0,0.0,1.0,0.0,0.9999999999995138,0.0,0.371960607924412,0.0,0.24926333132177902,0.0,0.9985366362977067,1.0,0.9999999044162892,1.0,8.337774914934926e-13,0.0,0.0,0.0,0.0,1.0,5.880529396762313e-10,0.0,0.5070546442542422,0.0,2.580162315024559e-06,0.0,5.42788036739239e-13,0.0,4.876099524153688e-13,1.0,0.99396025256605,0.0,0.9999999999979223,0.0,0.9999999998779686,0.0,1.0,0.0,0.0,0.0,0.999631913097709,0.0,0.0014306520188896998,0.0,0.9999333476128274,0.0,1.0209176430908684e-06,1.0,0.10181943557789963,0.0,0.001013865591665719,1.0,1.0,0.0,0.0004264385713066421,0.0,0.0001314964224856663,1.0,0.9959879212592541,0.0,0.02806737001895465,0.0,2.710144362050304e-05,0.0,0.5034780132586354,1.0,0.0,1.0,0.0005876062044727348,1.0,0.00013490017274941923,0.0,1.0,0.0,0.7616356995395691,0.0,0.2522685917550539,0.0,2.6423307986078726e-14,0.0,0.910726037377789,0.0,0.6926819057486249,0.0,0.999999999999965,1.0,0.0,0.0,0.11776534020218865
CPI,300,16.661487817764282,0.44816904548262293,0.0,0.08413133899849301,1.0,0.3256733909182849,0.0,0.8563267974569042,0.0,0.04647041103909526,0.0,0.8711195844141953,0.0,0.6088046758529072,0.0,0.028146690741057995,0.0,0.18214680341421774,0.0,0.7117031255780979,0.0,0.4959003000696242,0.0,0.8916665630680951,1.0,0.012010840122386545,1.0,0.028788599718284985,0.0,0.8764927881892539,0.0,0.4351238483643305,1.0,0.30435454137636153,0.0,0.2343905385780044,0.0,0.1395962956862365,0.0,0.25677354420735904,0.0,0.3957510004384879,1.0,0.042941963815623985,0.0,0.6081397645364456,0.0,0.30337636425714376,0.0,0.03637295382589093,0.0,0.06362171686689791,0.0,0.7650068058422135,0.0,0.2582252927958358,0.0,0.9419448145354881,0.0,0.410526985764284,1.0,0.1735601885971974,0.0,0.9193646968141845,1.0,0.44927849768075157,0.0,0.6939534390249544,0.0,0.018725109972368148,1.0,0.13855524240107392,0.0,0.04640929682051351,0.0,0.05708454935443331,0.0,0.006193859219756151,1.0,0.7274590738314242,1.0,0.1931649899950823,1.0,0.9712702940225943,0.0,0.0051826330659156825,0.0,0.8926237526283012,0.0,0.8923960495992791,0.0,0.8218764491903026,0.0,0.2585801495316045,0.0,0.2884303535088266,0.0,0.5308122985509589,1.0,0.8371210242079264,0.0,0.6216022953676407
CPI_sqrt,300,16.666189432144165,0.44816904548262293,0.0,0.4908309529603971,1.0,0.49950157683641894,0.0,0.502960296795916,0.0,0.49726331163862414,0.0,0.5018864673878385,0.0,0.49961156842326354,0.0,0.4966547445651056,0.0,0.49950664398468936,0.0,0.502778587312415,0.0,0.5005723274207315,0.0,0.49920225989255923,1.0,0.4386277716772225,1.0,0.5043779537124295,0.0,0.49995949016791164,0.0,0.504867217889353,1.0,0.4435847836484657,0.0,0.49325319361621656,0.0,0.4989324919849444,0.0,0.4971649328628319,0.0,0.49099693359678276,1.0,0.366875243476386,0.0,0.49812130417530753,0.0,0.49968250162342975,0.0,0.4965679242939175,0.0,0.49770054244275447,0.0,0.4994587263553224,0.0,0.5019641732617344,0.0,0.5024221299516161,0.0,0.5010299661425008,1.0,0.474566599975315,0.0,0.5043313730053873,1.0,0.5007937335225344,0.0,0.5022469996612811,0.0,0.4991138586477734,1.0,0.5007571522433184,0.0,0.4929300624364321,0.0,0.4958515083495836,0.0,0.49959188153655404,1.0,0.4994827033102999,1.0,0.49603722782214416,1.0,0.5031225433565791,0.0,0.4973289242139045,0.0,0.5000040183576521,0.0,0.5019701768468808,0.0,0.5011320319389257,0.0,0.4996960328170769,0.0,0.49843570697031275,0.0,0.5061648892452312,1.0,0.5087099473484376,0.0,0.4950923876224005
CPI_n,300,16.68553876876831,0.44816904548262293,0.0,0.4421848441172596,1.0,0.4872433543950548,0.0,0.5278232935782374,0.0,0.47032052910665206,0.0,0.5275216761199808,0.0,0.5180152615451975,0.0,0.4822098565028141,0.0,0.4910315608650711,0.0,0.48618012876499317,0.0,0.5042163047149487,0.0,0.49057808487457544,1.0,0.10050984397025936,1.0,0.26184675250362754,0.0,0.5108970397047611,0.0,0.4962055245858156,1.0,0.145470428757134,0.0,0.44439452704619137,0.0,0.47222337161483807,0.0,0.5182195280090149,0.0,0.554217643521178,1.0,0.2956764613976577,0.0,0.4651457077838207,0.0,0.46588846376090004,0.0,0.45211100775592716,0.0,0.49101039248174333,0.0,0.499307475276373,0.0,0.5334483283125341,0.0,0.49848615334737056,0.0,0.49250485488553913,1.0,0.3963530393821809,0.0,0.5877004787635136,1.0,0.5164160162330809,0.0,0.5444926174564074,0.0,0.47345421225202955,1.0,0.4615237427257024,0.0,0.34866836126150313,0.0,0.4739347116363039,0.0,0.4919554430429265,1.0,0.49715942785002804,1.0,0.4741200476634016,1.0,0.5277259171249149,0.0,0.46149743219739897,0.0,0.552939377739614,0.0,0.5402081228903713,0.0,0.5043239856266161,0.0,0.4911791464873693,0.0,0.48558477303683273,0.0,0.5043870626207435,1.0,0.5812075653801766,0.0,0.42559683188030883
CPI_bt,300,16.853039264678955,0.44816904548262293,0.0,0.48489213051436186,1.0,0.49408196583595015,0.0,0.5239371851768488,0.0,0.49088269324410666,0.0,0.4825682486346812,0.0,0.4878605875090418,0.0,0.48194805633341586,0.0,0.5007980019830796,0.0,0.5787415621327495,0.0,0.564011147535067,0.0,0.4824669992888053,1.0,0.014568535539509686,1.0,0.15664299696909834,0.0,0.4902762105522901,0.0,0.5199682324328758,1.0,0.0007156995968005511,0.0,0.48987439128182514,0.0,0.49351089899508155,0.0,0.49866717587661724,0.0,0.5145500103703432,1.0,9.139902354373675e-05,0.0,0.48733380393697795,0.0,0.501163529182168,0.0,0.47098083603586466,0.0,0.4889278333078053,0.0,0.51399653532712,0.0,0.5062691684803369,0.0,0.5154537067185355,0.0,0.5104536717248226,1.0,0.13227068334760533,0.0,0.579928401563042,1.0,0.5000458540934934,0.0,0.5004629903761836,0.0,0.4754294416883524,1.0,0.5092633846816508,0.0,0.4152912514963512,0.0,0.4821729583454721,0.0,0.47107316359915874,1.0,0.5404596327763354,1.0,0.4963985288094094,1.0,0.5252625491688008,0.0,0.4942240643339547,0.0,0.5475733091234353,0.0,0.5322909257464451,0.0,0.4991208220829114,0.0,0.45656237112480347,0.0,0.5017778969468935,0.0,0.5283926132666538,1.0,0.5098590044062545,0.0,0.4374131554054333
CPI_sqd,300,16.853625774383545,0.44816904548262293,0.0,5.517840442173961e-118,1.0,0.4346551414607228,0.0,0.99999999946486,0.0,3.9304131289726184e-11,0.0,0.02899093104021345,0.0,0.9605274006463078,0.0,0.00014736742695427917,0.0,0.0033093593240612626,0.0,5.28472121664668e-08,0.0,0.9999999999150853,0.0,0.9669965957915885,1.0,0.0,1.0,0.16525753703663237,0.0,0.9999999909959575,0.0,7.933992106317918e-10,1.0,0.0,0.0,0.9997784078394797,0.0,0.9953096664919022,0.0,0.9999946105424498,0.0,0.7838084137159136,1.0,0.0,0.0,4.730765801427837e-10,0.0,0.0026655683374403297,0.0,4.44372512020632e-07,0.0,0.0005213374765464475,0.0,0.9996047070632603,0.0,3.6656837008192793e-08,0.0,0.999991429790633,0.0,3.405083614601048e-06,1.0,0.00013625198273304524,0.0,0.9906992066653767,1.0,0.8865071084068007,0.0,1.0,0.0,0.0018568404997456205,1.0,2.5088924452938125e-07,0.0,2.6701260963964367e-282,0.0,6.935791540399626e-29,0.0,7.155238881228607e-17,1.0,7.0965097196094105e-28,1.0,0.09194473263146058,1.0,1.0,0.0,2.4407823192064546e-15,0.0,0.9683312856385426,0.0,0.7664743420773746,0.0,0.35348683331975317,0.0,0.6774190735862207,0.0,0.0014965784322146089,0.0,1.422026702998542e-20,1.0,1.0,0.0,0.9759318099757238
S-CPI,300,29.67557430267334,0.44816904548262293,0.0,0.36180555850857726,1.0,0.2916551741637683,0.0,0.9886918096024034,0.0,0.12436555705472069,0.0,0.9235412764560301,0.0,0.3989637300707894,0.0,0.09298277589491921,0.0,0.527305759640469,0.0,0.8318101819008001,0.0,0.6478673397613468,0.0,0.4790489789019024,1.0,0.059340172296129874,1.0,0.040615296662642145,0.0,0.7180091245213072,0.0,0.8300285362911094,1.0,0.018614351031434356,0.0,0.43657980653896383,0.0,0.1612300842132911,0.0,0.882277950518797,0.0,0.5539586282648875,1.0,0.1504737163473912,0.0,0.41234815518503204,0.0,0.5827800722534119,0.0,0.005243863000376574,0.0,0.01825900063576208,0.0,0.8104283177611169,0.0,0.5043883270739039,0.0,0.9093458855467166,0.0,0.41978090425675496,1.0,0.367191041344901,0.0,0.9273878171397083,1.0,0.8559473542347027,0.0,0.9144095733877802,0.0,0.22700155661281368,1.0,0.5332567237221358,0.0,0.018592961965647182,0.0,0.05422279117807327,0.0,0.07194110518224475,1.0,0.8514632225380214,1.0,0.03136291646440194,1.0,0.9654313992155629,0.0,0.023100026374690722,0.0,0.8723486247409441,0.0,0.8022087982575401,0.0,0.799956904076382,0.0,0.41508872405535824,0.0,0.15476443882544155,0.0,0.4135982042274603,1.0,0.6445383506733456,0.0,0.27452032665603965
S-CPI_sqrt,300,29.67528796195984,0.44816904548262293,0.0,0.49679990571113025,1.0,0.49836563955338264,0.0,0.5043232194949658,0.0,0.4963514891388082,0.0,0.507653151661469,0.0,0.5006307353964526,0.0,0.49519067047146254,0.0,0.5009289249269248,0.0,0.5103324467718623,0.0,0.4994684245410097,0.0,0.49901864898754983,1.0,0.4227908596096661,1.0,0.4520949285328841,0.0,0.5013747115295808,0.0,0.5040588904660631,1.0,0.3836386773026806,0.0,0.4934598098571725,0.0,0.4966470539727831,0.0,0.5048368066478932,0.0,0.4989787336894896,1.0,0.3768673538958195,0.0,0.49832894946915957,0.0,0.5004007808704898,0.0,0.49294693633471065,0.0,0.4980123404233767,0.0,0.5024873709959015,0.0,0.5012928935039581,0.0,0.5010879030219757,0.0,0.501116663228175,1.0,0.4650318461231652,0.0,0.5124535979079624,1.0,0.5034265116818545,0.0,0.5049017453186366,0.0,0.49634084289691927,1.0,0.4994558376775632,0.0,0.48045838584939005,0.0,0.4936834208958496,0.0,0.4959266221434499,1.0,0.5034162388003126,1.0,0.4976253409443703,1.0,0.5051101653877724,0.0,0.49288860582567706,0.0,0.5092505432595069,0.0,0.5021448937918075,0.0,0.5030695023873808,0.0,0.49812501287933747,0.0,0.4984684710923182,0.0,0.5033952583299406,1.0,0.5037193628662435,0.0,0.49680647607034073
S-CPI_n,300,29.690763235092163,0.44816904548262293,0.0,0.46623723906029385,1.0,0.49443367107068614,0.0,0.5382298104745639,0.0,0.4667898722469005,0.0,0.5379476291403753,0.0,0.48777717582040536,0.0,0.4483439125874956,0.0,0.512800118906502,0.0,0.5985741260083007,0.0,0.5161119925490768,0.0,0.49958216647100506,1.0,0.22353910178018027,1.0,0.2671386984330419,0.0,0.5150361133397945,0.0,0.5391905638986417,1.0,0.1706696076324667,0.0,0.4749426593658092,0.0,0.4755977918981707,0.0,0.5457780612153849,0.0,0.5244926880247575,1.0,0.29627191390243246,0.0,0.44254868505255207,0.0,0.4930679370290455,0.0,0.43541132028274254,0.0,0.4788346906583308,0.0,0.5185880685201295,0.0,0.5198107627773249,0.0,0.5217014991833693,0.0,0.5001884842276173,1.0,0.4383460027475061,0.0,0.5983084118114164,1.0,0.5168348588725359,0.0,0.521954340263095,0.0,0.4822749333890799,1.0,0.5036940834830771,0.0,0.33519820091655717,0.0,0.44795730609766,0.0,0.47341174406900677,1.0,0.5154502774157024,1.0,0.47707732615946735,1.0,0.5457083460468166,0.0,0.4350429922901678,0.0,0.5588918154923898,0.0,0.5288184330040933,0.0,0.5311647867501584,0.0,0.481942790563482,0.0,0.4827431951367719,0.0,0.49196436927149906,1.0,0.5424160365997721,0.0,0.45670231092981634
S-CPI_bt,300,29.88478183746338,0.44816904548262293,0.0,0.4706613482715364,1.0,0.48995903766197063,0.0,0.5351732795816011,0.0,0.471874806951815,0.0,0.5925698190507377,0.0,0.5014510211308668,0.0,0.4438274468668956,0.0,0.5173862921994584,0.0,0.648927599261329,0.0,0.5150215749588872,0.0,0.5010640924018186,1.0,6.784464804518393e-05,1.0,0.11967995883965793,0.0,0.5196483722027344,0.0,0.5345981750766391,1.0,0.07892178089308488,0.0,0.48857148320861854,0.0,0.458064525439508,0.0,0.533106124680436,0.0,0.4856532592546201,1.0,0.0004354484845248214,0.0,0.4767014746914114,0.0,0.49996197143631027,0.0,0.4132444713596657,0.0,0.4789325294738349,0.0,0.5177763603339053,0.0,0.5143788500652239,0.0,0.5137404551755984,0.0,0.48647799554403354,1.0,0.3131351555918829,0.0,0.5743182249816627,1.0,0.4974290083413744,0.0,0.5295165714046847,0.0,0.4773571972517958,1.0,0.5050227622136431,0.0,0.3123984481608755,0.0,0.4614641197785222,0.0,0.4612923360954769,1.0,0.5573432890369607,1.0,0.4766153150262864,1.0,0.5495648993577159,0.0,0.45359129105672336,0.0,0.5973668799594134,0.0,0.5409437384804634,0.0,0.5514817553109271,0.0,0.47229271917876636,0.0,0.48244119019441006,0.0,0.5427048826337144,1.0,0.5577730151983438,0.0,0.4715992522961052
