method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.3438355922698975,0.4106954809614334,0.0,0.20565062967253933,0.0,0.5063357235914447,1.0,4.994097357879923e-10,1.0,0.17210297106464267,0.0,0.39316555481666615,0.0,0.4466397835394833,0.0,0.9945172256876538,0.0,0.27416810373980094,0.0,0.9978958894166476,1.0,1.1102230246251565e-15,0.0,0.6363394024471324,0.0,0.7351238107134088,0.0,4.440892098500626e-16,1.0,0.22177919146378589,0.0,0.5757746090916598,1.0,0.999902779690534,1.0,0.5278042501137881,0.0,0.6032814655083806,0.0,0.00014962888039427025,0.0,0.058649221944809926,0.0,0.054431063051255335,0.0,0.42529501155854976,1.0,0.9999999619443194,1.0,0.7466712504722819,1.0,0.9999999955108735,0.0,0.27029124736256394,0.0,0.14296965525892735,0.0,0.23420589889752863,0.0,0.719636822651893,0.0,0.12305030015903151,1.0,0.1991835694084434,0.0,0.9999998469151418,0.0,0.9461818009053933,0.0,1.9617460988996527e-09,0.0,0.011902775425611023,1.0,0.16103145667830976,0.0,0.5569760534784014,0.0,0.9044151605986379,0.0,0.7904885914293933,0.0,0.9991585435193329,0.0,1.0,0.0,0.015027575239912161,0.0,0.1516059188296257,0.0,0.6269825062869204,0.0,0.05927247550001524,0.0,0.9884613766857276,1.0,2.849513452529706e-06,0.0,0.311258351836996,0.0,0.2537876612355021,0.0,0.9999999911521458
CPI,300,3.369560480117798,0.4106954809614334,0.0,0.37936270563004054,0.0,1.0,1.0,0.14168660382406978,1.0,0.2691718785787118,0.0,1.0,0.0,0.7601565266913906,0.0,1.0,0.0,0.8526989197989352,0.0,0.5944963096576161,1.0,6.85719954056936e-05,0.0,0.17428719304756596,0.0,1.0,0.0,0.6051613709851877,1.0,0.042859319385210135,0.0,1.0,1.0,1.0,1.0,0.007631949261826948,0.0,0.9988383919934256,0.0,1.0,0.0,0.49985929078734637,0.0,0.6775907357613649,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8069644086021064,0.0,1.0,0.0,0.721619948209829,0.0,1.0,0.0,0.9272815128427021,1.0,0.0107503267480708,0.0,1.0,0.0,1.0,0.0,0.7157463771749524,0.0,0.7168958381320422,1.0,0.19167918370446402,0.0,1.0,0.0,0.9480129197451058,0.0,0.3490133314894131,0.0,1.0,0.0,1.0,0.0,0.7667784648747102,0.0,1.0,0.0,0.8035905519742719,0.0,1.0,0.0,1.0,1.0,0.5090646205048559,0.0,1.0,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.3520326614379883,0.4106954809614334,0.0,0.49993690913754374,0.0,0.5,1.0,0.4831467505689586,1.0,0.48466964857719386,0.0,0.5,0.0,0.5021168655797202,0.0,0.5,0.0,0.4969507696893684,0.0,0.5140510401262421,1.0,0.3818780426898605,0.0,0.495345420952316,0.0,0.5,0.0,0.5001871434547499,1.0,0.4966304312819581,0.0,0.5,1.0,0.5,1.0,0.42104260701362073,0.0,0.5036922842283323,0.0,0.5,0.0,0.5175183244342085,0.0,0.504548431552017,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.49489977185188944,0.0,0.5,0.0,0.49888418329240797,0.0,0.5,0.0,0.5035769425001837,1.0,0.4940610181774048,0.0,0.5,0.0,0.5,0.0,0.5002945403178927,0.0,0.5004073877689257,1.0,0.475232010623477,0.0,0.5,0.0,0.5020322326393667,0.0,0.49194038861058914,0.0,0.5,0.0,0.5,0.0,0.5009404055789558,0.0,0.5,0.0,0.5133427310789018,0.0,0.5,0.0,0.5,1.0,0.4821081611428319,0.0,0.5,0.0,0.5,0.0,0.5
CPI_n,300,3.3496499061584473,0.4106954809614334,0.0,0.5005424292672537,0.0,0.5,1.0,0.4670543821054769,1.0,0.2726585271938802,0.0,0.5,0.0,0.5459882475437755,0.0,0.5,0.0,0.49173298595576587,0.0,0.5999728358304114,1.0,0.006032178772671728,0.0,0.41709294097457733,0.0,0.5,0.0,0.6787216139621227,1.0,0.4571389928705024,0.0,0.5,1.0,0.5,1.0,0.16340021788249248,0.0,0.5495962838086647,0.0,0.5,0.0,0.49076556191857723,0.0,0.587234113357371,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5719419377458503,0.0,0.5,0.0,0.5145349734865488,0.0,0.5,0.0,0.5486356468458906,1.0,0.45608242541479127,0.0,0.5,0.0,0.5,0.0,0.5265828611289708,0.0,0.5025010665156067,1.0,0.6287913692173897,0.0,0.5,0.0,0.5496648952056851,0.0,0.45740202853364703,0.0,0.5,0.0,0.5,0.0,0.5756089009318366,0.0,0.5,0.0,0.42250027340380325,0.0,0.5,0.0,0.5,1.0,0.3490415068520921,0.0,0.5,0.0,0.5,0.0,0.5
CPI_bt,300,3.5349740982055664,0.4106954809614334,0.0,0.500158095924968,0.0,0.5,1.0,0.29555229150674656,1.0,0.6012177183274963,0.0,0.5,0.0,0.5566544911707331,0.0,0.5,0.0,0.5067428328003302,0.0,0.5316840933488264,1.0,6.976174251034061e-08,0.0,0.3206615664760419,0.0,0.5,0.0,0.748071442021404,1.0,0.4652365481469934,0.0,0.5,1.0,0.5,1.0,0.0022799258596004008,0.0,0.52065477640925,0.0,0.5,0.0,0.6394925001295568,0.0,0.47241347576952497,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.4696725446102969,0.0,0.5,0.0,0.5033069281113444,0.0,0.5,0.0,0.5360259190670236,1.0,0.4441676461661878,0.0,0.5,0.0,0.5,0.0,0.5092242789899223,0.0,0.4995120014907987,1.0,0.6412929925977613,0.0,0.5,0.0,0.5112771829401503,0.0,0.44950966668183717,0.0,0.5,0.0,0.5,0.0,0.5468526573067368,0.0,0.5,0.0,0.6740769298987797,0.0,0.5,0.0,0.5,1.0,0.19029598098059697,0.0,0.5,0.0,0.5,0.0,0.5
CPI_sqd,300,3.532813310623169,0.4106954809614334,0.0,0.4696701652706826,0.0,0.5,1.0,0.0,1.0,6.673561723020316e-08,0.0,0.5,0.0,0.9999999974801028,0.0,0.5,0.0,0.005947160977907418,0.0,1.0,1.0,0.0,0.0,2.0555626433969517e-148,0.0,0.5,0.0,0.9999999999852826,1.0,1.3083661774423662e-06,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.975005157731874,0.0,0.5,0.0,0.4115068633384378,0.0,6.992403244515544e-33,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.0,7.457953607862922e-15,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,1.0,8.825188919227624e-20,0.0,0.5,0.0,0.5,0.0,0.9635367599259027,0.0,0.5633012704792858,1.0,0.0,0.0,0.5,0.0,0.2655995794491549,0.0,5.694451725608452e-13,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,1.0,1.1059656143968812e-107,0.0,0.5,0.0,0.5,0.0,0.5
S-CPI,300,3.454070568084717,0.4106954809614334,0.0,0.5331157312805709,0.0,0.9987844540375305,1.0,0.5263626916543153,1.0,0.6123703061890992,0.0,0.9987844540375305,0.0,0.8849133073817126,0.0,0.9987844540375305,0.0,0.4604666449824928,0.0,0.8801109670154138,1.0,0.005493677257138035,0.0,0.11263957795995772,0.0,0.9987844540375305,0.0,0.9483208054763149,1.0,0.07781033362280648,0.0,0.9987844540375305,1.0,0.9987844540375305,1.0,0.02758986129342362,0.0,0.9756823401985633,0.0,0.9987844540375305,0.0,0.9152151995996074,0.0,0.3343523079729615,0.0,0.9987844540375305,1.0,0.9987844540375305,1.0,0.9987844540375305,1.0,0.9987844540375305,0.0,0.7261873355775335,0.0,0.9987844540375305,0.0,0.6696849284922314,0.0,0.9987844540375305,0.0,0.9890929331091416,1.0,0.0048182669717082745,0.0,0.9987844540375305,0.0,0.9987844540375305,0.0,0.8789622550357588,0.0,0.8254264260589437,1.0,0.21686207926530787,0.0,0.9987844540375305,0.0,0.9037726970778617,0.0,0.18778442223303865,0.0,0.9987844540375305,0.0,0.9987844540375305,0.0,0.9076234501331142,0.0,0.9987844540375305,0.0,0.9045092592934509,0.0,0.9987844540375305,0.0,0.9987844540375305,1.0,0.02880031600546556,0.0,0.9987844540375305,0.0,0.9987844540375305,0.0,0.9987844540375305
S-CPI_sqrt,300,3.4543659687042236,0.4106954809614334,0.0,0.4999393077003012,0.0,0.5000000000000002,1.0,0.4803798969381386,1.0,0.509829637633626,0.0,0.5000000000000002,0.0,0.511609998741045,0.0,0.5000000000000002,0.0,0.4990988933442383,0.0,0.5084748564925632,1.0,0.3205482575558121,0.0,0.49100501453489853,0.0,0.5000000000000002,0.0,0.5165387284610062,1.0,0.49477939949043187,0.0,0.5000000000000002,1.0,0.5000000000000002,1.0,0.37074564098691765,0.0,0.509816415143393,0.0,0.5000000000000002,0.0,0.5141750398260827,0.0,0.4976487565706493,0.0,0.5000000000000002,1.0,0.5000000000000002,1.0,0.5000000000000002,1.0,0.5000000000000002,0.0,0.5090043669714637,0.0,0.5000000000000002,0.0,0.5143452159101836,0.0,0.5000000000000002,0.0,0.5082991468651814,1.0,0.49213117885365415,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.502130536509744,0.0,0.5002277696576171,1.0,0.4654601741186952,0.0,0.5000000000000002,0.0,0.51332212514674,0.0,0.49707673826279763,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5156240748646503,0.0,0.5000000000000002,0.0,0.5205449179178118,0.0,0.5000000000000002,0.0,0.5000000000000002,1.0,0.4626485562075011,0.0,0.5000000000000002,0.0,0.5000000000000002,0.0,0.5000000000000002
S-CPI_n,300,3.4554615020751953,0.4106954809614334,0.0,0.49971321704219457,0.0,0.5000000000000017,1.0,0.42876570378426965,1.0,0.5250771014982636,0.0,0.5000000000000017,0.0,0.5842914824103197,0.0,0.5000000000000017,0.0,0.5020578069135007,0.0,0.5605204838851797,1.0,0.04571837947153397,0.0,0.43657977532394693,0.0,0.5000000000000017,0.0,0.6939406844931275,1.0,0.4640979372531652,0.0,0.5000000000000017,1.0,0.5000000000000017,1.0,0.0929982432763507,0.0,0.570340512375616,0.0,0.5000000000000017,0.0,0.6416363654191695,0.0,0.49648419186347104,0.0,0.5000000000000017,1.0,0.5000000000000017,1.0,0.5000000000000017,1.0,0.5000000000000017,0.0,0.5571873731536812,0.0,0.5000000000000017,0.0,0.5636112948201781,0.0,0.5000000000000017,0.0,0.585360862914523,1.0,0.4293702903932177,0.0,0.5000000000000017,0.0,0.5000000000000017,0.0,0.5115514663921366,0.0,0.5035767673571163,1.0,0.3541933242868117,0.0,0.5000000000000017,0.0,0.6224716718990861,0.0,0.4489887263656703,0.0,0.5000000000000017,0.0,0.5000000000000017,0.0,0.6576964778562128,0.0,0.5000000000000017,0.0,0.6556595507526761,0.0,0.5000000000000017,0.0,0.5000000000000017,1.0,0.27074960862089004,0.0,0.5000000000000017,0.0,0.5000000000000017,0.0,0.5000000000000017
S-CPI_bt,300,3.6399600505828857,0.4106954809614334,0.0,0.49987322516339405,0.0,0.5000000000000017,1.0,0.45551987807790817,1.0,0.5896054034198512,0.0,0.5000000000000017,0.0,0.5751287584445788,0.0,0.5000000000000017,0.0,0.49729806663123416,0.0,0.5016005879527996,1.0,1.926339796459082e-06,0.0,0.4280245029463078,0.0,0.5000000000000017,0.0,0.775537503346756,1.0,0.4274522961361352,0.0,0.5000000000000017,1.0,0.5000000000000017,1.0,2.095897507556125e-05,0.0,0.5528269597202831,0.0,0.5000000000000017,0.0,0.6192785455564478,0.0,0.46895615219952475,0.0,0.5000000000000017,1.0,0.5000000000000017,1.0,0.5000000000000017,1.0,0.5000000000000017,0.0,0.5655868141950732,0.0,0.5000000000000017,0.0,0.5583662587871694,0.0,0.5000000000000017,0.0,0.6060041987463796,1.0,0.4134923591732407,0.0,0.5000000000000017,0.0,0.5000000000000017,0.0,0.5263278107876164,0.0,0.501658941963619,1.0,0.6381275393317937,0.0,0.5000000000000017,0.0,0.6412173094478376,0.0,0.4172495518218988,0.0,0.5000000000000017,0.0,0.5000000000000017,0.0,0.6498269537131431,0.0,0.5000000000000017,0.0,0.7236199314110691,0.0,0.5000000000000017,0.0,0.5000000000000017,1.0,0.17844354162491238,0.0,0.5000000000000017,0.0,0.5000000000000017,0.0,0.5000000000000017
