method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,77.46049666404724,0.6324382534233122,1.0,0.8666838601040677,1.0,0.0031289931600345655,1.0,1.1001255462161907e-10,1.0,0.0003401056716220152,1.0,2.979371194200553e-10,1.0,0.9999999994477419,1.0,0.31553630122197085,1.0,2.965619205874681e-06,1.0,0.0013193000948289457,1.0,0.37735862687822297,0.0,0.999999999997097,0.0,0.6951192610171754,0.0,0.9999999837337755,0.0,0.0005277569692178075,0.0,9.415736557105703e-08,0.0,2.764021077572565e-07,0.0,0.005009429187373793,0.0,0.0009121870615363958,0.0,1.5706160534367797e-06,0.0,0.15478932179296312,0.0,0.9999995359239598,0.0,0.9999999996166695,0.0,0.0005069638235023488,0.0,0.9999997829703777,0.0,0.9995061509512104,0.0,3.5855870039736004e-06,0.0,0.9616897770053483,0.0,0.9999984966638193,0.0,0.0001987918917164544,0.0,0.005571617906623305,0.0,0.04388747858170505,0.0,0.9983958824336409,0.0,0.3171218228418039,0.0,1.0,0.0,0.3378965487594552,0.0,0.4459068679785301,0.0,0.2890357386703015,0.0,0.02561497557039949,0.0,0.9999999968469853,0.0,1.0198335731459451e-08,0.0,0.9104899827507988,0.0,0.9313681390456403,0.0,0.07125806044072491,0.0,2.636779683484747e-13,0.0,2.9616309404900676e-12,0.0,0.9999999999936806,0.0,0.3002961954105674,0.0,0.19343670327687024,0.0,0.999907033894698,0.0,1.2008795291507113e-08
CPI,300,4.19401741027832,0.6324382534233122,1.0,0.00022527207024188075,1.0,0.0023085914595920415,1.0,0.003796770416501378,1.0,0.003212920285098324,1.0,0.009433331802215032,1.0,0.000584626204706786,1.0,0.012754250540800633,1.0,0.059228176459874306,1.0,0.19068729176888582,1.0,6.821896211574257e-06,0.0,0.08516768839899252,0.0,0.303463565720502,0.0,0.9336669723316955,0.0,0.019776237377286225,0.0,0.9134954510816313,0.0,0.7356159216173085,0.0,0.5090067335107242,0.0,0.2924291335024799,0.0,0.0814464484503093,0.0,0.1859357719679407,0.0,0.24804650548095775,0.0,0.47866081784233305,0.0,0.11337891918652265,0.0,0.2922901284543587,0.0,0.30231080581864744,0.0,0.19211676793201998,0.0,0.4459873301610977,0.0,0.6817347052898837,0.0,0.8791767035885167,0.0,0.43625552110233096,0.0,0.6204752568243009,0.0,0.3213495244555343,0.0,0.9698404693131728,0.0,0.3329009683462381,0.0,0.905853443171626,0.0,0.6786669395081083,0.0,0.1176452489552437,0.0,0.31287794820217396,0.0,0.6185939370141482,0.0,0.8715146075873461,0.0,0.2395673269886645,0.0,0.11166585485108815,0.0,0.9091897833454888,0.0,0.7945276969507974,0.0,0.4388831350653187,0.0,0.4650492297399733,0.0,0.5508074269102043,0.0,0.9855835481900239,0.0,0.9367958676872217,0.0,0.4871194020911735
CPI_sqrt,300,4.183562517166138,0.6324382534233122,1.0,0.17964690545920764,1.0,0.15808331859709324,1.0,0.3687758179090206,1.0,0.2627846788261154,1.0,0.17834101278393066,1.0,0.11348876356522986,1.0,0.16192593829477653,1.0,0.2804453844066377,1.0,0.2616179054136146,1.0,0.09121491081376809,0.0,0.49975387981972436,0.0,0.5054081941736863,0.0,0.5422732352988229,0.0,0.5017706272945147,0.0,0.5001239672820014,0.0,0.4945738915639313,0.0,0.5105373083547334,0.0,0.48934091390017964,0.0,0.49779023377004505,0.0,0.5105803216940469,0.0,0.4937207585588949,0.0,0.4999551228372205,0.0,0.4995027267868012,0.0,0.4993764834328473,0.0,0.4700515194817252,0.0,0.49894905433811704,0.0,0.49045612031610686,0.0,0.500486479833199,0.0,0.49354332102950177,0.0,0.4974704723327039,0.0,0.4962106024142292,0.0,0.4939234948051143,0.0,0.5184858310007924,0.0,0.4764256709665953,0.0,0.49707356456734936,0.0,0.5038017149975991,0.0,0.49883134231936793,0.0,0.4992942494027611,0.0,0.49092607432749097,0.0,0.5001224391853578,0.0,0.4912754823476378,0.0,0.48542884678329684,0.0,0.49644081560141046,0.0,0.5020526013632461,0.0,0.4982631332130027,0.0,0.4861229640049688,0.0,0.5068903546036609,0.0,0.5305007177105369,0.0,0.48485296424951263,0.0,0.5071841479141284
CPI_n,300,4.188429117202759,0.6324382534233122,1.0,0.00994149716582307,1.0,0.014892744743607387,1.0,0.06037314269464625,1.0,0.012810105773001774,1.0,0.019443411028779035,1.0,0.0012053778890442483,1.0,0.00503567969085721,1.0,0.07477570565171303,1.0,0.14497416388084378,1.0,0.008515441501486962,0.0,0.4879241587858341,0.0,0.38612208677520254,0.0,0.6224846110662066,0.0,0.5261720077602449,0.0,0.5799780974703943,0.0,0.4720609275815507,0.0,0.5052776338197277,0.0,0.42093330663704753,0.0,0.5151537204458924,0.0,0.5357270598565533,0.0,0.2394669741312241,0.0,0.5211263928286947,0.0,0.49258022225231485,0.0,0.48798168307007767,0.0,0.3459149664837192,0.0,0.5075482203807016,0.0,0.40429338113318314,0.0,0.5144247235749434,0.0,0.5005292865526634,0.0,0.4911525307198971,0.0,0.5105751436465674,0.0,0.4857355306817006,0.0,0.5896901823398912,0.0,0.527586060390752,0.0,0.45324553952108715,0.0,0.5006053563248998,0.0,0.4807900027460055,0.0,0.5081082313927943,0.0,0.5083650085063054,0.0,0.5191446782477809,0.0,0.42668710603924404,0.0,0.2866865771280399,0.0,0.518112969720663,0.0,0.47370680751489164,0.0,0.5127373415972685,0.0,0.4723619608662342,0.0,0.35996616854132735,0.0,0.5976433739361932,0.0,0.5451710442435539,0.0,0.5202579229481883
CPI_bt,300,4.363981246948242,0.6324382534233122,1.0,2.4136093750264964e-26,1.0,2.7820585397268307e-17,1.0,1.4298706490281365e-12,1.0,4.9330129239006494e-14,1.0,6.200102819245787e-14,1.0,3.159500434484905e-14,1.0,2.711405059702997e-18,1.0,8.584999140875162e-09,1.0,0.004341374784133476,1.0,9.88805809302147e-25,0.0,0.4899754935363149,0.0,0.32258011124182584,0.0,0.9143851561928424,0.0,0.5319272512928117,0.0,0.5331149126736311,0.0,0.37378021067179024,0.0,0.650749163543467,0.0,0.5286437917614422,0.0,0.2719553206118853,0.0,0.42622450734770545,0.0,0.4879779602193927,0.0,0.5121050663127376,0.0,0.44927902966186395,0.0,0.5163962100972612,0.0,0.38352926734421744,0.0,0.2778394852824866,0.0,0.5097457245204932,0.0,0.48572787309785803,0.0,0.4420994606913194,0.0,0.4842545654151396,0.0,0.65084947448826,0.0,0.48979646682714595,0.0,0.6848952236278304,0.0,0.4317961363822105,0.0,0.5121182159216744,0.0,0.48684591183130527,0.0,0.47986112550482635,0.0,0.4497855232286784,0.0,0.4610151497692043,0.0,0.48927320901921867,0.0,0.4089964880303147,0.0,0.26102507135320896,0.0,0.5194774817572428,0.0,0.6351150382657624,0.0,0.336257085533873,0.0,0.49125350335805695,0.0,0.4205130982612233,0.0,0.4842401438042043,0.0,0.5156626743060327,0.0,0.622942065481891
CPI_sqd,300,4.362366676330566,0.6324382534233122,1.0,4.776995213405079e-109,1.0,3.536852473876838e-214,1.0,0.0,1.0,1.2228105872776898e-90,1.0,4.9430503515764356e-304,1.0,3.902896462032302e-251,1.0,0.0,1.0,6.537690199909897e-134,1.0,6.61493068866559e-176,1.0,0.0,0.0,0.746472272252967,0.0,4.015639426532286e-152,0.0,1.0,0.0,0.3478810163949317,0.0,1.0,0.0,1.4245918742300535e-55,0.0,1.0,0.0,3.908799183675552e-80,0.0,0.9524178195721066,0.0,3.0870911342832774e-08,0.0,1.0,0.0,1.0,0.0,0.0018524472130356786,0.0,1.0,0.0,7.344000318625e-123,0.0,2.060027002291195e-24,0.0,2.635917129612968e-09,0.0,2.68729049459184e-10,0.0,0.9999999978235838,0.0,0.14165185870065422,0.0,0.006575462015846627,0.0,1.2853875796590167e-10,0.0,1.0,0.0,6.743070438801696e-18,0.0,0.00024683676405004855,0.0,0.787808542124296,0.0,2.0969862899326827e-13,0.0,0.001337588463078349,0.0,0.008196045335956333,0.0,0.99999120659827,0.0,2.3558326979272584e-297,0.0,1.0,0.0,0.36119714668331193,0.0,1.0,0.0,3.828955632689643e-29,0.0,5.981706042381621e-21,0.0,1.572192852424027e-21,0.0,0.0036911755343827617,0.0,1.0,0.0,6.283921300730547e-09
S-CPI,300,4.609028100967407,0.6324382534233122,1.0,0.009316984718819324,1.0,0.0010923178549033115,1.0,0.00032422328913156646,1.0,0.0007210807639421767,1.0,0.015066625865356521,1.0,0.0006578966168719617,1.0,0.00011536853133894358,1.0,0.06128168492422732,1.0,0.49681003498965903,1.0,1.9799473389642845e-05,0.0,0.31964512398863176,0.0,0.13985105168455025,0.0,0.9938636980198048,0.0,0.7292142944901114,0.0,0.981030383309871,0.0,0.1557258475634793,0.0,0.7586274634309824,0.0,0.7443514632272283,0.0,0.34915124633635974,0.0,0.7210397852790194,0.0,0.4669006686649183,0.0,0.5990250455031819,0.0,0.19198474575411761,0.0,0.7678572174872191,0.0,0.10940022078291561,0.0,0.29072553877197643,0.0,0.1489448685247765,0.0,0.4753132172335293,0.0,0.37704986974706056,0.0,0.2595766578307682,0.0,0.9103702829055392,0.0,0.21410569301109206,0.0,0.9954338774766436,0.0,0.376505077599673,0.0,0.6914133575143439,0.0,0.490628009921086,0.0,0.002929297359454455,0.0,0.1435633547266041,0.0,0.6522619520265778,0.0,0.7237081500934861,0.0,0.3229875027642444,0.0,0.29837716599067843,0.0,0.8818336160767749,0.0,0.6355906855514781,0.0,0.3199782104233189,0.0,0.238716002966691,0.0,0.6040368538632036,0.0,0.7395426676927597,0.0,0.8530948169353507,0.0,0.7946295206846989
S-CPI_sqrt,300,4.603170871734619,0.6324382534233122,1.0,0.1284360190029319,1.0,0.226184340958336,1.0,0.2509805239584375,1.0,0.12607689653178056,1.0,0.17484203628711487,1.0,0.12822059576117767,1.0,0.09238509688234553,1.0,0.4379353168160538,1.0,0.4817638152801335,1.0,0.14774492164183378,0.0,0.499109690230744,0.0,0.4918941766815567,0.0,0.5973745432004751,0.0,0.5049020957424417,0.0,0.518491978253432,0.0,0.48926498415489145,0.0,0.5162037713825318,0.0,0.5000193797948792,0.0,0.4797399125607536,0.0,0.5034104193846414,0.0,0.48582095267401354,0.0,0.5029131373368627,0.0,0.49209107748474923,0.0,0.5023830929358343,0.0,0.4685226780106105,0.0,0.4900679535861476,0.0,0.49052677559682684,0.0,0.49900083226619013,0.0,0.4942581644791618,0.0,0.4985101031367316,0.0,0.5079500156617147,0.0,0.4952131335206388,0.0,0.5232246307091237,0.0,0.49414707078514614,0.0,0.5003051951563037,0.0,0.5012952304899456,0.0,0.49219504325013413,0.0,0.49671126513188996,0.0,0.5053644410300555,0.0,0.5029904684266627,0.0,0.4914414335789687,0.0,0.4960434151289836,0.0,0.5042251673790091,0.0,0.497781955584193,0.0,0.4959586943771835,0.0,0.4961615008194789,0.0,0.4988601206536095,0.0,0.5332215953416657,0.0,0.5136638959580447,0.0,0.506033422808011
S-CPI_n,300,4.596873760223389,0.6324382534233122,1.0,0.040700386230773,1.0,0.0077267735739717305,1.0,0.005952110847215475,1.0,0.005192073921360977,1.0,0.01605950587492003,1.0,0.0013864437309635373,1.0,0.0008519673902180844,1.0,0.07727943615243035,1.0,0.5222572317863063,1.0,0.0013667532172570824,0.0,0.49071209025131096,0.0,0.4241812781621207,0.0,0.9345266833670972,0.0,0.5364976358768364,0.0,0.6078257548250258,0.0,0.4061733720948163,0.0,0.5779572833355964,0.0,0.38210556503122256,0.0,0.3735999129227602,0.0,0.4849688772259657,0.0,0.4932364061766156,0.0,0.5299809284105852,0.0,0.4400569466782475,0.0,0.530386278491895,0.0,0.287796211214194,0.0,0.49261815205618636,0.0,0.41630563586627184,0.0,0.48866554940647167,0.0,0.4305589617500772,0.0,0.4745236257313742,0.0,0.5767684570550051,0.0,0.4093725248673328,0.0,0.6815235722289499,0.0,0.4492404169683453,0.0,0.530419328469476,0.0,0.4971375245104889,0.0,0.4214338143631578,0.0,0.4565044450602501,0.0,0.561221550698684,0.0,0.510180079635164,0.0,0.4559358788602321,0.0,0.511570305720568,0.0,0.514394670410397,0.0,0.5605311241021487,0.0,0.4957502439040193,0.0,0.4610946676260706,0.0,0.5085699579307564,0.0,0.626820718581189,0.0,0.5515723259266648,0.0,0.5479114385635098
S-CPI_bt,300,4.77458119392395,0.6324382534233122,1.0,3.7981848361714084e-16,1.0,4.811134178526812e-20,1.0,2.8782440887583447e-14,1.0,1.915891087117949e-16,1.0,3.58256514062304e-12,1.0,2.6822554623594684e-35,1.0,9.878373956427187e-22,1.0,0.0031232452853965707,1.0,0.023691744161263666,1.0,1.5535978167756224e-31,0.0,0.48037025936521355,0.0,0.34517046787307587,0.0,0.9987171589498084,0.0,0.5576235508392191,0.0,0.6419833056931601,0.0,0.4120415729872706,0.0,0.6738367576008963,0.0,0.5117558002966563,0.0,0.32406855587187877,0.0,0.5590297129648159,0.0,0.724269399906209,0.0,0.5190053398258245,0.0,0.4651832726581367,0.0,0.5137984821562458,0.0,0.31352901114575066,0.0,0.41771369185542667,0.0,0.4050184038749641,0.0,0.516397442442183,0.0,0.5202259175967582,0.0,0.4750757200556584,0.0,0.7284214542616299,0.0,0.42430192994280175,0.0,0.7023934453148621,0.0,0.5141284232896973,0.0,0.46882323813189997,0.0,0.5171118438134932,0.0,0.43649720247596047,0.0,0.4622816452445661,0.0,0.522657624130537,0.0,0.5034281193275064,0.0,0.37188491516922173,0.0,0.4824472027366855,0.0,0.5281214063657188,0.0,0.4891283220433904,0.0,0.4910326990313721,0.0,0.43959288076837155,0.0,0.5347714697394176,0.0,0.8100870852355437,0.0,0.6017544987233178,0.0,0.5170153612091599
