method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,27.21470069885254,0.2441888362007294,1.0,0.10745003185174729,1.0,0.09269319902246509,1.0,0.001150961407884843,1.0,0.42084661211600927,1.0,0.09406952734365615,1.0,0.5230975463672305,1.0,0.4134541114784185,1.0,0.16795404219189947,1.0,0.29688962524131635,1.0,0.013431599606473776,0.0,0.02523839346005441,0.0,0.32120964869699475,0.0,0.32760275771524117,0.0,0.48512304473486056,0.0,0.6150743970700766,0.0,0.08803616566785122,0.0,0.09478989129191406,0.0,0.016215865434415,0.0,0.23347603499365066,0.0,0.2657726427568101,0.0,0.05585069165410339,0.0,0.5869143737482039,0.0,0.3482067407046786,0.0,0.8846484196478149,0.0,0.15644893652520775,0.0,0.36243826063611817,0.0,0.2486917987132219,0.0,0.146580741516265,0.0,0.7085417517834024,0.0,0.0898513798896512,0.0,0.7588289521155375,0.0,0.53626839620571,0.0,0.3073231737951002,0.0,0.8725790109527943,0.0,0.08600651397052927,0.0,0.6878190303642724,0.0,0.6289624422127771,0.0,0.14289958099175926,0.0,0.9458918687367218,0.0,0.005041027285180966,0.0,0.21841530501761364,0.0,0.3521901457009581,0.0,0.8384499427763881,0.0,0.7013567298889348,0.0,0.11540879425628625,0.0,0.07877581841553694,0.0,0.030715824866446084,0.0,0.8886432368476664,0.0,0.6342394786239273,0.0,0.5889209375507005
CPI,300,4.0973899364471436,0.2441888362007294,1.0,0.09686109294995637,1.0,0.002344458472899497,1.0,0.01851589099414435,1.0,0.1313949284758419,1.0,0.15870375736146447,1.0,0.08260031791172079,1.0,0.005615055729524664,1.0,0.16927700538099355,1.0,0.030925914998272176,1.0,0.25673098408560524,0.0,0.5713819996715265,0.0,0.418624936899477,0.0,0.2494816336847005,0.0,0.8492198796156814,0.0,0.6464438882706126,0.0,0.2966839648951791,0.0,0.13660076457102877,0.0,0.34233008890704086,0.0,0.5419365727015106,0.0,0.10976699252846639,0.0,0.07982451903164561,0.0,0.4020740220032179,0.0,0.5182931694223292,0.0,0.518123939184205,0.0,0.4530695986122258,0.0,0.7219253510109988,0.0,0.9163363624484941,0.0,0.013101375350326882,0.0,0.9004989306383449,0.0,0.6475999286200239,0.0,0.9026933053650465,0.0,0.7785460354785283,0.0,0.9859734918167692,0.0,0.598305077065375,0.0,0.7621037913125307,0.0,0.7998139763127113,0.0,0.9019548131364011,0.0,0.8479075106623646,0.0,0.0899707053296378,0.0,0.7373678338167642,0.0,0.5450513324492051,0.0,0.6067220687774475,0.0,0.3951893193843515,0.0,0.07116996781186002,0.0,0.01803531216333457,0.0,0.915354789049869,0.0,0.008728449665405065,0.0,0.5560078834283474,0.0,0.30673214526486003,0.0,0.7448738841639169
CPI_sqrt,300,4.059289216995239,0.2441888362007294,1.0,0.41741125970123427,1.0,0.10161723419480495,1.0,0.23139511559604442,1.0,0.5556863070890182,1.0,0.25074878725493877,1.0,0.35412673294197644,1.0,0.19181002426202726,1.0,0.3547706487607682,1.0,0.4059488458606849,1.0,0.3560559669552442,0.0,0.5261237974263552,0.0,0.4038029788060259,0.0,0.617359759098526,0.0,0.6663115575067855,0.0,0.6201250036185588,0.0,0.46962132992857786,0.0,0.34344480261832666,0.0,0.45638357799519325,0.0,0.5855906605540291,0.0,0.5233917119693559,0.0,0.44742019211466455,0.0,0.45487626543654175,0.0,0.6045044899067652,0.0,0.5251344078313502,0.0,0.4184499510283758,0.0,0.6019039374988888,0.0,0.5649354549209868,0.0,0.41312085841779067,0.0,0.5535575565905329,0.0,0.5864719248404469,0.0,0.544459486447692,0.0,0.39937844931771627,0.0,0.4525999446205254,0.0,0.5426572427645446,0.0,0.5567092641422792,0.0,0.5899651564142953,0.0,0.4830488014604132,0.0,0.4590156801551094,0.0,0.597510814144367,0.0,0.5513382387397069,0.0,0.5112229935485482,0.0,0.3358477228897643,0.0,0.4653834590893069,0.0,0.383863667499016,0.0,0.3799586595938695,0.0,0.613206593593805,0.0,0.30467279899108335,0.0,0.50701778035827,0.0,0.4728662266921369,0.0,0.5212477952065407
CPI_n,300,3.9834556579589844,0.2441888362007294,1.0,0.0180507615767556,1.0,0.004759646102394646,1.0,0.002282688595095466,1.0,0.012122295634829956,1.0,0.17685824023920638,1.0,0.08529653192063985,1.0,0.04492886043061051,1.0,0.1014617359046261,1.0,0.13064865264853098,1.0,0.2085988209863725,0.0,0.4591143336648176,0.0,0.059077289228542856,0.0,0.6130137291291068,0.0,0.8607154497107645,0.0,0.8296613157205264,0.0,0.27114846792403624,0.0,0.5108567638515891,0.0,0.22340465156995665,0.0,0.13534978510708945,0.0,0.4035026025222019,0.0,0.1585883594764253,0.0,0.5849582637330273,0.0,0.7172992803953852,0.0,0.8018624961843674,0.0,0.5925176381589541,0.0,0.7191064971285858,0.0,0.6474815549985192,0.0,0.16096705122377325,0.0,0.48492535325072644,0.0,0.330356253493922,0.0,0.5900721522432454,0.0,0.20408843789243764,0.0,0.696270030194028,0.0,0.4110414600566805,0.0,0.638076260391321,0.0,0.4683591542941532,0.0,0.5807611021279748,0.0,0.42741431625808934,0.0,0.75097692118184,0.0,0.3416972328588197,0.0,0.24320360229815624,0.0,0.7516735579848938,0.0,0.7516359307376076,0.0,0.13617833257083695,0.0,0.042714221178943836,0.0,0.6680118711736809,0.0,0.03980246809436844,0.0,0.37554824138678816,0.0,0.20558427032156895,0.0,0.7019431246951907
CPI_bt,300,4.1668102741241455,0.2441888362007294,1.0,1.7809496850847115e-10,1.0,1.0797720879065582e-24,1.0,9.612736651503565e-13,1.0,0.1804005043018952,1.0,3.881371928915336e-09,1.0,1.2862492537100654e-07,1.0,1.430562262546175e-11,1.0,1.8721006057653686e-08,1.0,0.11097222228817588,1.0,0.01398623618886925,0.0,0.21028988106841362,0.0,5.1156543610037274e-08,0.0,0.7147344066357948,0.0,0.999999999666426,0.0,0.996042273168377,0.0,0.8486955265937492,0.0,0.17604998830723545,0.0,0.2097377735496498,0.0,0.33510551976827085,0.0,0.0008548191541679989,0.0,0.0028690932430191552,0.0,0.9365034286891326,0.0,0.3495426169127466,0.0,0.05530027085183351,0.0,5.009991676086209e-05,0.0,0.022471564595509752,0.0,0.9948736991378604,0.0,2.034834133361987e-05,0.0,0.5215667369648994,0.0,0.006820562190638999,0.0,0.24598839638580872,0.0,0.1377050503277107,0.0,0.9948792370132516,0.0,0.032770456147254295,0.0,0.86507270200781,0.0,0.9908152952336093,0.0,0.15709891578582103,0.0,0.2938558038071537,0.0,0.5906542585840957,0.0,0.4928022183475294,0.0,0.00984884882050399,0.0,0.8842904671567875,0.0,0.9999999996700988,0.0,0.019740104418700753,0.0,0.004146219080025766,0.0,0.9700730809558645,0.0,7.920880105744078e-07,0.0,5.582071142526027e-05,0.0,0.034812812215399634,0.0,0.002658692868710116
CPI_sqd,300,4.1661365032196045,0.2441888362007294,1.0,5.937190176036227e-71,1.0,4.924994807221678e-283,1.0,1.726561091893198e-33,1.0,3.7857221169046516e-19,1.0,2.623036279034529e-273,1.0,3.174875938579838e-34,1.0,1.8015272250952797e-50,1.0,6.481598928272025e-08,1.0,5.099020101779491e-17,1.0,2.0818573837782002e-38,0.0,0.9999993639104955,0.0,0.0003850867118929853,0.0,3.839715734361974e-16,0.0,1.0,0.0,1.0,0.0,1.1699707115920262e-20,0.0,0.9733193758714784,0.0,6.133330532468751e-25,0.0,1.0,0.0,1.047031851807454e-59,0.0,0.0,0.0,0.9999999999999999,0.0,2.896376863900282e-41,0.0,3.6603181219542364e-07,0.0,1.0571369461961992e-113,0.0,0.8098154209203632,0.0,1.0,0.0,1.571424816800979e-08,0.0,6.470415261372346e-37,0.0,4.7920253303550974e-18,0.0,6.029968211731753e-19,0.0,0.9984565744877087,0.0,1.0,0.0,3.953586763024449e-16,0.0,1.0,0.0,1.0,0.0,4.687434961122185e-295,0.0,0.9999994671663557,0.0,0.9999999692257356,0.0,1.831692744335153e-17,0.0,0.9961686682047161,0.0,1.0,0.0,0.9999999927323259,0.0,1.2414360224624e-120,0.0,0.0,0.0,0.04743148904440872,0.0,1.0415916915855483e-208,0.0,0.009620253505162367,0.0,0.22389274305371165,0.0,1.4183005262671015e-05
S-CPI,300,4.155757665634155,0.2441888362007294,1.0,0.00816115651058324,1.0,6.70851572734975e-05,1.0,0.026141575368671573,1.0,0.16881655472956825,1.0,0.04049190057690065,1.0,0.4891343417670402,1.0,0.000375663150344965,1.0,0.4173500142767589,1.0,0.38751039291498834,1.0,0.10400293202508293,0.0,0.6636441688538957,0.0,0.0713410881982551,0.0,0.6222478762057594,0.0,0.9951147658233048,0.0,0.9025072349912168,0.0,0.6029526195428393,0.0,0.6572934709832078,0.0,0.2956119597717354,0.0,0.6027120868378498,0.0,0.25368894238062967,0.0,0.07961756058520497,0.0,0.7717771146469905,0.0,0.9434771601056091,0.0,0.4355009830458728,0.0,0.5969583976602717,0.0,0.7945016967408405,0.0,0.9953980938315382,0.0,0.3032357962984728,0.0,0.7115853629340696,0.0,0.32511847309751685,0.0,0.8046306365610576,0.0,0.19036137907017725,0.0,0.9837619221362497,0.0,0.7074548350445098,0.0,0.909948955809085,0.0,0.7978268360770656,0.0,0.7561096574560964,0.0,0.817901034634811,0.0,0.8185736418817064,0.0,0.6913171596428864,0.0,0.6038554903430714,0.0,0.9235727311450398,0.0,0.8448343026656979,0.0,0.21206466915799843,0.0,0.39728406082371354,0.0,0.7206079380324316,0.0,0.03894652323666505,0.0,0.3400064997251414,0.0,0.369876905679174,0.0,0.5575632910049217
S-CPI_sqrt,300,4.155426740646362,0.2441888362007294,1.0,0.14488107276832346,1.0,0.03551827452050832,1.0,0.10473792293042405,1.0,0.4244061476943237,1.0,0.2612816645022443,1.0,0.3520416931793285,1.0,0.17241054824071617,1.0,0.4569090332020845,1.0,0.43598285326730446,1.0,0.2034047155308868,0.0,0.6123331049423117,0.0,0.34550715771067386,0.0,0.601361943095434,0.0,0.8287105002589601,0.0,0.6103312811395105,0.0,0.48915251013392613,0.0,0.46824974768680355,0.0,0.4434818299262492,0.0,0.590170917675182,0.0,0.4948285804669281,0.0,0.4611395590799416,0.0,0.6394025765585533,0.0,0.6385785954809864,0.0,0.512175971318339,0.0,0.5466993173950256,0.0,0.558045068994539,0.0,0.7934903395068049,0.0,0.4258497782720293,0.0,0.534472292091327,0.0,0.41295770954335503,0.0,0.6154764431378325,0.0,0.3918897329660676,0.0,0.8074011395757528,0.0,0.4356115285730868,0.0,0.6109810443869884,0.0,0.6157427605766173,0.0,0.5714121220550248,0.0,0.6228596562485451,0.0,0.6987812576813167,0.0,0.578157049156024,0.0,0.4598986848138649,0.0,0.6613676618128861,0.0,0.5901457010922047,0.0,0.435455584318815,0.0,0.43979709624623736,0.0,0.6250313126033253,0.0,0.3366627353955605,0.0,0.503540422702073,0.0,0.45897159060110665,0.0,0.5016565322563841
S-CPI_n,300,4.15404748916626,0.2441888362007294,1.0,0.048850513720112974,1.0,0.0001411750157118928,1.0,0.008002134318645295,1.0,0.24017635489698785,1.0,0.14643253198841294,1.0,0.473564626930858,1.0,0.007463584006813536,1.0,0.26019473170698926,1.0,0.2843522756176719,1.0,0.05821745353605089,0.0,0.7056127657474507,0.0,0.28556801030461104,0.0,0.6109520730469432,0.0,0.9693784426491667,0.0,0.8911686022328111,0.0,0.2945758386772507,0.0,0.5848188302864382,0.0,0.3254666607955689,0.0,0.6202483542988757,0.0,0.2745488390953488,0.0,0.2366461375324896,0.0,0.7953080215427457,0.0,0.8251143058246015,0.0,0.5412796402338768,0.0,0.6295628222796169,0.0,0.7880888199070666,0.0,0.96994794541975,0.0,0.28683119176695593,0.0,0.8143390923719956,0.0,0.20554780497551556,0.0,0.6907405027820526,0.0,0.34507181261006226,0.0,0.9418260041832186,0.0,0.37559034286075876,0.0,0.8680662414975777,0.0,0.8790020819335506,0.0,0.6946446781243448,0.0,0.8155944835302076,0.0,0.7667070446523983,0.0,0.7317997394483031,0.0,0.4615462486530454,0.0,0.8523542608418775,0.0,0.8292678174592829,0.0,0.39703393664090453,0.0,0.20194201137608542,0.0,0.7276230220781423,0.0,0.16958608879289988,0.0,0.5268918223447784,0.0,0.4444222428387127,0.0,0.369080891754496
S-CPI_bt,300,4.336867570877075,0.2441888362007294,1.0,4.613647161786622e-20,1.0,7.58421600396172e-39,1.0,1.7898536953246378e-11,1.0,0.017198428686649236,1.0,6.35457708944067e-08,1.0,0.06332514723066064,1.0,1.9018006924416105e-18,1.0,0.2594538551613108,1.0,0.05207204422278105,1.0,2.1537689397885244e-07,0.0,0.9986390000297594,0.0,3.3444660366673323e-06,0.0,0.9854777315082321,0.0,1.0,0.0,0.9999730358306242,0.0,0.37202529583234656,0.0,0.9663601261418813,0.0,0.044529440044366944,0.0,0.9935679371762701,0.0,0.21558454808993738,0.0,0.000270770665934069,0.0,0.9999266377820015,0.0,0.9969208716636666,0.0,0.9210012869639019,0.0,0.9465635755466881,0.0,0.898665026499721,0.0,0.9999999999555889,0.0,0.018222992024621323,0.0,0.8928715005126486,0.0,9.254405402835203e-06,0.0,0.9214253114887825,0.0,0.005827714404800085,0.0,0.999999999998693,0.0,0.6761022820404072,0.0,0.9999989286175309,0.0,0.9992509664823506,0.0,0.778133914904272,0.0,0.990215633922979,0.0,0.999995523545504,0.0,0.8486033793075514,0.0,0.1629970501708598,0.0,0.9999989537742675,0.0,0.9996487260949045,0.0,0.00807977071993763,0.0,0.03239502047215616,0.0,0.99916843804272,0.0,0.001724800892102026,0.0,0.7659892552060781,0.0,0.39291922760042775,0.0,0.39848915159341025
