method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,110.46514344215393,0.39656216227187346,1.0,0.9961032799830711,1.0,0.566736482655663,1.0,0.2696651631485021,1.0,0.5554470430106904,1.0,0.5323611808395498,1.0,0.8403360365895709,1.0,0.09297041510487691,1.0,0.05788209690233592,1.0,0.08435149382471052,1.0,0.9902132889363285,0.0,0.9134945591312034,0.0,0.13588208600486085,0.0,0.30946518201537343,0.0,0.21743267763173013,0.0,0.8180388127962346,0.0,0.07104520757825628,0.0,0.2664499786757575,0.0,0.4768640538182992,0.0,0.14184254985955314,0.0,0.37177006429032733,0.0,0.28314158367954545,0.0,0.31340532566439383,0.0,0.5608603657216564,0.0,0.31237237295709575,0.0,0.9575368086633752,0.0,0.9026916846596159,0.0,0.7418002967637756,0.0,0.3873545972003073,0.0,0.4441069674435806,0.0,0.9914138188957073,0.0,0.3418891250076097,0.0,0.48250141563472515,0.0,0.9501123191505629,0.0,0.24235903846155193,0.0,0.08657391809756132,0.0,0.126908865123321,0.0,0.9978847678755606,0.0,0.7046884986483783,0.0,0.23453420522484536,0.0,0.9514712924650603,0.0,0.8598631691552892,0.0,0.24231297622677983,0.0,0.08040450849962566,0.0,0.6048670392271547,0.0,0.9645886728210669,0.0,0.7549710157975058,0.0,0.5520479547600945,0.0,0.3265233679147801,0.0,0.4230774268773789,0.0,0.30105607768452325
CPI,300,5.635288953781128,0.39656216227187346,1.0,0.1387456349421854,1.0,0.00953733606240919,1.0,0.0014597746569206562,1.0,0.004333232975462742,1.0,0.5897288218928319,1.0,0.007250828030605225,1.0,0.06885978993637443,1.0,0.47580550004938765,1.0,0.0003832508441766717,1.0,0.00014913956028830673,0.0,0.7474737092900464,0.0,0.11759687657925844,0.0,0.9522157076415508,0.0,0.13716837013341304,0.0,0.02367444881528035,0.0,0.8568835528072318,0.0,0.27505863951642723,0.0,0.552530294719656,0.0,0.7656308125229841,0.0,0.5221005504888001,0.0,0.9630142314379537,0.0,0.2227028060823577,0.0,0.8651543098485666,0.0,0.5907535746177163,0.0,0.32063622077299553,0.0,0.5648647361048579,0.0,0.28321765503134805,0.0,0.43082159643977,0.0,0.5581523346079922,0.0,0.09755994597463508,0.0,0.9419849457507558,0.0,0.6985087091248646,0.0,0.4458565236809346,0.0,0.5862068421399989,0.0,0.4157697318651712,0.0,0.12825560974382483,0.0,0.012912114578541719,0.0,0.0343823908253431,0.0,0.12839547966264203,0.0,0.7873080770188592,0.0,0.7342345561410697,0.0,0.2678957024479991,0.0,0.016721959700681934,0.0,0.2902537535814318,0.0,0.651803805453764,0.0,0.8294046264381719,0.0,0.7780055448683847,0.0,0.22131379644116106,0.0,0.22229418430217435,0.0,0.8826324711570132
CPI_sqrt,300,5.645277976989746,0.39656216227187346,1.0,0.39745041984223506,1.0,0.4049395258769873,1.0,0.3850333534350831,1.0,0.45441952797887974,1.0,0.43446540405244327,1.0,0.21285653262623228,1.0,0.2246969438284998,1.0,0.5050302776154856,1.0,0.2527101968306824,1.0,0.3559742699065862,0.0,0.5123253959225467,0.0,0.5120622586455165,0.0,0.5060895435875012,0.0,0.4880643266246832,0.0,0.5037346407791404,0.0,0.497966094958494,0.0,0.49991923595367666,0.0,0.5191834035012557,0.0,0.5287673051582907,0.0,0.4991476071300438,0.0,0.5135230170230956,0.0,0.5037631426574936,0.0,0.505447287907378,0.0,0.49227880743592134,0.0,0.4933316024404796,0.0,0.503392829225168,0.0,0.4986853789783181,0.0,0.5065436951407959,0.0,0.5222971066880834,0.0,0.4734021718429876,0.0,0.5223222708646401,0.0,0.5060406833983366,0.0,0.5026990688931444,0.0,0.49353865657149537,0.0,0.503338296038543,0.0,0.5032707627155676,0.0,0.48222302250103405,0.0,0.48192382737456313,0.0,0.49683868375306756,0.0,0.5137602554472623,0.0,0.5280764914068048,0.0,0.49173832022103314,0.0,0.4853891651636062,0.0,0.500089864820778,0.0,0.5112233075745017,0.0,0.4991774557782272,0.0,0.504926306734345,0.0,0.4972775474734118,0.0,0.4918736131060358,0.0,0.5031601944228564
CPI_n,300,5.64966082572937,0.39656216227187346,1.0,0.17460496158271482,1.0,0.07783786287231817,1.0,0.0730502096499685,1.0,0.2601210843143693,1.0,0.5107015727089916,1.0,0.03427661935412848,1.0,0.01995314647198254,1.0,0.5854703914139892,1.0,0.0005175602171138733,1.0,0.022472851578889334,0.0,0.43543764507117727,0.0,0.5603610515968194,0.0,0.5700233336948851,0.0,0.3728999369528287,0.0,0.5129744328361923,0.0,0.5308766889604829,0.0,0.4353877079903367,0.0,0.470615430923914,0.0,0.6474534162300492,0.0,0.474625378639371,0.0,0.5814265891413721,0.0,0.40034685958470845,0.0,0.7255568372702035,0.0,0.43892956674307076,0.0,0.4673652580424284,0.0,0.4615082679879895,0.0,0.52472125905929,0.0,0.6166006216868588,0.0,0.5129296190401799,0.0,0.29638696508008766,0.0,0.5927050469301506,0.0,0.4200949108813042,0.0,0.5424593103061548,0.0,0.5486395619102071,0.0,0.47302512891877424,0.0,0.5021221133455895,0.0,0.40825395736136477,0.0,0.2958400919643651,0.0,0.4000931045780703,0.0,0.5682689869462293,0.0,0.6296998289166631,0.0,0.3711491715364621,0.0,0.4882191148444737,0.0,0.5377277640196256,0.0,0.6476669704302901,0.0,0.40463151755136395,0.0,0.5384647057026982,0.0,0.42405795359307885,0.0,0.4662056227449268,0.0,0.5689941206359639
CPI_bt,300,5.810105562210083,0.39656216227187346,1.0,4.166012099276049e-05,1.0,4.746630726122442e-07,1.0,0.00021848217351295472,1.0,0.181399199260599,1.0,0.6310708678324275,1.0,4.5561202286300873e-10,1.0,1.3008733079407278e-08,1.0,0.0011239093061967862,1.0,1.3635193458815871e-18,1.0,2.4187655835506262e-08,0.0,0.31833807485170507,0.0,0.5203606869932498,0.0,0.45230933224401804,0.0,0.40663432116119036,0.0,0.43960107677091864,0.0,0.5415811639589899,0.0,0.538733439643634,0.0,0.5219528968888653,0.0,0.5693846301929323,0.0,0.4848712608740841,0.0,0.5953435941532669,0.0,0.2854301439866781,0.0,0.5002973077830564,0.0,0.4791840631070987,0.0,0.4479333938353223,0.0,0.40079548195233405,0.0,0.5849794802754871,0.0,0.526862082569579,0.0,0.7735652968655369,0.0,0.43377119966349575,0.0,0.6302875114254214,0.0,0.565602664125654,0.0,0.4509381127782789,0.0,0.40982610554169496,0.0,0.3865709798730061,0.0,0.43531462910081803,0.0,0.47908430861169704,0.0,0.25327556402098106,0.0,0.5278215926244074,0.0,0.5678133090997313,0.0,0.49528422087099655,0.0,0.5516871507962624,0.0,0.3497714583513084,0.0,0.5709212503676097,0.0,0.5625632797742885,0.0,0.5913737516620785,0.0,0.48928528893318335,0.0,0.21091664915311026,0.0,0.5627186086679228,0.0,0.5998906805143215
CPI_sqd,300,5.795426607131958,0.39656216227187346,1.0,2.567823763665433e-118,1.0,1.5301891085097464e-216,1.0,0.0,1.0,0.0,1.0,2.80307390145597e-106,1.0,5.243367458561364e-152,1.0,1.0618494308196638e-05,1.0,9.996930566835376e-21,1.0,3.7302913205449516e-298,1.0,0.0,0.0,1.0,0.0,0.8711743059525963,0.0,0.9999997799318104,0.0,2.176113284197135e-286,0.0,2.2579542886965147e-235,0.0,1.0,0.0,0.9714874191991123,0.0,0.9976840351644227,0.0,4.280497690617303e-34,0.0,5.774498880650029e-13,0.0,1.0,0.0,3.219075437318514e-11,0.0,1.0,0.0,8.381987431830895e-06,0.0,1.0,0.0,0.9998142115509668,0.0,4.662922031471534e-236,0.0,6.3278046867192e-06,0.0,0.9999997562796714,0.0,2.0092107480590052e-238,0.0,0.15237662289804532,0.0,1.0,0.0,0.887214680453837,0.0,1.0,0.0,6.200384567639379e-29,0.0,0.0047512960868131395,0.0,1.0,0.0,0.0,0.0,1.0962038686379771e-130,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.287449863420539e-82,0.0,1.4697806715215753e-241,0.0,1.0,0.0,1.0,0.0,0.9999996044034394,0.0,0.00021336942597676234,0.0,0.6688785339871243,0.0,0.9980388280482951
S-CPI,300,16.521374702453613,0.39656216227187346,1.0,0.2034202544604895,1.0,0.12249672465078604,1.0,0.0002450950021318434,1.0,0.0025411621143663216,1.0,0.14729670801792122,1.0,0.001648047001037232,1.0,0.32036885149686084,1.0,0.10567359200123133,1.0,1.730231669836286e-05,1.0,2.0418857207132967e-05,0.0,0.506593372903609,0.0,0.5125448222216229,0.0,0.725752557073514,0.0,0.20426137871285677,0.0,0.42240420695674646,0.0,0.7899012047561773,0.0,0.6269302075246682,0.0,0.7662974251875181,0.0,0.9985109951715924,0.0,0.11745536778207666,0.0,0.9818335349259052,0.0,0.15172157735447905,0.0,0.8951066908406018,0.0,0.647590319037513,0.0,0.06801710221581216,0.0,0.3241868083629514,0.0,0.41367853840844904,0.0,0.6910647293538161,0.0,0.4945387126631592,0.0,0.015106689474607233,0.0,0.8625564664379659,0.0,0.6747564758028558,0.0,0.8254531631619414,0.0,0.3365134557932845,0.0,0.417797900694565,0.0,0.3764665626297669,0.0,0.08221429336650143,0.0,0.028024051149982264,0.0,0.46638304688911014,0.0,0.8183266506090247,0.0,0.8279142650537894,0.0,0.47359720997288585,0.0,0.2557668997715634,0.0,0.5607503395628209,0.0,0.6198092563500223,0.0,0.6630724406084125,0.0,0.8134924136572335,0.0,0.3426140801323315,0.0,0.6471846593269033,0.0,0.882137009826029
S-CPI_sqrt,300,16.54964518547058,0.39656216227187346,1.0,0.4288461730535238,1.0,0.38156865158393827,1.0,0.3357665689347546,1.0,0.4376320324128406,1.0,0.4671825989030289,1.0,0.19453718273886594,1.0,0.292446249999165,1.0,0.37162912622498046,1.0,0.1003231205078538,1.0,0.2796533689173866,0.0,0.49218986016136684,0.0,0.5038203266414064,0.0,0.5032644776514519,0.0,0.47401561024922456,0.0,0.47809762912886633,0.0,0.5095873720683446,0.0,0.4918193565831199,0.0,0.5186880655616464,0.0,0.5789451016479814,0.0,0.483359405270835,0.0,0.5215225222447091,0.0,0.47443065738862333,0.0,0.5340833516605663,0.0,0.49920279067463974,0.0,0.4875534837814026,0.0,0.5002542172875185,0.0,0.507351070721567,0.0,0.5083912545387665,0.0,0.4972290889937377,0.0,0.47352860694371224,0.0,0.5164367919648228,0.0,0.505182669690131,0.0,0.5088183607202651,0.0,0.4926630533329607,0.0,0.49779115189835454,0.0,0.4970526120238625,0.0,0.48697604024422103,0.0,0.471395420462271,0.0,0.48780601438077437,0.0,0.5109577013740119,0.0,0.5176501484026385,0.0,0.5001006309136048,0.0,0.48940704697673587,0.0,0.5099158365855171,0.0,0.5090993982371548,0.0,0.4972316122849748,0.0,0.5005392298447372,0.0,0.4958988847509764,0.0,0.49637518031409195,0.0,0.5139557685044456
S-CPI_n,300,16.52309250831604,0.39656216227187346,1.0,0.3989517397078629,1.0,0.12374989665904124,1.0,0.008602697651348473,1.0,0.12224680007515593,1.0,0.44893493043083804,1.0,0.004403090989174279,1.0,0.13215557247848986,1.0,0.20247397338925238,1.0,4.013463314800076e-05,1.0,0.0046126308773576374,0.0,0.5574685559105481,0.0,0.5248048458027218,0.0,0.5528143414334639,0.0,0.38386554443855375,0.0,0.4695952395560683,0.0,0.539338299803698,0.0,0.45313338571502676,0.0,0.6216976709410134,0.0,0.8580220737004344,0.0,0.3992524705303918,0.0,0.6642493377444911,0.0,0.31812394812444933,0.0,0.785257126763301,0.0,0.5190427683242953,0.0,0.4636049704171914,0.0,0.454726142708677,0.0,0.4757568139194771,0.0,0.5757012508795807,0.0,0.4321226554416783,0.0,0.31190642407875546,0.0,0.5697355249438687,0.0,0.5349632965772498,0.0,0.5475458527745123,0.0,0.4771728503333556,0.0,0.4904531695964328,0.0,0.46969238039004946,0.0,0.3994351845907972,0.0,0.33920176978256944,0.0,0.5034937164376185,0.0,0.6151398959187937,0.0,0.5759496984244954,0.0,0.46858235049201513,0.0,0.42105637627649023,0.0,0.5927534998832739,0.0,0.5548648077636071,0.0,0.47068500790752743,0.0,0.5544608416452909,0.0,0.43545851012340064,0.0,0.46616999750992877,0.0,0.5822504426799656
S-CPI_bt,300,16.670546770095825,0.39656216227187346,1.0,0.14919778563521557,1.0,0.0008681839969012603,1.0,1.73337424814035e-07,1.0,0.055584120212877494,1.0,0.2893187758994609,1.0,2.186593579524969e-17,1.0,0.0045234154176207126,1.0,0.016849794211838517,1.0,8.532644551967337e-31,1.0,1.027104318486646e-12,0.0,0.5349835149294409,0.0,0.566070887036674,0.0,0.5736417662057127,0.0,0.29947457748196105,0.0,0.3950017181429666,0.0,0.5501844343535796,0.0,0.4893769978318937,0.0,0.6527732869725948,0.0,0.9345173753726757,0.0,0.3691430587829335,0.0,0.6877710033194452,0.0,0.20343155214010422,0.0,0.8533945070538904,0.0,0.5279285203649026,0.0,0.41390062172252345,0.0,0.5088042858323087,0.0,0.4076126689349395,0.0,0.5350310413034997,0.0,0.5015546687875583,0.0,0.2138974435242807,0.0,0.6408872976185316,0.0,0.5376172695029791,0.0,0.5208771779937643,0.0,0.518384682829261,0.0,0.51034411637694,0.0,0.45146881479268336,0.0,0.3941909371577407,0.0,0.2611255995489249,0.0,0.4082338502525663,0.0,0.6320896227184611,0.0,0.6607251966139754,0.0,0.5279906088311866,0.0,0.33907076623804105,0.0,0.5404055205517451,0.0,0.6052923313182674,0.0,0.4388405305118639,0.0,0.6013833865922831,0.0,0.41719068827870154,0.0,0.5084255383019424,0.0,0.6421953262360476
