method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,849.7364506721497,0.7102327932971149,1.0,0.0003307080555638997,1.0,0.9784378630256368,1.0,0.9999965642336294,1.0,0.9987646627794536,1.0,6.658874784903901e-09,1.0,0.0012042189744597698,1.0,0.8579521167131545,1.0,0.9999989398307336,1.0,0.3533605708340283,1.0,0.05369139923655286,0.0,0.563245295364766,0.0,0.7745829457663956,0.0,0.9999999328216773,0.0,0.982294917674654,0.0,0.8636779521440938,0.0,0.0016198706754867453,0.0,0.367510918993463,0.0,0.9999999999984462,0.0,0.23723150121448833,0.0,0.751455483416025,0.0,0.2867371653931845,0.0,0.5238528919822288,0.0,0.8660062449270827,0.0,0.9514770909746514,0.0,0.6792948591651178,0.0,0.9749686307865068,0.0,6.337186899685321e-07,0.0,0.14591654173197832,0.0,0.9995706759310209,0.0,9.099330208872658e-06,0.0,0.8863599800170758,0.0,0.5817759936813627,0.0,0.3736720003176779,0.0,0.9999502792004036,0.0,0.9775239333156394,0.0,0.5253218576271619,0.0,0.8489825168576515,0.0,0.2336886882839737,0.0,0.04548677007818791,0.0,0.9811102917872804,0.0,0.9773723931926291,0.0,0.9959110607717354,0.0,0.2965780039816801,0.0,0.7234288126251671,0.0,0.5688414592524509,0.0,4.9960036108132044e-15,0.0,0.1186184411493506,0.0,0.5201673729351624,0.0,0.8292067532980162,0.0,0.9321405407411059
CPI,300,16.098050832748413,0.7102327932971149,1.0,1.325490085295324e-08,1.0,4.6041809685838805e-06,1.0,1.1560153845380425e-06,1.0,1.2666066173336693e-05,1.0,0.0023961979368853047,1.0,0.00020696697025711735,1.0,8.827628554687338e-06,1.0,0.00010716867852494711,1.0,4.871020521973026e-07,1.0,0.00012713703887600207,0.0,0.19337198315425086,0.0,0.08902351265706354,0.0,0.8893388298094544,0.0,0.03013407034447072,0.0,0.1757642880192825,0.0,0.7963236225752987,0.0,0.023194273736631632,0.0,0.23259715747525284,0.0,0.15574219845411946,0.0,0.720632869968607,0.0,0.42089405821838105,0.0,0.3380473707218039,0.0,0.4547284342683007,0.0,0.30337859832109126,0.0,0.6141569456716288,0.0,0.37782652491369595,0.0,0.5232712135785265,0.0,0.9803263947364446,0.0,0.02903877501673126,0.0,0.49900120729621406,0.0,0.20711522698129348,0.0,0.4548128960525609,0.0,0.6831079664695329,0.0,0.38907384291375585,0.0,0.8198554168588308,0.0,0.7782016400485069,0.0,0.3279763287461873,0.0,0.778244123786695,0.0,0.3053557508129746,0.0,0.8489427994062966,0.0,0.2198313201077558,0.0,0.3647414043882909,0.0,0.30592847795044337,0.0,0.2526751824051885,0.0,0.9733751882660782,0.0,0.4406963805654727,0.0,0.43671215402506103,0.0,0.9231827200514375,0.0,0.7578801628021156,0.0,0.10101162310461659
CPI_sqrt,300,16.122382164001465,0.7102327932971149,1.0,0.014607388663312085,1.0,0.06713378958701204,1.0,0.16269570459506438,1.0,0.2029221248341666,1.0,0.2471111643039875,1.0,0.09813113829884174,1.0,0.11598654640680717,1.0,0.17371579223553185,1.0,0.18160381355198169,1.0,0.15202794825264965,0.0,0.5010431651299928,0.0,0.4917883000194129,0.0,0.5078330109097856,0.0,0.4967815462888201,0.0,0.4907312559080599,0.0,0.5216653373548342,0.0,0.492152305600927,0.0,0.5217152488705621,0.0,0.46450429207523647,0.0,0.500960188025454,0.0,0.4968373328976403,0.0,0.5047181074876164,0.0,0.5012415054143641,0.0,0.4911158467919671,0.0,0.49879456286142654,0.0,0.49282053257609765,0.0,0.4825412499317871,0.0,0.514858774456562,0.0,0.49774503389347774,0.0,0.49351244190365207,0.0,0.4814030271632672,0.0,0.5039318473124892,0.0,0.48137955903054624,0.0,0.48065988711250635,0.0,0.5173821591896345,0.0,0.5093261585444494,0.0,0.4914990910593462,0.0,0.5512204066664659,0.0,0.5038150546378971,0.0,0.5031887859267395,0.0,0.49277587711434867,0.0,0.510549546436037,0.0,0.4921605658813267,0.0,0.5026533237908131,0.0,0.5295133022025655,0.0,0.4824950734679709,0.0,0.48154063345101733,0.0,0.5072243215964282,0.0,0.5008950300409029,0.0,0.49769989891784217
CPI_n,300,16.11132836341858,0.7102327932971149,1.0,0.00026984131112734204,1.0,0.00027238839925243844,1.0,5.4433916366205246e-05,1.0,0.033271558905906454,1.0,0.004757019733516344,1.0,0.015392960416405163,1.0,1.0367088179634905e-05,1.0,0.0009086746029090948,1.0,0.000905463616200802,1.0,0.006050309617405963,0.0,0.4551410447774408,0.0,0.4398601984311868,0.0,0.5965044675000295,0.0,0.4063180196768391,0.0,0.24997979469871973,0.0,0.7201841338585591,0.0,0.5999963293331346,0.0,0.5819256520433641,0.0,0.3065127711033513,0.0,0.49645524577519445,0.0,0.5298272140551933,0.0,0.4906169464425012,0.0,0.5207893810137593,0.0,0.5391436278790953,0.0,0.5041407947970395,0.0,0.3897867608432551,0.0,0.31409808300290054,0.0,0.5142962730844343,0.0,0.49077214837913014,0.0,0.35396609661064,0.0,0.4948783738181915,0.0,0.5309085530138566,0.0,0.5729884670733646,0.0,0.3531373229226489,0.0,0.5164363816544854,0.0,0.48819341192188137,0.0,0.5098246551050547,0.0,0.5992381651875625,0.0,0.5273757622182254,0.0,0.5943460280317705,0.0,0.404165329944207,0.0,0.5397374618738753,0.0,0.42166916763416046,0.0,0.4705170701754999,0.0,0.6871126653165798,0.0,0.46735745103873816,0.0,0.5089406432180409,0.0,0.6212351634712598,0.0,0.492487250185019,0.0,0.40107515411137384
CPI_bt,300,16.274004459381104,0.7102327932971149,1.0,1.3820567381936238e-35,1.0,1.2342390528225844e-38,1.0,1.1901839493541557e-13,1.0,3.8963462105360407e-07,1.0,1.4218161809905334e-50,1.0,6.110401599494771e-46,1.0,2.723188616260004e-32,1.0,1.8759320294375144e-27,1.0,5.269492679717768e-20,1.0,5.519170990138502e-28,0.0,0.48647987372329426,0.0,0.523905105977551,0.0,0.5385374294703849,0.0,0.42960576855921884,0.0,0.13599504901646137,0.0,0.6805972616149689,0.0,0.4593319252439851,0.0,0.3243874259421906,0.0,0.15880584343165788,0.0,0.49738685901905905,0.0,0.5319239543161763,0.0,0.6270560048879752,0.0,0.5124406708506315,0.0,0.3279521574426198,0.0,0.479041140392494,0.0,0.3522986561763807,0.0,0.398661821523293,0.0,0.5462664369895448,0.0,0.4834384185681285,0.0,0.5706506278527587,0.0,0.45655842685090475,0.0,0.5452453711598892,0.0,0.3914608284955512,0.0,0.38702026947098933,0.0,0.5755656070619982,0.0,0.5022512496336022,0.0,0.24532835737731545,0.0,0.4732471103840163,0.0,0.48263557774337007,0.0,0.5351137992396747,0.0,0.4898025516811896,0.0,0.5676517440658428,0.0,0.27874247145727027,0.0,0.5253433362838436,0.0,0.467905935185722,0.0,0.4151090047639306,0.0,0.5601020025063453,0.0,0.49850341635063944,0.0,0.5662198643735723,0.0,0.40888465719868367
CPI_sqd,300,16.270325422286987,0.7102327932971149,1.0,2.674496777535107e-225,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.150181019030149e-174,1.0,0.0,1.0,0.0,1.0,7.144520867287726e-176,1.0,0.0,0.0,1.0,0.0,6.023406457894958e-39,0.0,1.0,0.0,9.95249104899371e-102,0.0,4.567484855183958e-93,0.0,0.9949758292648141,0.0,5.16754403098594e-28,0.0,4.355663186640248e-63,0.0,0.0,0.0,0.8653231613515446,0.0,2.4841886751929905e-27,0.0,1.0,0.0,0.9999999331649287,0.0,2.6114980277885283e-55,0.0,1.0796209700534257e-14,0.0,0.03160325263851907,0.0,1.9493934259064413e-77,0.0,0.40968790427996904,0.0,1.8148727122309076e-13,0.0,1.0,0.0,5.140051313322875e-186,0.0,1.0,0.0,0.06395853667229359,0.0,9.494415628325377e-94,0.0,0.9999999999747972,0.0,8.77125346995542e-38,0.0,7.631547071323157e-129,0.0,5.628358199246877e-120,0.0,1.2654052418777559e-33,0.0,1.0,0.0,3.105212818875276e-05,0.0,1.0,0.0,1.0,0.0,0.9999999999943913,0.0,0.9655369754031351,0.0,0.0,0.0,0.0016430696073818913,0.0,1.0,0.0,0.005585531504975713,0.0,0.9717557560761986
S-CPI,300,29.105232000350952,0.7102327932971149,1.0,0.0002920667034492216,1.0,9.035761693302511e-05,1.0,5.5029221030870017e-05,1.0,8.300100214341639e-05,1.0,0.002982644558959492,1.0,0.08387075749499157,1.0,8.978489223077948e-06,1.0,0.0027975118261205126,1.0,0.00022433651626185252,1.0,0.00751650746677589,0.0,0.3568174546548528,0.0,0.18757934650875324,0.0,0.7663900967051858,0.0,0.10559110429941587,0.0,0.164061757938542,0.0,0.8787008675876031,0.0,0.047059826772843205,0.0,0.3510836935039674,0.0,0.5377418406629031,0.0,0.6613168984604472,0.0,0.9459743651380822,0.0,0.8577796730127003,0.0,0.6549327184467,0.0,0.35154482107639173,0.0,0.5186014031474876,0.0,0.35245390402519267,0.0,0.5692264487273428,0.0,0.9018682530924953,0.0,0.04348696039437341,0.0,0.6348833155626793,0.0,0.058947099640008334,0.0,0.9093747228909073,0.0,0.5136428488853723,0.0,0.4925761525638381,0.0,0.805474366565996,0.0,0.3938780607309519,0.0,0.33944592361963133,0.0,0.8092697635244834,0.0,0.04209549489449167,0.0,0.9476355691051926,0.0,0.22077875012282216,0.0,0.7480938701140895,0.0,0.3877685543601081,0.0,0.4374244844184932,0.0,0.9687991248896464,0.0,0.30150498796824615,0.0,0.36497240693445687,0.0,0.9337860227782862,0.0,0.8288254949344602,0.0,0.5935670563492366
S-CPI_sqrt,300,29.09025812149048,0.7102327932971149,1.0,0.06849036363426847,1.0,0.09673798548217766,1.0,0.11549870670762863,1.0,0.18642382517099493,1.0,0.1936040522312567,1.0,0.28223136021820894,1.0,0.06885375554099624,1.0,0.1959301055059866,1.0,0.14147929921536856,1.0,0.1862122074877665,0.0,0.49990776482047705,0.0,0.49519309449482823,0.0,0.509288273086005,0.0,0.4905460698035015,0.0,0.47597654002310136,0.0,0.5450374417549646,0.0,0.4886117406401969,0.0,0.48814287024901015,0.0,0.4760289097240896,0.0,0.5009566170234586,0.0,0.506373288536209,0.0,0.5118904280432645,0.0,0.5008866101959369,0.0,0.48236208666097324,0.0,0.5018774298409726,0.0,0.4894163398864942,0.0,0.4854350793431709,0.0,0.5111405975446762,0.0,0.49432942353830106,0.0,0.5060380738352389,0.0,0.49658255857812444,0.0,0.5005073699966476,0.0,0.5160210336432433,0.0,0.5091798284399353,0.0,0.5317746080066267,0.0,0.5047856560350041,0.0,0.4986612438606863,0.0,0.5110142370517812,0.0,0.4954919945799166,0.0,0.5186590883831669,0.0,0.4961161117674836,0.0,0.5114786494553195,0.0,0.49080052230172116,0.0,0.5022526472673478,0.0,0.5192380607555718,0.0,0.480118451676059,0.0,0.500324134717128,0.0,0.5187530056653028,0.0,0.5064430179235843,0.0,0.4935513867627465
S-CPI_n,300,29.072019815444946,0.7102327932971149,1.0,0.0005828675327993904,1.0,0.00041798547588242917,1.0,0.0003991062442183592,1.0,0.005895624522465447,1.0,0.00911088028052955,1.0,0.050370712668553815,1.0,3.080348786659846e-05,1.0,0.0029405841260755697,1.0,0.001404566485438969,1.0,0.008857056162177124,0.0,0.4957604989059303,0.0,0.43303711902227615,0.0,0.596827207511189,0.0,0.4210853753596667,0.0,0.28781295173677157,0.0,0.7128536810442596,0.0,0.3708565979297511,0.0,0.5263515370846974,0.0,0.4832997138853376,0.0,0.5060485510522741,0.0,0.6214154606546063,0.0,0.5822918264968275,0.0,0.5152932687911251,0.0,0.4119524043402626,0.0,0.5010332342462077,0.0,0.44276710277716125,0.0,0.4397510310328634,0.0,0.5985670649657822,0.0,0.45357792535441327,0.0,0.5939580789293384,0.0,0.47075318691131657,0.0,0.5460544516610188,0.0,0.583068884165462,0.0,0.4331597987741685,0.0,0.6420699158494103,0.0,0.5626098445267701,0.0,0.4445364092385027,0.0,0.5608455961615251,0.0,0.4495828425771946,0.0,0.6168033144110029,0.0,0.47788346317770675,0.0,0.5669799472020431,0.0,0.41293181748892965,0.0,0.5393493428033609,0.0,0.6360162741678481,0.0,0.3843955835955864,0.0,0.47992006131279025,0.0,0.6524383901918569,0.0,0.5375940537193383,0.0,0.47557351994289565
S-CPI_bt,300,29.09337329864502,0.7102327932971149,1.0,1.5400808558239e-32,1.0,1.0581816357619471e-31,1.0,5.275225766853204e-26,1.0,1.0587468540028208e-17,1.0,2.506488312321392e-12,1.0,1.3300402239743149e-08,1.0,1.8910684924095117e-40,1.0,8.758611696412047e-24,1.0,7.596076968652643e-32,1.0,1.1472123492907593e-19,0.0,0.4595753585252339,0.0,0.4153967841516677,0.0,0.6453603008228608,0.0,0.401387871042519,0.0,0.2777784698427592,0.0,0.9142090115828212,0.0,0.4775443065789442,0.0,0.3726337826650101,0.0,0.2565755605582412,0.0,0.5112868886253252,0.0,0.6762300765905617,0.0,0.7387885542911183,0.0,0.5213283550512863,0.0,0.3064452678320577,0.0,0.5035158311649646,0.0,0.4150784559694294,0.0,0.45776587980049055,0.0,0.6741217873925898,0.0,0.4436644015623409,0.0,0.4933430167894285,0.0,0.38425920465399777,0.0,0.5271601994807739,0.0,0.6088475363682645,0.0,0.3477428159430572,0.0,0.7736238220658992,0.0,0.4505041426820562,0.0,0.29058399106443933,0.0,0.6936151851044982,0.0,0.48054665085024,0.0,0.653011118740095,0.0,0.5220328283032086,0.0,0.5929129140311968,0.0,0.45767190797044166,0.0,0.5456733085620779,0.0,0.6333927540564038,0.0,0.2713732935748532,0.0,0.47463765603983354,0.0,0.6557997155167525,0.0,0.5676914666959181,0.0,0.44453779103649016
