method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,67.10987997055054,0.7696850217136483,0.0,0.999997699647482,0.0,0.35407632795335786,0.0,0.002216814131674405,0.0,0.9999940678024916,0.0,0.9999999982174316,0.0,5.969447158804542e-12,0.0,0.999999999999949,0.0,3.4372504842394846e-13,0.0,0.9945754498644391,0.0,0.9984397655938589,0.0,2.230872004349571e-06,0.0,0.9999999999999702,0.0,0.6926791448158262,0.0,0.45056354997883596,0.0,0.9998798654075084,0.0,2.445423863406404e-10,0.0,0.8124787137092065,0.0,0.0035972489699429566,0.0,4.300545084157115e-06,0.0,2.4202861936828413e-14,0.0,0.8334764038834002,0.0,0.9999999867604975,0.0,0.030048712675433964,0.0,0.29123951025594486,0.0,0.2861515847811701,0.0,0.8363377529537429,0.0,1.143667438530116e-08,0.0,0.9999798013450247,0.0,0.9999999885410401,0.0,0.25651491008710003,0.0,8.857953481822278e-09,0.0,0.5539362935441781,0.0,9.927302168455387e-05,0.0,0.9949752551680773,0.0,0.9999999077295985,1.0,0.9997469989177687,0.0,0.9999989761340101,0.0,1.3422596367718143e-13,0.0,0.9986888076525972,0.0,1.7814086128442597e-07,0.0,0.9591495015223275,0.0,1.4281571813934413e-05,0.0,0.9999989603627983,0.0,0.9999628784482023,0.0,0.3031949388076478,1.0,2.6556589808213182e-05,0.0,1.794049542258591e-08,0.0,0.008998664218781705,0.0,1.5395093266867832e-07,0.0,0.9999862678704958
CPI,300,4.054469347000122,0.7696850217136483,0.0,0.08363270828416958,0.0,0.5393618753385425,0.0,0.5319010889134647,0.0,0.15150675199731078,0.0,0.7886593580397199,0.0,0.9053913780862362,0.0,0.7735343562583246,0.0,0.8271354263685757,0.0,0.19119874423095912,0.0,0.1698884059760138,0.0,0.044059781964429307,0.0,0.30023147533407907,0.0,0.5630635125847503,0.0,0.1417469805245412,0.0,0.678697657635188,0.0,0.6235976840193664,0.0,0.5370563535819408,0.0,0.53492464932627,0.0,0.7299923174830611,0.0,0.6195558454837962,0.0,0.2791150441652146,0.0,0.15754829144571203,0.0,0.8671933687263628,0.0,0.5560206340580445,0.0,0.28432949662132,0.0,0.0672078227802142,0.0,0.7308138845717567,0.0,0.3414658870976699,0.0,0.3168664681536748,0.0,0.32054034037332885,0.0,0.9538812515751867,0.0,0.25595952108660147,0.0,0.14692123682668573,0.0,0.507905870910542,0.0,0.8302124817153683,1.0,5.1600973467856835e-06,0.0,0.5376861787549476,0.0,0.8513958230980722,0.0,0.4323854818545119,0.0,0.6963103013678071,0.0,0.8229241304738334,0.0,0.37946066803255524,0.0,0.9512209878190442,0.0,0.9856171944722502,0.0,0.5925473364862355,1.0,0.0005637988565735898,0.0,0.5554681184585618,0.0,0.10820626317557386,0.0,0.870770341884743,0.0,0.8916276040983921
CPI_sqrt,300,4.04085898399353,0.7696850217136483,0.0,0.4963740184002974,0.0,0.4945617280789248,0.0,0.4990499781517398,0.0,0.49769702680025596,0.0,0.4961527649425182,0.0,0.5064154603098945,0.0,0.5025565688767377,0.0,0.5130059705431342,0.0,0.49702951006004004,0.0,0.5006318374590024,0.0,0.49842193901325504,0.0,0.49769055052595856,0.0,0.49770633610762055,0.0,0.49841803118895184,0.0,0.49982775972368537,0.0,0.5018040721284798,0.0,0.49984445478612843,0.0,0.49996228650835556,0.0,0.5033027812136687,0.0,0.4993035195603909,0.0,0.49619008490985433,0.0,0.4969995010186549,0.0,0.4999000355760734,0.0,0.5011953916741028,0.0,0.49953033222115906,0.0,0.501290167562671,0.0,0.5020624557494789,0.0,0.4908973883401901,0.0,0.49821671606590195,0.0,0.4996022360409366,0.0,0.5027361082980932,0.0,0.49635697055881267,0.0,0.500766803475443,0.0,0.4984953823539977,0.0,0.49306934300237093,1.0,0.10426985350245349,0.0,0.5006428142661666,0.0,0.5027064523907703,0.0,0.503099520174662,0.0,0.49686311336246364,0.0,0.5011265620149251,0.0,0.49540209358560683,0.0,0.5037447708388808,0.0,0.5088920123719279,0.0,0.4939237256262472,1.0,0.24613195069335675,0.0,0.5006823991557776,0.0,0.48333062247983793,0.0,0.5075641692853629,0.0,0.5014299251790564
CPI_n,300,4.0395777225494385,0.7696850217136483,0.0,0.5136668477710918,0.0,0.4536836036084369,0.0,0.4905501370337621,0.0,0.4472032265532867,0.0,0.5240185540407635,0.0,0.5034002503973218,0.0,0.48531357810439874,0.0,0.5805729601541075,0.0,0.4338132120271969,0.0,0.5200275488104866,0.0,0.5047454214763507,0.0,0.46794811674448755,0.0,0.4605559129474417,0.0,0.4730012497298716,0.0,0.6274387280343982,0.0,0.5203575360725419,0.0,0.529544232271068,0.0,0.49882652209158485,0.0,0.5264792138957005,0.0,0.4482408325101712,0.0,0.47911482879726935,0.0,0.4103572318441508,0.0,0.559668615966948,0.0,0.5834486335122401,0.0,0.4769299416255001,0.0,0.4997928498184951,0.0,0.5261375393287264,0.0,0.518989847584637,0.0,0.47920294474340897,0.0,0.4690264626222834,0.0,0.5351202373985225,0.0,0.44579859974974007,0.0,0.5166710937603881,0.0,0.5105146621355586,0.0,0.5142093374845449,1.0,0.0008643595516574292,0.0,0.5476236084893689,0.0,0.5076754640330006,0.0,0.5250510582620396,0.0,0.5007535111969929,0.0,0.5687819916362875,0.0,0.4094325825526089,0.0,0.5194400867270579,0.0,0.6075244410967643,0.0,0.4835415073411119,1.0,0.0007165588339597969,0.0,0.4873010588262418,0.0,0.5504208435966033,0.0,0.5193159685848271,0.0,0.506480415810877
CPI_bt,300,4.22217869758606,0.7696850217136483,0.0,0.48855587039894893,0.0,0.5041137182685176,0.0,0.45426937309971305,0.0,0.48614723848131974,0.0,0.5017174994445075,0.0,0.5138012289108485,0.0,0.4804194126491804,0.0,0.5113030701014777,0.0,0.48856692654167716,0.0,0.4915905645589431,0.0,0.5016760217397624,0.0,0.37874803231828,0.0,0.45535072699262485,0.0,0.4859925494750198,0.0,0.49420285524559127,0.0,0.5190846841925945,0.0,0.4975815609596382,0.0,0.5216429191972208,0.0,0.5224198322229815,0.0,0.4551233999776124,0.0,0.5168463200430313,0.0,0.5001449868592641,0.0,0.5491026484762483,0.0,0.5446581008944679,0.0,0.4494589757788626,0.0,0.4865999081898102,0.0,0.4990695640433935,0.0,0.5201609009902002,0.0,0.4783516662571571,0.0,0.46981826725637343,0.0,0.5199189615118474,0.0,0.44528102474847314,0.0,0.5020647853180522,0.0,0.5269073161015673,0.0,0.4990095153823674,1.0,1.3902584663631837e-60,0.0,0.585514092930678,0.0,0.5394180153602376,0.0,0.5275545207781529,0.0,0.4672800422048864,0.0,0.6149425328745362,0.0,0.3804125248795703,0.0,0.5335336095393759,0.0,0.6588539783639075,0.0,0.5233221121860337,1.0,9.961157707322485e-34,0.0,0.3997176173635733,0.0,0.34394643169820527,0.0,0.5474984346846463,0.0,0.5176496508932348
CPI_sqd,300,4.22636604309082,0.7696850217136483,0.0,8.872650232719583e-10,0.0,0.08764036762355115,0.0,0.27699489046571,0.0,1.6084096213887504e-20,0.0,0.00486055293393604,0.0,0.18208753135382044,0.0,0.9999999999999979,0.0,3.1800338164287273e-142,0.0,0.9998267648150911,0.0,0.8120518139288324,0.0,3.9750431312447516e-18,0.0,6.825398252397045e-77,0.0,0.0005132268222653179,0.0,1.3496828471936592e-11,0.0,1.0,0.0,0.9999999999999659,0.0,1.0,0.0,0.9976467112372527,0.0,0.9999999999999953,0.0,0.975417958790587,0.0,8.078826218841647e-14,0.0,1.081408793385113e-05,0.0,0.24068673463129364,0.0,1.0,0.0,0.9999787067541558,0.0,2.4560962268409652e-08,0.0,0.9999999999996331,0.0,0.08023369524272939,0.0,4.6492436263743485e-10,0.0,0.0969623966461835,0.0,0.8969644469249312,0.0,3.77723703437881e-63,0.0,1.5333611051868536e-06,0.0,7.201306365079828e-07,0.0,4.912024886610797e-36,1.0,0.0,0.0,1.0,0.0,6.840674423429663e-15,0.0,0.999999771546548,0.0,2.755542689787563e-09,0.0,1.0,0.0,2.3291449787375588e-77,0.0,0.9982688892884267,0.0,1.0,0.0,2.1595577460563458e-06,1.0,0.0,0.0,1.0,0.0,1.3304872983521396e-42,0.0,1.0,0.0,0.9999804011876267
S-CPI,300,4.4546966552734375,0.7696850217136483,0.0,0.0585280154323081,0.0,0.35994956576460374,0.0,0.4539606160332512,0.0,0.3449552223103127,0.0,0.27652951978375195,0.0,0.7378705089299182,0.0,0.47771955914378117,0.0,0.716343836037173,0.0,0.32487908130954657,0.0,0.5733735813206084,0.0,0.4549454439804547,0.0,0.25800800258553835,0.0,0.5199853468037535,0.0,0.4363235731549996,0.0,0.9413745436171892,0.0,0.8884159287229827,0.0,0.6013521043239898,0.0,0.6261670129151318,0.0,0.9695656785496138,0.0,0.10126077466193079,0.0,0.18396739844252763,0.0,0.05954668961176789,0.0,0.949885095896327,0.0,0.9426762371771965,0.0,0.41141192842896146,0.0,0.14870450912392497,0.0,0.8332118843921199,0.0,0.7345604366518627,0.0,0.23180888966731256,0.0,0.16003244172661552,0.0,0.9783332709193421,0.0,0.046989445858513244,0.0,0.5175646154050393,0.0,0.377995529866889,0.0,0.33393298854666076,1.0,0.0013867035349453027,0.0,0.736277109105707,0.0,0.7080158864358248,0.0,0.6541989894989819,0.0,0.3293955196306361,0.0,0.921875845965425,0.0,0.10680640711989475,0.0,0.8905279662356913,0.0,0.9796236114007532,0.0,0.7007965758811014,1.0,0.0004369881435491325,0.0,0.7939053035047656,0.0,0.4886183819034977,0.0,0.8411083946211095,0.0,0.8036260883739184
S-CPI_sqrt,300,4.466251611709595,0.7696850217136483,0.0,0.4966247307510892,0.0,0.5037047142733558,0.0,0.4965158622879675,0.0,0.4984226071878542,0.0,0.49894609359055786,0.0,0.5087993819273278,0.0,0.4994524768956641,0.0,0.5117836848871201,0.0,0.5010194216659465,0.0,0.49976725818598505,0.0,0.4977905590340562,0.0,0.4974127371918695,0.0,0.4968558728254593,0.0,0.4999698110356509,0.0,0.5073312015721114,0.0,0.5036495195976527,0.0,0.4988622894422566,0.0,0.5011058017209993,0.0,0.505468400211349,0.0,0.4959877039757877,0.0,0.4949651811549735,0.0,0.49677225294220295,0.0,0.5043067675340489,0.0,0.5109775014402801,0.0,0.5002161669999469,0.0,0.4943085335913913,0.0,0.5019392149572097,0.0,0.5060052968586415,0.0,0.5002435414163454,0.0,0.4981773623698899,0.0,0.5056952541313725,0.0,0.48561932850761236,0.0,0.4982018017642474,0.0,0.49775084699143485,0.0,0.5019540356290438,1.0,0.1918841810165111,0.0,0.5120037928925344,0.0,0.4999876939660129,0.0,0.5013678416405111,0.0,0.49742588187908826,0.0,0.5253609209637882,0.0,0.48601881225561405,0.0,0.5038490428086784,0.0,0.5160372122085871,0.0,0.5002969414781562,1.0,0.20802748818480943,0.0,0.5059938847197157,0.0,0.49124691893963685,0.0,0.5127068505642749,0.0,0.5022514228456817
S-CPI_n,300,4.458285570144653,0.7696850217136483,0.0,0.4828178463130575,0.0,0.49561917011859663,0.0,0.46340526970387214,0.0,0.47408747819189007,0.0,0.47145710195227264,0.0,0.5583628552305421,0.0,0.5092668179788775,0.0,0.5835286384116548,0.0,0.5074144636648175,0.0,0.4824397380505362,0.0,0.5004825225149595,0.0,0.48885708335594047,0.0,0.5024926017078768,0.0,0.4858213864454574,0.0,0.5857786948890216,0.0,0.5479475150496336,0.0,0.503641211192778,0.0,0.5010620995446255,0.0,0.546398958662555,0.0,0.45860310330641757,0.0,0.4763703678231342,0.0,0.4497479551894069,0.0,0.5518589183062546,0.0,0.6088898168417336,0.0,0.48031535212211873,0.0,0.4271748746452804,0.0,0.5266224662701198,0.0,0.5789331880896633,0.0,0.49553994810812246,0.0,0.46420601050626675,0.0,0.5401787114418721,0.0,0.3865734011844868,0.0,0.49689620960064945,0.0,0.4758378643940437,0.0,0.5661115754711564,1.0,0.010617388182830596,0.0,0.5739175412799926,0.0,0.5148951704230299,0.0,0.5239850608065554,0.0,0.4638094010313727,0.0,0.6667742161917473,0.0,0.40343262384114575,0.0,0.5313046224559,0.0,0.6480327106105374,0.0,0.5200878720040326,1.0,0.0009070681368593469,0.0,0.5466442263782932,0.0,0.4445504527592602,0.0,0.5789997965414642,0.0,0.5100356249189607
S-CPI_bt,300,4.631629943847656,0.7696850217136483,0.0,0.4608651804947055,0.0,0.44314308669179653,0.0,0.4841773361464579,0.0,0.4771930787854966,0.0,0.4769922929548391,0.0,0.577996529124026,0.0,0.5166435059977226,0.0,0.5560895040880591,0.0,0.5145810938923039,0.0,0.4809067355216807,0.0,0.5033213407723504,0.0,0.4365332224587948,0.0,0.4813440186459719,0.0,0.4808674709666714,0.0,0.6305492866244982,0.0,0.5294366187705546,0.0,0.5176790252953651,0.0,0.5216385494041975,0.0,0.5364561323621009,0.0,0.4632657741094635,0.0,0.4741565330906725,0.0,0.46466546224304633,0.0,0.5415647469373709,0.0,0.6080245569316136,0.0,0.5003918480802585,0.0,0.44871197709494964,0.0,0.5229479111829627,0.0,0.5501941033879006,0.0,0.47965457756637236,0.0,0.46534646945818114,0.0,0.5577559617826898,0.0,0.38804449458491697,0.0,0.4742100195003865,0.0,0.4727328215394507,0.0,0.5004884071660615,1.0,8.019523939827446e-26,0.0,0.5847054312986877,0.0,0.48548315992603663,0.0,0.5199559235240814,0.0,0.43380963191600636,0.0,0.6596960549259452,0.0,0.4366370450730617,0.0,0.5501140184789872,0.0,0.6713551242234376,0.0,0.5312586774232143,1.0,4.3943416838166615e-24,0.0,0.5570329251535339,0.0,0.41697710348599343,0.0,0.5551882663139327,0.0,0.5210353541413313
