method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,14.009335041046143,0.43360399018047724,0.0,0.012580543551810264,0.0,0.6937236132586555,0.0,0.24585664303905475,0.0,0.5367889134462958,0.0,0.0028791977827349324,0.0,0.15729146557260065,0.0,0.39180390477624305,0.0,0.8358041621634755,0.0,0.33024532954981023,0.0,0.06466162566963884,0.0,0.12279560532021017,0.0,0.2654239204408573,0.0,0.630981885600059,0.0,0.5646392733119832,1.0,0.5834519085472122,0.0,0.5010530188374958,0.0,0.8267093762074318,0.0,0.25355147215891627,0.0,0.5079064062815435,0.0,0.07239370172626602,0.0,0.08786950557134088,0.0,0.29346281930427776,0.0,0.2039789891467103,1.0,0.9158032268578838,0.0,0.18142865960660715,0.0,0.19745016429246176,0.0,0.2709845431229435,0.0,0.02805364562707169,0.0,0.8984657782035934,0.0,0.3243276663765746,0.0,0.03614566709907163,0.0,0.06930011375451273,0.0,0.033573654646561146,0.0,0.11423245965998818,0.0,0.03282615724090876,0.0,0.6425956277278191,0.0,0.09477791192200835,0.0,0.12561617650021262,0.0,0.19929599766638684,0.0,0.02287826242432489,0.0,0.049131451914111945,0.0,0.47474390315128523,0.0,0.0016736404437810437,0.0,0.4070694548854492,0.0,0.033237018556618314,0.0,0.09044189214230258,0.0,0.4098092260904236,0.0,0.3502432249702737,0.0,0.24734526420728864,0.0,0.2047490539280934
CPI,300,3.491058111190796,0.43360399018047724,0.0,0.9732808055912177,0.0,0.9309403720467414,0.0,0.183369367755863,0.0,0.6294101773809135,0.0,0.9005084682526107,0.0,0.17316152994653555,0.0,0.25135917990684914,0.0,0.4942133513662389,0.0,0.1756738317954627,0.0,0.6111556592083309,0.0,0.5205158656118609,0.0,0.24896567711667117,0.0,0.2174764827650545,0.0,0.6603137748863237,1.0,6.702518368868075e-05,0.0,0.9945335804188541,0.0,0.7346084716924242,0.0,0.6696194922800611,0.0,0.22423721422227938,0.0,0.65410348200791,0.0,0.37973773053885795,0.0,0.09688413152480241,0.0,0.8975928648343007,1.0,5.818724978504536e-05,0.0,0.38954791084236795,0.0,0.2524903032186978,0.0,0.2769636791986132,0.0,0.3461002643859667,0.0,0.21469232114978143,0.0,0.5570474654860639,0.0,0.031976870962758586,0.0,0.25817812459984746,0.0,0.20294009808309044,0.0,0.029124489188564272,0.0,0.22698083993573204,0.0,0.2244994893638637,0.0,0.6315474748100531,0.0,0.458923957029616,0.0,0.6256857765705912,0.0,0.3280915223979727,0.0,0.5233351448894284,0.0,0.27553660162606297,0.0,0.6357289685772942,0.0,0.5524062044140603,0.0,0.19147929056343416,0.0,0.34778097431878463,0.0,0.8211654784364619,0.0,0.40983173684612395,0.0,0.08839447678568874,0.0,0.40092583063507076
CPI_sqrt,300,3.4861323833465576,0.43360399018047724,0.0,0.5484783190324295,0.0,0.5402041668140116,0.0,0.4979240909260677,0.0,0.5094866847709205,0.0,0.5352784616074067,0.0,0.4805273029413267,0.0,0.5102741822304684,0.0,0.5146066803841567,0.0,0.47439128063749136,0.0,0.5393687735137302,0.0,0.4787117982848123,0.0,0.4984190648741883,0.0,0.47198734243668383,0.0,0.4945536240254209,1.0,0.20864446100910844,0.0,0.5951958004316977,0.0,0.49528463553742047,0.0,0.5116886638930709,0.0,0.5093208145843852,0.0,0.5191494204659937,0.0,0.524772872746025,0.0,0.4874261418574406,0.0,0.49251779756157327,1.0,0.10458783765314017,0.0,0.5048589021192073,0.0,0.4487949456459635,0.0,0.49462971563249497,0.0,0.5123731568179101,0.0,0.499180438977183,0.0,0.5427145866952945,0.0,0.4493505554871359,0.0,0.48986026361363855,0.0,0.4932057134965676,0.0,0.5044363058571948,0.0,0.4767358716421618,0.0,0.5085533989340177,0.0,0.492236431103809,0.0,0.45338601408508783,0.0,0.5128439972548527,0.0,0.4765417069400404,0.0,0.5242624849903789,0.0,0.5057924445650315,0.0,0.5546586654542381,0.0,0.5093445928165197,0.0,0.4926372313247548,0.0,0.48516849006062085,0.0,0.4952941368271103,0.0,0.4424994335443446,0.0,0.4963265653911115,0.0,0.49481102556543016
CPI_n,300,3.485215902328491,0.43360399018047724,0.0,0.727967007386433,0.0,0.6900517221552129,0.0,0.6413106643493331,0.0,0.48173729991815506,0.0,0.42103129367259656,0.0,0.5306357177751457,0.0,0.49092478584636606,0.0,0.5519565892240978,0.0,0.5672925202872409,0.0,0.544577978910557,0.0,0.4522037142892474,0.0,0.44050015868011066,0.0,0.5949490369578742,0.0,0.5471187234063524,1.0,0.004839727655732508,0.0,0.6780091956989598,0.0,0.37090577762594873,0.0,0.5434774059843329,0.0,0.5326015701794069,0.0,0.5522427193557984,0.0,0.5049749531360584,0.0,0.5288080946260281,0.0,0.5714286036766199,1.0,0.0005292230004990417,0.0,0.30451414548919886,0.0,0.41052878534695236,0.0,0.34454705671376284,0.0,0.6156557632971634,0.0,0.460811605515575,0.0,0.576615012316824,0.0,0.28988682840119884,0.0,0.3795084634382603,0.0,0.22655742433936565,0.0,0.6951320554568544,0.0,0.4586914598449673,0.0,0.4666628932246578,0.0,0.44814264584462027,0.0,0.4372447176079023,0.0,0.712582614441148,0.0,0.24086682554308836,0.0,0.35391442754381447,0.0,0.6886253293895053,0.0,0.7259604474475825,0.0,0.6986550535867011,0.0,0.3008328524028022,0.0,0.4317457907210537,0.0,0.5438616550115222,0.0,0.2946497730657285,0.0,0.4715365990724418,0.0,0.5149457132011485
CPI_bt,300,3.655461072921753,0.43360399018047724,0.0,0.47556810167632685,0.0,0.9452497858563298,0.0,0.8333934702936822,0.0,0.8056643275353501,0.0,0.979511737275002,0.0,0.20743509045123243,0.0,0.6967812893046783,0.0,0.4670722450797444,0.0,0.7598530703005568,0.0,0.7706505900209438,0.0,0.2158830679429497,0.0,0.40368335527212285,0.0,0.7822081131386254,0.0,0.2811087664095695,1.0,5.651158698080269e-12,0.0,0.595249318171632,0.0,0.6926169038603553,0.0,0.5258946681840609,0.0,0.673122792900221,0.0,0.3913778621662305,0.0,0.36460567205231986,0.0,0.3379222126910619,0.0,0.5841243460712524,1.0,2.690954711027698e-30,0.0,0.5141753771371455,0.0,0.23512698739389137,0.0,0.32700082883756165,0.0,0.7035070961142587,0.0,0.2534465378123649,0.0,0.45876745133439845,0.0,0.3653891080145486,0.0,0.39853856222794304,0.0,0.2136326583786124,0.0,0.913954427484776,0.0,0.5495525379745022,0.0,0.37560825363533645,0.0,0.5258474762922156,0.0,0.2200790906251346,0.0,0.6905556098998926,0.0,0.3921790247060625,0.0,0.3871038284327629,0.0,0.10281191578310594,0.0,0.8864864097529619,0.0,0.2914268381136642,0.0,0.35459258062200383,0.0,0.37334031392480294,0.0,0.48330536167988913,0.0,0.022756032585368725,0.0,0.2348705726999637,0.0,0.7614781220147572
CPI_sqd,300,3.6605656147003174,0.43360399018047724,0.0,2.1057061846562653e-211,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.504579970301404e-283,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.679249403179519e-205,0.0,0.9997986009310099,0.0,0.0004154848744395959,0.0,0.6147737515560462,1.0,0.0,0.0,0.999867576461286,0.0,1.0,0.0,0.9999999999999754,0.0,1.0,0.0,5.156949360620513e-35,0.0,1.0,0.0,2.261998953284971e-13,0.0,1.0,1.0,0.0,0.0,7.655976302220043e-77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0361957199460727e-36,0.0,0.0,0.0,7.909824906395718e-186,0.0,0.987515916590987,0.0,1.2529301921197293e-167,0.0,2.3185028539596127e-198,0.0,0.0,0.0,6.535421548530654e-79,0.0,1.0,0.0,3.264497729533968e-214,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.3879578895840845e-304,0.0,0.0,0.0,1.0,0.0,1.2589108067108182e-276,0.0,7.369653908110494e-09,0.0,0.0
S-CPI,300,3.649033308029175,0.43360399018047724,0.0,0.9530558669016217,0.0,0.898863295671744,0.0,0.8467971620949419,0.0,0.7571359581975938,0.0,0.9780481200163917,0.0,0.32596647472701734,0.0,0.5935078029262646,0.0,0.5556726414485297,0.0,0.7712503247126544,0.0,0.9321195312341644,0.0,0.5043132870126288,0.0,0.8479932948040304,0.0,0.7850564488901883,0.0,0.5752302101661678,1.0,0.002597421385083714,0.0,0.9795479333116899,0.0,0.7274923136824536,0.0,0.9512964078389785,0.0,0.9320903819844097,0.0,0.6826185539783451,0.0,0.7965789506518491,0.0,0.4966885917939833,0.0,0.789769634452526,1.0,0.00015436579476141155,0.0,0.7919772016574089,0.0,0.08728024722102684,0.0,0.5200893298126121,0.0,0.6994402147295966,0.0,0.34685104569296704,0.0,0.9570744008078964,0.0,0.22215934308565993,0.0,0.14041433023007704,0.0,0.3603685271168704,0.0,0.6999344017586153,0.0,0.3946689625767534,0.0,0.7954199500072776,0.0,0.34146632417002304,0.0,0.4772353848432373,0.0,0.9453523908613597,0.0,0.2984300737519908,0.0,0.4600740220736608,0.0,0.495463626360383,0.0,0.984799150651026,0.0,0.8109781383121539,0.0,0.0785936790034902,0.0,0.49070796792568533,0.0,0.787504046283551,0.0,0.13035993354814834,0.0,0.311907048664565,0.0,0.8438266959366141
S-CPI_sqrt,300,3.6485676765441895,0.43360399018047724,0.0,0.5370487817105726,0.0,0.5949856818493671,0.0,0.5555349007896389,0.0,0.5242685099035916,0.0,0.5550785432064818,0.0,0.4718941714804712,0.0,0.5155976524489337,0.0,0.5016890400732719,0.0,0.5097619474058827,0.0,0.5489366418690835,0.0,0.4844099772402978,0.0,0.5212598975221554,0.0,0.5607553975179124,0.0,0.5128482961715923,1.0,0.19793051364544811,0.0,0.5723409494652965,0.0,0.5168140986302484,0.0,0.5410843509056179,0.0,0.5310414492756612,0.0,0.5056404756489274,0.0,0.5161618419390483,0.0,0.4899369693749881,0.0,0.5329015226432475,1.0,0.1221279552460553,0.0,0.5093849388785489,0.0,0.46779397058025673,0.0,0.5145850993935357,0.0,0.5690721791303305,0.0,0.4795970402838026,0.0,0.5383002132987381,0.0,0.4836182519601889,0.0,0.48424072693107684,0.0,0.5188750299853014,0.0,0.5550701550398349,0.0,0.5080311140118341,0.0,0.5113823876155196,0.0,0.494859525286898,0.0,0.49672127982518155,0.0,0.5522561316701312,0.0,0.4674721479703946,0.0,0.49533106617694395,0.0,0.5198727177788541,0.0,0.5879924888917729,0.0,0.5246169631310655,0.0,0.4635173780761084,0.0,0.49311908264963655,0.0,0.5188444848434541,0.0,0.4314194672754122,0.0,0.5018864406838321,0.0,0.555713800623872
S-CPI_n,300,3.644604444503784,0.43360399018047724,0.0,0.7572593140571069,0.0,0.8449464000776642,0.0,0.7947106639267638,0.0,0.6498637884273514,0.0,0.8533158695922398,0.0,0.45052857784042183,0.0,0.599375504482059,0.0,0.6103436591636137,0.0,0.5653276137041648,0.0,0.7130278845961883,0.0,0.4727513456465252,0.0,0.6718736498900367,0.0,0.6197585903646781,0.0,0.4834361161663707,1.0,0.02131509901545983,0.0,0.8278896712626069,0.0,0.6362749611246086,0.0,0.6198582542334313,0.0,0.6894768179395634,0.0,0.48375376900358613,0.0,0.488174733865282,0.0,0.4765926652919818,0.0,0.6973979642501292,1.0,0.0006428302833929113,0.0,0.47851327862507864,0.0,0.1904242066164492,0.0,0.4910956771923768,0.0,0.8287231113032635,0.0,0.30555120722746865,0.0,0.8461249890861212,0.0,0.29428109577235206,0.0,0.43002549928469774,0.0,0.4537337984387194,0.0,0.7131542927887965,0.0,0.4894951130583761,0.0,0.5466795785169729,0.0,0.4006896874376029,0.0,0.45840304451666314,0.0,0.7060929026641611,0.0,0.37333082984295207,0.0,0.4678609584926486,0.0,0.49317564883660797,0.0,0.8946882596437655,0.0,0.6522106515327861,0.0,0.25876023540533866,0.0,0.601842420779469,0.0,0.6263697340905268,0.0,0.23882421050437463,0.0,0.3632930709006686,0.0,0.6842952527588136
S-CPI_bt,300,3.8266091346740723,0.43360399018047724,0.0,0.8715473783680294,0.0,0.9967762369398534,0.0,0.9911459119269287,0.0,0.7497259528606194,0.0,0.9732424453924443,0.0,0.43731359776960904,0.0,0.8626050005052786,0.0,0.641798387939007,0.0,0.6815975888625508,0.0,0.8593519525008856,0.0,0.4205186879907411,0.0,0.871587533531138,0.0,0.7463997064084048,0.0,0.7127169163236209,1.0,2.9286884131796986e-26,0.0,0.9939856399299951,0.0,0.6288314777493932,0.0,0.8467703176343897,0.0,0.7349026370341611,0.0,0.6291316629500378,0.0,0.6285021107070037,0.0,0.5783920454641626,0.0,0.8166530851304354,1.0,1.2051163309874543e-41,0.0,0.6784439983359718,0.0,0.23008517977198484,0.0,0.5621408034222592,0.0,0.9612924379186437,0.0,0.298690214809344,0.0,0.9133847413122395,0.0,0.24223994637459306,0.0,0.4218256449205138,0.0,0.6363081315041621,0.0,0.8484231613474668,0.0,0.5811320981570782,0.0,0.5017143163984761,0.0,0.54173987535022,0.0,0.3511117525462837,0.0,0.9273500755519813,0.0,0.1642868092984207,0.0,0.4007054179600809,0.0,0.5015141279358531,0.0,0.9875281636754629,0.0,0.937753536060618,0.0,0.12114934245536396,0.0,0.4806439616667049,0.0,0.6627910811582007,0.0,0.22126220758566567,0.0,0.2697906531327804,0.0,0.9186877264975295
