method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,118.80620622634888,0.7568893637833598,0.0,0.06843875240236885,0.0,0.12029154090468075,1.0,1.8056334205596158e-10,0.0,0.13265267670754455,0.0,0.49791747547232834,0.0,0.42041333145113646,0.0,0.7521704853605796,0.0,0.9266207599301963,0.0,0.2905639991463065,0.0,0.7639434810178818,0.0,0.5647325082782974,0.0,0.19390891789896658,0.0,0.6867421478661125,0.0,0.2056051026945782,0.0,0.9558552120040753,0.0,0.00040359092624109305,0.0,0.47490430286314955,0.0,0.9876235413288716,0.0,0.5734034760949548,0.0,0.9784159000344502,0.0,0.1851949381136203,0.0,0.4710698257567586,0.0,0.9935701654892315,0.0,0.4066494537552401,0.0,0.1727772684456046,0.0,0.8341684330448156,0.0,0.2275329903384623,0.0,0.16760513538865063,0.0,0.5231225708778466,0.0,0.7836143187192717,0.0,0.9700075737257667,0.0,0.8061047416965814,0.0,0.9914897172277461,0.0,0.0027492334429365384,0.0,0.818881038540819,0.0,0.801766731214007,0.0,0.9975402492941894,0.0,0.33452777909860454,0.0,0.6670983197299413,0.0,0.5202234840031645,0.0,0.4513302657728854,0.0,0.22025433089377922,1.0,9.476021078924646e-10,0.0,0.19843233548852135,0.0,0.5295079824932314,0.0,0.8048789202593245,0.0,0.3804706526775402,0.0,0.9533405927890164,0.0,0.03154841150547516,0.0,0.36671478231175403
CPI,300,6.0571699142456055,0.7568893637833598,0.0,0.042289464355767414,0.0,0.41699688793744205,1.0,5.6114228490381514e-05,0.0,0.7228969002762888,0.0,0.10951767657893952,0.0,0.19034210001506824,0.0,0.38090391519673594,0.0,0.1436832941938631,0.0,0.40480502162661713,0.0,0.7987605745851909,0.0,0.2999585677774849,0.0,0.5506093062680726,0.0,0.3593423184747112,0.0,0.5932713797075577,0.0,0.23807806365113493,0.0,0.5958424456716678,0.0,0.18589023033817126,0.0,0.745066989628802,0.0,0.558051758350848,0.0,0.8783155791282948,0.0,0.3599442511050326,0.0,0.029673940156863032,0.0,0.2949412956224997,0.0,0.21247114182990706,0.0,0.23990304519954753,0.0,0.9049927804427892,0.0,0.050423981373693194,0.0,0.6258859883973997,0.0,0.8121464390969095,0.0,0.8846985882574268,0.0,0.9896821618847508,0.0,0.8386617460943327,0.0,0.05005237252638304,0.0,0.16573681331785667,0.0,0.7318530829583176,0.0,0.47119163289572863,0.0,0.3828461627118401,0.0,0.44947299057158296,0.0,0.36050123390098376,0.0,0.5488548032529725,0.0,0.8215418422779172,0.0,0.3049597057417886,1.0,3.774164766759146e-06,0.0,0.013639907712785754,0.0,0.014627701618876663,0.0,0.24581284025789518,0.0,0.7792659212345807,0.0,0.5963733892163741,0.0,0.048295461172833315,0.0,0.5775912317195434
CPI_sqrt,300,6.069364309310913,0.7568893637833598,0.0,0.49864017059469823,0.0,0.4988571861168185,1.0,0.15337607306707207,0.0,0.4978595047266649,0.0,0.49995715210658453,0.0,0.497812657744869,0.0,0.5002143509315261,0.0,0.5023159038580108,0.0,0.5022227995840557,0.0,0.49940252149240855,0.0,0.49913553356096746,0.0,0.49960791480780886,0.0,0.4984621285289144,0.0,0.5010013330101449,0.0,0.4993309904396112,0.0,0.49776318982615125,0.0,0.49805051720494065,0.0,0.5006924913003317,0.0,0.49864435168370785,0.0,0.5016174903670126,0.0,0.4995704798995272,0.0,0.4989593300173333,0.0,0.499009009117016,0.0,0.5003716264402918,0.0,0.4982569305588812,0.0,0.500359601307479,0.0,0.4992822485684815,0.0,0.5012023805644122,0.0,0.4994788048459077,0.0,0.49983490361525096,0.0,0.5043995495512879,0.0,0.5012147304006841,0.0,0.5002702019732271,0.0,0.4982373337883648,0.0,0.5006106146084448,0.0,0.5007562847859224,0.0,0.5002277561188042,0.0,0.49960017379894495,0.0,0.4964675147925567,0.0,0.5008405900242052,0.0,0.4993705207962078,0.0,0.4974376940736935,1.0,0.2222425195537313,0.0,0.4988393004611979,0.0,0.4964611933823693,0.0,0.49921269883339614,0.0,0.49900252414446955,0.0,0.5015012024118141,0.0,0.4982874299265637,0.0,0.49911523962545473
CPI_n,300,6.062452554702759,0.7568893637833598,0.0,0.4939941332652945,0.0,0.5018984542252964,1.0,0.00015714216307878974,0.0,0.5655428819834701,0.0,0.49366482239784104,0.0,0.4812407809374813,0.0,0.49502834165225107,0.0,0.4683694934004541,0.0,0.48827927747100164,0.0,0.5044107578090484,0.0,0.4956845476874917,0.0,0.4983019507895205,0.0,0.444145832387984,0.0,0.5108876713514903,0.0,0.4906348002541872,0.0,0.5059997819397637,0.0,0.4800038450510329,0.0,0.49560448432992293,0.0,0.49427028923648475,0.0,0.5096424393630339,0.0,0.4954985260041694,0.0,0.49449452771540414,0.0,0.48943877127598634,0.0,0.5358149126333632,0.0,0.49628023161684603,0.0,0.4932941215460024,0.0,0.5011629148963126,0.0,0.5033420386669409,0.0,0.5184654023872443,0.0,0.5176607934566646,0.0,0.5524610380530683,0.0,0.5201147293121203,0.0,0.4847272999027815,0.0,0.49820562292774406,0.0,0.5140247649838137,0.0,0.49605682209929436,0.0,0.48386282476683296,0.0,0.4885426292909654,0.0,0.5277433248707947,0.0,0.5127158407054829,0.0,0.4944074675459541,0.0,0.4961221308325396,1.0,0.003211152721209086,0.0,0.48879436477036703,0.0,0.4745282228685117,0.0,0.4887773652805678,0.0,0.5057433421537906,0.0,0.4832475333027573,0.0,0.48845688033886636,0.0,0.5005353640745953
CPI_bt,300,6.2337846755981445,0.7568893637833598,0.0,0.4653363764474144,0.0,0.48623082095729925,1.0,3.7966373101803027e-67,0.0,0.5296497328375042,0.0,0.474655247261777,0.0,0.478056494923256,0.0,0.4954935546763424,0.0,0.5001500913756811,0.0,0.5160499215714927,0.0,0.51426666979574,0.0,0.5026445906195466,0.0,0.5081760405141917,0.0,0.47498627769533736,0.0,0.5201420635506593,0.0,0.47830106234509523,0.0,0.4814232306458072,0.0,0.4784800634590213,0.0,0.5136076407992552,0.0,0.48177003869721463,0.0,0.5128226581709484,0.0,0.48865006598028304,0.0,0.49971758520700404,0.0,0.4999121536613903,0.0,0.5305075237589282,0.0,0.4796173991463709,0.0,0.49918785925457787,0.0,0.5142760438780536,0.0,0.5029607013020827,0.0,0.5009473440764464,0.0,0.5164228112626164,0.0,0.5186760937644497,0.0,0.5136760693573267,0.0,0.4798840079562053,0.0,0.5063811221357103,0.0,0.49689168023649455,0.0,0.5065570398405397,0.0,0.48667167165866443,0.0,0.5068942016736115,0.0,0.4766463939847409,0.0,0.5020316165075134,0.0,0.5054367324778931,0.0,0.47576552568342567,1.0,1.54534476347679e-23,0.0,0.4833676709922275,0.0,0.43807244024873193,0.0,0.4843976716959472,0.0,0.5063600186920603,0.0,0.500498734536907,0.0,0.48948548469996755,0.0,0.49802110265939664
CPI_sqd,300,6.2400062084198,0.7568893637833598,0.0,2.5325068842340977e-18,0.0,1.2643748173094797e-09,1.0,0.0,0.0,1.0,0.0,3.1322279160110405e-06,0.0,0.0015076651359346392,0.0,0.8516612232370757,0.0,5.1557876700653995e-15,0.0,0.7924026520645062,0.0,0.9999960338171684,0.0,0.9693993261980823,0.0,9.979866178627347e-07,0.0,3.974163698999075e-45,0.0,0.9999999966910413,0.0,0.01048909727517268,0.0,4.973966936492091e-09,0.0,0.1583541538343694,0.0,0.9977693252761312,0.0,0.0001604341963828754,0.0,0.6457294024154421,0.0,0.002162982855563323,0.0,3.8039998864804744e-07,0.0,0.05177051837452429,0.0,0.9999169683230072,0.0,0.017314768472287443,0.0,0.9989183575242699,0.0,0.001168319846483766,0.0,0.6866154310131821,0.0,0.9322946204604587,0.0,0.9564156909101384,0.0,0.9999999999999934,0.0,0.9975789791949033,0.0,0.001105202556176401,0.0,0.002731533029299302,0.0,0.9999996920661478,0.0,0.016838868166239647,0.0,0.000248810505813478,0.0,0.015157526459616027,0.0,4.6917222184634777e-07,0.0,0.9508771734622601,0.0,0.24697874777770218,0.0,2.0940455960699327e-06,1.0,0.0,0.0,0.006417469241855216,0.0,5.204872292057615e-07,0.0,4.935999106974821e-06,0.0,0.03153241015856867,0.0,9.862644364774781e-05,0.0,0.001026206414686328,0.0,0.25485390342581316
S-CPI,300,17.803926467895508,0.7568893637833598,0.0,0.19961658034408258,0.0,0.09703819082004334,1.0,0.00045341856392428024,0.0,0.9356666507157599,0.0,0.07829317025848671,0.0,0.1334333002634021,0.0,0.1308741315313569,0.0,0.2751224722914143,0.0,0.6876446908104895,0.0,0.8117380660885805,0.0,0.7309918182426708,0.0,0.49424232993473105,0.0,0.2079602625437122,0.0,0.5937178633543094,0.0,0.06370881349573838,0.0,0.6319319662167207,0.0,0.3649636974368455,0.0,0.7527002954546191,0.0,0.3358244726001385,0.0,0.9590637337519904,0.0,0.3010199700975479,0.0,0.20247106269588233,0.0,0.3852034918615278,0.0,0.849902409532397,0.0,0.09988536165690726,0.0,0.4786179571154318,0.0,0.7251041728620793,0.0,0.8438067185139875,0.0,0.9307986512058236,0.0,0.9217727211294193,0.0,0.9997205385999461,0.0,0.8387115240458082,0.0,0.1636367570150825,0.0,0.309037046854968,0.0,0.6975329142145151,0.0,0.3802755839433488,0.0,0.1157601649890283,0.0,0.843154028869842,0.0,0.48527583805918706,0.0,0.868838015255416,0.0,0.5782020672937873,0.0,0.21262210934595005,1.0,0.00022212736395576832,0.0,0.031121687211132922,0.0,0.09382157836664468,0.0,0.07110056560786275,0.0,0.6801086071656683,0.0,0.4265882473119824,0.0,0.06363406594423558,0.0,0.2725000360270331
S-CPI_sqrt,300,17.806304454803467,0.7568893637833598,0.0,0.4947289835289651,0.0,0.4985748302680288,1.0,0.10701513563837395,0.0,0.5063340872363786,0.0,0.49512868958894135,0.0,0.4972835029326915,0.0,0.4984723099172348,0.0,0.4974560494060896,0.0,0.49924375891641093,0.0,0.5012038670058965,0.0,0.5002974746119525,0.0,0.5021383532807453,0.0,0.4967537683766247,0.0,0.5009856880065128,0.0,0.4984313313095984,0.0,0.498749819710891,0.0,0.4954141850255459,0.0,0.5010153765562384,0.0,0.49940150145616513,0.0,0.5026992481680599,0.0,0.4999810967098077,0.0,0.4983328499540765,0.0,0.4993850941760219,0.0,0.5031999831040799,0.0,0.4985252330337436,0.0,0.49987154647450666,0.0,0.5002281531724109,0.0,0.5007648580877251,0.0,0.5001566042755129,0.0,0.5014660393309087,0.0,0.509323122578972,0.0,0.5034974915346304,0.0,0.4983145149194683,0.0,0.5000979517156634,0.0,0.5011812111522478,0.0,0.49946000477985936,0.0,0.4978452015091884,0.0,0.5012796355234697,0.0,0.4993254562561236,0.0,0.5038297993186864,0.0,0.5003162115372669,0.0,0.4984284418818192,1.0,0.24659517183422824,0.0,0.49816290894400933,0.0,0.4936513976674365,0.0,0.49848499750491426,0.0,0.5009951258438752,0.0,0.49848159142745885,0.0,0.49644092945968366,0.0,0.5001156821405407
S-CPI_n,300,17.796852350234985,0.7568893637833598,0.0,0.4710992867277202,0.0,0.4844646811980099,1.0,0.0026912830013772985,0.0,0.5360781987665965,0.0,0.45808141523889245,0.0,0.4873971354190162,0.0,0.4829954117953713,0.0,0.45792279463440927,0.0,0.4980970766913069,0.0,0.5113671645202251,0.0,0.5057220263135921,0.0,0.5128816215610583,0.0,0.474369169875822,0.0,0.5264084489551334,0.0,0.4772019656281324,0.0,0.48510499490522074,0.0,0.4699630798716176,0.0,0.5135626076254198,0.0,0.4944120287726697,0.0,0.5194657267492769,0.0,0.49441206403560223,0.0,0.48056443023266177,0.0,0.507203663624765,0.0,0.523846872802061,0.0,0.49549893980690035,0.0,0.5076562584909566,0.0,0.504053074690134,0.0,0.5049104102955576,0.0,0.5091469537133599,0.0,0.5102648163111557,0.0,0.5743712297740954,0.0,0.5357042485992441,0.0,0.4860355779398324,0.0,0.48913147366471493,0.0,0.5116892262754812,0.0,0.497751975476272,0.0,0.47750455961698357,0.0,0.5030580262291848,0.0,0.5132736680637312,0.0,0.5291955637674575,0.0,0.4966555469814074,0.0,0.48152702074611353,1.0,0.004890479539447365,0.0,0.4766438097530194,0.0,0.4393745396159125,0.0,0.4695666837862361,0.0,0.5079190087578523,0.0,0.5030252698808195,0.0,0.46644447362090624,0.0,0.4971642542839449
S-CPI_bt,300,18.008821725845337,0.7568893637833598,0.0,0.48213890886897015,0.0,0.48647194032746033,1.0,3.890120351553096e-41,0.0,0.5556952928982216,0.0,0.4645748091312843,0.0,0.48086618441042567,0.0,0.4759432893147378,0.0,0.45486552049032414,0.0,0.49813155253791913,0.0,0.5212667426291087,0.0,0.5084222204621982,0.0,0.5060773729705835,0.0,0.47791308147221256,0.0,0.5101401482187085,0.0,0.4784945993484175,0.0,0.5053784577071696,0.0,0.48002782934314103,0.0,0.5154757985216541,0.0,0.49607882083837573,0.0,0.5181976689096762,0.0,0.4898115071622832,0.0,0.4726761238533181,0.0,0.49326230167485374,0.0,0.5193979212203297,0.0,0.4876316362691696,0.0,0.5023646528952922,0.0,0.5083963570577437,0.0,0.5078779162681862,0.0,0.4970297044151297,0.0,0.5143229440680243,0.0,0.5872244270184626,0.0,0.5342454761860308,0.0,0.4720915559785697,0.0,0.48853655965957227,0.0,0.5120707299976012,0.0,0.4952414605865332,0.0,0.4885280137983639,0.0,0.5058649844218959,0.0,0.5097894112412994,0.0,0.5381709884705123,0.0,0.5011594472138183,0.0,0.47866970640651657,1.0,7.908625751451167e-23,0.0,0.4784028388917808,0.0,0.4521573020581903,0.0,0.46768671488119284,0.0,0.5297673979395365,0.0,0.5000235418232795,0.0,0.4682696466915377,0.0,0.4975670292166352
