method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,846.4095208644867,0.7889372646970789,0.0,0.999993877823244,0.0,0.9999968906743609,0.0,0.9903090238143551,0.0,0.007531654125416454,0.0,0.9462035029014247,0.0,0.40753229908803856,0.0,0.15527852094246242,0.0,0.01288639226268995,0.0,1.624256285026604e-13,1.0,1.1102230246251565e-16,0.0,0.48192384600043836,0.0,0.9999951136023449,0.0,2.610055527263455e-08,0.0,0.9932668629387618,0.0,0.0005397764221124479,0.0,0.017062125359877722,0.0,0.25904553912557415,0.0,0.9639660356805366,0.0,0.9999896091017271,0.0,0.007576292626092274,0.0,0.9999922619337638,0.0,0.9999965244738467,0.0,0.9998798831101811,0.0,0.4887198373034738,0.0,1.8880120031816716e-06,0.0,0.8959987961456408,0.0,1.9315008619180674e-05,1.0,1.1102230246251565e-16,0.0,0.4442732900852362,0.0,0.4441788898215915,0.0,0.5565258507497737,0.0,0.9877126924148165,0.0,0.999963986792657,0.0,0.9999999053234382,0.0,0.4025509760590287,0.0,1.0266261292302126e-05,0.0,0.9854550673633,0.0,0.8723655837015867,0.0,0.9999977403317355,0.0,0.010703367315118006,0.0,0.3811386193553704,0.0,0.9999999377266607,0.0,0.001238840027940502,0.0,0.0,0.0,0.20614122828510284,0.0,0.07935372749319614,0.0,0.0010155931240422023,0.0,0.678977256496306,0.0,7.74500141798029e-08,0.0,0.7985350734792009
CPI,300,16.283061504364014,0.7889372646970789,0.0,0.5296780942165698,0.0,0.7134052852637098,0.0,0.34601038210843793,0.0,0.2580123178708837,0.0,0.05462387200065934,0.0,0.27999570708075316,0.0,0.628204512806376,0.0,0.7973838702804178,0.0,0.9346847238700429,1.0,6.825997053481354e-05,0.0,0.08969176439209181,0.0,0.4538461914064667,0.0,0.39902839690329506,0.0,0.04975228061349271,0.0,0.7371024474958542,0.0,0.7202562887947752,0.0,0.5090161644010384,0.0,0.46543569720913297,0.0,0.934534360126338,0.0,0.8156066389972441,0.0,0.8892665356002538,0.0,0.9146881250555213,0.0,0.48059074791155965,0.0,0.7401081908550048,0.0,0.2767225892079519,0.0,0.7922647973696378,0.0,0.80704669546093,1.0,4.536798596202109e-06,0.0,0.9419006776546522,0.0,0.165557788148203,0.0,0.05301752705280712,0.0,0.5604907706177537,0.0,0.122905771213004,0.0,0.5551874385515717,0.0,0.3208790190559857,0.0,0.690822215005481,0.0,0.24384868359539613,0.0,0.921916921666056,0.0,0.32533157770336973,0.0,0.9555508343503147,0.0,0.9562315774239242,0.0,0.3495272312929453,0.0,0.14769471035428222,0.0,0.8948808771579955,0.0,0.7476363705840506,0.0,0.9016793338515947,0.0,0.9347876482484048,0.0,0.9786729422444683,0.0,0.6785001660487893,0.0,0.6617111010818096
CPI_sqrt,300,16.27026653289795,0.7889372646970789,0.0,0.49995567024972587,0.0,0.5007503444108153,0.0,0.4983619029613824,0.0,0.5062515671971999,0.0,0.497939911010063,0.0,0.5003968171067937,0.0,0.4933193497393288,0.0,0.5011765255234607,0.0,0.5001808926204376,1.0,0.2053642404489882,0.0,0.4984346205557301,0.0,0.500540123136556,0.0,0.4997357358993245,0.0,0.4975431181782003,0.0,0.5020685733721985,0.0,0.5002965364110286,0.0,0.5000404429120197,0.0,0.4978430139259498,0.0,0.505546989079578,0.0,0.4986911537192401,0.0,0.5002667958728234,0.0,0.5002118192394454,0.0,0.5046476236256583,0.0,0.4995536153889173,0.0,0.5015727517091303,0.0,0.5002656474810313,0.0,0.5005897407010115,1.0,0.09024386964808534,0.0,0.5005377465230592,0.0,0.5004363110601208,0.0,0.49764662054944087,0.0,0.5002391666812496,0.0,0.4998793343184117,0.0,0.5003705937838089,0.0,0.4984779933092226,0.0,0.5003703258951058,0.0,0.500246995276491,0.0,0.5005373477475078,0.0,0.4988256809140118,0.0,0.5025724869840079,0.0,0.5004341974327723,0.0,0.4998235088137496,0.0,0.5000718462194208,0.0,0.500791361263685,0.0,0.5027589387183846,0.0,0.4994330586920775,0.0,0.5024880768335588,0.0,0.5044253496592627,0.0,0.4987354285471299,0.0,0.5008985622003885
CPI_n,300,16.286471366882324,0.7889372646970789,0.0,0.4972533022837241,0.0,0.5372589099774115,0.0,0.4953115793253402,0.0,0.5290151544509415,0.0,0.48035879845798446,0.0,0.4907084581999364,0.0,0.44489817491878925,0.0,0.49923116628241715,0.0,0.4897077925227969,1.0,0.004533471291267671,0.0,0.4772539344021551,0.0,0.4982520746355173,0.0,0.5170770478566157,0.0,0.4905141266439897,0.0,0.5302616188254808,0.0,0.5043789619182568,0.0,0.5000697388450546,0.0,0.4651713633088689,0.0,0.5088349652742643,0.0,0.4856604399585148,0.0,0.520509570246046,0.0,0.5041055703779714,0.0,0.5029409454328254,0.0,0.485242100354136,0.0,0.542084066985091,0.0,0.5048800387956204,0.0,0.49834428032748845,1.0,0.00019628366888441314,0.0,0.5631646024037452,0.0,0.49523405704711504,0.0,0.4752231060881486,0.0,0.49663302854014363,0.0,0.5004141922378066,0.0,0.4965290677650666,0.0,0.48778311400735685,0.0,0.49941415388886373,0.0,0.4984898957912534,0.0,0.5055442929049165,0.0,0.46544656464418,0.0,0.5217369483957,0.0,0.5104668089939083,0.0,0.49101249093642574,0.0,0.4976672071444811,0.0,0.5001829597935966,0.0,0.5199586535291622,0.0,0.4904503274904926,0.0,0.554245315175699,0.0,0.5247783576459777,0.0,0.515217521132596,0.0,0.49708439213279076
CPI_bt,300,16.47378706932068,0.7889372646970789,0.0,0.5003577544923471,0.0,0.5010855283522375,0.0,0.4982798663439468,0.0,0.4969054553091139,0.0,0.4910973557059754,0.0,0.5091974296141598,0.0,0.4799657450584251,0.0,0.504365903439021,0.0,0.500007451280217,1.0,3.158648889266525e-59,0.0,0.4814139737573609,0.0,0.5064977772310691,0.0,0.5106648647002634,0.0,0.4928976214262382,0.0,0.5080447274097506,0.0,0.5097003085955996,0.0,0.5098539998421036,0.0,0.4962818521476081,0.0,0.518324216783987,0.0,0.5043809030312706,0.0,0.5206338012809398,0.0,0.49919546001577064,0.0,0.518980790803778,0.0,0.5149815724831738,0.0,0.5264032744265935,0.0,0.507774974243619,0.0,0.4598094867459048,1.0,1.8499911413730584e-58,0.0,0.5312999272039565,0.0,0.49727097627236655,0.0,0.47881939387847594,0.0,0.49596898178861526,0.0,0.4997002554586364,0.0,0.4996475638288647,0.0,0.46414412902493285,0.0,0.5055497963981913,0.0,0.5033971883360263,0.0,0.5083553342114036,0.0,0.46156085647315437,0.0,0.5418177344473324,0.0,0.509302761147927,0.0,0.5195404241956245,0.0,0.5105068779721642,0.0,0.5331042407444635,0.0,0.5289895175817902,0.0,0.48943246512159094,0.0,0.5624175479001262,0.0,0.5043767448131501,0.0,0.510274902347187,0.0,0.5382686222651365
CPI_sqd,300,16.46053910255432,0.7889372646970789,0.0,0.31713813476155106,0.0,0.9993493992329842,0.0,0.7971524454104741,0.0,0.9948979676349633,0.0,6.740449883159764e-13,0.0,0.9999585037511893,0.0,0.847406116826901,0.0,0.8678193333269516,0.0,0.9990308696324501,1.0,0.0,0.0,6.297290328701021e-06,0.0,0.9999981918095708,0.0,0.7943325109966437,0.0,7.990352838864574e-14,0.0,0.15843221583340722,0.0,0.9999780465998137,0.0,0.03740892229510471,0.0,1.0,0.0,0.9333030116120409,0.0,0.012058218922707852,0.0,0.9999993979481034,0.0,0.9478835602569274,0.0,0.9939821216936641,0.0,0.38065735818025503,0.0,0.9999548759851362,0.0,0.7280850480255081,0.0,3.496648390006897e-06,1.0,0.0,0.0,0.9999999968285496,0.0,0.18171861212707796,0.0,4.275911380951898e-07,0.0,0.036736921424576595,0.0,0.8297412156929653,0.0,0.7639173996099895,0.0,0.5161079974565901,0.0,0.5741154697117028,0.0,0.7284613592589962,0.0,0.8063405375130315,0.0,0.9998023526395046,0.0,0.8540518357117901,0.0,0.9932590979043667,0.0,0.8146864770053434,0.0,0.9997577763255424,0.0,0.9981105349152757,0.0,0.5362335956718309,0.0,0.13518410793452806,0.0,0.9999999999998097,0.0,0.9999999814279171,0.0,0.9999997622709621,0.0,0.9999999294049026
S-CPI,300,29.19507074356079,0.7889372646970789,0.0,0.6240442134264796,0.0,0.5092711301451744,0.0,0.27153919746462873,0.0,0.9200277568549555,0.0,0.034074806083491484,0.0,0.35829985632770206,0.0,0.127337430265821,0.0,0.8745149314961427,0.0,0.5573846606497225,1.0,0.0013723666772703252,0.0,0.03605889428272041,0.0,0.616818867222601,0.0,0.8858276803481611,0.0,0.09456367555866435,0.0,0.9549080170393023,0.0,0.9293499504798731,0.0,0.5088047746895337,0.0,0.6637628487591108,0.0,0.9600677452521357,0.0,0.6712845528197744,0.0,0.9525722320519721,0.0,0.5296845101004642,0.0,0.9648044379220702,0.0,0.6442340249900754,0.0,0.9435215199548189,0.0,0.37738155065102297,0.0,0.13582307035039415,1.0,3.282863759174541e-05,0.0,0.9098494757791462,0.0,0.23915118377622796,0.0,0.08668983666084151,0.0,0.2655207842503603,0.0,0.26228941865081756,0.0,0.489290441424797,0.0,0.3046444582069022,0.0,0.6043496732104826,0.0,0.8945475216668897,0.0,0.6313180407664556,0.0,0.264925134984469,0.0,0.7750492369890487,0.0,0.836496913637317,0.0,0.5887915060385813,0.0,0.3559736201496302,0.0,0.7249694727905355,0.0,0.8733092594500153,0.0,0.34388343748594274,0.0,0.957731054632017,0.0,0.9343514529418965,0.0,0.9590778744833075,0.0,0.6765944076843978
S-CPI_sqrt,300,29.210991144180298,0.7889372646970789,0.0,0.5001115372889039,0.0,0.501689945203601,0.0,0.49827294932625515,0.0,0.5093832635809378,0.0,0.4965755197185305,0.0,0.5012559688321947,0.0,0.49313339644617027,0.0,0.5002624142271782,0.0,0.49993110900855026,1.0,0.1796536359861074,0.0,0.4973234774955359,0.0,0.5009047347859408,0.0,0.5041023914482196,0.0,0.49744719667096976,0.0,0.5025481608399799,0.0,0.5021170094827369,0.0,0.5000102409120182,0.0,0.5032719752420424,0.0,0.5048022730803267,0.0,0.5002271917567936,0.0,0.5020722825731188,0.0,0.5006489436838989,0.0,0.5062414009582492,0.0,0.5009652536723114,0.0,0.5084692956933041,0.0,0.499974912064308,0.0,0.49880486997538237,1.0,0.07535756390197998,0.0,0.5049282457950041,0.0,0.4988094568369094,0.0,0.4967197377093356,0.0,0.49929640265635344,0.0,0.49973976720291985,0.0,0.5001388045060661,0.0,0.5015080711316959,0.0,0.5001780993894833,0.0,0.5006798047591465,0.0,0.49984908864500804,0.0,0.49945066824379486,0.0,0.503644968615382,0.0,0.5019676112946346,0.0,0.49939043844667946,0.0,0.5010620603430431,0.0,0.5024396593796935,0.0,0.505103637715334,0.0,0.4997931093796629,0.0,0.5073295142643144,0.0,0.5031703693532488,0.0,0.5015275818736848,0.0,0.5004317857943674
S-CPI_n,300,29.243976593017578,0.7889372646970789,0.0,0.5119324400854334,0.0,0.5148387888664234,0.0,0.4899281428576381,0.0,0.5844295540728627,0.0,0.4736607715964646,0.0,0.509334516645072,0.0,0.45661569152838477,0.0,0.5118419587693966,0.0,0.495823499060597,1.0,0.005565716186668346,0.0,0.4616783291488327,0.0,0.5117960791020535,0.0,0.5416602587396755,0.0,0.46853549512098286,0.0,0.5251307795469368,0.0,0.5116608878171587,0.0,0.4923281703109813,0.0,0.5158803021971996,0.0,0.5583082133008211,0.0,0.49744783451738206,0.0,0.5222033754593545,0.0,0.5021654155599333,0.0,0.5695869436475687,0.0,0.5279215053317033,0.0,0.576676552454909,0.0,0.4931653432838996,0.0,0.4788466261096643,1.0,0.007651824765960681,0.0,0.55666668467226,0.0,0.4953112238173381,0.0,0.4735431324441794,0.0,0.4946027846679723,0.0,0.49647208060115144,0.0,0.5001715190074995,0.0,0.5106843278819966,0.0,0.4994364102019447,0.0,0.5075130733741557,0.0,0.5047741616310824,0.0,0.491565478004927,0.0,0.5255849874140269,0.0,0.508010001067802,0.0,0.5075192425390791,0.0,0.5014473480721885,0.0,0.5252645665447365,0.0,0.5343017104232564,0.0,0.4943364354770418,0.0,0.5594427817915745,0.0,0.5290965594730408,0.0,0.5121213064258457,0.0,0.5228796504880678
S-CPI_bt,300,29.396294593811035,0.7889372646970789,0.0,0.5114239433124108,0.0,0.5222132750260823,0.0,0.4821277120118673,0.0,0.5701189306167392,0.0,0.467919720179199,0.0,0.4980406831561427,0.0,0.4646377435562118,0.0,0.49807243204551305,0.0,0.509494084797925,1.0,7.925290562106475e-34,0.0,0.4717926882995845,0.0,0.5111785408492137,0.0,0.5234706873930438,0.0,0.47481334547407783,0.0,0.5242093148613385,0.0,0.5141388906317864,0.0,0.49188724830670544,0.0,0.519416879324119,0.0,0.5500835110709337,0.0,0.5037449721242447,0.0,0.5239411604447036,0.0,0.5017008945920126,0.0,0.570312712569461,0.0,0.5271439435730779,0.0,0.6022173523428169,0.0,0.49879993536445283,0.0,0.4738191737123229,1.0,2.863367206903548e-51,0.0,0.5497938191938345,0.0,0.49072384515059503,0.0,0.47248687526141725,0.0,0.4973282582918612,0.0,0.49492169913594447,0.0,0.5018473289337059,0.0,0.5147726308868483,0.0,0.508756517529916,0.0,0.5080559973736687,0.0,0.5027161759245571,0.0,0.4998444012633206,0.0,0.5244215071336936,0.0,0.5148236110498516,0.0,0.48865424576133154,0.0,0.4940828386507542,0.0,0.5259455564984304,0.0,0.543815790065038,0.0,0.5054025446197228,0.0,0.5768557190262524,0.0,0.5397250898133175,0.0,0.5067415332330424,0.0,0.52392139978699
