method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.2759668827056885,0.7507273376400477,0.0,0.7157599063406834,0.0,0.004245915906177511,0.0,0.9996291819315068,1.0,1.6542323066914832e-13,0.0,6.408821593428815e-05,0.0,0.9238409387778671,0.0,0.9678798284031814,0.0,0.6519939255968052,0.0,0.8089981895515757,0.0,0.6111711155854991,0.0,0.3439450959215652,0.0,0.9929306611056391,0.0,0.26473236394528143,0.0,0.7146287993119753,1.0,0.00013732121799625574,0.0,0.46577691923565534,0.0,0.9971033352824976,0.0,0.6913763462356781,0.0,0.7635158382990048,0.0,0.9996920712268794,0.0,0.5595472188478869,0.0,0.38993047650343726,0.0,0.7042497698384352,0.0,0.451803996089969,0.0,0.6983183027262905,0.0,0.891165378096073,0.0,0.7064176402848872,0.0,0.8575387787107773,0.0,0.9418731139305787,0.0,6.56292276079995e-09,0.0,0.9973273039774908,0.0,0.44433488057336457,0.0,0.3080946608536992,0.0,0.1522041486531669,0.0,0.9919538091254725,0.0,0.8763244065375373,0.0,0.6755830351172984,0.0,0.5593870265852623,0.0,0.011685757832431642,0.0,0.8631498210038171,0.0,0.2470371010897764,0.0,0.1251414785030307,0.0,0.14001739720179351,0.0,0.00292314053228504,0.0,0.3421902134090199,0.0,0.9999444959565569,0.0,0.7356683609681306,0.0,0.18333320003164055,0.0,0.6686719620986159,0.0,0.007705845922864163
CPI,300,3.2487223148345947,0.7507273376400477,0.0,1.0,0.0,0.4522836608930764,0.0,0.9930360670997003,1.0,9.840730095950881e-07,0.0,1.0,0.0,0.2055597183315228,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6465047618109689,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.00012943563054602114,0.0,0.9239091427377505,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6876883004196885,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.31385747424950156,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5227276594370625,0.0,1.0,0.0,0.8420360962742903,0.0,1.0,0.0,1.0,0.0,0.8400304698537229,0.0,1.0,0.0,0.3985112687901086,0.0,1.0,0.0,0.28895463037158997
CPI_sqrt,300,3.2414395809173584,0.7507273376400477,0.0,0.5,0.0,0.48902139469863914,0.0,0.5012986287278083,1.0,0.15277381887407493,0.0,0.5,0.0,0.49994481547158404,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.503963552470181,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.21134786373073616,0.0,0.5025567590530847,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5040574619189112,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.496444344920955,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4999526824021625,0.0,0.5,0.0,0.503864414800301,0.0,0.5,0.0,0.5,0.0,0.495585213371771,0.0,0.5,0.0,0.4988466580566126,0.0,0.5,0.0,0.4986067162391575
CPI_n,300,3.239776611328125,0.7507273376400477,0.0,0.5,0.0,0.4829515636591405,0.0,0.5052412847826212,1.0,0.00058819563981238,0.0,0.5,0.0,0.5006317539721786,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5364750255479261,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.007028045126474853,0.0,0.5308443993013094,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5089280383725032,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.42652816707884317,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.49703191804904046,0.0,0.5,0.0,0.5198078322576929,0.0,0.5,0.0,0.5,0.0,0.47136597148911863,0.0,0.5,0.0,0.5007632831255266,0.0,0.5,0.0,0.5043270400061358
CPI_bt,300,3.4219276905059814,0.7507273376400477,0.0,0.5,0.0,0.5569784042624379,0.0,0.4998527924195101,1.0,7.814813755528374e-32,0.0,0.5,0.0,0.49995096902774583,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5423740835898638,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.4801958629991483e-26,0.0,0.5252059965649661,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5103801424520406,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.4824817501207132,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5041815672524369,0.0,0.5,0.0,0.5070385191766128,0.0,0.5,0.0,0.5,0.0,0.46457629958720803,0.0,0.5,0.0,0.4438818275706232,0.0,0.5,0.0,0.49151731574299184
CPI_sqd,300,3.419693946838379,0.7507273376400477,0.0,0.5,0.0,2.8575610112190514e-41,0.0,0.7920247424028702,1.0,0.0,0.0,0.5,0.0,0.4832554256580745,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.9999999996904956,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.9999999874754857,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.682423519544149,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.8535118546675949e-97,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.05168788747806744,0.0,0.5,0.0,0.9999999999999997,0.0,0.5,0.0,0.5,0.0,0.9328012307880561,0.0,0.5,0.0,0.0019660756636824743,0.0,0.5,0.0,5.390858916722914e-10
S-CPI,300,3.3405332565307617,0.7507273376400477,0.0,0.9782016837033061,0.0,0.19175246193797152,0.0,0.961076150836106,1.0,9.954997534880656e-06,0.0,0.9782016837033061,0.0,0.586445446069286,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9087568172503777,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,1.0,0.0002628908924222115,0.0,0.9460904804364219,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.8269105951535971,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.39641751856160456,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.6554981766845326,0.0,0.9782016837033061,0.0,0.8635082291915346,0.0,0.9782016837033061,0.0,0.9782016837033061,0.0,0.547364818507483,0.0,0.9782016837033061,0.0,0.24719388419128757,0.0,0.9782016837033061,0.0,0.5496646429596296
S-CPI_sqrt,300,3.3389830589294434,0.7507273376400477,0.0,0.5000000000000001,0.0,0.4925190317419825,0.0,0.5023097253638287,1.0,0.1334247697379446,0.0,0.5000000000000001,0.0,0.500004651592785,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5061746093635348,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.1460080325522759,0.0,0.5032391966132042,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5036951439507877,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.497823419608049,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5005268864361568,0.0,0.5000000000000001,0.0,0.5038728762602697,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5011233571503323,0.0,0.5000000000000001,0.0,0.4988250156618537,0.0,0.5000000000000001,0.0,0.497582476346958
S-CPI_n,300,3.3377933502197266,0.7507273376400477,0.0,0.5000000000000011,0.0,0.41084006257602335,0.0,0.5191356383560208,1.0,0.0006225999722002762,0.0,0.5000000000000011,0.0,0.49996281675594617,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5524801061623958,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,1.0,0.0007930636640586816,0.0,0.5253485268816414,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5361078981219558,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5187878566866246,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5029083228269638,0.0,0.5000000000000011,0.0,0.530741386005817,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.47361090194195693,0.0,0.5000000000000011,0.0,0.49140961832055113,0.0,0.5000000000000011,0.0,0.4937704647897517
S-CPI_bt,300,3.523239850997925,0.7507273376400477,0.0,0.5000000000000011,0.0,0.4317767538320289,0.0,0.5159206553439821,1.0,2.3344410013248016e-49,0.0,0.5000000000000011,0.0,0.4996683929507114,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5627183385549199,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,1.0,5.2169221514999584e-33,0.0,0.539934361451481,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5310036698022762,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.46822792466321006,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.5046929419702904,0.0,0.5000000000000011,0.0,0.5281939317413271,0.0,0.5000000000000011,0.0,0.5000000000000011,0.0,0.49922637208343024,0.0,0.5000000000000011,0.0,0.4377615131816145,0.0,0.5000000000000011,0.0,0.48080285225770936
