method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,81.23792624473572,0.6808091712388274,1.0,0.99995554902509,0.0,0.16703117171347293,0.0,0.004096612037271852,0.0,0.99991327453039,1.0,0.6777392363028609,0.0,0.577729578981968,0.0,0.7333924215879789,0.0,0.9996272609611309,1.0,0.9883881618739592,0.0,0.98737292137931,0.0,0.9907476057548227,0.0,0.00014784174669413286,1.0,0.3421323459045441,0.0,0.0006242869491936975,0.0,0.4051052062409688,0.0,0.9917358269478824,1.0,0.0006001950215417384,0.0,3.866023157161891e-08,0.0,0.9838233369960038,0.0,0.0021289540545045282,1.0,0.11386457371759606,0.0,0.9999997940674487,0.0,6.0216279740288314e-09,0.0,0.9999971937637703,1.0,0.9983783954062815,0.0,2.6399900564522127e-05,0.0,0.6661002173692296,0.0,0.17593274029630868,1.0,0.9992302249444395,0.0,0.9999283318696117,0.0,0.9760247159198463,0.0,0.9987110161974302,1.0,8.638242432468246e-08,0.0,0.36588400638488316,0.0,0.999563119543571,0.0,0.9432549224649336,1.0,0.9958006998021619,0.0,0.0012905421949233054,0.0,0.0027539049648804825,0.0,0.793764088251074,1.0,0.011478956163940901,0.0,6.307476048128535e-07,0.0,0.9998606123794097,0.0,0.900735297847385,1.0,0.2826258846916112,0.0,2.9389164457604977e-06,0.0,0.9705658184608111,0.0,0.000617599194898566,0.0,0.020013163242721732,0.0,0.5234351311549366
CPI,300,4.406477689743042,0.6808091712388274,1.0,0.047899923114820164,0.0,0.5480223234533466,0.0,0.5819051830361595,0.0,0.4296444301500633,1.0,0.0009580995587241219,0.0,0.7285961686653217,0.0,0.08862078454861472,0.0,0.4518575090653098,1.0,0.06317654380851158,0.0,0.968805935302483,0.0,0.029161992270554667,0.0,0.6854276200032979,1.0,0.031164233370774296,0.0,0.5519283611046621,0.0,0.8115761133333174,0.0,0.04939101393276476,1.0,0.31390912333389026,0.0,0.9555783870787551,0.0,0.713048715047897,0.0,0.7364823860175109,1.0,0.18614636533140666,0.0,0.8357975609436221,0.0,0.8807586702874541,0.0,0.9379667617480678,1.0,0.007475764770777545,0.0,0.2729961571281221,0.0,0.8257136972559881,0.0,0.8610753317133772,1.0,0.008821903450108356,0.0,0.9496664906599501,0.0,0.49367657843922397,0.0,0.8463562128165901,1.0,0.0009090961925363599,0.0,0.6991745018156236,0.0,0.5275310466786695,0.0,0.5493482934735524,1.0,0.12215820013334672,0.0,0.15566763736055939,0.0,0.5895671540733644,0.0,0.2910506923512094,1.0,0.0960676050138955,0.0,0.45863292412454026,0.0,0.9112682400258592,0.0,0.13118934077942263,1.0,0.05754043139825006,0.0,0.3559353979411105,0.0,0.6726076642063736,0.0,0.013410853699529423,0.0,0.2305832497810152,0.0,0.8142994833138242
CPI_sqrt,300,4.386975049972534,0.6808091712388274,1.0,0.2810720062324531,0.0,0.47143306859474937,0.0,0.516102220458031,0.0,0.4892980959373044,1.0,0.20380844906828255,0.0,0.5482570233858629,0.0,0.47831669668735344,0.0,0.4925988361383293,1.0,0.28074448190601803,0.0,0.5389555211865016,0.0,0.49792187743284777,0.0,0.4746203500733845,1.0,0.34892458133965226,0.0,0.4884869449455354,0.0,0.4973208121917233,0.0,0.3873989497231798,1.0,0.2887070395996294,0.0,0.5454381238227969,0.0,0.47782776904606356,0.0,0.5523079692751043,1.0,0.6356088925773759,0.0,0.45490664718353346,0.0,0.5330504031004396,0.0,0.5248674194699506,1.0,0.2905933179014456,0.0,0.5136724952652418,0.0,0.5073819605821379,0.0,0.5533172541262461,1.0,0.28020741859856235,0.0,0.5189062857609025,0.0,0.4996044441800034,0.0,0.4647971358160888,1.0,0.1050553675134393,0.0,0.49878987688849774,0.0,0.5437581067908479,0.0,0.5032320263450197,1.0,0.13972511834569912,0.0,0.4530907965008837,0.0,0.5183828598283988,0.0,0.37456294531247436,1.0,0.4677871238249107,0.0,0.4015443185699303,0.0,0.5483054940251095,0.0,0.4817992026416917,1.0,0.3648752259237107,0.0,0.47259428454582075,0.0,0.5171424373262998,0.0,0.49204029681322764,0.0,0.48124569377139326,0.0,0.5040106403482607
CPI_n,300,4.391162157058716,0.6808091712388274,1.0,0.4332360677377855,0.0,0.569797444293297,0.0,0.4395852061330908,0.0,0.42427972770900035,1.0,0.061181539319842236,0.0,0.6539235774615422,0.0,0.17278094364875918,0.0,0.46044641398689057,1.0,0.12906386478939152,0.0,0.8398392761429905,0.0,0.4543506572645137,0.0,0.47415040644715134,1.0,0.1009791078668012,0.0,0.54446982962759,0.0,0.5900988195240916,0.0,0.18657404703031005,1.0,0.08313213539349457,0.0,0.6380461271474991,0.0,0.4108225831106467,0.0,0.7250560562647663,1.0,0.6889325804647431,0.0,0.690807814569594,0.0,0.6831962618327769,0.0,0.6190182314129898,1.0,0.020430155059999466,0.0,0.19923898892891267,0.0,0.6384497988533394,0.0,0.7067912607243801,1.0,0.01571147215016382,0.0,0.4081950633178442,0.0,0.4695008469344829,0.0,0.3606993486420044,1.0,0.006401308616058826,0.0,0.4964180067499478,0.0,0.3774321111653011,0.0,0.4995483053053932,1.0,0.008749377048280431,0.0,0.31125561271025926,0.0,0.500651249332148,0.0,0.4085037826752837,1.0,0.33907622187563635,0.0,0.37623307792957383,0.0,0.6842861905717893,0.0,0.30700631031536035,1.0,0.058140243660975706,0.0,0.5964895719509674,0.0,0.6408364878733139,0.0,0.43672109079397364,0.0,0.5377177045867783,0.0,0.4850433585662008
CPI_bt,300,4.648437261581421,0.6808091712388274,1.0,0.36125387667611497,0.0,0.340497863139949,0.0,0.4938914693294686,0.0,0.4303398102661272,1.0,1.0429489555531864e-06,0.0,0.5837616245324044,0.0,0.30255064658736874,0.0,0.41275548027746406,1.0,0.0002997336067447997,0.0,0.9996607622886567,0.0,0.5314546701461316,0.0,0.49268209459470386,1.0,0.00017961457716540537,0.0,0.4139438273347329,0.0,0.5434563198481457,0.0,0.8599945957638289,1.0,0.006308106089324214,0.0,0.16456886168851137,0.0,0.668842533184132,0.0,0.9591183872692312,1.0,0.20073936191188407,0.0,0.6574452579986068,0.0,0.231308884090565,0.0,0.9128727194811768,1.0,0.00018759067312532743,0.0,0.10951187210366653,0.0,0.5990547322893615,0.0,0.7246583845753799,1.0,0.00017912972112443706,0.0,0.4938728173976123,0.0,0.5144080453660236,0.0,0.48603133911923885,1.0,5.764332595520306e-05,0.0,0.33032738271669365,0.0,0.6027646035138947,0.0,0.4872954544351389,1.0,0.009129064610728812,0.0,0.34710058759952317,0.0,0.4528594316706339,0.0,0.32085560404545765,1.0,0.5154320544561775,0.0,0.08395483773288048,0.0,0.8603501391885158,0.0,0.7846147384535598,1.0,0.030632330406278205,0.0,0.7816651192435864,0.0,0.5362887681635325,0.0,0.4947059448648513,0.0,0.3697082771678647,0.0,0.5310995864931011
CPI_sqd,300,4.692232370376587,0.6808091712388274,1.0,1.174877633072377e-09,0.0,0.9999999999990478,0.0,0.9980545628040833,0.0,8.524511545964379e-18,1.0,3.049126925269206e-15,0.0,1.0,0.0,7.167383614478806e-12,0.0,1.0170335876274317e-16,1.0,2.509857832405927e-06,0.0,1.0,0.0,5.1122948864350925e-05,0.0,0.08353442659755783,1.0,5.030148065615019e-12,0.0,7.7259107274544755e-25,0.0,1.0,0.0,0.9587378819679631,1.0,4.408283836544501e-05,0.0,1.0,0.0,7.954980934260332e-06,0.0,1.0,1.0,0.5046892239037124,0.0,1.0482462466277516e-10,0.0,7.477017046302646e-15,0.0,1.0,1.0,7.896128910002581e-19,0.0,9.323651783781078e-08,0.0,0.9999999573038653,0.0,1.0,1.0,0.022959036287006566,0.0,0.9999930985696278,0.0,2.2462861070635146e-08,0.0,1.0,1.0,3.3439848038063387e-16,0.0,1.0,0.0,0.9264846576479825,0.0,1.0,1.0,0.007338515144417113,0.0,0.0066157371957377325,0.0,0.9997376223801627,0.0,8.909736586271922e-44,1.0,0.0034402459805856034,0.0,5.559771921992408e-06,0.0,1.0,0.0,4.800351343932627e-20,1.0,2.6094413551810635e-27,0.0,1.3268899333205384e-05,0.0,1.0,0.0,1.0,0.0,5.564142135282956e-78,0.0,0.9999758700949527
S-CPI,300,4.8545660972595215,0.6808091712388274,1.0,0.35400061648970393,0.0,0.2155043465070513,0.0,0.46708853990859384,0.0,0.5901791772426608,1.0,0.06804147408304287,0.0,0.9408783038489432,0.0,0.3065917596237386,0.0,0.23784828250653933,1.0,0.04536572247006556,0.0,0.9819417295546039,0.0,0.5445384550707297,0.0,0.546107959705665,1.0,0.054998737845033514,0.0,0.6080029939213496,0.0,0.8264338879361012,0.0,0.2560590136771281,1.0,0.03972142243835022,0.0,0.7811955480508117,0.0,0.43792699401760354,0.0,0.9100667224469279,1.0,0.6632573053810177,0.0,0.8982988571774634,0.0,0.12021906394491766,0.0,0.8943632033641864,1.0,0.019365987525460582,0.0,0.1537857332352936,0.0,0.7486194173617381,0.0,0.6328134457239896,1.0,0.028276900252540742,0.0,0.5366269037103466,0.0,0.4668759981399971,0.0,0.9179065364042815,1.0,0.001080518614247384,0.0,0.4479656361136773,0.0,0.6604706011542547,0.0,0.8672699782707765,1.0,0.06639694657859765,0.0,0.1337765901357339,0.0,0.24137028817098166,0.0,0.0787340067961933,1.0,0.6374298483331569,0.0,0.5644310601920546,0.0,0.8727680712045129,0.0,0.41460358469152425,1.0,0.01622757922256706,0.0,0.48409330751285556,0.0,0.861549617667828,0.0,0.229455094941939,0.0,0.32321416603395847,0.0,0.6203670189273339
S-CPI_sqrt,300,4.820642948150635,0.6808091712388274,1.0,0.415697126711292,0.0,0.4865011560168705,0.0,0.5056013424777803,0.0,0.4997612454243678,1.0,0.23735307428213798,0.0,0.5470180261998235,0.0,0.48250609323571386,0.0,0.49744740896038653,1.0,0.24167506882424056,0.0,0.7032823276173974,0.0,0.4963920049445733,0.0,0.4980860034740765,1.0,0.30587166444608277,0.0,0.4896529596511469,0.0,0.5154630167416633,0.0,0.42897777630252876,1.0,0.18305511166307598,0.0,0.5105416942878241,0.0,0.5349144475807595,0.0,0.5716697608294528,1.0,0.5663393649184811,0.0,0.5461282966964575,0.0,0.4877198549845483,0.0,0.5762331117027205,1.0,0.19231121553508151,0.0,0.4611634433729284,0.0,0.5265163286128234,0.0,0.5023873479067728,1.0,0.2637149609545682,0.0,0.5023727234088604,0.0,0.4805145543587016,0.0,0.5370778227580565,1.0,0.08693472818562259,0.0,0.49866313331262946,0.0,0.5291682291707027,0.0,0.5181041219705745,1.0,0.19628016745568505,0.0,0.4334262223483746,0.0,0.5154986005918478,0.0,0.4443788430580138,1.0,0.49158576958150013,0.0,0.4843253773533017,0.0,0.5862069223697066,0.0,0.4829036357315231,1.0,0.2861674461876002,0.0,0.4943886989229194,0.0,0.5139776080317093,0.0,0.4954520013094522,0.0,0.4908770558612995,0.0,0.5077214684202023
S-CPI_n,300,4.820513010025024,0.6808091712388274,1.0,0.38614498037383393,0.0,0.4328497695787255,0.0,0.6069397953956409,0.0,0.5329130345757719,1.0,0.016897868850275343,0.0,0.7728724722851232,0.0,0.289944025089241,0.0,0.4340949436980082,1.0,0.1016798353687488,0.0,0.9583099045164414,0.0,0.5137047641640586,0.0,0.5323272406395869,1.0,0.04421515827847946,0.0,0.4200617841280956,0.0,0.5920624858403224,0.0,0.5067256984863544,1.0,0.06410391182340502,0.0,0.6755671184151804,0.0,0.6584919917823294,0.0,0.7626839223744657,1.0,0.47585507086441853,0.0,0.7195481493274948,0.0,0.31888279780798057,0.0,0.7628127268044016,1.0,0.0209727397737125,0.0,0.5887810178330876,0.0,0.6741992253500317,0.0,0.7073694043841521,1.0,0.029612333861446304,0.0,0.4612558276870639,0.0,0.5017483907700722,0.0,0.5852828075122355,1.0,0.000978653768744703,0.0,0.44640827672534356,0.0,0.6709658797112447,0.0,0.5713248528652302,1.0,0.06025772103632005,0.0,0.26243276808882876,0.0,0.5281984715974128,0.0,0.18723147881612778,1.0,0.5695559762457092,0.0,0.6283708475452348,0.0,0.853092894061904,0.0,0.3605323782556909,1.0,0.0734132256923133,0.0,0.46779774077284364,0.0,0.5996807142325284,0.0,0.4796237871437432,0.0,0.36621704554641243,0.0,0.5394378711741545
S-CPI_bt,300,4.999863624572754,0.6808091712388274,1.0,0.38820749351938927,0.0,0.4292055947094022,0.0,0.45756762776435944,0.0,0.48690474436790093,1.0,0.00921793537208381,0.0,0.9359899707795503,0.0,0.4285254752305457,0.0,0.4679268037585595,1.0,0.018132246835121976,0.0,0.9999990020133067,0.0,0.4556545782987087,0.0,0.8527618385102145,1.0,0.005029791707952877,0.0,0.40752438741313024,0.0,0.6144781475482668,0.0,0.07285403662450443,1.0,0.012728738634186668,0.0,0.9014737496399483,0.0,0.9574354052545185,0.0,0.9436727097968932,1.0,0.9207773459843854,0.0,0.9591937701453906,0.0,0.1294663195074081,0.0,0.9492858462068823,1.0,1.4638142002227046e-05,0.0,0.2633047611807703,0.0,0.8823404433220643,0.0,0.7931168832708922,1.0,0.00010233014788942196,0.0,0.7058435489408657,0.0,0.5798500341377871,0.0,0.6726370926316007,1.0,5.3605539674116993e-08,0.0,0.667593215271323,0.0,0.5967407771764803,0.0,0.6558992104526505,1.0,0.003078028112864144,0.0,0.0440421615125597,0.0,0.4055589724510485,0.0,0.027951822128505784,1.0,0.418973691449751,0.0,0.3064243413802018,0.0,0.9842682751947824,0.0,0.2850472976689699,1.0,6.471809752404063e-05,0.0,0.4925295002423386,0.0,0.6217064201398574,0.0,0.43760806757290865,0.0,0.3597074859749073,0.0,0.5410016553674803
