method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,32.48830819129944,0.8993910627625903,1.0,0.6869996367998606,0.0,0.7724609632803028,0.0,0.8781626790165549,0.0,0.6866908119526733,1.0,0.7446320748774593,0.0,0.8025476474842499,0.0,0.576272937912202,0.0,0.5835068894138387,1.0,0.6942845558103691,0.0,0.8265040136557196,0.0,0.4812527176643737,0.0,0.7361110833553076,1.0,0.8756584171324067,0.0,0.47551923621473724,0.0,0.7619864728990653,0.0,0.5212294899623408,1.0,0.803328041743459,0.0,0.7307173287300615,0.0,0.6002501362518813,0.0,0.1311872519822923,1.0,0.7952733529165703,0.0,0.5153442689098573,0.0,0.8696621945556748,0.0,0.6647385256918643,1.0,0.8009655440969766,0.0,0.7109113827657692,0.0,0.4513904834938576,0.0,0.6399494437888473,1.0,0.3425656571427028,0.0,0.6153741501909081,0.0,0.6456144696026754,0.0,0.726366604324332,1.0,0.869719995364658,0.0,0.27693111044841046,0.0,0.692666140855601,0.0,0.7799081122430376,1.0,0.9317985327185921,0.0,0.4909038747490069,0.0,0.6251669793764061,0.0,0.7346587328703016,1.0,0.4583350235733643,0.0,0.7531450833056104,0.0,0.7525643122589194,0.0,0.5775785792287038,1.0,0.753237248964375,0.0,0.7575681870839235,0.0,0.7332372265149905,0.0,0.7424353416042279,0.0,0.5023885427381347,0.0,0.8556769234064014
CPI,300,4.12890887260437,0.8993910627625903,1.0,0.0001177622718242275,0.0,0.6282872301493102,0.0,0.8172098933006613,0.0,0.06323845071590485,1.0,0.00044969704447413107,0.0,0.44803659601005963,0.0,0.5488660729306237,0.0,0.5421235082346537,1.0,0.0001533144320481928,0.0,0.958627219668739,0.0,0.8059953036096711,0.0,0.5338571943717172,1.0,0.0033432739578993643,0.0,0.5013323779990296,0.0,0.6804581871093507,0.0,0.016804933696021235,1.0,1.1657006868421054e-05,0.0,0.5293910780153428,0.0,0.5016664654896509,0.0,0.8747779053420549,1.0,0.021525555690382666,0.0,0.5874071107730511,0.0,0.6444165540387533,0.0,0.6185565346245002,1.0,8.775677742810505e-05,0.0,0.4252402636939663,0.0,0.03445825145595091,0.0,0.666771015868876,1.0,0.0026614587358357584,0.0,0.7475269976280998,0.0,0.5837676204051647,0.0,0.04572875914119076,1.0,0.008059048055187173,0.0,0.7189276845364153,0.0,0.9893918792268036,0.0,0.45430550657784424,1.0,0.009341664545879574,0.0,0.47614249451274376,0.0,0.858332621365361,0.0,0.15056897589408086,1.0,0.0010200127355748383,0.0,0.11352256969771535,0.0,0.23206435462443165,0.0,0.9285626908207486,1.0,0.00015777953834748623,0.0,0.892461985270482,0.0,0.5748260746549303,0.0,0.09649651877995619,0.0,0.9900036028332204,0.0,0.7688948358155383
CPI_sqrt,300,4.1056296825408936,0.8993910627625903,1.0,0.1133832639937617,0.0,0.4782955886424839,0.0,0.5212161538123954,0.0,0.4779964695431878,1.0,0.10060515590318947,0.0,0.5071496138096419,0.0,0.5205466785365646,0.0,0.5303536963274247,1.0,0.12972252159606834,0.0,0.5492654490691443,0.0,0.49340277785149705,0.0,0.49924233754024605,1.0,0.2110623431700943,0.0,0.5006870628769918,0.0,0.47661389537447285,0.0,0.440296034215204,1.0,0.08093238935644792,0.0,0.49571553554950293,0.0,0.4674650918353249,0.0,0.5309559899229604,1.0,0.2939542718372535,0.0,0.44949259637024636,0.0,0.508215252183024,0.0,0.5716327180711369,1.0,0.12707254254473055,0.0,0.4906164595797817,0.0,0.4630320693490494,0.0,0.5192241860301916,1.0,0.14536083664008181,0.0,0.535242315844872,0.0,0.4978957475814295,0.0,0.45508248565908055,1.0,0.24226974549898445,0.0,0.4867761749560978,0.0,0.497051157700817,0.0,0.46995453133705223,1.0,0.1747812937113638,0.0,0.5122080746954019,0.0,0.5740705277557012,0.0,0.5320047181918609,1.0,0.23258001428654174,0.0,0.49571266628644206,0.0,0.4292036655759026,0.0,0.5096003670260121,1.0,0.15719837940195752,0.0,0.5196178660329135,0.0,0.5047453732562999,0.0,0.4525784324916205,0.0,0.5072385798819556,0.0,0.560172930003591
CPI_n,300,4.105880498886108,0.8993910627625903,1.0,0.0005956213371673954,0.0,0.4835226887949343,0.0,0.6437702203077357,0.0,0.2915818477124924,1.0,0.010992263775836009,0.0,0.7034865583130423,0.0,0.5608770679555818,0.0,0.6175958119451667,1.0,0.008984434120433335,0.0,0.7104020608433516,0.0,0.6453005286553781,0.0,0.5376645219638713,1.0,0.00967311574492129,0.0,0.5684211640056656,0.0,0.344039518259981,0.0,0.3269015028317507,1.0,0.00015025599584407408,0.0,0.5482834935950235,0.0,0.421126704269461,0.0,0.5748183775495654,1.0,0.1083724751745404,0.0,0.49874516682413356,0.0,0.5175705979699824,0.0,0.7277355665445172,1.0,8.673030989700147e-05,0.0,0.5048036661189576,0.0,0.31800710843703617,0.0,0.41549511260300465,1.0,0.0026377887826000463,0.0,0.6782585599406494,0.0,0.3706549476996586,0.0,0.2000383354232192,1.0,0.004351641806867836,0.0,0.32023556930696234,0.0,0.6694924683922752,0.0,0.46877618577698876,1.0,0.004685374632784925,0.0,0.47522942377654237,0.0,0.6624636436011486,0.0,0.2905495377470264,1.0,0.016241290903367282,0.0,0.6084122567261108,0.0,0.4087393470441233,0.0,0.3030774994855595,1.0,0.0014656127479932232,0.0,0.5708913736741922,0.0,0.7902670142370474,0.0,0.35727182399710355,0.0,0.6377735961587175,0.0,0.6066830200303298
CPI_bt,300,4.290006399154663,0.8993910627625903,1.0,2.1266251140691504e-10,0.0,0.4500844931266644,0.0,0.8484066222864627,0.0,0.09757767535180811,1.0,1.1102620793283497e-08,0.0,0.703100993108158,0.0,0.5682383746663897,0.0,0.2920355234044306,1.0,7.078618886105384e-14,0.0,0.4667001598528563,0.0,0.3483547994524965,0.0,0.7005542323051686,1.0,5.709166857810821e-13,0.0,0.7793467643224574,0.0,0.6618227015438821,0.0,0.22155254037243705,1.0,1.207163778754297e-11,0.0,0.622251909356395,0.0,0.12881003998069201,0.0,0.47025408157299803,1.0,2.961012873948859e-05,0.0,0.5932664615100242,0.0,0.6942883818839324,0.0,0.9152576847691877,1.0,7.10610596118678e-11,0.0,0.5177125151800485,0.0,0.4204495107270143,0.0,0.4804646760671454,1.0,6.103436426554899e-10,0.0,0.7859747663661447,0.0,0.4799007856775504,0.0,0.1871575101837049,1.0,1.9535346559486346e-06,0.0,0.7073140628357462,0.0,0.4351441463567278,0.0,0.21100840715204056,1.0,3.525385995252383e-05,0.0,0.3573409364148213,0.0,0.8455457013579595,0.0,0.13086806422654457,1.0,2.509896244433538e-16,0.0,0.20435412630616223,0.0,0.19012408200774605,0.0,0.7833665332375535,1.0,3.6084660467901835e-13,0.0,0.9355398947655599,0.0,0.695258840925667,0.0,0.10577904328230364,0.0,0.715411161041199,0.0,0.6165782105979755
CPI_sqd,300,4.288061618804932,0.8993910627625903,1.0,5.919327622735708e-58,0.0,5.2493424985867295e-21,0.0,1.0,0.0,1.216073342817201e-07,1.0,2.2196107504164997e-26,0.0,3.7617174963015427e-34,0.0,0.9999999965793858,0.0,1.0,1.0,3.7881383317388045e-23,0.0,1.0,0.0,9.324076343690476e-39,0.0,0.13430578578190777,1.0,1.2773719533161693e-46,0.0,1.5550177835858378e-123,0.0,0.7401216081459063,0.0,5.51027388588257e-180,1.0,6.184261235850662e-41,0.0,1.0,0.0,5.82368980889596e-61,0.0,1.0,1.0,2.687310440193782e-43,0.0,1.0,0.0,1.0,0.0,0.6792959386336916,1.0,2.552797963315307e-89,0.0,1.2778984187203573e-09,0.0,0.00015925168996477025,0.0,0.008576752619486741,1.0,8.44511132442682e-37,0.0,1.4896406175713e-10,0.0,1.0,0.0,2.1423860107001383e-05,1.0,2.6869222909753035e-34,0.0,2.2651518330236074e-15,0.0,0.999999715751039,0.0,3.698658776584497e-54,1.0,9.610015092253409e-127,0.0,0.0025638718426023283,0.0,1.0,0.0,1.0518230689892311e-21,1.0,1.241680456301902e-17,0.0,9.819774042855539e-17,0.0,1.6349882935877043e-63,0.0,1.0,1.0,2.693008677703487e-35,0.0,0.9678219902696419,0.0,2.2214704054641466e-46,0.0,8.802906057615507e-56,0.0,0.9999999999554856,0.0,1.0
S-CPI,300,4.288141489028931,0.8993910627625903,1.0,0.0015082226273961808,0.0,0.8187086017219507,0.0,0.8829634692013019,0.0,0.4649870689500687,1.0,0.0007428637117989391,0.0,0.6539205449533282,0.0,0.9405246054638723,0.0,0.28655979917760366,1.0,0.0022715668262883923,0.0,0.973047298132836,0.0,0.2949635400277379,0.0,0.7847269617096323,1.0,0.015467316508999358,0.0,0.7946023488912483,0.0,0.774745727071342,0.0,0.19980444835255473,1.0,0.00015003698478767064,0.0,0.9357467193293731,0.0,0.12983142489174887,0.0,0.9643767000724862,1.0,0.0045498675407203955,0.0,0.5120102529621466,0.0,0.9158281370911292,0.0,0.9586908071517892,1.0,0.0011906074554008834,0.0,0.19611820312151884,0.0,0.21421349927651628,0.0,0.5037434510244082,1.0,0.005330234096709429,0.0,0.933785411653681,0.0,0.8387877596388167,0.0,0.372213380909179,1.0,0.0015277966493329681,0.0,0.9086994625090783,0.0,0.7435411624162008,0.0,0.20357091710171837,1.0,0.006740245273587443,0.0,0.6487883300596529,0.0,0.9145108972438007,0.0,0.48205955478619217,1.0,0.00831321910809666,0.0,0.6062849248352138,0.0,0.46411364777279646,0.0,0.8690188318362085,1.0,0.0007525349420801818,0.0,0.8984267915079118,0.0,0.8587859680367613,0.0,0.12662423846542714,0.0,0.8365406543496858,0.0,0.8959926835290222
S-CPI_sqrt,300,4.285319805145264,0.8993910627625903,1.0,0.11898979317959868,0.0,0.516489642621608,0.0,0.5502994125076854,0.0,0.5176085699574707,1.0,0.1778208386004546,0.0,0.5389403835897183,0.0,0.5282164150480901,0.0,0.5183653185899243,1.0,0.15250914454760672,0.0,0.5632238643065708,0.0,0.48378466084215227,0.0,0.5186047564942946,1.0,0.20976449832908478,0.0,0.5531277074204949,0.0,0.5348851157647239,0.0,0.47132817384245795,1.0,0.06902526257824855,0.0,0.5528452164535372,0.0,0.5083027094449561,0.0,0.565484733833936,1.0,0.3532767187686209,0.0,0.48887884312368246,0.0,0.5653464482472527,0.0,0.58902625277866,1.0,0.1023867844732611,0.0,0.4738428679794309,0.0,0.4508841118506135,0.0,0.5129173689821448,1.0,0.15475637339763215,0.0,0.5477839998229226,0.0,0.5380746008429989,0.0,0.4982523791552801,1.0,0.1704925071802541,0.0,0.5457724545157072,0.0,0.532328084415462,0.0,0.45154037811383485,1.0,0.19655004497618161,0.0,0.522173844993693,0.0,0.5815484295072335,0.0,0.4955723439182888,1.0,0.19904369964657043,0.0,0.517485420125168,0.0,0.48741547490362874,0.0,0.5427421454442505,1.0,0.10332145135760246,0.0,0.5563259053310938,0.0,0.5564840596947335,0.0,0.4617561628236896,0.0,0.5409651285640977,0.0,0.5846117466896186
S-CPI_n,300,4.274737119674683,0.8993910627625903,1.0,0.002767643693019545,0.0,0.6521752783783067,0.0,0.847820052016179,0.0,0.5330940132643738,1.0,0.0010488564073276602,0.0,0.6004567379898075,0.0,0.6469802370439296,0.0,0.5501899308966912,1.0,0.009435628974774615,0.0,0.8675735931442519,0.0,0.5137355680310294,0.0,0.7503364234753456,1.0,0.033024852843090084,0.0,0.6630830263553904,0.0,0.6908329145318809,0.0,0.28582496683574454,1.0,0.0022749771135195736,0.0,0.7270018193529423,0.0,0.5282940026211544,0.0,0.8247619347773893,1.0,0.023210422068547096,0.0,0.4532791650197899,0.0,0.7237394648681612,0.0,0.8443673756770427,1.0,0.0015154841175172456,0.0,0.45540680910532505,0.0,0.29852914511395956,0.0,0.5853014226965063,1.0,0.02462704359387068,0.0,0.7896687913177433,0.0,0.6723415189329588,0.0,0.39991478030179317,1.0,0.00628102654840813,0.0,0.7776755912671012,0.0,0.6021589327181145,0.0,0.32670718581847763,1.0,0.04726212344830875,0.0,0.6964531467898332,0.0,0.810829882008577,0.0,0.6661498312688616,1.0,0.02249214546153286,0.0,0.5939681430080896,0.0,0.4415130079247188,0.0,0.693829621714489,1.0,0.009138337748111416,0.0,0.7772747798557007,0.0,0.6682531013769081,0.0,0.43437239524769256,0.0,0.7177495671376367,0.0,0.8175819119138251
S-CPI_bt,300,4.462646722793579,0.8993910627625903,1.0,6.138012079485305e-12,0.0,0.6959044320907866,0.0,0.9596869998379748,0.0,0.44345926967948596,1.0,3.882194780980466e-08,0.0,0.7520106722537737,0.0,0.6999620870926253,0.0,0.3538335261341457,1.0,2.3172065090859024e-05,0.0,0.9421953234732691,0.0,0.5448894637997371,0.0,0.7688077130853368,1.0,3.87159793406276e-06,0.0,0.818888697836604,0.0,0.7566829398510784,0.0,0.23472776087245195,1.0,1.3113438712181789e-08,0.0,0.981863006918275,0.0,0.2279141381707216,0.0,0.9808143638015253,1.0,2.8870359151397827e-05,0.0,0.29047322035770484,0.0,0.8799161112921408,0.0,0.924549121005992,1.0,1.331980993807696e-05,0.0,0.44288636191070646,0.0,0.17687672046654018,0.0,0.6317501694093028,1.0,6.767760772382721e-06,0.0,0.992267935071581,0.0,0.734372263274305,0.0,0.45925310432233873,1.0,1.2579969070163893e-10,0.0,0.8623225786337935,0.0,0.6434890517039533,0.0,0.20676070959108567,1.0,5.442137916289434e-07,0.0,0.766113871916245,0.0,0.927859853384295,0.0,0.6201838411233552,1.0,7.581153331086613e-07,0.0,0.5018261924761228,0.0,0.6675693419588387,0.0,0.8914099730494355,1.0,4.156109543890855e-09,0.0,0.9263056898110045,0.0,0.8944377119588983,0.0,0.26813262548010597,0.0,0.9431961714484614,0.0,0.9252578200039714
