method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,124.88685512542725,0.5165911992587775,1.0,0.7884660758575027,0.0,0.5249260271361962,0.0,0.1354389054109515,0.0,0.7199897266588268,1.0,0.7595451545178105,0.0,0.2931452851843893,0.0,0.8248755709138476,0.0,0.8869980676790465,1.0,0.8998266298344768,0.0,0.05220530459864403,0.0,0.048432096269508174,0.0,0.5288053469073308,1.0,0.2899675356772,0.0,0.4505402931849619,0.0,0.2513206420414529,0.0,0.012198375016331253,1.0,0.06456170671459038,0.0,0.05805250791607286,0.0,0.09842094178492145,0.0,0.9941763242796462,1.0,0.0002937038347985421,0.0,0.5211897867436144,0.0,9.611817997634553e-06,0.0,0.8978549157279825,1.0,0.848156940114429,0.0,0.2945643941597025,0.0,0.9986640431496692,0.0,0.3225944762967454,1.0,0.6830925380613558,0.0,0.9917392127277431,0.0,0.6226019187622202,0.0,0.9929107226515522,1.0,0.7082779748234289,0.0,0.9983044614689297,0.0,0.00011475746202571635,0.0,0.7467095134012387,1.0,0.04801229632465498,0.0,0.3123661176998145,0.0,0.8404367044265258,0.0,0.8270552253255528,1.0,0.055879591672353235,0.0,0.21025931444352597,0.0,0.44407682921617275,0.0,0.3824347954488623,1.0,0.05954819552229651,0.0,0.9915110992667239,0.0,0.6775790889284428,0.0,0.8871208214876971,0.0,0.7994177383426282,0.0,0.22151888494800787
CPI,300,6.296168088912964,0.5165911992587775,1.0,0.006719583531588316,0.0,0.09186981342174133,0.0,0.7074722068434919,0.0,0.10366045983843519,1.0,0.2419120044487395,0.0,0.8787096489671258,0.0,0.007341483513502984,0.0,0.8771608190215727,1.0,0.08695924941230115,0.0,0.10460406726191718,0.0,0.4659705267498361,0.0,0.13976177339807305,1.0,0.20417980800320595,0.0,0.4421880311860279,0.0,0.762825909997568,0.0,0.039195493014429685,1.0,0.0913926688782909,0.0,0.19076403290484728,0.0,0.5822542170773926,0.0,0.2515114548465423,1.0,0.18075586696768908,0.0,0.1753346279297826,0.0,0.9608919735585405,0.0,0.8707498409974128,1.0,3.915406002235166e-06,0.0,0.7779377413687566,0.0,0.6439612998806289,0.0,0.033331973132677606,1.0,0.16298724968880918,0.0,0.704970203886941,0.0,0.7650289152078885,0.0,0.4107160591038339,1.0,0.0433279774366063,0.0,0.43184116378471904,0.0,0.9773326919493786,0.0,0.2047397953837372,1.0,0.1655542390561583,0.0,0.45151265102666355,0.0,0.0008597327919694163,0.0,0.022290519001344024,1.0,0.061750219908675505,0.0,0.9878100913838908,0.0,0.08213194363845294,0.0,0.01743895068092623,1.0,0.02595797376293568,0.0,0.7596642397497304,0.0,0.6998898226991086,0.0,0.9624647761461534,0.0,0.8744605650041068,0.0,0.8676748066535511
CPI_sqrt,300,6.305253982543945,0.5165911992587775,1.0,0.4173962132825632,0.0,0.47207931121639213,0.0,0.4717874926594765,0.0,0.46407174925540173,1.0,0.4276767580990163,0.0,0.4961841583853999,0.0,0.4765527407910074,0.0,0.5459939781252109,1.0,0.4732641947725793,0.0,0.4759794531084854,0.0,0.5010905598558817,0.0,0.41164274915090054,1.0,0.346166335725157,0.0,0.4745960262348112,0.0,0.4952359987193444,0.0,0.5053184319472914,1.0,0.23732961974246747,0.0,0.5078539921881741,0.0,0.505921078393281,0.0,0.583383983800967,1.0,0.49556717242560744,0.0,0.4837260156522554,0.0,0.5136499656404411,0.0,0.551164047613105,1.0,0.25714115297539897,0.0,0.5123821244131286,0.0,0.49869317682614417,0.0,0.4646826399892929,1.0,0.30181450778084806,0.0,0.5077333931084025,0.0,0.4942028937609501,0.0,0.47928544988849153,1.0,0.49092058096042546,0.0,0.47408608762198423,0.0,0.5132240109041138,0.0,0.5034359348275883,1.0,0.2654829925638317,0.0,0.5045140489946671,0.0,0.45610734542842457,0.0,0.4859288216919171,1.0,0.4586490704562893,0.0,0.5578505610632292,0.0,0.48854017792459187,0.0,0.38599672633678794,1.0,0.4399183999790671,0.0,0.48377991306372514,0.0,0.4908041457990747,0.0,0.5152919758177764,0.0,0.4960418663789867,0.0,0.508583476613735
CPI_n,300,6.304764270782471,0.5165911992587775,1.0,0.1444410164357109,0.0,0.5110827052227632,0.0,0.2838245819694831,0.0,0.3478454987851194,1.0,0.5992243627413537,0.0,0.584081442048011,0.0,0.5257289656918768,0.0,0.6633401497333848,1.0,0.10844136574750168,0.0,0.42706364638225547,0.0,0.6584941694813602,0.0,0.24081948899654837,1.0,0.08675515856221461,0.0,0.43560867551107474,0.0,0.5016467864550681,0.0,0.6429669753555913,1.0,0.04237727435432117,0.0,0.516181560521829,0.0,0.5604423944258119,0.0,0.2365374354751953,1.0,0.5203367933966491,0.0,0.25201662172762124,0.0,0.6639656736992765,0.0,0.5749143319018178,1.0,0.003973903746907512,0.0,0.4658560844095096,0.0,0.5595655313020839,0.0,0.33400790110263057,1.0,0.06999780914733889,0.0,0.6570560209040324,0.0,0.5170485368952086,0.0,0.565453870422919,1.0,0.08227542893547546,0.0,0.5409915193443472,0.0,0.649554139981144,0.0,0.3961737582864499,1.0,0.06422866220476495,0.0,0.502871858211769,0.0,0.22201080754214342,0.0,0.4318941758022617,1.0,0.24538016042741884,0.0,0.6940360191365043,0.0,0.21720090987393925,0.0,0.03264080775616753,1.0,0.04257811347533629,0.0,0.4950380847966115,0.0,0.42965952048670775,0.0,0.5745298476545898,0.0,0.4364003701351626,0.0,0.5838363312352284
CPI_bt,300,6.488887786865234,0.5165911992587775,1.0,3.7650949244117355e-08,0.0,0.38417136042316785,0.0,0.11739741388552805,0.0,0.45616919750372453,1.0,0.051297899697654456,0.0,0.5070460558754248,0.0,0.34718459214667785,0.0,0.695161734016617,1.0,0.10238971018815551,0.0,0.04885562987206955,0.0,0.4510869605260855,0.0,0.07243590230390655,1.0,0.3859522723631016,0.0,0.11611275983569658,0.0,0.4466183684638723,0.0,0.6789388820078908,1.0,8.388467205051791e-05,0.0,0.2719240200922383,0.0,0.9735889738721036,0.0,0.3131820189664464,1.0,0.12831358570148016,0.0,0.31415255667740893,0.0,0.7862768392147659,0.0,0.6094589969103734,1.0,8.869483463363947e-08,0.0,0.40493724632802597,0.0,0.5121590936620753,0.0,0.2698815706500823,1.0,0.0057394699167797065,0.0,0.7130704469689368,0.0,0.6449272249578266,0.0,0.49287147708166595,1.0,0.10333598588609699,0.0,0.42174276598652144,0.0,0.5420214566504439,0.0,0.4899348676486142,1.0,0.0021438117641718467,0.0,0.6400063670413106,0.0,0.27061533434101326,0.0,0.47913819915332223,1.0,0.17390216390945273,0.0,0.8239462776868514,0.0,0.38991352506561905,0.0,0.002744696344692842,1.0,0.42636484490846704,0.0,0.5334365496856242,0.0,0.5316378774827379,0.0,0.4712454211634913,0.0,0.534018392581519,0.0,0.5871219368990489
CPI_sqd,300,6.479893445968628,0.5165911992587775,1.0,1.8343896873571492e-176,0.0,6.190356625561396e-62,0.0,1.2803043494234767e-56,0.0,1.9210306100020685e-113,1.0,4.9584999231761206e-36,0.0,1.0,0.0,1.8638612097289542e-28,0.0,1.0,1.0,1.8247351754523834e-44,0.0,0.9996041728893288,0.0,5.756891853526599e-20,0.0,4.228835865820784e-39,1.0,2.6020222990041723e-05,0.0,7.313492282882258e-19,0.0,1.3954301072554223e-60,0.0,1.3242262358219086e-55,1.0,3.2516671000746964e-17,0.0,0.9999999922126509,0.0,1.0,0.0,1.0300199541647536e-10,1.0,0.9999928460849099,0.0,1.4601224902770182e-71,0.0,1.0,0.0,1.0,1.0,1.5120919736854784e-22,0.0,2.0900053834074393e-44,0.0,1.6571145760014193e-28,0.0,1.3801608811710258e-53,1.0,0.11197417842267926,0.0,1.0,0.0,1.634799609741035e-23,0.0,0.851333470933072,1.0,2.1722979279710474e-08,0.0,0.005059200817914699,0.0,1.0,0.0,1.0,1.0,8.558675920219867e-08,0.0,0.0004609463363023797,0.0,1.7218712464334083e-142,0.0,8.330042175019045e-74,1.0,2.942031350492478e-57,0.0,0.9999999999987119,0.0,0.004639183956130699,0.0,1.6092405679908347e-43,1.0,0.0,0.0,1.8224925797584114e-33,0.0,4.088756982642627e-13,0.0,1.0,0.0,1.250958779436689e-10,0.0,1.0
S-CPI,300,18.584771871566772,0.5165911992587775,1.0,0.0030435294134954316,0.0,0.11239257031140998,0.0,0.36675645381493016,0.0,0.0016702217609074878,1.0,0.15343833682575736,0.0,0.6407834656743779,0.0,0.07293476980018732,0.0,0.8689175545529504,1.0,0.05102655047851658,0.0,0.1546085216495035,0.0,0.5670516678153118,0.0,0.06876462253345306,1.0,0.21304263716522998,0.0,0.6296526414770889,0.0,0.4368744882332376,0.0,0.4574067974365291,1.0,0.0063263883805994405,0.0,0.3513008512656016,0.0,0.8302379009297405,0.0,0.19355354056801888,1.0,0.3067026334527145,0.0,0.040537708082081375,0.0,0.9317295045849323,0.0,0.7593049089156372,1.0,0.00013719011993322628,0.0,0.6101188005499003,0.0,0.5533091860664272,0.0,0.11633368433234642,1.0,0.10559332224099233,0.0,0.8234282303390008,0.0,0.8393656554517133,0.0,0.35935376283631865,1.0,0.01253544962962607,0.0,0.24752947956450277,0.0,0.9162107223971061,0.0,0.14936783160233924,1.0,0.040928613972089904,0.0,0.19206969830812692,0.0,0.0009970893464711114,0.0,0.16302530887288696,1.0,0.07411066510773572,0.0,0.9471276067931111,0.0,0.1307871027289373,0.0,0.011052677803610314,1.0,0.005254973229787697,0.0,0.32476464855250053,0.0,0.07527742536248938,0.0,0.8687903788801272,0.0,0.5652770087703907,0.0,0.581664838009937
S-CPI_sqrt,300,18.588306665420532,0.5165911992587775,1.0,0.2935231527462704,0.0,0.4897491289779461,0.0,0.44838652526827055,0.0,0.4673426984549248,1.0,0.4811192562993038,0.0,0.4971146625241451,0.0,0.47699674762337596,0.0,0.5597005145953751,1.0,0.3467290146080628,0.0,0.4692693534126339,0.0,0.5100580720978942,0.0,0.4296689010540227,1.0,0.36932631635524,0.0,0.5507929344665866,0.0,0.4962916801997141,0.0,0.5022649333731872,1.0,0.19609374908620741,0.0,0.49125844009907105,0.0,0.5171317647441799,0.0,0.41753325690479864,1.0,0.4073547478659634,0.0,0.48541505234047344,0.0,0.5423741701394429,0.0,0.5372536618688576,1.0,0.06288167223022273,0.0,0.49850206121751656,0.0,0.4961828836526476,0.0,0.3998186458266631,1.0,0.2778650390653614,0.0,0.5252248269727725,0.0,0.5150408113162832,0.0,0.4898648415010074,1.0,0.3666222963448863,0.0,0.4907300894416267,0.0,0.537157991504442,0.0,0.49660893294194197,1.0,0.36740808443039263,0.0,0.48962161378454677,0.0,0.43630998525087455,0.0,0.478687887327936,1.0,0.4480855131472987,0.0,0.5507577913270356,0.0,0.4615258494029742,0.0,0.3378951483313234,1.0,0.34693504387688523,0.0,0.4969918163813079,0.0,0.49275641009505594,0.0,0.5214464232456503,0.0,0.5031721669450047,0.0,0.5051731740525025
S-CPI_n,300,18.570637702941895,0.5165911992587775,1.0,0.03079181109079736,0.0,0.43937992811512006,0.0,0.3615670625711333,0.0,0.29286843962911846,1.0,0.2879319194248313,0.0,0.6694510105056699,0.0,0.31392737481182187,0.0,0.8275747999561007,1.0,0.14967323772244512,0.0,0.323653311635418,0.0,0.5413762088268412,0.0,0.22975842510916028,1.0,0.24848220996539555,0.0,0.6617642607252778,0.0,0.4878686414318226,0.0,0.5180586741910408,1.0,0.0594740511647284,0.0,0.4525995538550358,0.0,0.6671975563426806,0.0,0.3838881803456022,1.0,0.19558954364520353,0.0,0.3334736872059985,0.0,0.7750955213702397,0.0,0.6732068376866834,1.0,0.0013376180279300897,0.0,0.5879438757901837,0.0,0.44992838027990734,0.0,0.1488507532926318,1.0,0.1812506313955623,0.0,0.6364701116907459,0.0,0.5867651051223545,0.0,0.39252879164148236,1.0,0.17096199861131206,0.0,0.4934693466831599,0.0,0.5607956763055307,0.0,0.418874081340767,1.0,0.09500793703530591,0.0,0.46703391820647133,0.0,0.16325846746662526,0.0,0.41054004184838006,1.0,0.20704731268073384,0.0,0.7977643356386988,0.0,0.3018034733223103,0.0,0.07349927356329074,1.0,0.10672782607792447,0.0,0.44118788240247797,0.0,0.42253487356893343,0.0,0.6068357868024712,0.0,0.5591606827006979,0.0,0.5345859619958107
S-CPI_bt,300,18.75520896911621,0.5165911992587775,1.0,4.241373638828622e-05,0.0,0.4647133905397843,0.0,0.2557886841576129,0.0,0.22278140397399054,1.0,0.06176685743673166,0.0,0.7345229945880825,0.0,0.3636761173180184,0.0,0.8967103370747769,1.0,0.001607436117625617,0.0,0.27678684440371054,0.0,0.49881110617218116,0.0,0.01543713838951875,1.0,0.13855067079620698,0.0,0.7467793952794366,0.0,0.4085906966151849,0.0,0.4670001345916859,1.0,1.7726574716275817e-05,0.0,0.22461285115331364,0.0,0.8400208821333457,0.0,0.16408589090233655,1.0,0.0036719245288276904,0.0,0.1789600766073161,0.0,0.8977029356022976,0.0,0.7772602412943947,1.0,6.375272727496825e-14,0.0,0.48866122804059003,0.0,0.2536529085296866,0.0,0.04041003989766052,1.0,0.11181414634249914,0.0,0.6244099043532703,0.0,0.6707044629873272,0.0,0.4034989675336149,1.0,0.001119680875434465,0.0,0.4592140425929681,0.0,0.7806320964978339,0.0,0.43679183601114324,1.0,0.0015473032243334837,0.0,0.33643621296032733,0.0,0.06521768955937553,0.0,0.31740618191125736,1.0,0.22944319691419085,0.0,0.8465241382029518,0.0,0.13620743502204358,0.0,4.038019463881483e-05,1.0,0.00014454011839860415,0.0,0.4723955377349673,0.0,0.3559754334938927,0.0,0.5578642148476531,0.0,0.5498656596056536,0.0,0.5605990881420694
