method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,866.8434152603149,0.9702004637553467,1.0,0.004308640751278459,0.0,0.44375433437094003,0.0,0.022779148114547287,0.0,0.7166324582239726,1.0,0.46911681020715135,0.0,0.12300997817622283,0.0,0.18295502727864066,0.0,0.05382039877653977,1.0,0.02129986610932133,0.0,0.927861885539517,0.0,0.1695844742386695,0.0,0.9745629364608653,1.0,0.00020397830681884166,0.0,0.6045277500101727,0.0,0.6141256945004219,0.0,0.7048594228529945,1.0,1.3862941615427893e-05,0.0,0.9984665784171883,0.0,0.22925866079468737,0.0,0.9786185993227222,1.0,7.788766543592729e-05,0.0,0.0050842772733527,0.0,0.6375140913215762,0.0,0.044084597879086695,1.0,3.314384684482974e-07,0.0,0.6649053117219801,0.0,0.9966796809240843,0.0,0.00011853152153795676,1.0,0.016464059646404405,0.0,0.1525777295074715,0.0,0.9676393970788105,0.0,0.2704528860923454,1.0,0.0012283958136569684,0.0,0.6902306541168937,0.0,0.9954050520776258,0.0,0.09057741454704893,1.0,0.004396687739434357,0.0,0.35641673245434635,0.0,0.01306070835542783,0.0,0.1067702939735139,1.0,4.47502379596898e-09,0.0,0.4792086622300964,0.0,0.9997866204020531,0.0,0.4610127347829782,1.0,0.9808414838525897,0.0,0.010338112815252876,0.0,0.4866525896872398,0.0,0.16079088636734173,0.0,0.7607899577206023,0.0,0.032990161077670055
CPI,300,16.684305906295776,0.9702004637553467,1.0,9.25680194119414e-05,0.0,0.5430721057599351,0.0,0.861826257978507,0.0,0.5575075239742889,1.0,0.00016478569759000817,0.0,0.15609261090026327,0.0,0.8128229129029547,0.0,0.8478297107168877,1.0,1.806873659471819e-08,0.0,0.49669725036229,0.0,0.6068606937128042,0.0,0.9152674844706707,1.0,1.2123271473125113e-08,0.0,0.7229264835673715,0.0,0.6200527142371485,0.0,0.07460914163324095,1.0,1.9269302647245712e-07,0.0,0.27604005243139107,0.0,0.8510391696110613,0.0,0.26985735346095785,1.0,5.789713341641396e-07,0.0,0.3581510465140776,0.0,0.6719469731379428,0.0,0.17062780150643397,1.0,1.3656668159465033e-06,0.0,0.28979608502278364,0.0,0.17487462902071932,0.0,0.5854907575544908,1.0,8.966460574441066e-13,0.0,0.5209057548806779,0.0,0.8116327322754119,0.0,0.8663018708206112,1.0,7.47649546811643e-09,0.0,0.3557051623839731,0.0,0.48568145157604375,0.0,0.9309297753977233,1.0,0.004181273388100841,0.0,0.15178217157290974,0.0,0.936032135762531,0.0,0.9475723254761522,1.0,1.9987002874913744e-08,0.0,0.27469183651574447,0.0,0.642371982557628,0.0,0.7145448415364051,1.0,7.943841280522965e-05,0.0,0.4528819479278886,0.0,0.3000524248547979,0.0,0.33364702322296413,0.0,0.34779131588081724,0.0,0.9682331469188329
CPI_sqrt,300,16.695946216583252,0.9702004637553467,1.0,0.11375179103399047,0.0,0.5003831187533475,0.0,0.5000547178929796,0.0,0.4998519149261072,1.0,0.2158180599870566,0.0,0.49351303825113674,0.0,0.5001763711558739,0.0,0.500400393428127,1.0,0.1458194017506177,0.0,0.4998366300606563,0.0,0.5000357352494181,0.0,0.4997332974730664,1.0,0.04699140515152539,0.0,0.5000308670795582,0.0,0.49991185167277563,0.0,0.49989599285106145,1.0,0.08921661404353509,0.0,0.49996478345307177,0.0,0.4997834022674385,0.0,0.49965860366344605,1.0,0.11757580032509374,0.0,0.5002234685587305,0.0,0.5001671402095457,0.0,0.5014708076227887,1.0,0.058145553812069956,0.0,0.5000469249766434,0.0,0.4998436231163248,0.0,0.5002938772246717,1.0,0.0048882515684522425,0.0,0.5062502879832016,0.0,0.500056825078625,0.0,0.5001358864422359,1.0,0.02966639272755654,0.0,0.4999550920224839,0.0,0.5001348332375382,0.0,0.5010561156546254,1.0,0.2556980590968952,0.0,0.4996278961436996,0.0,0.5032070224553914,0.0,0.5004469494852289,1.0,0.029053516285060414,0.0,0.5006304190232029,0.0,0.5001113951028701,0.0,0.5024872984825097,1.0,0.29531601822022036,0.0,0.5001277722025601,0.0,0.500069675782238,0.0,0.5000919826323552,0.0,0.5000007103041476,0.0,0.5005975463411738
CPI_n,300,16.70064640045166,0.9702004637553467,1.0,0.0006394846013543224,0.0,0.5025686254483193,0.0,0.501235646252728,0.0,0.5022821314085321,1.0,0.0069800062915270815,0.0,0.5091839952170157,0.0,0.5032433623547217,0.0,0.5045035767093932,1.0,0.00019685755231798512,0.0,0.4988142880667752,0.0,0.500899855796033,0.0,0.4980989450190085,1.0,5.772022176038859e-05,0.0,0.5009302582876618,0.0,0.4998280059970372,0.0,0.49762283942654845,1.0,0.0001138533742544174,0.0,0.49905898915548347,0.0,0.5002153392269865,0.0,0.49853845946126196,1.0,0.0020059897154094232,0.0,0.4955720673653444,0.0,0.5018059272639173,0.0,0.5116432604633026,1.0,9.275839717663713e-06,0.0,0.49992993388467427,0.0,0.499800590731117,0.0,0.4982872557189681,1.0,2.0714382090584536e-07,0.0,0.6104384483851312,0.0,0.5015722489902866,0.0,0.4979766145327144,1.0,0.00011197272025099286,0.0,0.4986945714319253,0.0,0.50182532570839,0.0,0.5057987874681034,1.0,0.03914574520292134,0.0,0.4956476859157875,0.0,0.5390431515830814,0.0,0.4989688176142386,1.0,1.339480034428779e-06,0.0,0.5058324954230438,0.0,0.4995317057658142,0.0,0.5850097906649341,1.0,0.02906363439954484,0.0,0.48617515906910935,0.0,0.49821806064634505,0.0,0.4993669290514878,0.0,0.5026533177829233,0.0,0.5042856427284647
CPI_bt,300,16.87665843963623,0.9702004637553467,1.0,2.527818337698497e-15,0.0,0.5157047245692794,0.0,0.49975926288574657,0.0,0.49967025725825664,1.0,5.023539316303908e-06,0.0,0.4982182709092105,0.0,0.502717376786462,0.0,0.5064403598147699,1.0,2.4877912968369568e-15,0.0,0.4983209091317242,0.0,0.49849397602153445,0.0,0.501026057142094,1.0,1.359962239975644e-11,0.0,0.5003168345668806,0.0,0.499960185521176,0.0,0.4992126712416798,1.0,1.364725959884579e-13,0.0,0.49959116149109306,0.0,0.4980884170879734,0.0,0.5014353405913716,1.0,7.464587398104672e-16,0.0,0.5055182791538123,0.0,0.5019935982342835,0.0,0.5038287181449265,1.0,8.562195252481294e-12,0.0,0.500460442558676,0.0,0.4979327151360066,0.0,0.5016415565319801,1.0,2.9151844072335416e-41,0.0,0.5325654344745817,0.0,0.4984768491149752,0.0,0.4989211334956601,1.0,1.01728621817381e-22,0.0,0.4915493487229953,0.0,0.49939309060181003,0.0,0.5054617391447226,1.0,2.0592421242333898e-07,0.0,0.5034922698879934,0.0,0.5014451602138317,0.0,0.5037199767880844,1.0,3.06554590336152e-21,0.0,0.5092635152018725,0.0,0.5012289156472878,0.0,0.5900557836695174,1.0,8.773196187398135e-08,0.0,0.4948631618596318,0.0,0.5015061520840766,0.0,0.5032579817092443,0.0,0.5024060333606738,0.0,0.503980544939652
CPI_sqd,300,16.881060361862183,0.9702004637553467,1.0,9.552977437273093e-72,0.0,0.9867778547158207,0.0,0.5450324603566057,0.0,0.6368560450777568,1.0,1.8520935974458972e-204,0.0,2.9201885358170843e-72,0.0,0.5636095747864209,0.0,0.8218582964917027,1.0,2.4041571323291507e-177,0.0,0.5340598954339046,0.0,0.8536257599585929,0.0,0.04491674134259992,1.0,1.689621053572533e-61,0.0,0.3772727890276768,0.0,0.4908522260986414,0.0,0.2754201925358069,1.0,1.7674806492337162e-21,0.0,0.48428424624144134,0.0,0.7218061331230006,0.0,0.6305936301956818,1.0,7.688816841397575e-109,0.0,0.9481087886201842,0.0,0.8319237766877268,0.0,0.9395037330545919,1.0,1.3345923075309262e-114,0.0,0.17168209733321815,0.0,0.5284162051706023,0.0,0.8231190352608657,1.0,2.9021421171342606e-71,0.0,0.9999999999993906,0.0,0.564443688257659,0.0,0.42461859471652497,1.0,2.341494665086273e-96,0.0,0.0019521427192981209,0.0,0.5849600989577302,0.0,0.9349217431194313,1.0,8.424019107442193e-249,0.0,0.15986531240187468,0.0,1.0,0.0,0.7123167306826963,1.0,4.613650261535958e-44,0.0,0.9615130084897716,0.0,0.539245490286379,0.0,1.0,1.0,0.0,0.0,0.27167748687965915,0.0,0.46266342988674813,0.0,0.4477561052783845,0.0,0.7572707319721133,0.0,0.7904216591965088
S-CPI,300,29.95816683769226,0.9702004637553467,1.0,0.0002504130995184251,0.0,0.7373489513926552,0.0,0.7778112540541937,0.0,0.6991986690785214,1.0,0.0006757361468369562,0.0,0.700072710949791,0.0,0.9630604293356136,0.0,0.9759118854167992,1.0,6.750113072274335e-07,0.0,0.4364810279807597,0.0,0.7752110942370789,0.0,0.39535627699389303,1.0,1.5706466717921902e-06,0.0,0.4361145880124206,0.0,0.4980014296677659,0.0,0.11275238551577194,1.0,6.123368427893588e-05,0.0,0.27201988209234773,0.0,0.1260784165478705,0.0,0.4645501041476203,1.0,1.0967644032188687e-05,0.0,0.37355530064049464,0.0,0.8205642905271284,0.0,0.6880648288793887,1.0,0.00022650925407805174,0.0,0.2815024422090533,0.0,0.0972046166846493,0.0,0.5490408603409566,1.0,9.7033780607614e-11,0.0,0.8425633817465332,0.0,0.950113460046431,0.0,0.20530179821894323,1.0,1.4545509631638523e-06,0.0,0.32343993872062415,0.0,0.6881654660828034,0.0,0.8726319786974799,1.0,0.003603859917791807,0.0,0.16805339498901833,0.0,0.9083950661694418,0.0,0.9365233086745097,1.0,2.2444239211845798e-11,0.0,0.8843218178968322,0.0,0.5082007653752972,0.0,0.9061513732297937,1.0,2.5069135282701074e-05,0.0,0.5997900846638299,0.0,0.7474568461946489,0.0,0.29535389688010066,0.0,0.7540916374370116,0.0,0.9455595502941881
S-CPI_sqrt,300,29.975634813308716,0.9702004637553467,1.0,0.17946346748727227,0.0,0.5009422529595463,0.0,0.5000934418315619,0.0,0.5001526301266769,1.0,0.25104041602644755,0.0,0.49578463609533463,0.0,0.50039009503046,0.0,0.5007957895130429,1.0,0.11245952738712772,0.0,0.4999105572167951,0.0,0.5003458164552063,0.0,0.5000057777800793,1.0,0.06375306017941715,0.0,0.50001626525,0.0,0.4999750476918471,0.0,0.49978447286617383,1.0,0.10694933840200177,0.0,0.49997507906801425,0.0,0.499640155420066,0.0,0.49971918984507235,1.0,0.14859040657824213,0.0,0.5005423367120254,0.0,0.5001746587725974,0.0,0.5009148505014785,1.0,0.10288092228149393,0.0,0.4996859140794955,0.0,0.49977053853238335,0.0,0.49978909946230454,1.0,0.007132873613441695,0.0,0.5124220907178484,0.0,0.5001686793237996,0.0,0.4998851024554092,1.0,0.07590050236514002,0.0,0.49931827169680704,0.0,0.5001054785056536,0.0,0.5008910693320375,1.0,0.33397507272173754,0.0,0.4991570858558544,0.0,0.5057081781745186,0.0,0.5002550065872531,1.0,0.006468444561615133,0.0,0.5007128007336457,0.0,0.49992856506788863,0.0,0.5080336562674284,1.0,0.24116875631289802,0.0,0.5000798390743003,0.0,0.49997385784433357,0.0,0.5000160103419345,0.0,0.5002657607105534,0.0,0.500647380067192
S-CPI_n,300,29.9633526802063,0.9702004637553467,1.0,0.0032388879153215527,0.0,0.5108586625652899,0.0,0.5001342423737489,0.0,0.5010944918059582,1.0,0.014685066057279256,0.0,0.49670203338198743,0.0,0.5034569733427059,0.0,0.5072946320421031,1.0,3.7982157913389725e-05,0.0,0.4977230787002532,0.0,0.4996140782908491,0.0,0.4997460959705975,1.0,6.392469636306725e-05,0.0,0.500513862028776,0.0,0.500268206438991,0.0,0.49668090427165085,1.0,0.0003137568318581506,0.0,0.5016873361121817,0.0,0.4972487193503296,0.0,0.4987542733461783,1.0,0.0008593836693069944,0.0,0.5006919332410933,0.0,0.5030579117458711,0.0,0.5169873484380517,1.0,0.0017501478493543014,0.0,0.49335024497883745,0.0,0.4984388075453237,0.0,0.4999728843933564,1.0,2.4206920798749962e-08,0.0,0.5766160293229278,0.0,0.5022664804170198,0.0,0.499194826366634,1.0,6.020924663969837e-05,0.0,0.49711667557523315,0.0,0.5007707962769453,0.0,0.5109410166880667,1.0,0.05780075213813325,0.0,0.49696193313097875,0.0,0.5419521593077924,0.0,0.5049827508448329,1.0,5.06335487277065e-08,0.0,0.5093218796454972,0.0,0.49983698867128135,0.0,0.5821817138707261,1.0,0.007255899297913308,0.0,0.5003078328907119,0.0,0.5004833438162976,0.0,0.4998310593959526,0.0,0.5019579160862049,0.0,0.5066178275393719
S-CPI_bt,300,30.175401210784912,0.9702004637553467,1.0,5.228520920769064e-09,0.0,0.4981388907245082,0.0,0.5006998944432023,0.0,0.5008648049332953,1.0,7.30448212663354e-09,0.0,0.46412569480460164,0.0,0.5044253257728604,0.0,0.5066868300340359,1.0,4.6059980083241645e-18,0.0,0.4979279660350025,0.0,0.5013942822994425,0.0,0.4989925563345155,1.0,8.609570151334613e-16,0.0,0.5000986200398889,0.0,0.49926790860327297,0.0,0.4976784603334459,1.0,2.4998500508074816e-18,0.0,0.5007910427730817,0.0,0.49757677110450077,0.0,0.50007089644686,1.0,2.0608127589377945e-13,0.0,0.5060047745544607,0.0,0.5044896168860439,0.0,0.5106051448554363,1.0,4.665533293068993e-17,0.0,0.4933399337691977,0.0,0.4985378128520573,0.0,0.5002739644586995,1.0,2.14205212474567e-14,0.0,0.6585702641424844,0.0,0.5009457030537553,0.0,0.4993269998453969,1.0,1.0571705548944408e-17,0.0,0.4958950624123673,0.0,0.5019231941351116,0.0,0.5084213174729147,1.0,1.8134022326896696e-06,0.0,0.4998838769122489,0.0,0.5662963032136545,0.0,0.5026052443303898,1.0,4.15228737797911e-23,0.0,0.5100445609359568,0.0,0.5000926856851116,0.0,0.5840658497934079,1.0,1.1522292081883033e-09,0.0,0.5054313472364628,0.0,0.500730368463728,0.0,0.49826336251176895,0.0,0.5026351922258604,0.0,0.5070481295460951
