method,n,tr_time,r2_test,tr_V0,pval0,tr_V1,pval1,tr_V2,pval2,tr_V3,pval3,tr_V4,pval4,tr_V5,pval5,tr_V6,pval6,tr_V7,pval7,tr_V8,pval8,tr_V9,pval9,tr_V10,pval10,tr_V11,pval11,tr_V12,pval12,tr_V13,pval13,tr_V14,pval14,tr_V15,pval15,tr_V16,pval16,tr_V17,pval17,tr_V18,pval18,tr_V19,pval19,tr_V20,pval20,tr_V21,pval21,tr_V22,pval22,tr_V23,pval23,tr_V24,pval24,tr_V25,pval25,tr_V26,pval26,tr_V27,pval27,tr_V28,pval28,tr_V29,pval29,tr_V30,pval30,tr_V31,pval31,tr_V32,pval32,tr_V33,pval33,tr_V34,pval34,tr_V35,pval35,tr_V36,pval36,tr_V37,pval37,tr_V38,pval38,tr_V39,pval39,tr_V40,pval40,tr_V41,pval41,tr_V42,pval42,tr_V43,pval43,tr_V44,pval44,tr_V45,pval45,tr_V46,pval46,tr_V47,pval47,tr_V48,pval48,tr_V49,pval49
LOCO-W,300,2.3566548824310303,0.9613849489838405,1.0,1.3191677483703756e-07,0.0,0.9933928904678307,0.0,0.8173011936418252,0.0,0.06056972116117365,1.0,0.011235575576160617,0.0,0.95869078214318,0.0,0.36798482770990504,0.0,0.8254242274399146,1.0,0.03223906501088669,0.0,0.6823468531244505,0.0,0.5145132393733907,0.0,0.2179991180924601,1.0,0.2365601419128811,0.0,0.36434313466730406,0.0,0.014497492627818187,0.0,0.051851281338705535,1.0,1.887630940444751e-09,0.0,0.05884087443535502,0.0,0.5534725660322761,0.0,0.40530521277478027,1.0,0.011556294661139721,0.0,0.043208500679452144,0.0,0.2298071473281884,0.0,0.5253068748736678,1.0,0.00035119696000252,0.0,0.9820231706989284,0.0,0.20214985117819595,0.0,0.03967126611971028,1.0,0.02236791408915062,0.0,0.9232993831059312,0.0,0.023279150568055407,0.0,0.9557479764838783,1.0,3.82748859273363e-08,0.0,0.703904925776268,0.0,0.9646222534937016,0.0,0.9468733759890838,1.0,0.00015889165852744913,0.0,0.9938278113643157,0.0,0.7785843338794798,0.0,0.7681289460074674,1.0,2.7669252555817536e-08,0.0,0.47295779450011355,0.0,0.0007800805684772261,0.0,0.41482763131470957,1.0,0.00026321167668397205,0.0,0.9895795368094575,0.0,0.39166753646952746,0.0,0.6420289568380482,0.0,0.06935389158796623,0.0,0.0470499634514886
CPI,300,3.2919118404388428,0.9613849489838405,1.0,4.776689049037555e-08,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.7238685917696414e-05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0006995610078064761,0.0,0.28568346645529,0.0,0.7362841387560766,0.0,1.0,1.0,9.358955036197073e-08,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.1373412590086658e-05,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.1710339502272587e-10,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0007088041920835139,0.0,0.26148026819663095,0.0,1.0,0.0,0.3285922888816973,1.0,0.0001448092921097219,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.710948773924555e-08,0.0,1.0,0.0,1.0,0.0,0.3584686465551614,1.0,5.8025101527078455e-08,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.954921086509531e-08,0.0,1.0,0.0,0.8896471678166742,0.0,1.0,1.0,9.280197242985256e-08,0.0,1.0,0.0,1.0,0.0,0.5787755969805869,0.0,1.0,0.0,1.0
CPI_sqrt,300,3.27921199798584,0.9613849489838405,1.0,0.012087612409661165,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.3005412858983617,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.18905645654527675,0.0,0.5057006012467055,0.0,0.49913735266061626,0.0,0.5,1.0,0.1613588284223616,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.08433998605226883,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.08238201826129415,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.23861637231914984,0.0,0.49998350919785106,0.0,0.5,0.0,0.4738903411454556,1.0,0.3085594875419802,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.046138218612327704,0.0,0.5,0.0,0.5,0.0,0.49888784158369487,1.0,0.05341486211160943,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.026653219548590106,0.0,0.5,0.0,0.5083439774812365,0.0,0.5,1.0,0.02328648739444954,0.0,0.5,0.0,0.5,0.0,0.49999788256317657,0.0,0.5,0.0,0.5
CPI_n,300,3.2841687202453613,0.9613849489838405,1.0,2.5154210931236506e-06,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.00106469879538994,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.002881378620307829,0.0,0.427721177688807,0.0,0.5048974503536088,0.0,0.5,1.0,0.002218475550724798,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.931166907207318e-05,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.0031830716326436822,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.013311140681803736,0.0,0.5031864863695825,0.0,0.5,0.0,0.32127143590588225,1.0,0.0029711921108112336,0.0,0.5,0.0,0.5,0.0,0.5,1.0,8.038126861284863e-05,0.0,0.5,0.0,0.5,0.0,0.46975360995732524,1.0,6.674001770500049e-05,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.389451931858645e-07,0.0,0.5,0.0,0.602179800406761,0.0,0.5,1.0,2.6152029547222115e-06,0.0,0.5,0.0,0.5,0.0,0.4997420125178554,0.0,0.5,0.0,0.5
CPI_bt,300,3.4708147048950195,0.9613849489838405,1.0,1.331469511796125e-44,0.0,0.5,0.0,0.5,0.0,0.5,1.0,6.071872488438683e-08,0.0,0.5,0.0,0.5,0.0,0.5,1.0,6.058722440480824e-14,0.0,0.5210708396390512,0.0,0.5002034528782291,0.0,0.5,1.0,7.860321257633849e-10,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.635582700243458e-27,0.0,0.5,0.0,0.5,0.0,0.5,1.0,8.064659210561822e-22,0.0,0.5,0.0,0.5,0.0,0.5,1.0,5.881139697003766e-14,0.0,0.4912648777442237,0.0,0.5,0.0,0.3333021483334141,1.0,5.644757217752197e-09,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.6550387771733644e-20,0.0,0.5,0.0,0.5,0.0,0.5013390473562822,1.0,5.621798714231527e-35,0.0,0.5,0.0,0.5,0.0,0.5,1.0,1.366017002147881e-23,0.0,0.5,0.0,0.5249712717479856,0.0,0.5,1.0,9.097467103993142e-28,0.0,0.5,0.0,0.5,0.0,0.49912217182870144,0.0,0.5,0.0,0.5
CPI_sqd,300,3.461557149887085,0.9613849489838405,1.0,7.237163318414294e-39,0.0,0.5,0.0,0.5,0.0,0.5,1.0,5.933365450055953e-158,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2.4320900043806043e-212,0.0,5.116514114618688e-30,0.0,0.5936146955930176,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2.1837425455883196e-51,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.018491158189181e-93,0.0,0.5,0.0,0.5,0.0,0.5,1.0,3.547670074289726e-252,0.0,0.21376566813668296,0.0,0.5,0.0,0.19263785432936786,1.0,7.794198367219542e-241,0.0,0.5,0.0,0.5,0.0,0.5,1.0,2.260399314390763e-32,0.0,0.5,0.0,0.5,0.0,1.9498049463511953e-10,1.0,5.158058605811192e-65,0.0,0.5,0.0,0.5,0.0,0.5,1.0,5.4616287814316634e-104,0.0,0.5,0.0,1.0,0.0,0.5,1.0,3.4896050096801313e-72,0.0,0.5,0.0,0.5,0.0,0.4635915283874009,0.0,0.5,0.0,0.5
S-CPI,300,3.3858237266540527,0.9613849489838405,1.0,2.2565105068449277e-09,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,0.00033462281877879967,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,0.00012851699203629373,0.0,0.33173005239447445,0.0,0.3375995901703166,0.0,0.9205634233936874,1.0,3.952191219809841e-05,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,3.82971920465295e-06,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,0.0004163183800536471,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,0.0040200483004163455,0.0,0.32753084762584245,0.0,0.9205634233936874,0.0,0.47396465903302054,1.0,0.00011606182893872448,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,4.834173917700031e-07,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.1781334071973798,1.0,2.61753696457665e-08,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.9205634233936874,1.0,4.5388989612911936e-07,0.0,0.9205634233936874,0.0,0.8991997212844393,0.0,0.9205634233936874,1.0,6.695473941087347e-07,0.0,0.9205634233936874,0.0,0.9205634233936874,0.0,0.20103864972364283,0.0,0.9205634233936874,0.0,0.9205634233936874
S-CPI_sqrt,300,3.386368751525879,0.9613849489838405,1.0,0.01860763510025124,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.24391438630629497,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.2246955946284639,0.0,0.5018559522028271,0.0,0.5001550194058916,0.0,0.5000000000000001,1.0,0.19747140639627953,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.10992845176827143,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.10861710995667173,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.24680993324677858,0.0,0.49911041626824704,0.0,0.5000000000000001,0.0,0.48863361721882725,1.0,0.22081928981797977,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.045199161813492324,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.4974280044277678,1.0,0.03598694097136201,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.5000000000000001,1.0,0.05299792517052547,0.0,0.5000000000000001,0.0,0.518767712900637,0.0,0.5000000000000001,1.0,0.026039693972709704,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,0.4999284500505193,0.0,0.5000000000000001,0.0,0.5000000000000001
S-CPI_n,300,3.3801939487457275,0.9613849489838405,1.0,4.0896183036278373e-07,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,0.018239497989783516,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,0.008830794676099329,0.0,0.5321536006552124,0.0,0.5021715196760601,0.0,0.5000000000000013,1.0,0.0036706121743823104,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,0.00019001682222013932,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,0.004566774937116388,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,0.015865235082718154,0.0,0.5007873336375116,0.0,0.5000000000000013,0.0,0.4145001415814972,1.0,0.013312610653835856,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,2.738289677237277e-05,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.4801617052547247,1.0,1.0889779317596106e-05,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,7.324036575089654e-06,0.0,0.5000000000000013,0.0,0.5798028264539739,0.0,0.5000000000000013,1.0,7.155567437358415e-06,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.4996768237815494,0.0,0.5000000000000013,0.0,0.5000000000000013
S-CPI_bt,300,3.5645363330841064,0.9613849489838405,1.0,8.427869483034345e-23,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,1.0920478528710225e-07,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,4.725239952434535e-14,0.0,0.5713676162824554,0.0,0.501667384048468,0.0,0.5000000000000013,1.0,1.996712772200271e-16,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,2.17748228477328e-18,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,6.819546400568066e-14,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,1.5400509801356556e-08,0.0,0.49505159364894225,0.0,0.5000000000000013,0.0,0.32743993560175305,1.0,2.588193427255444e-10,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,4.515925601267766e-19,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.4909509046994294,1.0,2.995459137544118e-30,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.5000000000000013,1.0,1.4127234817416227e-22,0.0,0.5000000000000013,0.0,0.6544449978006281,0.0,0.5000000000000013,1.0,5.929475695479876e-27,0.0,0.5000000000000013,0.0,0.5000000000000013,0.0,0.4996538835114789,0.0,0.5000000000000013,0.0,0.5000000000000013
