method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8
LOCO-W,20640,7.724114418029785,0.0,0.3208433856594083,0.0,1.0,1.0,0.18388427922977924,6.661338147750939e-16,2.4567725631641224e-10,0.9744017863637723
CPI,20640,39.56374526023865,1.2971287906774132e-196,6.721315494386818e-16,2.0712197614410308e-11,4.53315331542439e-25,0.13469364387646543,4.582315203392011e-14,1.1745633190062918e-88,4.597309546203618e-92,0.3845936406306735
CPI_sqrt,20640,39.351954221725464,7.939304995771443e-28,0.276775568990126,0.35621437004507284,0.2698413284637021,0.4999825162806498,0.48584923403377767,1.6823801164716537e-05,9.418274660245336e-06,0.49995331549669214
CPI_n,20640,39.34850096702576,1.0744948825105909e-181,2.0266152034074195e-15,5.594208846966797e-09,2.3075415585473226e-16,0.4940898159338508,0.017724099554815152,1.1838294630865656e-82,6.2796360619692045e-77,0.49433032785201114
CPI_bt,20640,98.61140322685242,0.0,0.0,5.388950891430078e-177,0.0,0.4975565259281381,0.0015752712694579376,0.0,0.0,0.4987469984213923
CPI_sqd,20640,99.68803405761719,0.0,0.0,0.0,0.0,8.485218912090731e-257,0.0,0.0,0.0,1.0
S-CPI,20640,39.39628267288208,6.011874897901779e-188,2.4579404888358187e-10,2.4006699314920764e-15,1.6165614836261128e-20,0.060885896966238404,1.2322498160799067e-29,3.432940678142798e-60,3.345102244323857e-53,0.15920252426747533
S-CPI_sqrt,20640,39.406556129455566,9.0656974147555e-30,0.23482660245023346,0.28498148572927995,0.20821934042085705,0.499937603232801,0.4745247235553168,3.670750712422672e-05,4.288764645247669e-05,0.4999083836767492
S-CPI_n,20640,39.39642930030823,2.879018482322417e-180,1.0537152339455758e-09,3.4461799696973364e-11,2.6117049893181464e-17,0.4963739744433221,0.00023655419018799926,1.927653744036346e-56,3.846186205032965e-48,0.4936878384262129
S-CPI_bt,20640,98.86646819114685,0.0,0.0,0.0,0.0,0.4959795499898642,5.870471579458801e-08,0.0,0.0,0.4951707378286188
S-CPI_sqd,20640,98.92356777191162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-CPI2,20640,40.23400354385376,4.990747509090107e-174,5.298089725787346e-10,4.782621114575992e-14,2.5971173356438753e-21,0.08831513807946051,4.540494156919018e-28,3.006344704233088e-54,3.943819358844987e-50,0.08695981859215379
S-CPI2_sqrt,20640,40.05492615699768,4.47783094876565e-31,0.24001222359417346,0.2777138239967653,0.18203921256195488,0.4999296967278727,0.4714375528662383,4.1789668113254813e-05,5.143347865374004e-05,0.49991522538363914
