method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
LOCO-W,442,13.744547128677368,0.9542053104355097,0.9692422619222767,0.40300195489819635,0.5314551369032724,0.38596854779580125,0.644358485471827,0.4187973612844966,0.8749257396803348,0.3351067782537066,0.7754683683596708,0.6091851707603764
CPI,442,2.1311261653900146,0.6853425688405425,0.9947232478058509,0.0002289592672517991,0.21266122956275296,0.4870189383863461,0.86618101348181,0.3094269527667639,0.20546768959390094,2.1684702669419942e-06,0.6490889534132511,0.23762321682916177
CPI_sqrt,442,2.1311254501342773,0.8087206507169709,0.5953410268828012,0.001822011304029664,0.02092328389616042,0.6103533132088553,0.8361852164143853,0.29240333351457426,0.3776977603463584,0.006957961293283764,0.14898200046932186,0.39403731767782185
CPI_n,442,2.1300995349884033,0.11166769120891334,0.9215200980536354,0.00023941565033940417,0.25709650163551867,0.8691473211923082,0.9373559429923727,0.11487595047830435,0.11443576836240643,0.0015442671335529584,0.6976773266306271,0.15011576408952554
CPI_bt,442,2.201265573501587,0.5064593437182178,0.4951474511606058,0.4920040744189615,0.48930389683132325,0.502132703709799,0.5103231714141783,0.4764461198673949,0.4835566183982052,0.491920763946003,0.49422227711924155,0.4898192580771119
CPI_sqd,442,2.2057082653045654,0.4997625401360575,0.511123916364759,0.4945412159353598,0.4933162669255613,0.5027132576884836,0.5115986287295291,0.5010266537837074,0.5031341114124057,0.4932454301285446,0.49192244228861687,0.48579065954486056
S-CPI,442,5.119282960891724,0.8303554651569738,0.9142323698747981,0.014528795058448167,0.2703745353639194,0.7816563729627448,0.8647009919179045,0.1837966027173642,0.5200606633827973,0.02276622978074745,0.6266993338573765,0.4704550932631577
S-CPI_sqrt,442,5.111083984375,0.6743911914070575,0.8051089675753651,0.014203628834760411,0.22738000916758033,0.7496218863466819,0.7678048907403323,0.2213167324334696,0.4645247069421778,0.016900354632411088,0.6535253463340158,0.6533832636125452
S-CPI_n,442,5.112287998199463,0.893595151548538,0.8805223850148125,0.029754001903039534,0.35905714374546693,0.8557678663162169,0.8242566161684785,0.23739182810103182,0.19235293767019263,0.016094398237244206,0.578353148630114,0.4607990346084101
S-CPI_bt,442,5.164929628372192,0.5045021887252853,0.5181454555750356,0.4974726331233382,0.4958632630370748,0.5098766266863807,0.5085825747266091,0.48883901008402914,0.4723734283157875,0.4953461144015696,0.5026844238756616,0.5005842545850469
