method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10
LOCO-W,442,0.5219073295593262,0.2859249523941242,0.9715095450447758,0.31425828375630693,0.141267681736035,0.30592862775152063,0.15034240864459014,0.05833876486970002,0.6882301318475881,0.5659279338213026,0.45393846274075933,0.7548268504023544
CPI,442,1.030202865600586,1.0,0.016031260667932975,0.000470441109031295,0.012626293410496977,1.0,0.4497427730198248,0.05937345985657538,1.0,0.0016624943011861774,0.6113264446762035,0.36009344245921404
CPI_sqrt,442,1.0272080898284912,0.5,0.1365348178429403,0.00036931180058837244,0.08702983687116095,0.5,0.42601726636055304,0.05071795214999515,0.5,0.0002545665021167992,0.5507496112121995,0.2837867581971954
CPI_n,442,1.0281033515930176,0.5,0.19601941317777888,0.0019534011675572905,0.007260613044869253,0.5,0.5081048390259656,0.842599726045044,0.5,0.0010922599196112241,0.7559737913889129,0.5818667830259479
CPI_bt,442,1.0995182991027832,0.5,0.4863546692013313,0.4921530375369215,0.49266660774796883,0.5,0.5009814300045609,0.49397100271114336,0.5,0.49044002784764756,0.46481801151161933,0.4413164133723998
CPI_sqd,442,1.096724033355713,0.5,0.48683538756302247,0.49049150867631425,0.4910935234429409,0.5,0.43822030163355385,0.48906679102405093,0.5,0.49092674301966155,0.4854390930647998,0.4554032654526183
S-CPI,442,1.0477888584136963,0.5,0.09378271090162271,0.00441359717054408,0.07455811332140767,0.5,0.38835877521129303,0.3686292519994925,0.5,0.017814511915465816,0.6557679703681457,0.2937460022365003
S-CPI_sqrt,442,1.0641047954559326,0.5,0.10506258629525356,0.022306768793257034,0.2685584728593422,0.5,0.39586966797616463,0.2157659884771958,0.5,0.04276855311228564,0.5163046361943987,0.38172734832850186
S-CPI_n,442,1.0527474880218506,0.5,0.07295678602630332,0.001032237804034662,0.019876833496180822,0.5,0.27897124384548144,0.2140083763784031,0.5,0.02725933493783906,0.7952594464514049,0.22654259980310737
S-CPI_bt,442,1.1233863830566406,0.5,0.4883783156245138,0.49594609888005153,0.4913320213181568,0.5,0.48608446586056553,0.49185946037971745,0.5,0.49363237694188755,0.5029834622614022,0.5002467418978664
