method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
LOCO-W,569,59.76211595535278,0.9999978898681919,0.157515669969311,3.5218175109541505e-07,0.6335138176220815,0.9829811219162102,0.9979639263953047,0.9207925128741823,0.04680599708311706,0.9999999999963022,1.477486730738775e-07,0.9999999999994449,0.9079304830593837,0.3181774091790065,0.9936894597434707,0.9999999999684569,0.9999999999978169,0.9998984124847414,1.1105671937627903e-11,0.9999640953073223,0.4826674090760549,2.992607945895287e-07,4.430957267764768e-09,0.055131279256099175,0.9855261192691993,0.005130976095604534,4.6242447071520587e-07,0.9999998834545111,0.1544579101721375,0.9999999964575145,0.9999966995069506,1.3602134951717915e-07
CPI,569,5.378616094589233,0.7866794541264,0.770478227181164,0.8375246422458742,0.2095820607048447,0.9175297362160382,0.17645061768040304,0.13450233154762686,0.02575046719683142,0.3513102420058829,0.26506387864814807,0.34348243611856266,0.6874819946040509,0.9263607379515086,0.5213478985696609,0.08607429645703646,0.5566048981571196,0.42938707925347436,0.5971172510374572,0.17884112970994337,0.25117290948122317,0.08843443767092263,0.3572182180994862,0.9049170418444055,0.3806710276554255,0.8210194210526875,0.3414185598056628,0.13850580959091074,0.7549104463390568,0.1371789173496712,0.9059993213365961,0.1595172102373208
CPI_sqrt,569,5.427846193313599,0.5,0.5069149713206083,0.5005142884523969,0.4999563073116269,0.5022015731741203,0.49846532690711615,0.5003762851701073,0.44950332625581396,0.5007061643391785,0.5023841068532167,0.4999608483418714,0.5000930080365265,0.5002880524649308,0.4975987189176751,0.49892927223408395,0.5013728368761712,0.4991493029117754,0.4990629937710698,0.49978323913537226,0.4997192520304037,0.500674639727767,0.49135749561791925,0.5139350294268186,0.49383658378149475,0.49050514826736086,0.49890233588434524,0.4977431363084514,0.5195557947726779,0.496183260752001,0.502542657086759,0.4988096976054825
CPI_n,569,5.450603723526001,0.5070858686452845,0.5647247415888749,0.4994343260790357,0.4998216435096937,0.49068573683020944,0.47842265731423217,0.4949460800715238,0.26373163982648007,0.5232146537582901,0.5107549914869429,0.4968307594985188,0.4816251956242972,0.5069971737792861,0.42381062165770933,0.4850128504343083,0.4907310883474664,0.48899985766001675,0.4956038903447785,0.46006174107152475,0.502978675693687,0.5287615340966418,0.6116610584749763,0.514691506380923,0.44503280789181565,0.5453938630841763,0.5016955313553145,0.39361014412519246,0.5042845386978416,0.4564116032010645,0.5232831501863832,0.48141281947303405
CPI_bt,569,5.743179798126221,0.5002193738675624,0.5936290697863226,0.501659924024416,0.499989627644536,0.5125521279747031,0.479859991295567,0.4986173766797507,0.33227976029814865,0.48712861359657667,0.5232762121376522,0.5004917647801507,0.500806902412687,0.5008978745736652,0.48170825979855525,0.4732947416095637,0.4788731352254422,0.48854420996142434,0.49217084234141273,0.47643079195871796,0.5046239763486056,0.2601165556580154,0.592017847224716,0.6808242101659405,0.2973078242526904,0.4458463189104292,0.49710404703521166,0.31037552209351527,0.459210686868069,0.45113603455859747,0.5384197413344196,0.5094095579601814
CPI_sqd,569,5.663872003555298,0.53623892780384,1.0,0.742450442923959,0.4011330113426616,1.0,1.5575367069158444e-13,0.7753029793790526,0.0,2.734710021245131e-07,1.0,1.1484005567095301e-05,1.9290789593356012e-08,0.9999920977193748,7.446851968141873e-274,6.539604422970203e-07,3.248681393071194e-05,0.05891521892672258,0.6411847131122812,4.088751276588061e-253,0.3695016119853567,3.002451180573354e-10,1.0,1.0,1.9279856805355492e-11,0.0,0.01312782747047392,0.0,7.040325773763605e-156,0.0,0.9999998033362674,0.009011603185528088
S-CPI,569,5.659483909606934,0.9191861562802555,0.9621333912594884,0.9167416218222395,0.06442691306974162,0.8679572332484504,0.158671971374522,0.6778000623586562,0.23081024529561173,0.321438019214974,0.9231543228396154,0.3420253831732074,0.015723601057075737,0.937428165792988,0.3710295366306099,0.15299445987251542,0.464038478573903,0.24973465266771627,0.1425239175056155,0.8692473923933715,0.3234295785947076,0.45441059003084144,0.5737744716602623,0.9439949563122987,0.2360460143061484,0.6206724061044442,0.06402084855089343,0.20618078017670538,0.5976863672926048,0.4924905768526866,0.8467824907801824,0.2438983623210163
S-CPI_sqrt,569,5.686559677124023,0.5001594128013328,0.5097161928364908,0.5004358664732143,0.499964608931341,0.5022661078100262,0.49722579864312005,0.5006603617458144,0.48021617735463445,0.4998897829663944,0.5009986913357647,0.4990677509362827,0.49662734587272805,0.5002966098430244,0.5017892115715243,0.4968062528157646,0.5005311807586281,0.49904375541456875,0.4992027945351794,0.5047889786574152,0.5004506804530383,0.5015419549001772,0.5048562361143338,0.5155990712029747,0.4932988705328892,0.4975622228855158,0.4991301375915304,0.4893625891496384,0.5128206302650726,0.4970966530300456,0.5033533516650921,0.4996426815463482
S-CPI_n,569,5.775277853012085,0.5015105255383738,0.6164216547975309,0.509000090506097,0.4989453748650816,0.5443638602460596,0.4673707824369587,0.5038482814556383,0.27863612495992884,0.5044920904736407,0.526516048699843,0.4865682376106444,0.45829570430601585,0.5049369740201172,0.5429347325424965,0.464402177998648,0.49071581159965405,0.4854233018196678,0.4959952114657802,0.5145246416283237,0.5015703562260365,0.49678107490182455,0.6069539429399622,0.6300323777435153,0.38170858045208156,0.5670078202293872,0.48982125691224543,0.3598269398751991,0.5805947238038043,0.49005072534131716,0.5352154441916442,0.49281832388603763
S-CPI_bt,569,6.12111759185791,0.5015048341848236,0.6742156972177783,0.5071160989898021,0.49953225281114133,0.5434881793793468,0.4629387422065554,0.5069737391241211,0.294785738939978,0.5088809734219755,0.5289969389412309,0.4869567245160706,0.4658156393711309,0.5050386746495887,0.5173374302055032,0.45416784678101485,0.5002361143038135,0.4854004053182713,0.4921320352055307,0.5081107701671775,0.5052672749487954,0.5284888864086661,0.6193837327458993,0.6937582935471696,0.4162163396374341,0.48755845690401695,0.480816053656522,0.3765808789466329,0.698729676941032,0.48787046183986016,0.5344996367839826,0.4841170619858656
S-CPI_sqd,569,6.026452302932739,0.7358389278848794,1.0,0.9995684283774449,0.40578423837120803,1.0,3.90411655223296e-07,0.21296962833618321,0.0,0.9999750920131484,1.0,2.097145681070817e-09,1.9702650755567676e-40,0.9149170780327341,1.0,3.6588222448102106e-98,0.9999943502663364,7.001147372055203e-05,0.12982782327681847,0.9999999987068049,0.35780418135507613,1.0,1.0,1.0,0.0002852316335052035,0.7009266896915358,2.218116208507759e-08,0.0,1.0,0.00015464811471276775,1.0,1.3065515049728014e-13
S-CPI2,569,8.960541725158691,0.9470305035752851,0.9596489115601972,0.908648469644604,0.0876077836481407,0.8958326088637547,0.157232018676432,0.7041727647037518,0.1762790514682876,0.5656130763271106,0.9422090155390566,0.13765846245806118,0.052350894868654387,0.9349046116975569,0.8109291171645571,0.10042919173412634,0.537488664508392,0.27177313636226613,0.2554291023679253,0.8098028431108963,0.41728170438522405,0.8105920868703991,0.7212698439009708,0.9362933489822112,0.2618883626522934,0.7177034599080692,0.03485213951087755,0.1706973221083482,0.6264740195870915,0.47623727227893375,0.8492955126758348,0.31248615170174776
S-CPI2_sqrt,569,9.1337308883667,0.5000749499272443,0.5134014939487123,0.5006632277250826,0.49990214971766644,0.5034237427512208,0.4976154110585049,0.5006865674130918,0.47999555516434245,0.4999731258417553,0.5024878067043802,0.4990610582048386,0.49661313004599167,0.5004028678113036,0.502422363712756,0.4965344156712095,0.49971863473571465,0.4989613955179327,0.4995558039099658,0.5021383404599733,0.5000038839392746,0.49993237640681876,0.5068586696693081,0.5133078904377163,0.4949394665280085,0.5036906299090088,0.4989188864957916,0.48667654578667646,0.508361537171509,0.4997603444343625,0.5037833432512695,0.49926029787314136
S-CPI2_n,569,8.92653226852417,0.500730963599233,0.6368983280636715,0.5073865722695251,0.49942989487937794,0.5466783777702977,0.4679521035484658,0.5052909601421198,0.30219920540347356,0.49962159808049206,0.5296789655304102,0.48865062624259636,0.44899305681312424,0.5041893858423828,0.5507375448952525,0.4555188839531303,0.4995707978057946,0.4873985409347441,0.492651051455415,0.5207994983430229,0.5000718183820541,0.5363958072216383,0.5670126045081919,0.6391020434187458,0.42296982857753995,0.5552679356607517,0.4828186161302336,0.39787201728426813,0.588188107375508,0.5035069339278161,0.545774114397062,0.49083665107032454
S-CPI2_bt,569,9.36637568473816,0.5010012845251074,0.6624768343099338,0.5082262266911004,0.4990573012902948,0.5536651643919108,0.4641602307196831,0.5123843175100962,0.1746343113019974,0.4962349535160887,0.5268912596353844,0.4892203183136042,0.45550155919773655,0.5050773747055436,0.5360333348373905,0.4521818697178641,0.5015261004765482,0.488513775308275,0.4929713800973908,0.5106164845636958,0.49849430156367125,0.5302676468747558,0.6092529665471734,0.686514527710848,0.42658562058726335,0.5901172804366522,0.4884719157119115,0.3585800495252655,0.6519152963748391,0.4777820020852907,0.5497277748124819,0.493139592103267
S-CPI2_sqd,569,8.964422464370728,0.6317722833781018,1.0,0.9997454932791142,0.33380945157210695,1.0,1.997700856322778e-52,0.9999995699457793,0.0,0.9893207753840607,1.0,1.232151920740493e-07,1.6865896078314824e-85,0.9943340016486875,1.0,2.39161951805964e-95,0.8640184314892363,1.8144253457545965e-07,0.0003327845761809603,1.0,0.5790345135076391,1.0,1.0,1.0,9.57688639574168e-273,1.0,2.96160756162209e-13,0.0,1.0,0.06573906688658711,1.0,0.010141038385739192
LOCO,569,41.78754997253418,0.5567584364496778,0.8134075545579651,0.9529452755141251,0.9301906041766219,0.9437329076270607,0.9208153887004982,0.9542920481345252,0.6555002703387374,0.9251541047115865,0.9500509768139974,0.9325516754671878,0.9620679165712196,0.94569036365993,0.8998303710379665,0.8206321014622373,0.938554066431773,0.9297656887257579,0.9236856267602014,0.9408199605264705,0.9351455246903205,0.9545309645370127,0.7788391160920959,0.9698675924927227,0.22400943574521381,0.9795642828594285,0.7380267530747395,0.7785046324022484,0.5181595399559272,0.8690043148469921,0.7823189057774367,0.41862259268690033
LOCO_sqrt,569,41.752302169799805,0.5010173904104822,0.5183740827036862,0.5537727545893247,0.5454239530725703,0.5510454489545868,0.5453789066534279,0.5251861867634131,0.5221431411409702,0.5441478114722905,0.5547726348585045,0.549737734420927,0.5560986582299365,0.5522775324014244,0.5271457347650478,0.5237167419280377,0.5509200629016483,0.547861033508614,0.5464858655541777,0.5459752806126916,0.5497711010420161,0.5484935295982402,0.5163363116284073,0.5622135801664075,0.47614895070961777,0.5446739319160891,0.5094488912156071,0.5171384264671471,0.5020385088931518,0.5173356217001601,0.5119451448257746,0.4974091902466931
LOCO_n,569,41.67922115325928,0.5109418467885393,0.6446078339025917,0.8146149993559255,0.7799397781774913,0.8020318385501923,0.7746957355628524,0.7153064098975833,0.6069571291423933,0.7738213233232782,0.8147749494158378,0.7919885002924314,0.8267462695073715,0.8061847780547027,0.7061772673372834,0.668700736904335,0.7984315671474986,0.785857720232118,0.7790377435123542,0.7875039550592917,0.7936342487550163,0.8028598499832503,0.6277252658670713,0.8462533968125483,0.34431579448768973,0.8112538679505992,0.5846424091274458,0.6312593406497816,0.5113168091144539,0.650697577231252,0.6054789629773282,0.47549708407274505
LOCO_bt,569,41.97006559371948,0.5135414502772303,0.7371487061908599,0.9722619355738068,0.9464097399845913,0.965539191891521,0.9469989273420636,0.8044610717356844,0.797487467088386,0.9413139317490103,0.9748192354719372,0.9620525026520962,0.9770705821520116,0.968844465549453,0.8260987614843982,0.7967152474634243,0.9655095027993422,0.9561033143013198,0.9512053674092935,0.9479992191403451,0.9620400217590334,0.9565550230803892,0.7139693831456908,0.9869590626424893,0.19860157735469985,0.9394267452066889,0.6260740318162015,0.7238339363732472,0.5298318070532217,0.7227115269266062,0.6579733053010535,0.4650809743902131
LOCO_sqd,569,42.07881045341492,0.9999999925204611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9999998348940654,1.0,1.0,2.9514144737251664e-44
S-CPI_ST,569,5.460706949234009,1.0,0.9999408908375631,1.0,1.0,0.9999991801781616,1.0,1.0,1.0,0.9999999999997442,0.9993739216221138,1.0,0.9999999955611955,1.0,1.0,0.9997982107803486,0.9999999955611955,1.0,0.9999408908375631,0.9999991801781616,0.9989353629895055,1.0,1.0,1.0,1.0,0.999999632603784,1.0,0.9999999999999999,1.0,0.9892467287683748,0.9929188649822047,1.0
S-CPI_Wilcox,569,5.500195741653442,0.9101437525605001,0.7645585157109345,0.36765834531867025,0.08985624743949988,0.5178260749243905,0.28470633604835044,0.3188478096623255,0.34633659798423505,0.7854003523505799,0.23916139470424286,0.3948582539869687,0.25534105654450817,0.5312635388187624,0.4112279846595637,0.3372434205252795,0.7529374381105414,0.4105006015081215,0.3172061357998519,0.13962852321447344,0.07721466484674921,0.5,0.42418678637660645,0.4528970457202996,0.4905582954416755,0.37587758262377,0.011888620865233148,0.36990274371056386,0.015111287615001917,0.03593077723758193,0.4511662573382357,0.08985624743949988
LOCO_ST,569,41.73802042007446,0.0461018026829245,0.7295942110015319,0.033071455071405874,0.004561041537716045,0.007081135017795301,0.033071455071405874,0.015977014296369,0.2704057889984681,0.3798970170609147,0.4392502353738342,0.02323221299740207,0.015977014296369,0.17941710790042195,0.2704057889984681,0.3798970170609147,0.08424185874442919,0.08424185874442919,0.17941710790042195,0.5607497646261659,0.22226642865008342,0.010753271231625158,0.4392502353738342,0.02323221299740207,0.11050562431985395,0.7777335713499166,0.4392502353738342,0.22226642865008342,0.0006260783778861907,0.06295438559382185,0.11050562431985395,0.3798970170609147
LOCO_Wilcox,569,41.73802042007446,0.2103719177373865,0.5920812497109729,0.057474870157088236,0.0037764155072662993,0.009969928210959279,0.03333364042382063,0.022890623044080485,0.5806655684723172,0.3086302242738397,0.3010683419802484,0.021823985182047603,0.01923098142868963,0.15361133087343248,0.2783824779902076,0.22489213742892172,0.05038720604618465,0.03882369762828264,0.13438513399994467,0.6022297384864638,0.11779069563267947,0.06512816585107337,0.17338768683195727,0.01981628514446115,0.08160940401880185,0.9386985401371358,0.1246254364538757,0.34306660828837093,0.011222604172394034,0.059455153931236446,0.06493252821048692,0.17338768683195727
Semi_KO_ST,569,28.76281714439392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Semi_KO_Wilcox,569,28.657024383544922,0.5,0.4163796968069963,0.5320739840593909,0.42943150641394434,0.14788655574145715,0.6650884247030437,0.4011877096986353,0.040049896260758486,0.04013052457295388,0.7194056862550242,0.7636764786125276,0.7880463164104732,0.05471057940961465,0.6886194006672157,0.1703035297335473,0.6408300554228161,0.7075068116137533,0.6679566363856713,0.09945980111029984,0.09824081304516014,0.8723547474001925,0.5877087706223877,0.5594700817399917,0.3958512067030372,0.19228886180664323,0.45813868588662615,0.6463730324514485,0.7865225394346476,0.6175728856918616,0.8779678186985826,0.6350545457896526
