method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
LOCO-W,569,45.39195990562439,0.09824451563108827,0.999997060625275,1.0,0.20144139408103967,0.0,2.1216362000586741e-13,4.440892098500626e-16,0.00018693705377292869,0.0,0.11741982095520598,2.6867397195928788e-14,0.0,0.0,0.9891895418899459,8.749667657070859e-11,0.013040356832812905,0.0,1.6104340083700208e-09,2.055788872468156e-11,4.728284430655094e-11,0.9743698978184103,2.966289724959381e-08,1.1460114887951178e-05,1.0,0.7030316703491395,0.29517341391513763,0.9999997206053841,0.007514087565391736,0.8512829523460907,0.9257635105769979,0.00046254004102741497
CPI,569,5.716021299362183,0.6319939633408471,0.518439014750985,0.21948698011622203,0.04057847661487979,0.2874936508489134,0.3951947645289078,0.36179178365881015,0.04258147195377664,0.5250025494957555,0.7361301381888996,0.5223395370911287,0.5153191151232694,0.47372427538448164,0.7338404881692553,0.6328011026381501,0.9789113450825098,0.4749807151537131,0.9213874345115716,0.6848138389815804,0.5110515130481225,0.8204871435910551,0.20504893813754893,0.17514835540100215,0.38295269228480944,0.5347588967416692,0.1204794830119752,0.12641840887336953,0.601391552880422,0.5209844892104373,0.9222421903216278,0.259017117884193
CPI_sqrt,569,5.7062013149261475,0.5001514097765135,0.467504961335678,0.49954333157876074,0.16320764619394829,0.5001167406443126,0.5001649185050098,0.496557818088046,0.49994894950271834,0.49967036022736344,0.5001006630653718,0.5013706448073485,0.4922436169905352,0.49294329369110523,0.5196021598378807,0.5000354353197047,0.50049012222932,0.500038299302205,0.5000175719666885,0.5000795596278206,0.49988860431169846,0.5244084529982809,0.47458997978565753,0.5297284482936546,0.400982054937301,0.5000982665085723,0.4997059375777681,0.49525927657805807,0.5023783064933318,0.4996019476894865,0.5001493489090969,0.49418197369744704
CPI_n,569,5.701701402664185,0.5181842007737091,0.3471336195028737,0.5594898501309786,0.06731731743855954,0.5018717081302666,0.48981657664740985,0.4849709513780534,0.4948757550789755,0.5092061513370885,0.5025259120703115,0.4937789913024277,0.4050122219724131,0.4123368518144737,0.6323330886465091,0.49917335601888124,0.5066059263043579,0.502121605171822,0.4999796005658442,0.49858533832060764,0.4983267654892088,0.5960706775361188,0.31702195751588386,0.5474040084399245,0.1847228304475338,0.4992371990066275,0.48011415320859085,0.46971439876738164,0.5132779556272541,0.48017422715584757,0.5027046103861021,0.4444606802640938
CPI_bt,569,5.954722166061401,0.5124277784937062,0.43954512420394787,0.5711946291206402,4.167818131795515e-40,0.5002479165946252,0.49735033121898864,0.4810237433997978,0.5008192354740332,0.4852933929142244,0.5007493868473034,0.5000559194559101,0.6151150555698146,0.42978610636968734,0.4186093351859766,0.5014987537865883,0.5019615717491746,0.5071991402458,0.5005193811736661,0.4995842650092318,0.4996908445328789,0.7180778109722485,0.1702405095814286,0.6493664887394375,1.1858067323295104e-06,0.503912968523736,0.4972928104503302,0.3857814556156384,0.5028711660026165,0.49263758567769217,0.5088075515819337,0.6575024767940687
CPI_sqd,569,5.962594509124756,0.9786307071484498,0.0,1.0,1.247834348169788e-184,0.3619436058122144,0.013189237581234635,3.1354334229651953e-21,0.010141123261215843,0.9859898549810514,0.755699651580025,1.8132188152960187e-69,5.921341812970806e-76,1.3177652358258549e-11,1.0,0.29168670584373735,0.9734063289738113,0.9999999999994804,0.5173204996005467,0.5498892525364357,0.3046679713650247,8.585533304538705e-121,0.0,1.0,0.0,0.647948090277556,5.49823568646575e-26,1.6246572853344052e-124,1.0,0.9999985942964074,0.4078018061475859,1.0
S-CPI,569,5.812193393707275,0.7384921808955023,0.5343974541541109,0.9482161680951237,0.08890582639031636,0.17237107498611814,0.20779993622300702,0.3981932315839774,0.14189882574893342,0.3114694080960917,0.8304588590296101,0.5957225197882516,0.7348042703539456,0.1262994109798216,0.6781704474053868,0.33018523154801643,0.9480922422764722,0.9416346728836662,0.862115490382791,0.6153069392296678,0.051881530534624944,0.940757109413318,0.13843975538339276,0.9252809948334967,0.18848446233767535,0.9886823790921907,0.08382356844054661,0.18448999515284992,0.7232030075985463,0.5083543367559977,0.6920628914548828,0.9486335401353532
S-CPI_sqrt,569,5.8357322216033936,0.49962529803403294,0.49021449913430876,0.510803092197292,0.14090691520581788,0.49996457194120886,0.4994204542865757,0.49940165857076035,0.49968569253654566,0.5002982080971572,0.5001759444835029,0.503527077824717,0.5106389672228635,0.4919729993897711,0.5238509986631112,0.500000590928245,0.500527943847067,0.501145730895472,0.5000370255790537,0.49997551584610633,0.499918230599601,0.529370007357481,0.4683109693389374,0.5690170284746651,0.4098897399226415,0.5003948733340405,0.4974970482099389,0.491671983732505,0.5013848801272321,0.4992940336142555,0.5004020001810181,0.5512022462889639
S-CPI_n,569,5.8257224559783936,0.5151216357965321,0.5024397483562939,0.6627735277547427,0.0834760201876093,0.49872870448506157,0.4896770504359616,0.5090760104360325,0.4947742222904344,0.49788335544426965,0.5017805349993614,0.5213736132552176,0.5684764520485697,0.41576924670505383,0.6489575901842881,0.5001162385669059,0.5084601452608583,0.5195926191519795,0.5003179053278194,0.49997460915418873,0.4982536721743273,0.7488072088420641,0.30336102875542886,0.7984353607676125,0.2761355540054986,0.5056729114375653,0.47563740626337475,0.44266696859804466,0.5051719068582404,0.484414933595984,0.5055909207263813,0.7774658508488416
S-CPI_bt,569,6.0835700035095215,0.5177444169783455,0.4570562931217146,0.6211046426821009,8.445261266354423e-21,0.4994482499705843,0.49758518902156046,0.5023863771705352,0.49650428608402286,0.5036585727821853,0.5020580783156663,0.5216504209226941,0.5642893512081648,0.39774525193770244,0.9408250689787938,0.500923714894464,0.5068296010538007,0.519923625208286,0.5003457489457148,0.5002710658429379,0.4978072107441142,0.8789575850079927,0.17993638786966282,0.9980109473137159,3.3206556026749895e-06,0.5031539974837467,0.4696757906565252,0.3677570030528962,0.49814476459136925,0.47736271526044,0.5005716830397634,0.8059405452138648
