method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
LOCO-W,569,52.00147294998169,0.2501375795119376,0.504066493485366,0.006300116631271835,0.09480197946033686,0.5299043139292162,0.03034605774389776,0.49659923876645107,0.18011499619861204,0.6001405083676983,0.358486492648163,0.46373398671712796,0.6491442994863148,0.9028145386845203,0.17530911051955034,0.344961315160053,0.4361588757655195,0.39864534380502403,0.13298836897766786,0.74631461421348,0.8276737733687612,0.7917508717101516,0.25365172794457713,0.6862158771258373,0.7355450010774123,0.9508442067251359,0.3736062961522316,0.11794909875519466,0.047311638321403615,0.3505541024847978,0.9106832272662198,0.09659222221230179
CPI,569,6.054257392883301,1.0,0.1826248439087999,0.8509082629796978,0.702528671349488,0.6471044737168705,0.2995314639975491,0.05306216737704018,0.015292290364375627,0.06524017363016157,0.7163417768036747,0.834628441717312,0.12328218170529887,0.26844723482014177,0.044737652210190465,0.5554652447474995,0.061314838056506366,0.8420543376330534,0.8263481565419339,0.1651035126696479,0.7102644325751801,0.08220221010823936,0.4094836352555324,0.3387546633557873,0.7834837152369221,0.03178971124702618,0.2449250811767935,0.42352868205477845,0.8687998048486998,0.44390079192780163,0.13056422684237456,0.7291995042953152
CPI_sqrt,569,6.058171510696411,0.5,0.4990199286305687,0.5002394227150975,0.5002599614265537,0.4998922815471314,0.4996164221632674,0.4982528770532747,0.465701775978298,0.5017162083705088,0.5003578453158682,0.5014957276859533,0.49899645298704143,0.5004738409875403,0.49509739869686425,0.5040528901517334,0.4996244882427259,0.5001276721899776,0.4999968331057153,0.4988989807747915,0.5003064375653695,0.4990608254166607,0.5002067052484325,0.498783771689172,0.49986285042579925,0.4981900188878417,0.5006451248562157,0.4985466811540194,0.5038824428734371,0.49893923090043224,0.4989483736186332,0.5074102575976737
CPI_n,569,6.060698509216309,0.5,0.40642868974966434,0.5029959314420611,0.5041860197648538,0.4899553813400271,0.49511067208956483,0.47650719358985333,0.31445596009609006,0.5259517109514483,0.5076115502879052,0.5121443776693335,0.4892131317317073,0.4986228489253992,0.4349826998419095,0.5564707516402971,0.4941583660466358,0.5015705129637781,0.4929929956639874,0.4792894062862988,0.4931821266699129,0.4831361259776221,0.4739209049854387,0.48800724457573,0.4943876442216718,0.48404059155977974,0.49346082095221105,0.44438378839615184,0.5412974690275536,0.4603603219374777,0.4844994640240821,0.6252565460419902
CPI_bt,569,6.341169834136963,0.49991701548133183,0.41522535302999425,0.5,0.49693997610392565,0.4939112522034736,0.49304002882188785,0.48676645525965584,0.6082357852486536,0.461720469794062,0.5284394248618836,0.5237815576858571,0.4974793624861869,0.5034023226371586,0.42128977131732526,0.5939298031960484,0.4919303133067702,0.5020849764600569,0.5004564135817984,0.4849523340173709,0.4939216337927997,0.47943942598936234,0.4936520052082041,0.4869219318409675,0.5038483409862747,0.4549533040078339,0.49375567229045125,0.45077158067131184,0.2573572124288146,0.4777511875759921,0.48757510470634646,0.6401972113469232
CPI_sqd,569,6.334636688232422,0.5,8.111780291208334e-174,0.5,0.5389580088827888,0.0013869383742688573,0.055732673892854113,1.5218835859796196e-48,0.0,0.03838137331532585,0.9999826460041403,1.0,8.165438764800295e-05,4.140453769840777e-12,1.5708505194652698e-219,1.0,4.1398806747409484e-13,0.5,0.9999999999999438,0.0006864794585969587,0.0004296472236406883,3.0697971313297314e-32,1.0,0.05841867890277413,0.8246995235306459,3.689648563656023e-34,0.05725665987372608,0.9064770345024074,0.0,0.004456455634112133,0.7830300198883926,1.0
S-CPI,569,13.52188229560852,0.5,0.2238250266050768,0.8661254071335831,0.4410073477606455,0.054082028204035286,0.19673958716621914,0.038054950183324006,0.3089431179337885,0.2708302315876133,0.8865674415577596,0.8383267286068983,0.05860464356146566,0.8544224877243435,0.10991800952024461,0.9465128588635313,0.06784664979039705,0.9257133748354749,0.6444940639191721,0.11874731775305936,0.4403156334644591,0.29203748128373436,0.3964939316052349,0.3326731452387004,0.7013682654623387,0.03450134639835191,0.11962366314837913,0.1681224420504489,0.7622123910179452,0.49162444556663926,0.19708103268754495,0.8368327746312154
S-CPI_sqrt,569,13.518828868865967,0.5,0.49328724623157827,0.5002363353621919,0.5002541673198257,0.49905469545624465,0.49970667557669113,0.4975308159337629,0.48415451567959916,0.49704319449544504,0.5017784190580703,0.5024193992842925,0.4991303377051511,0.49994372242450225,0.4942683276745843,0.5131332577440633,0.49892129165809973,0.5003825575689926,0.5001206375043941,0.497528174374495,0.49991713231805796,0.4975797308678607,0.5002105683424808,0.4987126904452691,0.5004962325066741,0.49778627684591603,0.4996635223438853,0.4979913921648686,0.5192665675819499,0.4991901517671816,0.4984191925388599,0.5144075508908843
S-CPI_n,569,13.51449966430664,0.5,0.4897537943746512,0.5039581474608741,0.4999052710099788,0.48706539233590596,0.4958634284252177,0.4710875322968426,0.3551736794113612,0.47176968675162645,0.5236939306103013,0.5342764672973176,0.4902068008936607,0.4970527274731261,0.41203496407506623,0.657273067552884,0.484688007801068,0.5047439581166786,0.5015740512186526,0.47490932935910246,0.504034125694445,0.48350589288079715,0.4948871625986247,0.4911512839540912,0.5051571605181203,0.47513922471318204,0.4937624610933506,0.49560424602046144,0.70547760844071,0.48071509836605897,0.4761790361729754,0.5775138045394916
S-CPI_bt,569,13.938946008682251,0.5,0.4704389294015146,0.5026300240277977,0.5022716869389873,0.4932214450702033,0.4941577250602148,0.4708514683156832,0.5781650695827796,0.49063533159158146,0.5164734570736033,0.5416135511262684,0.4820799026066531,0.49347771676851165,0.4108653213948817,0.6990590232900246,0.48201644655546017,0.5042155342175008,0.5164943706469677,0.4638596097469671,0.49558777875264265,0.4884113046808001,0.5117596958286006,0.4827648490330071,0.5025879636315836,0.4579071520943537,0.4949878689874998,0.48180739838518866,0.7954656990700832,0.4678857460133296,0.47901923226720206,0.6297484436532945
