method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11,pval12,pval13,pval14,pval15,pval16,pval17,pval18,pval19,pval20,pval21,pval22,pval23,pval24,pval25,pval26,pval27,pval28,pval29,pval30
LOCO-W,569,443.7925982475281,1.4295438088840484e-07,0.888754687208644,0.994784944103661,0.9481581453519724,7.045358310087124e-07,0.9982081752911246,2.9609681307052327e-05,9.161226812492984e-06,0.003747095608684914,7.234934774502655e-05,0.022502200991690424,0.9955081637336642,0.24831578176075464,0.10006261878502043,0.28712826202003217,0.0063882230744253254,0.6803223109697353,0.8747147797081449,0.8755155516120556,0.8546023701523889,0.9999928950578466,0.7515988013484161,0.206922554692623,0.7281452028066151,0.6879314671730712,0.9951155944551425,0.9889827468382083,0.9999996515738598,0.1277495724184925,0.06733688443279118,0.9999844962806482
CPI,569,15.233998775482178,0.004673904651391504,0.254103818780577,0.3637872486287118,0.2102044452370983,0.2542634766694619,0.5603869017235923,0.012030463289635186,0.008782788997967897,0.08188912461355818,0.7619160392214581,0.3708534847489758,0.18520834046161777,0.520568184435587,0.1263943657819976,0.16223864745850503,0.43320571233273525,0.668516633659177,0.5886887841024949,0.7271949793965224,0.13766350594025129,0.0529554600263972,0.36645452035747345,0.970988628723009,0.5918853740264669,0.0461209744645932,0.09664094777181725,0.9855566377376475,0.006733525433595154,0.033633530818304794,0.6601776607953052,0.2901432551449204
CPI_sqrt,569,15.245714902877808,0.49944065071161686,0.4949634052528845,0.5000100576003179,0.49525017776167174,0.5005876746511173,0.49923013951631845,0.49497466609006924,0.4869132048016978,0.4985599127840273,0.4989528432499351,0.5014897282052216,0.4964962819619999,0.4996293003028213,0.5018259246552502,0.499265021428432,0.4987951529454241,0.49990471529711006,0.5007690703360093,0.5002162513736744,0.500948155102969,0.4981184760486213,0.4934927366287972,0.5054248735316729,0.5034381012452834,0.4958433214792114,0.5000165214789203,0.5069919944855356,0.4475703325686887,0.49970439995375615,0.4996686321780163,0.4999053814884628
CPI_n,569,15.240922451019287,0.4942895216214833,0.41976733750046863,0.4990329533128276,0.4513005374898432,0.49667145630930876,0.5273456465673413,0.4579074441729093,0.3426513024538855,0.48814755989069725,0.5181873559806484,0.518381840178042,0.5010681722536499,0.4973634331465063,0.4029024332433838,0.4555878229862203,0.5109199394297042,0.5083619984288723,0.49371706157495615,0.4992646138196725,0.508532636085243,0.5328661823802928,0.3926529620069534,0.5285681386707894,0.4868545859843783,0.4629149977437484,0.5008970152709074,0.6233505453310723,0.27339169753462983,0.4869378839446167,0.4997370734864805,0.5042201196653644
CPI_bt,569,15.530293941497803,0.49288017555297536,0.43832825225031014,0.5082530905655548,0.5208919324921872,0.4909502189463798,0.4998546658316864,0.4626274752769874,0.30049871354247826,0.4881968088653452,0.4846355118791568,0.5199415825355604,0.4731413827425533,0.49252871624809685,0.34742228388062,0.48182088196073025,0.4925523405389335,0.4952658338361545,0.4707140808368049,0.5010921730633319,0.5001149314929707,0.3822468695353822,0.4259552578674058,0.620894276206397,0.4481380563296324,0.4536800734528714,0.4718136854755868,0.5803958097888874,0.16547510034159701,0.47125095532700634,0.485765597581407,0.5010349109439987
CPI_sqd,569,15.52240538597107,0.013162755002941874,3.343821242840822e-52,0.5120067887679978,1.2867936778368964e-07,0.9921343122593909,0.9863357137768965,2.241225975759666e-149,0.0,0.5411425135706922,1.9539336329261747e-05,1.0,0.0033776351972749537,0.9999709559910556,6.605104284263187e-152,9.214452767277922e-75,2.409316512917596e-25,0.03850418216068056,0.974818138757586,0.06498370157156153,0.35146565600359925,3.2607414315890564e-296,0.0,1.0,1.0,6.194167658445764e-47,1.479666739719537e-41,1.0,0.0,3.6688736712609398e-31,0.9999960097901874,6.333146484701035e-10
S-CPI,569,23.498499393463135,7.626501501520025e-05,0.5160258835502556,0.6759530898006674,0.13023464845233568,0.6013055272561008,0.4636086090363752,0.12056668860515873,0.008974864763479676,0.23240059456649476,0.41949010215945526,0.8882147788941923,0.2532183332477306,0.41093674581085216,0.03195856934583893,0.35464873575599026,0.6689446495709608,0.21510602179901117,0.5697892193149308,0.7233359692977801,0.5342132049150037,0.3578034931259645,0.18654931683208148,0.983219383131623,0.536746440598764,0.033223677228932096,0.32247985939016843,0.9896319835887815,0.02469073207861012,0.06491041976727636,0.839173579820901,0.5336686721895378
S-CPI_sqrt,569,23.509281873703003,0.499316916415987,0.4981109272639188,0.5001561355739922,0.4984287748939013,0.5003373487810147,0.4996774331361101,0.4942127351602252,0.4747068769430455,0.4961414270631295,0.4999789181526827,0.5028345035101438,0.5000887689495328,0.4992498029766122,0.4964382717848226,0.49871354258355255,0.4988303519341284,0.4994639409686785,0.49956753776836144,0.5003334395542008,0.49980480458574794,0.49351033190501326,0.49104732077118446,0.5047170632099328,0.5020966574005978,0.49478723951082354,0.4969714999907914,0.5204861260531962,0.43731734261458793,0.49702767688067434,0.501461269323201,0.4999350263144996
S-CPI_n,569,23.521238565444946,0.4926713112912767,0.43279640707546985,0.49968951922591964,0.47877892199282823,0.509917484232194,0.4953564626450443,0.447371368141907,0.2226771606093187,0.45841050454819127,0.5031056217746968,0.5221413418239192,0.48911305137685884,0.48775664161238874,0.4459420908203721,0.4627961064576287,0.4943499446586403,0.4967936426410592,0.49004472653419273,0.5064017233543257,0.498411926204303,0.5816559965308041,0.4013973087243663,0.5985085713224617,0.5098814988590297,0.4661583592646288,0.456940175952625,0.6891165838894644,0.21223756947589406,0.4701456302826799,0.5237603032340308,0.5031990615702803
S-CPI_bt,569,23.810946702957153,0.49173952160026174,0.4356697495587688,0.5009008452828064,0.4637349146019009,0.5021831706611011,0.4919751247065856,0.4266830892072731,0.18745101304908446,0.4595348123225723,0.4935305925201733,0.5399659513621773,0.5151649478097099,0.49209183148891983,0.4475830687832357,0.4724007931050304,0.4877102027719629,0.49720312680948603,0.5052680292245574,0.5069113343445928,0.4977092084308266,0.4295203196716564,0.3799164825176815,0.6070606483121985,0.49761896845780684,0.45139829028281675,0.4784997569288707,0.6938594415240513,0.036024950220895614,0.4735352706762131,0.5157448699533967,0.5000437907138905
