method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11
LOCO-W,1599,0.5830888748168945,0.3206823124525565,0.7709275331971384,0.27159862569358517,0.7122093380873079,0.07698697746778316,0.925125931539956,0.6427234524917963,0.8673606505898881,0.24192920189671518,0.07815905223035424,0.012694081550223557,0.29552060902708055
CPI,1599,3.0005548000335693,0.05625361304201365,3.725077196420411e-05,1.0,0.41867759327831616,0.11879910154505047,0.7525789479857555,0.9309474227152651,1.0,0.03652711466328991,0.005063041593515949,1.5127837360695543e-08,0.8888446828814386
CPI_sqrt,1599,2.996671676635742,0.4966238932505655,0.3024405263512109,0.5,0.4984399503847703,0.47330536505417775,0.5145172444009857,0.5088148603926097,0.5,0.49775593457163697,0.32712716614673387,0.03764253346412557,0.524928439550868
CPI_n,1599,2.9853813648223877,0.4517863210693086,0.003462137242629973,0.5,0.4578859690395914,0.42553121654916526,0.710070120501927,0.7018214443538611,0.5,0.14073073507741635,0.004384457432516835,1.0609796323589586e-08,0.572980523784258
CPI_bt,1599,3.5434770584106445,0.4245667853225921,1.6956018085303387e-66,0.5,0.48637550068804936,0.011725900338910206,0.6555368668852797,0.6414343694652513,0.5,0.09207686852600727,6.070957626344852e-19,0.0,0.9862603388764749
CPI_sqd,1599,3.5333786010742188,0.0,0.0,0.5,2.706840263823971e-237,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.00023993973279259683
S-CPI,1599,3.0108814239501953,0.012180946686605748,0.00033922243161204225,0.5,0.43648014969796906,0.347880104377069,0.9323009207884032,0.9990051783648967,0.5,0.14104903903539645,0.08211579188943202,3.3577811253937547e-08,0.9822314260307867
S-CPI_sqrt,1599,3.0114166736602783,0.49436964479570933,0.23257810983367516,0.5,0.49507835898358915,0.4565664088424311,0.5318882584254048,0.5176156549539686,0.5,0.47919895249644845,0.36225333641362406,0.05380967562515837,0.5517917948752429
S-CPI_n,1599,3.0105907917022705,0.41550428178425286,0.000405546831080123,0.5,0.42465994075015767,0.3091660518783806,0.8243311008282073,0.7388185588863627,0.5,0.27019015410392655,0.20001116028947652,3.64367155196904e-07,0.9346564166730119
S-CPI_bt,1599,3.5600624084472656,0.39337844464502625,1.6420263050731228e-93,0.5,0.44247109482181607,0.01851116639069961,0.971660993530435,0.8260115872712961,0.5,0.05848825171819148,1.1635124399090461e-11,0.0,0.9973602215904693
S-CPI_sqd,1599,3.557476758956909,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0
S-CPI2,1599,3.2766354084014893,0.014099139888606232,0.00016176698850365521,0.5,0.2954992434826654,0.20028238551154243,0.9280975387202816,0.9993082038639387,0.5,0.20958195768604415,0.07748275603902559,3.5491863605019674e-07,0.9896923070331897
S-CPI2_sqrt,1599,3.271413564682007,0.49489859343615455,0.2138810507538048,0.5,0.496735825791368,0.4639434936529503,0.540053168394241,0.5185999756023428,0.5,0.4783121839679224,0.3909519264957998,0.06243888303031906,0.5611398177279683
S-CPI2_n,1599,3.2738962173461914,0.39258055627791755,0.001265511252503747,0.5,0.4499683301934648,0.2622557518820481,0.8233291310204918,0.7741797029798567,0.5,0.3262400057673944,0.11635457080034473,2.0083800200398623e-06,0.9248365151483978
S-CPI2_bt,1599,3.822167158126831,0.39298795990069196,4.365833582023486e-100,0.5,0.4146179495786205,0.006066533597349681,0.9925752104018495,0.8409632704239829,0.5,0.07770911921372432,1.5917589874179193e-10,0.0,0.9998603974449927
S-CPI2_sqd,1599,3.8240723609924316,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0
LOCO,1599,3.0120954513549805,0.038152817730403514,6.85125150670275e-05,0.9988285034282994,0.36094380982017377,0.2749083080606775,0.9418834192648868,0.9996584354126459,0.5,0.2572445513332676,0.09631149258051841,3.4747982710841534e-07,0.9924477062143072
LOCO_sqrt,1599,2.9951322078704834,0.4952755761866123,0.20565992962458912,0.5000000002694878,0.4977235562040686,0.4743993144910413,0.5432685597153928,0.5192798014305067,0.5,0.48179339788952663,0.4079291517750252,0.06047472129222416,0.5650370285064028
LOCO_n,1599,2.993212938308716,0.40995657801229807,0.000537833392313472,0.500000005904181,0.46270087817594135,0.33231229913788907,0.8347630133852038,0.7928239744015637,0.5,0.3424185741860515,0.14074128226669275,3.243263355959645e-06,0.9317840946585305
LOCO_bt,1599,3.5474143028259277,0.3969711807083936,1.7326136507264015e-105,0.500000005904181,0.4494598935955441,0.05974233292517285,0.9945620892449932,0.8586589391145341,0.5,0.14216866593134048,1.021021839942226e-09,0.0,0.9999359985960715
LOCO_sqd,1599,3.546104669570923,0.0,0.0,0.5000028340069222,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0
S-CPI_ST,1599,2.9790232181549072,0.19291906201111325,0.0010971784289956674,1.0,0.218908066316906,0.44555205733885056,0.27649051889757187,0.8730958390694951,1.0,0.24680143731752027,0.005990283004496973,0.00010555225140452206,0.9544242660843578
