method,n,tr_time,pval0,pval1,pval2,pval3,pval4,pval5,pval6,pval7,pval8,pval9,pval10,pval11
LOCO-W,4898,1.442972183227539,0.8920754007071627,0.0019863228395694543,0.31731139835952193,0.3670123765800357,0.6898795381509839,0.030414775909217373,0.7052792243978454,0.5727261749283225,0.07835330856609679,0.43497177540547605,6.661338147750939e-16,0.15091817714097466
CPI,4898,10.308545351028442,0.23571867177949274,5.652649514063183e-12,0.9704122004806282,0.00046116035564535313,1.0,0.38038326070448775,0.2666632250375248,1.0,0.09601927594620346,0.4034036129899089,4.72345753931009e-38,0.9436834364087394
CPI_sqrt,4898,10.259789943695068,0.5074883570633578,0.11545467293502559,0.4993384437560736,0.4612002188348948,0.5,0.4661225857438793,0.5012744996379618,0.5,0.4936790400742997,0.49672243705303376,0.00013247495274792308,0.511159918440024
CPI_n,4898,10.243583679199219,0.35370643061750573,2.1358083549931269e-10,0.49268890877134325,0.13546836084962238,0.5,0.18024075135863593,0.529938903000849,0.5,0.350003824170787,0.3639582220010145,1.4302676072884602e-25,0.28560069214269246
CPI_bt,4898,14.891753673553467,5.012099508194029e-05,0.0,0.4829131553074452,1.333831447062937e-06,0.5,0.10870026991745657,0.24316985243293138,0.5,0.03938800429507639,2.7245304542531924e-05,0.0,0.5500822409810793
CPI_sqd,4898,14.893896102905273,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0
S-CPI,4898,10.248053789138794,0.6431842948307075,4.1380154113627056e-06,0.7208501175437123,0.0015290133647892614,0.0015793401306192399,0.0566224306248303,0.39575092586753535,0.0015793401306192399,0.0872590806009319,0.3158493184042347,1.1174357044002374e-19,0.7738038817883436
S-CPI_sqrt,4898,10.276054382324219,0.504358098700299,0.10938314868128252,0.5000055429468141,0.45781916282704826,0.4999999999999982,0.4712779180572098,0.5019440277667742,0.4999999999999982,0.4866764643847314,0.49913451167223694,0.0007276532568517122,0.5031560276245095
S-CPI_n,4898,10.288504838943481,0.4988042543512585,1.1492553680393005e-05,0.4926867821774665,0.023226682855558102,0.4999999999999312,0.24789936736286178,0.5399931745483937,0.4999999999999312,0.2604663462344896,0.3228589647938459,1.7498205321888505e-17,0.5001069325193677
S-CPI_bt,4898,14.964651346206665,0.8247089861392137,0.0,0.5124706320088865,5.160712735238504e-13,0.4999999999999312,0.00602871697226431,0.461080146605336,0.4999999999999312,0.13827334675265873,0.005015748322458373,0.0,0.5773248086683279
S-CPI_sqd,4898,14.93996548652649,1.0,0.0,1.0,0.0,0.49999999989891236,0.0,1.0,0.49999999989891236,0.0,0.0,0.0,1.0
S-CPI2,4898,10.668541669845581,0.5999957264564454,7.298385418726775e-06,0.6857312645824932,0.0027310312476275327,0.6425618918045233,0.12309352997362732,0.6140580612566534,0.6425618918045233,0.037495829298924796,0.33960431957119164,1.5692194026361547e-18,0.6542272240989743
S-CPI2_sqrt,4898,10.687493801116943,0.5076957183997084,0.1265786347549414,0.5008210523988884,0.43185499305504016,0.500000000000002,0.46938838773726294,0.5055772601651055,0.500000000000002,0.4856214602371546,0.489228439565955,0.0006604214283071549,0.5038563788246486
S-CPI2_n,4898,10.677031755447388,0.5534606337821373,2.6431342403645203e-05,0.5367076097170981,0.016245890975212497,0.5000000000000749,0.2057031980799584,0.5830128998068542,0.5000000000000749,0.2266520182613797,0.33529842971700086,4.220782215947637e-17,0.5535220134765648
S-CPI2_bt,4898,15.360494613647461,0.9015403432506975,0.0,0.5417991668197147,5.6633810882579716e-12,0.5000000000000749,0.0019614869172717223,0.6045042264134446,0.5000000000000749,0.10263382432206397,0.05496898148093432,0.0,0.6449709366008282
S-CPI2_sqd,4898,15.30608057975769,1.0,0.0,1.0,0.0,0.5000000001100955,0.0,1.0,0.5000000001100955,0.0,0.0,0.0,1.0
LOCO,4898,10.491209506988525,0.6498803235434554,1.2473499648242001e-05,0.7692562715149406,0.05714133178834373,0.755697751091336,0.09112993894655541,0.6010431076156719,5.254695683904238e-08,0.04725611915297297,0.402396911620889,4.582908246195466e-20,0.642408068923766
